安居小区,an'ju'xiao'qu
奥林匹克花园,ao'lin'pi'ke'hua'yuan
傲丝度,ao'si'du
八厂,ba'chang
八里村,ba'li'cun
把人能,ba'ren'neng
巴斯罗宾,ba'si'luo'bin
把我能,ba'wo'neng
把我热的,ba'wo're'de
白村,bai'cun
百家碎戏,bai'jia'sui'xi
百姓厨房,bai'xing'chu'fang
宝鸡的,bao'ji'de
宝鸡了,bao'ji'le
宝鸡人,bao'ji'ren
宝泉路,bao'quan'lu
包抓,bao'zhua
背不住了,bei'bu'zhu'le
北杜镇,bei'du'zhen
北门口,bei'men'kou
北上召,bei'shang'zhao
北十字,bei'shi'zi
碧水茗居,bi'shui'ming'ju
必须么,bi'xu'me
毕塬路,bi'yuan'lu
滨河小区,bin'he'xiao'qu
彬县,bin'xian
彬县的,bin'xian'de
不片,bu'pian
不谝了,bu'pian'le
不牵扯,bu'qian'che
不知道咋,bu'zhi'dao'za
彩虹小区,cai'hong'xiao'qu
彩虹医院,cai'hong'yi'yuan
彩虹中学,cai'hong'zhong'xue
菜夹馍,cai'jia'mo
蔡家坡,cai'jia'po
操个心,cao'ge'xin
草滩,cao'tan
操心很,cao'xin'hen
差很,cha'hen
长安县,chang'an'xian
长安银行,chang'an'yin'hang
长武,chang'wu
长武县,chang'wu'xian
长兴村,chang'xing'cun
炒细面,chao'xi'mian
炒虾尾,chao'xia'wei
陈阳寨,chen'yang'zhai
城北客运站,cheng'bei'ke'yun'zhan
城市人家,cheng'shi'ren'jia
城西客运站,cheng'xi'ke'yun'zhan
叱干,chi'gan
丑很,chou'hen
臭女子,chou'nv'zi
除过,chu'guo
锤子呢,chui'zi'ne
锤子去,chui'zi'qu
淳化,chun'hua
淳化县,chun'hua'xian
瓷锤,ci'chui
聪明很,cong'ming'hen
从西安,cong'xi'an
从咸阳,cong'xian'yang
促发展,cu'fa'zhan
粗粮王,cu'liang'wang
翠华山,cui'hua'shan
大程,da'cheng
大佛寺,da'fo'si
大很,da'hen
大秦网,da'qin'wang
大西安,da'xi'an
大咸阳,da'xian'yang
大庄镇,da'zhuang'zhen
代家,dai'jia
氮肥厂,dan'fei'chang
倒霉很,dao'mei'hen
到陕西,dao'shan'xi
到咸阳,dao'xian'yang
得成,de'cheng
得是,dei'shi
得是的,dei'shi'de
等我着,deng'wo'zhe
地泵,di'beng
地热城,di're'cheng
底张镇,di'zhang'zhen
钓台,diao'tai
丢人很,diu'ren'hen
东南坊,dong'nan'fang
东张村,dong'zhang'cun
都好着,dou'hao'zhe
都么说,dou'me'shuo
段村,duan'cun
段家,duan'jia
对了下,dui'le'xia
对了先,dui'le'xian
对了些,dui'le'xie
对这么,dui'zhe'me
对着没,dui'zhe'mei
多很,duo'hen
恶心很,e'xin'hen
二锤子,er'chui'zi
二得很,er'de'hen
二号桥,er'hao'qiao
二十局,er'shi'ju
儿童新世界,er'tong'xin'shi'jie
二印,er'yin
饭吃了么,fan'chi'le'me
烦人很,fan'ren'hen
饭一吃,fan'yi'chi
防洪渠,fang'hong'qu
放虎,fang'hu
放快,fang'kuai
沣东,feng'dong
沣河,feng'he
烽火镇,feng'huo'zhen
枫景苑,feng'jing'yuan
丰裕口,feng'yu'kou
富锦佳苑,fu'jin'jia'yuan
福银高速,fu'yin'gao'su
阜寨,fu'zhai
改作风,gai'zuo'feng
干锅居,gan'guo'ju
泔河,gan'he
干撒捏,gan'sa'nie
干撒着,gan'sa'zhe
干啥着,gan'sha'zhe
干啥着呢,gan'sha'zhe'ne
干什么着呢,gan'shen'me'zhe'ne
高冠瀑布,gao'guan'pu'bu
高很,gao'hen
高家堡,gao'jia'pu
搞笑很,gao'xiao'hen
高兴很,gao'xing'hen
高庄镇,gao'zhuang'zhen
给你不说,gei'ni'bu'shuo
给你教,gei'ni'jiao
给你娃,gei'ni'wa
给我娃,gei'wo'wa
给我一说,gei'wo'yi'shuo
跟你不说了,gen'ni'bu'shuo'le
跟啥一样,gen'sha'yi'yang
公刘街,gong'liu'jie
古渡,gu'du
古渡公园,gu'du'gong'yuan
瓜不,gua'bu
瓜不瓜,gua'bu'gua
瓜很,gua'hen
瓜女子,gua'nv'zi
瓜皮,gua'pi
瓜样子,gua'yang'zi
瓜子娃,gua'zi'wa
乖很,guai'hen
关山牧场,guan'shan'mu'chang
逛不,guang'bu
逛回来,guang'hui'lai
逛几天,guang'ji'tian
逛么,guang'me
逛美了,guang'mei'le
逛去,guang'qu
逛去了,guang'qu'le
贵很,gui'hen
棍棍面,gun'gun'mian
滚些,gun'xie
郭村,guo'cun
郭杜,guo'du
国棉一厂,guo'mian'yi'chang
国润翠湖,guo'run'cui'hu
害怕很,hai'pa'hen
