艾杜糖苷酸酶测定,ai'du'tang'gan'suan'mei'ce'ding
艾杜糖硫酸酯酶测定,ai'du'tang'liu'suan'zhi'mei'ce'ding
埃可病毒核糖核酸检测,ai'ke'bing'du'he'tang'he'suan'jian'ce
胺碘酮测定,an'dian'tong'ce'ding
氨基酸测定,an'ji'suan'ce'ding
氨基糖苷类抗生素耐药检测,an'ji'tang'gan'lei'kang'sheng'su'nai'yao'jian'ce
白细胞分类及形态检查,bai'xi'bao'fen'lei'ji'xing'tai'jian'cha
白细胞介素测定,bai'xi'bao'jie'su'ce'ding
白细胞介素受体测定,bai'xi'bao'jie'su'shou'ti'ce'ding
白细胞黏附试验,bai'xi'bao'nian'fu'shi'yan
白细胞粘附抑制试验,bai'xi'bao'nian'fu'yi'zhi'shi'yan
白细胞杀菌功能试验,bai'xi'bao'sha'jun'gong'neng'shi'yan
白细胞吞噬功能试验,bai'xi'bao'tun'shi'gong'neng'shi'yan
白细胞血小板凝集实验,bai'xi'bao'xue'xiao'ban'ning'ji'shi'yan
白细胞血小板消耗实验,bai'xi'bao'xue'xiao'ban'xiao'hao'shi'yan
白细胞组胺释放试验,bai'xi'bao'zu'an'shi'fang'shi'yan
白血病融合基因检测,bai'xue'bing'rong'he'ji'yin'jian'ce
板层素测定,ban'ceng'su'ce'ding
半乳甘露聚糖检测,ban'ru'gan'lu'ju'tang'jian'ce
半乳糖测定,ban'ru'tang'ce'ding
半乳糖苷酶测定,ban'ru'tang'gan'mei'ce'ding
半乳糖硫酸酯酶测定,ban'ru'tang'liu'suan'zhi'mei'ce'ding
斑疹伤寒杆菌核酸检测,ban'zhen'shang'han'gan'jun'he'suan'jian'ce
孢子丝菌免疫学试验,bao'zi'si'jun'mian'yi'xue'shi'yan
苯巴比妥测定,ben'ba'bi'tuo'ce'ding
苯丙酮尿定性试验,ben'bing'tong'niao'ding'xing'shi'yan
苯丙酮尿症的基因突变检测,ben'bing'tong'niao'zheng'de'ji'yin'tu'bian'jian'ce
苯丙酮酸测定,ben'bing'tong'suan'ce'ding
变应原相关项目测定,bian'ying'yuan'xiang'guan'xiang'mu'ce'ding
病毒核抗原测定,bing'du'he'kang'yuan'ce'ding
病毒检测,bing'du'jian'ce
病毒抗体测定,bing'du'kang'ti'ce'ding
病毒培养鉴定,bing'du'pei'yang'jian'ding
病毒脱氧核糖核酸检测,bing'du'tuo'yang'he'tang'he'suan'jian'ce
病毒脱氧核糖核酸扩增定量检测,bing'du'tuo'yang'he'tang'he'suan'kuo'zeng'ding'liang'jian'ce
病毒脱氧核糖核酸扩增定性检测,bing'du'tuo'yang'he'tang'he'suan'kuo'zeng'ding'xing'jian'ce
病毒衣壳抗体测定,bing'du'yi'ke'kang'ti'ce'ding
病毒衣壳抗原测定,bing'du'yi'ke'kang'yuan'ce'ding
病毒早期抗原测定,bing'du'zao'qi'kang'yuan'ce'ding
病毒中和试验,bing'du'zhong'he'shi'yan
丙型肝炎病毒基因分型检测,bing'xing'gan'yan'bing'du'ji'yin'fen'xing'jian'ce
病原体核糖核酸非扩增定量检测,bing'yuan'ti'he'tang'he'suan'fei'kuo'zeng'ding'liang'jian'ce
病原体核糖核酸非扩增定性检测,bing'yuan'ti'he'tang'he'suan'fei'kuo'zeng'ding'xing'jian'ce
病原体核糖核酸扩增定量检测,bing'yuan'ti'he'tang'he'suan'kuo'zeng'ding'liang'jian'ce
病原体核糖核酸扩增定性检测,bing'yuan'ti'he'tang'he'suan'kuo'zeng'ding'xing'jian'ce
病原体抗原快速检测,bing'yuan'ti'kang'yuan'kuai'su'jian'ce
病原体显色培养及快速鉴定,bing'yuan'ti'xian'se'pei'yang'ji'kuai'su'jian'ding
病原体用药指导的基因检测,bing'yuan'ti'yong'yao'zhi'dao'de'ji'yin'jian'ce
部分凝血活酶时间测定,bu'fen'ning'xue'huo'mei'shi'jian'ce'ding
布鲁菌核酸检测,bu'lu'jun'he'suan'jian'ce
布氏杆菌凝集试验,bu'shi'gan'jun'ning'ji'shi'yan
补体结合试验,bu'ti'jie'he'shi'yan
测定,ce'ding
茶碱测定,cha'jian'ce'ding
产超广谱内酰胺酶测定定量试验,chan'chao'guang'pu'nei'xian'an'mei'ce'ding'ding'liang'shi'yan
产超广谱内酰胺酶定性检测,chan'chao'guang'pu'nei'xian'an'mei'ding'xing'jian'ce
肠道病毒通用型核糖核酸检测,chang'dao'bing'du'tong'yong'xing'he'tang'he'suan'jian'ce
肠道病毒型核糖核酸检测,chang'dao'bing'du'xing'he'tang'he'suan'jian'ce
肠道病原菌培养及鉴定,chang'dao'bing'yuan'jun'pei'yang'ji'jian'ding
肠毒素检测,chang'du'su'jian'ce
肠型脂肪酸结合蛋白测定,chang'xing'zhi'fang'suan'jie'he'dan'bai'ce'ding
出凝血检查,chu'ning'xue'jian'cha
触珠蛋白测定,chu'zhu'dan'bai'ce'ding
穿刺液及引流液常规检查,chuan'ci'ye'ji'yin'liu'ye'chang'gui'jian'cha
雌酮测定,ci'tong'ce'ding
