阿比国民银行,a'bi'guo'min'yin'hang
板块方面,ban'kuai'fang'mian
板块走势,ban'kuai'zou'shi
半年报,ban'nian'bao
半年期,ban'nian'qi
办税大厅,ban'shui'da'ting
办税厅,ban'shui'ting
办税员,ban'shui'yuan
伴随债券,ban'sui'zhai'quan
半值股票,ban'zhi'gu'piao
棒棒糖战略,bang'bang'tang'zhan'lue
帮助投资者,bang'zhu'tou'zi'zhe
报表,bao'biao
报查,bao'cha
报查联,bao'cha'lian
保持利率不变,bao'chi'li'lv'bu'bian
保持良好,bao'chi'liang'hao
报酬,bao'chou
保单,bao'dan
保单持有人,bao'dan'chi'you'ren
保底收益率,bao'di'shou'yi'lv
暴跌,bao'die
暴跌后,bao'die'hou
暴跌时,bao'die'shi
暴跌失败,bao'die'shi'bai
暴跌至,bao'die'zhi
保定天鹅,bao'ding'tian'e
保额,bao'e
爆发,bao'fa
保费,bao'fei
报废,bao'fei
暴富,bao'fu
保付代理,bao'fu'dai'li
保付代理人,bao'fu'dai'li'ren
暴富效应,bao'fu'xiao'ying
报复性反弹,bao'fu'xing'fan'tan
报复性上涨,bao'fu'xing'shang'zhang
保付支票,bao'fu'zhi'piao
包钢,bao'gang
包钢股份,bao'gang'gu'fen
宝钢股份,bao'gang'gu'fen
宝钢认购,bao'gang'ren'gou
包钢转股,bao'gang'zhuan'gu
包钢转债,bao'gang'zhuan'zhai
报告,bao'gao
报告界限,bao'gao'jie'xian
报告期,bao'gao'qi
报告期末,bao'gao'qi'mo
报告请求,bao'gao'qing'qiu
报告在线,bao'gao'zai'xian
保管,bao'guan
保管人,bao'guan'ren
宝光,bao'guang
保函,bao'han
保函开立,bao'han'kai'li
保函业务,bao'han'ye'wu
饱和,bao'he
饱和点,bao'he'dian
保护价,bao'hu'jia
报价,bao'jia
报价电报,bao'jia'dian'bao
报价清单,bao'jia'qing'dan
保监会,bao'jian'hui
保荐制,bao'jian'zhi
宝康灵活配置,bao'kang'ling'huo'pei'zhi
宝康灵活配置证券投资基金,bao'kang'ling'huo'pei'zhi'zheng'quan'tou'zi'ji'jin
宝康配置,bao'kang'pei'zhi
宝康消费,bao'kang'xiao'fei
宝康消费品,bao'kang'xiao'fei'pin
宝康消费品证券投资基金,bao'kang'xiao'fei'pin'zheng'quan'tou'zi'ji'jin
宝康债券,bao'kang'zhai'quan
宝康债券投资基金,bao'kang'zhai'quan'tou'zi'ji'jin
包括但不限于,bao'kuo'dan'bu'xian'yu
包括所属,bao'kuo'suo'shu
保理,bao'li
暴利,bao'li
保理产品,bao'li'chan'pin
保利地产,bao'li'di'chan
保理费率,bao'li'fei'lv
保理服务,bao'li'fu'wu
宝利来,bao'li'lai
保理商,bao'li'shang
保理协议,bao'li'xie'yi
保理业务,bao'li'ye'wu
保理业务量,bao'li'ye'wu'liang
保留利润再投资,bao'liu'li'run'zai'tou'zi
保留退休金权利,bao'liu'tui'xiu'jin'quan'li
保留盈余,bao'liu'ying'yu
保留追索权,bao'liu'zhui'suo'quan
宝龙,bao'long
暴露期权,bao'lu'qi'quan
暴露头寸,bao'lu'tou'cun
包络线,bao'luo'xian
宝瑞通典当行,bao'rui'tong'dian'dang'hang
宝商集团,bao'shang'ji'tuan
暴升,bao'sheng
宝胜股份,bao'sheng'gu'fen
宝生银行,bao'sheng'yin'hang
宝石,bao'shi
宝石动力,bao'shi'dong'li
保守型投资组合,bao'shou'xing'tou'zi'zu'he
保税,bao'shui
报税,bao'shui
保税科技,bao'shui'ke'ji
宝硕股份,bao'shuo'gu'fen
报送相关材料,bao'song'xiang'guan'cai'liao
报送以下材料,bao'song'yi'xia'cai'liao
宝钛股份,bao'tai'gu'fen
包头铝业,bao'tou'lv'ye
保网,bao'wang
保险,bao'xian
保险单贷款,bao'xian'dan'dai'kuan
保险服务,bao'xian'fu'wu
保险公司,bao'xian'gong'si
保险行业,bao'xian'hang'ye
保险经纪,bao'xian'jing'ji
保险市场,bao'xian'shi'chang
保险索赔,bao'xian'suo'pei
保险业,bao'xian'ye
保险业务,bao'xian'ye'wu
保险知识,bao'xian'zhi'shi
保险资金,bao'xian'zi'jin
包销,bao'xiao
包销责任,bao'xiao'ze'ren
宝新能源,bao'xin'neng'yuan
宝信软件,bao'xin'ruan'jian
宝盈策长,bao'ying'ce'chang
宝盈策略,bao'ying'ce'lue
宝盈策略增长股票证券投资基金,bao'ying'ce'lue'zeng'zhang'gu'piao'zheng'quan'tou'zi'ji'jin
宝盈泛沿海,bao'ying'fan'yan'hai
宝盈泛沿海区域增长股票证券投资基金,bao'ying'fan'yan'hai'qu'yu'zeng'zhang'gu'piao'zheng'quan'tou'zi'ji'jin
宝盈鸿利,bao'ying'hong'li
宝盈鸿利收益,bao'ying'hong'li'shou'yi
宝盈鸿利收益证券投资基金,bao'ying'hong'li'shou'yi'zheng'quan'tou'zi'ji'jin
宝盈基金,bao'ying'ji'jin
宝盈基金管理有限公司,bao'ying'ji'jin'guan'li'you'xian'gong'si
宝盈区域,bao'ying'qu'yu
宝盈沿海,bao'ying'yan'hai
宝盈优势,bao'ying'you'shi
宝盈资源,bao'ying'zi'yuan
宝盈资源优选,bao'ying'zi'yuan'you'xuan
报于,bao'yu
保增长,bao'zeng'zhang
爆炸性增长,bao'zha'xing'zeng'zhang
暴涨,bao'zhang
暴涨现象,bao'zhang'xian'xiang
保证金,bao'zheng'jin
保证金贷款,bao'zheng'jin'dai'kuan
保证金额度,bao'zheng'jin'e'du
保证金购买,bao'zheng'jin'gou'mai
保证金交易,bao'zheng'jin'jiao'yi
保证金融资,bao'zheng'jin'rong'zi
保证金台账,bao'zheng'jin'tai'zhang
保证金账户,bao'zheng'jin'zhang'hu
保值,bao'zhi
保值的功能,bao'zhi'de'gong'neng
保值功能,bao'zhi'gong'neng
报纸股票栏,bao'zhi'gu'piao'lan
保值增值,bao'zhi'zeng'zhi
备案,bei'an
被背书人,bei'bei'shu'ren
北部资产,bei'bu'zi'chan
被操纵的市场,bei'cao'zong'de'shi'chang
北辰实业,bei'chen'shi'ye
北大荒,bei'da'huang
被盗,bei'dao
备抵,bei'di
被低估,bei'di'gu
被动防御,bei'dong'fang'yu
被动式管理,bei'dong'shi'guan'li
备兑权证,bei'dui'quan'zheng
贝尔斯登,bei'er'si'deng
北方创业,bei'fang'chuang'ye
北方股份,bei'fang'gu'fen
北方国际,bei'fang'guo'ji
北方金融,bei'fang'jin'rong
北方经济时报,bei'fang'jing'ji'shi'bao
北方期货,bei'fang'qi'huo
北方天鸟,bei'fang'tian'niao
北方万盛,bei'fang'wan'sheng
备付金,bei'fu'jin
备付金存款,bei'fu'jin'cun'kuan
北海港,bei'hai'gang
北海国发,bei'hai'guo'fa
背景,bei'jing
北京巴士,bei'jing'ba'shi
北京城建,bei'jing'cheng'jian
北京城乡,bei'jing'cheng'xiang
北京分行,bei'jing'fen'hang
北京国投,bei'jing'guo'tou
北京华商亨通,bei'jing'hua'shang'heng'tong
北京金币网,bei'jing'jin'bi'wang
北京旅游,bei'jing'lv'you
北京农村商业银行,bei'jing'nong'cun'shang'ye'yin'hang
北京首放,bei'jing'shou'fang
北京首证,bei'jing'shou'zheng
北京新兰德,bei'jing'xin'lan'de
北京银行,bei'jing'yin'hang
被拒,bei'ju
北矿磁材,bei'kuang'ci'cai
北欧银行,bei'ou'yin'hang
被批准,bei'pi'zhun
被迫出售,bei'po'chu'shou
北人股份,bei'ren'gu'fen
被删除数字,bei'shan'chu'shu'zi
北生药业,bei'sheng'yao'ye
被收购了,bei'shou'gou'le
备受市场关注,bei'shou'shi'chang'guan'zhu
背书,bei'shu
背书费,bei'shu'fei
背书人,bei'shu'ren
背书债券,bei'shu'zhai'quan
背书转让,bei'shu'zhuan'rang
贝塔,bei'ta
被套,bei'tao
备忘录,bei'wang'lu
被限制于,bei'xian'zhi'yu
北新建材,bei'xin'jian'cai
北亚,bei'ya
北亚期货,bei'ya'qi'huo
备用费,bei'yong'fei
备用信用证,bei'yong'xin'yong'zheng
本次发行,ben'ci'fa'xing
本地股票,ben'di'gu'piao
本钢板,ben'gang'ban
本钢板材,ben'gang'ban'cai
本机构,ben'ji'gou
本基金,ben'ji'jin
本金,ben'jin
本金安全,ben'jin'an'quan
本金保护,ben'jin'bao'hu
本金收益分配,ben'jin'shou'yi'fen'pei
本年度,ben'nian'du
本票,ben'piao
本期沉没值,ben'qi'chen'mo'zhi
本期收益率,ben'qi'shou'yi'lv
本人,ben'ren
本人委托人,ben'ren'wei'tuo'ren
本人有效证件,ben'ren'you'xiao'zheng'jian
本实,ben'shi
本通知,ben'tong'zhi
本通知单,ben'tong'zhi'dan
本土,ben'tu
本土市场,ben'tu'shi'chang
本土投行,ben'tu'tou'hang
本土优势,ben'tu'you'shi
本土最佳,ben'tu'zui'jia
本息,ben'xi
本意见中,ben'yi'jian'zhong
本周推荐,ben'zhou'tui'jian
崩溃,beng'kui
崩盘,beng'pan
彼得林奇,bi'de'lin'qi
弊端,bi'duan
避风港,bi'feng'gang
比价,bi'jia
比较,bi'jiao
比较悲观,bi'jiao'bei'guan
比较财务报表,bi'jiao'cai'wu'bao'biao
比较合适,bi'jiao'he'shi
比较回报率,bi'jiao'hui'bao'lv
比较平稳,bi'jiao'ping'wen
比较容易处理,bi'jiao'rong'yi'chu'li
比较稳健,bi'jiao'wen'jian
比较有限,bi'jiao'you'xian
比例比率,bi'li'bi'lv
比例尺度,bi'li'chi'du
比例分配法,bi'li'fen'pei'fa
比例配售,bi'li'pei'shou
比利时富通银行,bi'li'shi'fu'tong'yin'hang
比利时联合银行,bi'li'shi'lian'he'yin'hang
比例越高,bi'li'yue'gao
避免出现,bi'mian'chu'xian
避免这类,bi'mian'zhe'lei
比年初增加,bi'nian'chu'zeng'jia
必然联系,bi'ran'lian'xi
比上年,bi'shang'nian
比上年同期,bi'shang'nian'tong'qi
比上年同期增长率,bi'shang'nian'tong'qi'zeng'zhang'lv
避税,bi'shui
避税销售,bi'shui'xiao'shou
毕苏,bi'su
比索,bi'suo
比塔斯,bi'ta'si
笔误,bi'wu
避险效果,bi'xian'xiao'guo
必须购买,bi'xu'gou'mai
必须加快,bi'xu'jia'kuai
必须要付出,bi'xu'yao'fu'chu
必须要有,bi'xu'yao'you
必要回报率,bi'yao'hui'bao'lv
比一季度,bi'yi'ji'du
比一年前,bi'yi'nian'qian
币值,bi'zhi
币种,bi'zhong
比重,bi'zhong
比重达到,bi'zhong'da'dao
比昨天,bi'zuo'tian
遍布世界各地,bian'bu'shi'jie'ge'di
变动,bian'dong
变动范围,bian'dong'fan'wei
变动记录,bian'dong'ji'lu
变动原因,bian'dong'yuan'yin
变更注册,bian'geng'zhu'ce
编号,bian'hao
变化,bian'hua
边际分析,bian'ji'fen'xi
便捷凭证交割服务,bian'jie'ping'zheng'jiao'ge'fu'wu
变量,bian'liang
变卖,bian'mai
变数,bian'shu
变现,bian'xian
便于重组,bian'yu'chong'zu
贬值,bian'zhi
贬值货币,bian'zhi'huo'bi
表格,biao'ge
标金,biao'jin
表面,biao'mian
表明不能,biao'ming'bu'neng
表明去年,biao'ming'qu'nian
标普指数,biao'pu'zhi'shu
标签,biao'qian
飙升,biao'sheng
飚升,biao'sheng
飙升态势,biao'sheng'tai'shi
表示不满,biao'shi'bu'man
表示股票,biao'shi'gu'piao
表示兴趣,biao'shi'xing'qu
表首,biao'shou
标书,biao'shu
表头,biao'tou
表现,biao'xian
表现出,biao'xian'chu
表现淡然,biao'xian'dan'ran
表现得,biao'xian'de
表现活跃,biao'xian'huo'yue
表现机会,biao'xian'ji'hui
表现平平,biao'xian'ping'ping
表现强势,biao'xian'qiang'shi
表现稳定,biao'xian'wen'ding
表现一般,biao'xian'yi'ban
标志性事件,biao'zhi'xing'shi'jian
标注,biao'zhu
标准,biao'zhun
标准贝塔值,biao'zhun'bei'ta'zhi
标准差,biao'zhun'cha
标准成本,biao'zhun'cheng'ben
标准股份,biao'zhun'gu'fen
标准股票,biao'zhun'gu'piao
标准普尔,biao'zhun'pu'er
标准普尔公司,biao'zhun'pu'er'gong'si
标准普尔指数,biao'zhun'pu'er'zhi'shu
标准银行,biao'zhun'yin'hang
标准银行集团,biao'zhun'yin'hang'ji'tuan
滨海能源,bin'hai'neng'yuan
滨州活塞,bin'zhou'huo'sai
并不会很大,bing'bu'hui'hen'da
并不乐观,bing'bu'le'guan
并不了解,bing'bu'liao'jie
并参阅,bing'can'yue
并常常在,bing'chang'chang'zai
并负责,bing'fu'ze
并购策略,bing'gou'ce'lue
并购领域,bing'gou'ling'yu
并购题材,bing'gou'ti'cai
并购战略,bing'gou'zhan'lue
并股,bing'gu
并将结果,bing'jiang'jie'guo
并且使,bing'qie'shi
并任命,bing'ren'ming
病态市场,bing'tai'shi'chang
并填写,bing'tian'xie
并通知,bing'tong'zhi
并未完全达成共识,bing'wei'wan'quan'da'cheng'gong'shi
并无风险提示,bing'wu'feng'xian'ti'shi
冰熊,bing'xiong
并注明,bing'zhu'ming
博博发股票咨询网,bo'bo'fa'gu'piao'zi'xun'wang
波导股份,bo'dao'gu'fen
波动,bo'dong
波动规律,bo'dong'gui'lv
波动率,bo'dong'lv
波动区间,bo'dong'qu'jian
波动性,bo'dong'xing
波动预期,bo'dong'yu'qi
波段操作,bo'duan'cao'zuo
波段调整,bo'duan'tiao'zheng
波段性,bo'duan'xing
伯尔尼联盟,bo'er'ni'lian'meng
波峰,bo'feng
波峰递减,bo'feng'di'jian
拨付,bo'fu
波幅,bo'fu
波谷,bo'gu
渤海投资,bo'hai'tou'zi
渤海物流,bo'hai'wu'liu
渤海银行,bo'hai'yin'hang
渤海证券,bo'hai'zheng'quan
拨回,bo'hui
博汇纸业,bo'hui'zhi'ye
博价值贰,bo'jia'zhi'er
博客,bo'ke
拨款,bo'kuan
博览财经,bo'lan'cai'jing
波浪,bo'lang
剥离出来,bo'li'chu'lai
博瑞传播,bo'rui'chuan'bo
博傻理论,bo'sha'li'lun
博时,bo'shi
博时产业,bo'shi'chan'ye
博时第三产业,bo'shi'di'san'chan'ye
博时第三产业成长股票证券投资基金,bo'shi'di'san'chan'ye'cheng'zhang'gu'piao'zheng'quan'tou'zi'ji'jin
波士顿股票交易所,bo'shi'dun'gu'piao'jiao'yi'suo
波士顿式计息期,bo'shi'dun'shi'ji'xi'qi
博时基金,bo'shi'ji'jin
博时基金管理有限公司,bo'shi'ji'jin'guan'li'you'xian'gong'si
博时价值,bo'shi'jia'zhi
博时价值贰号,bo'shi'jia'zhi'er'hao
博时价值增长,bo'shi'jia'zhi'zeng'zhang
博时价值增长贰号证券投资基金,bo'shi'jia'zhi'zeng'zhang'er'hao'zheng'quan'tou'zi'ji'jin
博时价值增长证券投资基金,bo'shi'jia'zhi'zeng'zhang'zheng'quan'tou'zi'ji'jin
博时精选,bo'shi'jing'xuan
博时精选股票证券投资基金,bo'shi'jing'xuan'gu'piao'zheng'quan'tou'zi'ji'jin
博时平衡,bo'shi'ping'heng
博时平衡配置,bo'shi'ping'heng'pei'zhi
博时平衡配置混合型证券投资基金,bo'shi'ping'heng'pei'zhi'hun'he'xing'zheng'quan'tou'zi'ji'jin
博时特许价值,bo'shi'te'xu'jia'zhi
博时稳定,bo'shi'wen'ding
博时稳定价值,bo'shi'wen'ding'jia'zhi
博时稳定价值债券投资基金,bo'shi'wen'ding'jia'zhi'zhai'quan'tou'zi'ji'jin
博时现金,bo'shi'xian'jin
博时现金收益证券投资基金,bo'shi'xian'jin'shou'yi'zheng'quan'tou'zi'ji'jin
博时新兴成长,bo'shi'xin'xing'cheng'zhang
博时裕富,bo'shi'yu'fu
博时裕富证券投资基金,bo'shi'yu'fu'zheng'quan'tou'zi'ji'jin
博时增长,bo'shi'zeng'zhang
博时债券,bo'shi'zhai'quan
博时主题,bo'shi'zhu'ti
博时主题行业,bo'shi'zhu'ti'hang'ye
博时主题行业股票证券投资基金,bo'shi'zhu'ti'hang'ye'gu'piao'zheng'quan'tou'zi'ji'jin
博田金融网,bo'tian'jin'rong'wang
博闻科技,bo'wen'ke'ji
剥息,bo'xi
剥息抵押证券,bo'xi'di'ya'zheng'quan
博星投资,bo'xing'tou'zi
博讯,bo'xun
博讯投票,bo'xun'tou'piao
博弈,bo'yi
搏弈投资研究中心,bo'yi'tou'zi'yan'jiu'zhong'xin
波音公司,bo'yin'gong'si
博盈投资,bo'ying'tou'zi
拨用,bo'yong
波兹计划,bo'zi'ji'hua
补办,bu'ban
补仓,bu'cang
簿册,bu'ce
补偿,bu'chang
补偿性存款余额,bu'chang'xing'cun'kuan'yu'e
不成功交易,bu'cheng'gong'jiao'yi
不成文法,bu'cheng'wen'fa
补充协议,bu'chong'xie'yi
补充资本金,bu'chong'zi'ben'jin
不错表现,bu'cuo'biao'xian
不错的选择,bu'cuo'de'xuan'ze
不当交割,bu'dang'jiao'ge
不道德,bu'dao'de
不得超过,bu'de'chao'guo
不得低于,bu'de'di'yu
不低于,bu'di'yu
不跌反涨,bu'die'fan'zhang
不定期,bu'ding'qi
不定期调整,bu'ding'qi'tiao'zheng
不动产,bu'dong'chan
不动产抵押投资,bu'dong'chan'di'ya'tou'zi
不动产投资,bu'dong'chan'tou'zi
不动产投资信托,bu'dong'chan'tou'zi'xin'tuo
不断上行,bu'duan'shang'xing
不断刷新,bu'duan'shua'xin
不断提高,bu'duan'ti'gao
不断增仓,bu'duan'zeng'cang
不断增加,bu'duan'zeng'jia
不断增长,bu'duan'zeng'zhang
不断走强,bu'duan'zou'qiang
不法分子,bu'fa'fen'zi
补发卡片,bu'fa'ka'pian
部分个股,bu'fen'ge'gu
部分股份,bu'fen'gu'fen
部分股权,bu'fen'gu'quan
部分行业,bu'fen'hang'ye
部分销售,bu'fen'xiao'shou
部分已缴款股份,bu'fen'yi'jiao'kuan'gu'fen
部分资金,bu'fen'zi'jin
不附法律意见,bu'fu'fa'lv'yi'jian
不附息票,bu'fu'xi'piao
布告,bu'gao
不给贷款,bu'gei'dai'kuan
不公平竞争,bu'gong'ping'jing'zheng
不规范,bu'gui'fan
不规则,bu'gui'ze
不合法,bu'he'fa
不合规活动,bu'he'gui'huo'dong
不会大涨,bu'hui'da'zhang
不会很快,bu'hui'hen'kuai
不会理性,bu'hui'li'xing
不会收取,bu'hui'shou'qu
不活跃,bu'huo'yue
不活跃账户,bu'huo'yue'zhang'hu
不活跃证券,bu'huo'yue'zheng'quan
簿记方程式,bu'ji'fang'cheng'shi
补寄账单,bu'ji'zhang'dan
簿记转账,bu'ji'zhuan'zhang
补价,bu'jia
不见面中介,bu'jian'mian'zhong'jie
不见收益,bu'jian'shou'yi
不洁股票,bu'jie'gu'piao
补进,bu'jin
不谨慎,bu'jin'shen
不仅在,bu'jin'zai
不景气,bu'jing'qi
不具有持续性,bu'ju'you'chi'xu'xing
不看,bu'kan
不看好,bu'kan'hao
不可比,bu'ke'bi
不可撤销,bu'ke'che'xiao
不可撤销信用证,bu'ke'che'xiao'xin'yong'zheng
不可持续的,bu'ke'chi'xu'de
不可分权力,bu'ke'fen'quan'li
不可流通,bu'ke'liu'tong
不可盲目,bu'ke'mang'mu
不可能参与,bu'ke'neng'can'yu
不可调控,bu'ke'tiao'kong
补空,bu'kong
不乐观,bu'le'guan
不利期货合约,bu'li'qi'huo'he'yue
不连续市场,bu'lian'xu'shi'chang
不良贷款,bu'liang'dai'kuan
不良记录,bu'liang'ji'lu
不良资产,bu'liang'zi'chan
不良资产管理,bu'liang'zi'chan'guan'li
补录类,bu'lu'lei
部门,bu'men
部门负责人,bu'men'fu'ze'ren
部门间,bu'men'jian
部门之一,bu'men'zhi'yi
不明确,bu'ming'que
不能办理,bu'neng'ban'li
不能代开,bu'neng'dai'kai
不能贷款,bu'neng'dai'kuan
不能高于,bu'neng'gao'yu
不能获得,bu'neng'huo'de
不能交易,bu'neng'jiao'yi
不能接受,bu'neng'jie'shou
不能作用保证金,bu'neng'zuo'yong'bao'zheng'jin
不便宜,bu'pian'yi
不平静市场,bu'ping'jing'shi'chang
不确定性,bu'que'ding'xing
不容忽视,bu'rong'hu'shi
不容乐观,bu'rong'le'guan
不少散户,bu'shao'san'hu
不少业务,bu'shao'ye'wu
不少专家,bu'shao'zhuan'jia
不升反跌,bu'sheng'fan'die
不是很明显,bu'shi'hen'ming'xian
不收费,bu'shou'fei
不受欢迎,bu'shou'huan'ying
不收取任何费用,bu'shou'qu'ren'he'fei'yong
不受损失,bu'shou'sun'shi
不太感兴趣,bu'tai'gan'xing'qu
补贴,bu'tie
补贴对象,bu'tie'dui'xiang
补贴资金,bu'tie'zi'jin
不同程度的影响,bu'tong'cheng'du'de'ying'xiang
不同风险收益,bu'tong'feng'xian'shou'yi
不同风险收益特征,bu'tong'feng'xian'shou'yi'te'zheng
不同意,bu'tong'yi
不完整登账,bu'wan'zheng'deng'zhang
不违规,bu'wei'gui
不下注储蓄,bu'xia'zhu'chu'xu
不要质押,bu'yao'zhi'ya
不要追涨,bu'yao'zhui'zhang
不宜过多,bu'yi'guo'duo
不宜买进,bu'yi'mai'jin
不易携带交易市场,bu'yi'xie'dai'jiao'yi'shi'chang
不应该以,bu'ying'gai'yi
不予行政处罚,bu'yu'xing'zheng'chu'fa
不愿具名,bu'yuan'ju'ming
不再具有,bu'zai'ju'you
补涨要求,bu'zhang'yao'qiu
不正当谋利,bu'zheng'dang'mou'li
不正当行为,bu'zheng'dang'xing'wei
不知对方,bu'zhi'dui'fang
不直接影响,bu'zhi'jie'ying'xiang
不知晓,bu'zhi'xiao
步骤,bu'zhou
补助金,bu'zhu'jin
补足,bu'zu
财产,cai'chan
财产安全,cai'chan'an'quan
财产保险,cai'chan'bao'xian
财产管理,cai'chan'guan'li
财产资本,cai'chan'zi'ben
财富,cai'fu
财富生活,cai'fu'sheng'huo
财富时报,cai'fu'shi'bao
财付通,cai'fu'tong
财富新闻报,cai'fu'xin'wen'bao
财富增长,cai'fu'zeng'zhang
财富证券,cai'fu'zheng'quan
财富转移,cai'fu'zhuan'yi
彩虹股份,cai'hong'gu'fen
财华网,cai'hua'wang
财经,cai'jing
财经宽网,cai'jing'kuan'wang
