阿城,a'cheng
白仍的,bai'reng'de
保兴乡,bao'xing'xiang
报业网,bao'ye'wang
北安,bei'an
憋挺,bie'ting
别应对,bie'ying'dui
并粉碎,bing'fen'sui
波克酒吧,bo'ke'jiu'ba
不累我,bu'lei'wo
不排名次,bu'pai'ming'ci
不要在意哦,bu'yao'zai'yi'o
策划人,ce'hua'ren
朝阳镇,chao'yang'zhen
晨明镇,chen'ming'zhen
创作了,chuang'zuo'le
此稿,ci'gao
翠峦,cui'luan
翠峦区,cui'luan'qu
大碴粥,da'cha'zhou
大点啊,da'dian'a
大家赚,da'jia'zhuan
大晴川,da'qing'chuan
大上个,da'shang'ge
大丫丫,da'ya'ya
带岭区,dai'ling'qu
带入口,dai'ru'kou
到佳木斯,dao'jia'mu'si
道里,dao'li
到铁力,dao'tie'li
道外,dao'wai
到伊春,dao'yi'chun
的大雪,de'da'xue
德都,de'du
的一条,de'yi'tiao
都怕冷,dou'pa'leng
独孤意,du'gu'yi
多余兄,duo'yu'xiong
二百货,er'bai'huo
放给你们,fang'gei'ni'men
防火办,fang'huo'ban
防火期,fang'huo'qi
风干肠,feng'gan'chang
腹黑吐槽,fu'hei'tu'cao
干家务活了,gan'jia'wu'huo'le
干完家务活,gan'wan'jia'wu'huo
刚才洗衣服,gang'cai'xi'yi'fu
高春,gao'chun
搞收山货,gao'shou'shan'huo
公安就,gong'an'jiu
广播网,guang'bo'wang
哈市,ha'shi
还比较清闲,hai'bi'jiao'qing'xian
还看滑雪,hai'kan'hua'xue
还哦没睡,hai'o'mei'shui
还仍白,hai'reng'bai
还有海南,hai'you'hai'nan
浩良河,hao'liang'he
好死不如,hao'si'bu'ru
鹤北,he'bei
鹤岗,he'gang
黑河市,hei'he'shi
黑建筑,hei'jian'zhu
黑龙江,hei'long'jiang
黑龙江省,hei'long'jiang'sheng
黑龙江省伊春市,hei'long'jiang'sheng'yi'chun'shi
黑龙江伊春,hei'long'jiang'yi'chun
很多游客,hen'duo'you'ke
很有爆发力,hen'you'bao'fa'li
红焖肉,hong'men'rou
红旗小区,hong'qi'xiao'qu
红星区,hong'xing'qu
呼兰,hu'lan
虎力大仙,hu'li'da'xian
花多少啊,hua'duo'shao'a
黄金花园,huang'jin'hua'yuan
回铁力,hui'tie'li
回伊春,hui'yi'chun
活动告诉,huo'dong'gao'su
技惊四座,ji'jing'si'zuo
鸡西,ji'xi
佳大,jia'da
价格掉下来,jia'ge'diao'xia'lai
佳木斯,jia'mu'si
佳木斯大学,jia'mu'si'da'xue
佳木斯的,jia'mu'si'de
佳木斯了,jia'mu'si'le
佳木斯市,jia'mu'si'shi
嘉荫,jia'yin
嘉荫农场,jia'yin'nong'chang
嘉荫县,jia'yin'xian
江苏网,jiang'su'wang
焦点新闻,jiao'dian'xin'wen
金山屯,jin'shan'tun
金山屯区,jin'shan'tun'qu
今天的心情,jin'tian'de'xin'qing
今天真暖和,jin'tian'zhen'nuan'huo
经济网,jing'ji'wang
景色宜人,jing'se'yi'ren
惊天地厉鬼神,jing'tian'di'li'gui'shen
就当旅游,jiu'dang'lv'you
就是格外,jiu'shi'ge'wai
就是来的,jiu'shi'lai'de
看海南,kan'hai'nan
看能不能进去,kan'neng'bu'neng'jin'qu
磕到头,ke'dao'tou
快冬天,kuai'dong'tian
来铁力,lai'tie'li
来伊春,lai'yi'chun
蓝莓干,lan'mei'gan
蓝天白云下,lan'tian'bai'yun'xia
朗乡,lang'xiang
老板霍元甲,lao'ban'huo'yuan'jia
老勾搭,lao'gou'da
老式装修,lao'shi'zhuang'xiu
冷饮厅,leng'yin'ting
礼份子,li'fen'zi
临到月头,lin'dao'yue'tou
林都,lin'du
灵魂忍者,ling'hun'ren'zhe
刘明宇,liu'ming'yu
龙招港,long'zhao'gang
鹿鸣,lu'ming
萝北,luo'bei
萝卜缨,luo'bo'ying
马上就开,ma'shang'jiu'kai
马永顺,ma'yong'shun
麦德士,mai'de'shi
茅兰沟,mao'lan'gou
没地方呆,mei'di'fang'dai
没钓着鱼,mei'diao'zhe'yu
美人给爷笑一个,mei'ren'gei'ye'xiao'yi'ge
美溪,mei'xi
名如其人,ming'ru'qi'ren
木雕园,mu'diao'yuan
木排,mu'pai
那我不白玩,na'wo'bu'bai'wan
那也得下啊,na'ye'de'xia'a
南岔,nan'cha
南岔的,nan'cha'de
南岔区,nan'cha'qu
难道要立志做,nan'dao'yao'li'zhi'zuo
南郡,nan'jun
闹得快,nao'de'kuai
内绒很厚实,nei'rong'hen'hou'shi
能有百十,neng'you'bai'shi
你看过雪,ni'kan'guo'xue
你们生意人,ni'men'sheng'yi'ren
你闹啥心,ni'nao'sha'xin
你写的吗,ni'xie'de'ma
拍摄前,pai'she'qian
跑资金,pao'zi'jin
七公里,qi'gong'li
秦爱疆,qin'ai'jiang
禽兽还禽兽,qin'shou'hai'qin'shou
庆安,qing'an
清泉石上流,qing'quan'shi'shang'liu
去哈尔滨,qu'ha'er'bin
去哈市,qu'ha'shi
去佳木斯,qu'jia'mu'si
去铁力,qu'tie'li
去伊春,qu'yi'chun
全老师,quan'lao'shi
全勇先,quan'yong'xian
热力公司,re'li'gong'si
人工造雪,ren'gong'zao'xue
仍白,reng'bai
日本汽车,ri'ben'qi'che
日月峡,ri'yue'xia
肉食性,rou'shi'xing
森骄,sen'jiao
啥事都行,sha'shi'dou'xing
山东二,shan'dong'er
山货价格表,shan'huo'jia'ge'biao
山货名称,shan'huo'ming'cheng
山特产,shan'te'chan
上甘岭,shang'gan'ling
上甘岭区,shang'gan'ling'qu
上哈尔滨,shang'ha'er'bin
上活,shang'huo
上伊春,shang'yi'chun
市集小冤家,shi'ji'xiao'yuan'jia
是甚么,shi'shen'me
是孙鹏,shi'sun'peng
市伊春,shi'yi'chun
始终没联系,shi'zhong'mei'lian'xi
是最低价了,shi'zui'di'jia'le
