拜赞歌,bai'zan'ge
班丹,ban'dan
超我,chao'wo
超意识,chao'yi'shi
纯真轮,chun'zhen'lun
大能,da'neng
大同轮,da'tong'lun
导师原理,dao'shi'yuan'li
顶轮,ding'lun
额轮,e'lun
梵脉,fan'mai
梵文口诀,fan'wen'kou'jue
梵穴,fan'xue
腹轮,fu'lun
格尼莎,ge'ni'sha
根轮,gen'lun
喉轮,hou'lun
幻海,huan'hai
火祭,huo'ji
集体超意识,ji'ti'chao'yi'shi
集体超意识领域,ji'ti'chao'yi'shi'ling'yu
集体潜意识,ji'ti'qian'yi'shi
集体潜意识领域,ji'ti'qian'yi'shi'ling'yu
集体无意识,ji'ti'wu'yi'shi
集体无意识领域,ji'ti'wu'yi'shi'ling'yu
集体意识,ji'ti'yi'shi
假我,jia'wo
浸脚法,jin'jiao'fa
精微,jing'wei
肯定语句,ken'ding'yu'ju
宽恕轮,kuan'shu'lun
莲足,lian'zu
凉意,liang'yi
灵魂,ling'hun
灵量,ling'liang
灵体,ling'ti
灵体保护,ling'ti'bao'hu
灵性,ling'xing
脉轮,mai'lun
明善轮,ming'shan'lun
沐足,mu'zu
柠檬辣椒法,ning'meng'la'jiao'fa
泡脚法,pao'jiao'fa
普祭,pu'ji
脐轮,qi'lun
千瓣莲花,qian'ban'lian'hua
潜意识,qian'yi'shi
清凉,qing'liang
清凉风,qing'liang'feng
确定语句,que'ding'yu'ju
仁爱轮,ren'ai'lun
人体精微能量系统,ren'ti'jing'wei'neng'liang'xi'tong
日轮,ri'lun
三摩地,san'mo'di
霎哈嘉,sha'ha'jia
霎哈嘉瑜伽,sha'ha'jia'yu'jia
上天大能,shang'tian'da'neng
上天无所不在的浩爱力量,shang'tian'wu'suo'bu'zai'de'hao'ai'li'liang
烧绳法,shao'sheng'fa
烧纸法,shao'zhi'fa
神祇,shen'qi
生命能量,sheng'ming'neng'liang
太初之母,tai'chu'zhi'mu
提升灵量,ti'sheng'ling'liang
无念,wu'nian
无念三摩地,wu'nian'san'mo'di
无思虑的觉醒,wu'si'lv'de'jue'xing
无思虑的入静,wu'si'lv'de'ru'jing
无疑惑的觉醒,wu'yi'huo'de'jue'xing
无疑惑的入静,wu'yi'huo'de'ru'jing
无疑三摩地,wu'yi'san'mo'di
无意识,wu'yi'shi
锡吕玛塔吉,xi'lv'ma'ta'ji
鞋打法,xie'da'fa
心轮,xin'lun
烟熏法,yan'xun'fa
阳脉,yang'mai
阴脉,yin'mai
右脉,you'mai
浴足,yu'zu
原始宗师,yuan'shi'zong'shi
月轮,yue'lun
真我,zhen'wo
真知轮,zhen'zhi'lun
正道轮,zheng'dao'lun
知觉,zhi'jue
中脉,zhong'mai
烛光法,zhu'guang'fa
自觉,zi'jue
自觉轮,zi'jue'lun
自我,zi'wo
左脉,zuo'mai
