滨崎,bin'qi
澈水,che'shui
辰风,chen'feng
渡刃,du'ren
丰川长老,feng'chuan'zhang'lao
风间,feng'jian
韩彩翼,han'cai'yi
鹤田长老,he'tian'zhang'lao
虎王,hu'wang
皇甫成,huang'fu'cheng
加护,jia'hu
京野暗心,jing'ye'an'xin
久里,jiu'li
柯烈,ke'lie
冷冰蓝,leng'bing'lan
冷锋,leng'feng
黎安,li'an
林可依,lin'ke'yi
陆毅晨,lu'yi'chen
幕神,mu'shen
南宫凝为,nan'gong'ning'wei
内藤长老,nei'teng'zhang'lao
若松,ruo'song
森嘉紫幽,sen'jia'zi'you
圣光白虎,sheng'guang'bai'hu
狮王,shi'wang
四代狼后,si'dai'lang'hou
四代狼王,si'dai'lang'wang
斯美,si'mei
藤原长老,teng'yuan'zhang'lao
小跟班,xiao'gen'ban
小林,xiao'lin
血魅傲雪,xue'mei'ao'xue
银暖薰,yin'nuan'xun
