安全带,an'quan'dai
安全等级,an'quan'deng'ji
安全度,an'quan'du
安全防护系统安全防护系统,an'quan'fang'hu'xi'tong'an'quan'fang'hu'xi'tong
安全荷载系数,an'quan'he'zai'xi'shu
安全净距,an'quan'jing'ju
安全净空高度,an'quan'jing'kong'gao'du
安全气囊防护系统,an'quan'qi'nang'fang'hu'xi'tong
安全系数,an'quan'xi'shu
安全载重,an'quan'zai'zhong
安全载重安全负荷,an'quan'zai'zhong'an'quan'fu'he
安装预应力安装预应力,an'zhuang'yu'ying'li'an'zhuang'yu'ying'li
凹面,ao'mian
板单元板单元,ban'dan'yuan'ban'dan'yuan
半反射器,ban'fan'she'qi
半径,ban'jing
板壳非线性力学,ban'ke'fei'xian'xing'li'xue
板壳力学,ban'ke'li'xue
板梁,ban'liang
伴流横向力,ban'liu'heng'xiang'li
半水化热石膏,ban'shui'hua're'shi'gao
半塑性状态,ban'su'xing'zhuang'tai
板箱梁,ban'xiang'liang
板振捣器,ban'zhen'dao'qi
板桩,ban'zhuang
板桩围堰,ban'zhuang'wei'yan
饱和,bao'he
饱和密度,bao'he'mi'du
被动土压力,bei'dong'tu'ya'li
被动土压力系数,bei'dong'tu'ya'li'xi'shu
倍精度浮点宏指令,bei'jing'du'fu'dian'hong'zhi'ling
背立面图,bei'li'mian'tu
本构模型本构模型,ben'gou'mo'xing'ben'gou'mo'xing
本构模型屈服面,ben'gou'mo'xing'qu'fu'mian
比徐变,bi'xu'bian
边界条件,bian'jie'tiao'jian
边坡,bian'po
变坡点反弯点裂点,bian'po'dian'fan'wan'dian'lie'dian
扁千斤顶,bian'qian'jin'ding
便桥,bian'qiao
变位,bian'wei
变形,bian'xing
变形后未变形的形状,bian'xing'hou'wei'bian'xing'de'xing'zhuang
变形力,bian'xing'li
变形验算,bian'xing'yan'suan
边缘概率分布,bian'yuan'gai'lv'fen'bu
边中跨径边中跨径,bian'zhong'kua'jing'bian'zhong'kua'jing
标定,biao'ding
表结构形式,biao'jie'gou'xing'shi
标准高程高程控制点,biao'zhun'gao'cheng'gao'cheng'kong'zhi'dian
标准公路等级代码,biao'zhun'gong'lu'deng'ji'dai'ma
标准值,biao'zhun'zhi
标准重力加速度,biao'zhun'zhong'li'jia'su'du
冰河床,bing'he'chuang
冰塔,bing'ta
冰推力冰压力冰壅,bing'tui'li'bing'ya'li'bing'yong
冰压力,bing'ya'li
铂电阻温度计,bo'dian'zu'wen'du'ji
剥落混凝土,bo'luo'hun'ning'tu
波数折减系数,bo'shu'zhe'jian'xi'shu
泊松比,bo'song'bi
泊松比测量仪,bo'song'bi'ce'liang'yi
泊松比修正,bo'song'bi'xiu'zheng
波纹管涵,bo'wen'guan'han
不定结构超静定结构,bu'ding'jie'gou'chao'jing'ding'jie'gou
不腐蚀的,bu'fu'shi'de
不均匀粒度骨料,bu'jun'yun'li'du'gu'liao
不可避免,bu'ke'bi'mian
不可靠度,bu'ke'kao'du
不耐久性,bu'nai'jiu'xing
不依赖,bu'yi'lai
不依赖的,bu'yi'lai'de
不依赖空气推进非大気依存推进,bu'yi'lai'kong'qi'tui'jin'fei'da'qi'yi'cun'tui'jin
菜单实用程序,cai'dan'shi'yong'cheng'xu
材料力学,cai'liao'li'xue
参考点,can'kao'dian
参考轴,can'kao'zhou
残余应力,can'yu'ying'li
残余应力场,can'yu'ying'li'chang
舱顶板,cang'ding'ban
槽钢,cao'gang
侧腹板,ce'fu'ban
测力法,ce'li'fa
测量学,ce'liang'xue
插值,cha'zhi
插值表,cha'zhi'biao
插值法,cha'zhi'fa
颤振,chan'zhen
常微分方程,chang'wei'fen'fang'cheng
常微分方程次数,chang'wei'fen'fang'cheng'ci'shu
