白细胞分类及形态检查,bai'xi'bao'fen'lei'ji'xing'tai'jian'cha
全血细胞计数分类检测,quan'xue'xi'bao'ji'shu'fen'lei'jian'ce
全血细胞计数分群检测,quan'xue'xi'bao'ji'shu'fen'qun'jian'ce
嗜碱性点彩红细胞计数,shi'jian'xing'dian'cai'hong'xi'bao'ji'shu
嗜碱性粒细胞直接计数,shi'jian'xing'li'xi'bao'zhi'jie'ji'shu
嗜酸性粒细胞直接计数,shi'suan'xing'li'xi'bao'zhi'jie'ji'shu
网织红细胞分类,wang'zhi'hong'xi'bao'fen'lei
网织红细胞分析,wang'zhi'hong'xi'bao'fen'xi
网织红细胞计数百分数,wang'zhi'hong'xi'bao'ji'shu'bai'fen'shu
网织红细胞绝对数,wang'zhi'hong'xi'bao'jue'dui'shu
网织红细胞血红蛋白含量,wang'zhi'hong'xi'bao'xue'hong'dan'bai'han'liang
异常红细胞形态检查,yi'chang'hong'xi'bao'xing'tai'jian'cha
