安知非人之谮诉,an'zhi'fei'ren'zhi'zen'su
半丝半缕,ban'si'ban'lv
报在妻女,bao'zai'qi'nv
婢美妾娇,bi'mei'qie'jiao
必亲自检点,bi'qin'zi'jian'dian
便是大恶,bian'shi'da'e
薄父母,bo'fu'mu
不成人子,bu'cheng'ren'zi
不可生妒忌心,bu'ke'sheng'du'ji'xin
不可生喜幸心,bu'ke'sheng'xi'xing'xin
不是真善,bu'shi'zhen'shan
处世戒多言,chu'shi'jie'duo'yan
当忍耐三思,dang'ren'nai'san'si
当思来处不易,dang'si'lai'chu'bu'yi
得意不宜再往,de'yi'bu'yi'zai'wang
读书志在圣贤,du'shu'zhi'zai'sheng'xian
恶恐人知,e'kong'ren'zhi
凡事当留余地,fan'shi'dang'liu'yu'di
非闺房之福,fei'gui'fang'zhi'fu
非徒科第,fei'tu'ke'di
福变为祸兆,fu'bian'wei'huo'zhao
富贵直到老,fu'gui'zhi'dao'lao
乖骨肉,guai'gu'rou
乖僻自是,guai'pi'zi'shi
关锁门户,guan'suo'men'hu
国课早完,guo'ke'zao'wan
恒念物力维艰,heng'nian'wu'li'wei'jian
悔误必多,hui'wu'bi'duo
祸延子孙,huo'yan'zi'sun
祸转为福报,huo'zhuan'wei'fu'bao
既昏便息,ji'hun'bian'xi
即囊橐无余,ji'nang'tuo'wu'yu
祭祀不可不诚,ji'si'bu'ke'bu'cheng
吉凶惟人召,ji'xiong'wei'ren'zhao
急则可相依,ji'ze'ke'xiang'yi
家道难成,jia'dao'nan'cheng
家门和顺,jia'men'he'shun
嫁女择佳婿,jia'nv'ze'jia'xu
见富贵而生谄容者,jian'fu'gui'er'sheng'chan'rong'zhe
贱莫甚,jian'mo'shen
见穷苦亲邻,jian'qiong'ku'qin'lin
见色而起淫心,jian'se'er'qi'yin'xin
教子要有义方,jiao'zi'yao'you'yi'fang
经书不可不读,jing'shu'bu'ke'bu'du
久必受其累,jiu'bi'shou'qi'lei
居家戒争讼,ju'jia'jie'zheng'song
居身务期质朴,ju'shen'wu'qi'zhi'pu
刻薄成家,ke'bo'cheng'jia
立见消亡,li'jian'xiao'wang
黎明即起,li'ming'ji'qi
理无久享,li'wu'jiu'xiang
伦常乖舛,lun'chang'guai'chuan
命好心不好,ming'hao'xin'bu'hao
命实造于心,ming'shi'zao'yu'xin
匿怨而用暗箭,ni'yuan'er'yong'an'jian
岂计身家,qi'ji'shen'jia
器具质而洁,qi'ju'zhi'er'jie
妻妾切忌艳妆,qi'qie'qie'ji'yan'zhuang
岂是丈夫,qi'shi'zhang'fu
轻听发言,qing'ting'fa'yan
娶媳求淑女,qu'xi'qiu'shu'nv
屈志老成,qu'zhi'lao'cheng
人有祸患,ren'you'huo'huan
人有喜庆,ren'you'xi'qing
洒扫庭除,sa'sao'ting'chu
三姑六婆,san'gu'liu'po
善欲人见,shan'yu'ren'jian
施惠无念,shi'hui'wu'nian
实淫盗之媒,shi'yin'dao'zhi'mei
受恩莫忘,shou'en'mo'wang
守分安命,shou'fen'an'ming
庶乎近焉,shu'hu'jin'yan
顺时听天,shun'shi'ting'tian
讼则终凶,song'ze'zhong'xiong
虽饔飧不济,sui'yong'sun'bu'ji
天地自相保,tian'di'zi'xiang'bao
听妇言,ting'fu'yan
童仆勿用俊美,tong'pu'wu'yong'jun'mei
颓惰自甘,tui'duo'zi'gan
瓦缶胜金玉,wa'fou'sheng'jin'yu
为官心存君国,wei'guan'xin'cun'jun'guo
为人若此,wei'ren'ruo'ci
勿计厚奁,wu'ji'hou'lian
毋临渴而掘井,wu'lin'ke'er'jue'jing
勿谋良田,wu'mou'liang'tian
勿恃势力而凌逼孤寡,wu'shi'shi'li'er'ling'bi'gu'gua
毋索重聘,wu'suo'zhong'pin
毋贪口腹而恣杀生禽,wu'tan'kou'fu'er'zi'sha'sheng'qin
勿贪意外之财,wu'tan'yi'wai'zhi'cai
勿饮过量之酒,wu'yin'guo'liang'zhi'jiu
勿营华屋,wu'ying'hua'wu
毋占便宜,wu'zhan'pian'yi
狎昵恶少,xia'ni'e'shao
心好命不好,xin'hao'ming'bu'hao
心好命又好,xin'hao'ming'you'hao
心可挽乎命,xin'ke'wan'hu'ming
信命不修心,xin'ming'bu'xiu'xin
心命俱不好,xin'ming'ju'bu'hao
兄弟叔侄,xiong'di'shu'zhi
修心一听命,xiu'xin'yi'ting'ming
须分多润寡,xu'fen'duo'run'gua
须加温恤,xu'jia'wen'xu
须平心暗想,xu'ping'xin'an'xiang
言多必失,yan'duo'bi'shi
宴客切勿流连,yan'ke'qie'wu'liu'lian
焉知非我之不是,yan'zhi'fei'wo'zhi'bu'shi
要内外整洁,yao'nei'wai'zheng'jie
宜法肃辞严,yi'fa'su'ci'yan
宜未雨而绸缪,yi'wei'yu'er'chou'mou
亦有余欢,yi'you'yu'huan
一粥一饭,yi'zhou'yi'fan
因事相争,yin'shi'xiang'zheng
饮食约而精,yin'shi'yue'er'jing
阴阳恐虚矫,yin'yang'kong'xu'jiao
与肩挑贸易,yu'jian'tiao'mao'yi
遇贫穷而作骄态者,yu'pin'qiong'er'zuo'jiao'tai'zhe
园蔬愈珍馐,yuan'shu'yu'zhen'xiu
遭殃且贫夭,zao'yang'qie'pin'yao
长幼内外,zhang'you'nei'wai
重资财,zhong'zi'cai
自得至乐,zi'de'zhi'le
自奉必须俭约,zi'feng'bi'xu'jian'yue
子孙虽愚,zi'sun'sui'yu
祖宗虽远,zu'zong'sui'yuan
最可耻,zui'ke'chi
最要存仁道,zui'yao'cun'ren'dao
