阿鼻地獄也叫無間地獄,a'bi'di'yu'ye'jiao'mo'jian'di'yu
阿闍王子和,a'du'wang'zi'he
阿彌陀佛,a'mi'tuo'fo
阿彌陀佛的,a'mi'tuo'fo'de
阿彌陀佛一樣相同,a'mi'tuo'fo'yi'yang'xiang'tong
廣修供養懺悔業障,an'xiu'gong'yang'chan'hui'ye'zhang
安住在了一切功德法中,an'zhu'zai'le'yi'qie'gong'de'fa'zhong
八地菩薩還模模糊糊,ba'di'pu'sa'huan'mo'mo'hu'hu
把莫須有的罪名,ba'mo'xu'you'de'zui'ming
八萬四千門,ba'wan'si'qian'men
白是刺猬,bai'shi'ci'wei
被弘誓鎧,bei'hong'shi'kai
本不動搖,ben'bu'dong'yao
本來無一物,ben'lai'mo'yi'wu
本師釋迦牟尼佛,ben'shi'shi'jia'mou'ni'fo
本自具足能生萬法,ben'zi'ju'zu'neng'sheng'wan'fa
本自清淨,ben'zi'qing'jing
比我們地球上,bi'wo'men'di'qiu'shang
徧照十方國,bian'zhao'shi'fang'guo
波羅密多,bo'luo'mi'duo
不動地那才是,bu'dong'di'na'cai'shi
不可以少善根福德因緣,bu'ke'yi'shao'shan'gen'fu'de'yin'yuan
不會用的你處處都成障,bu'kuai'yong'de'ni'chu'chu'dou'cheng'zhang
不起貪瞋癡欲諸想了,bu'qi'tan'chen'chi'yu'zhu'xiang'le
不如堅勇求正覺,bu'ru'jian'yong'qiu'zheng'jue
不知道修了,bu'zhi'dao'xiu'le
不著色聲香味觸法了,bu'zhu'se'sheng'xiang'wei'chu'fa'le
參加什麼三壇大戒,cen'jia'shi'mo'san'tan'da'jie
常是蟒蛇,chang'shi'mang'she
常隨佛學恆順眾生,chang'sui'fo'xue'heng'shun'zhong'sheng
乘佛威德悉能超,cheng'fo'wei'de'xi'neng'chao
成住壞空的,cheng'zhu'huai'kong'de
舂米,chong'mi
臭皮囊了,chou'pi'nang'le
大目犍連在佛的弟子當中,da'mu'jian'lian'zai'fo'de'di'zi'dang'zhong
導歸極樂,dao'gui'ji'yue
忉利天宮,dao'li'tian'gong
得到的身體都具足,de'dao'de'shen'ti'dou'ju'zu
得生彼國,de'sheng'bi'guo
的因緣成熟了,de'yin'yuan'cheng'shu'le
第二層天地居天,di'er'ceng'tian'di'ju'tian
地藏王菩薩的前身,di'zang'wang'pu'sa'de'qian'shen
定在了,ding'zai'le
都被那個數,dou'bei'na'ge'shuo
都是有生老病死,dou'shi'you'sheng'lao'bing'si
度碟就像現在我們說的,du'die'jiu'xiang'xian'zai'wo'men'shuo'de
端正淨潔悉同一類,duan'zheng'jing'jie'xi'tong'yi'lei
對父母不孝篡奪王位,dui'fu'mu'bu'xiao'cuan'duo'wang'wei
多少劫這修十信位啊,duo'shao'jie'zhe'xiu'shi'xin'wei'a
而且極圓極頓,er'qie'ji'yuan'ji'dun
二十五種圓通,er'shi'wu'zhong'yuan'tong
法華秘髓,fa'hua'mi'sui
法門無量誓願學,fa'men'mo'liang'shi'yuan'xue
發願求生極樂世界,fa'yuan'qiu'sheng'ji'yue'shi'jie
法者正也僧者淨也,fa'zhe'zheng'ye'seng'zhe'jing'ye
煩惱無盡誓願斷,fan'nao'mo'jin'shi'yuan'duan
凡聖齊收,fan'sheng'qi'shou
凡所有相皆是虛妄,fan'suo'you'xiang'jie'shi'xu'wang
佛道無上誓願成,fo'dao'mo'shang'shi'yuan'cheng
佛的教戒之中了,fo'de'jiao'jie'zhi'zhong'le
佛法到末梢了,fo'fa'dao'mo'shao'le
佛講得很清楚,fo'jiang'de'hen'qing'chu
佛講經說法,fo'jiang'jing'shuo'fa
佛教給我們四依法,fo'jiao'gei'wo'men'si'yi'fa
佛經就是自性,fo'jing'jiu'shi'zi'xing
佛經你不懂,fo'jing'ni'bu'dong
佛是眞語者,fo'shi'zhen'yu'zhe
佛者覺也,fo'zhe'jue'ye
該講金剛經的時候,gai'jiang'jin'gang'jing'de'shi'hou
感覺不到,gan'jue'bu'dao
給廣大眾生,gei'an'da'zhong'sheng
給你講金剛經,gei'ni'jiang'jin'gang'jing
給你講七處征心,gei'ni'jiang'qi'chu'zheng'xin
給你講五十種陰魔,gei'ni'jiang'wu'shi'zhong'yin'mo
跟斗十萬八千里,gen'dou'shi'wan'ba'qian'li
公元前秦始皇前面,gong'yuan'qian'qin'shi'huang'qian'mian
古今將相在何方,gu'jin'jiang'xiang'zai'he'fang
關鍵就是,guan'jian'jiu'shi
觀無量壽佛經裡面,guan'mo'liang'shou'fo'jing'li'mian
光明從口出,guang'ming'zong'kou'chu
光中極尊佛中之王,guang'zhong'ji'zun'fo'zhong'zhi'wang
軌範師,gui'fan'shi
過去很多人,guo'qu'hen'duo'ren
喊破喉嚨也枉然,han'po'hou'long'ye'wang'ran
罕一得道,han'yi'de'dao
何處惹塵埃,he'chu're'chen'ai
和光同塵,he'guang'tong'chen
很容易心外求法,hen'rong'yi'xin'wai'qiu'fa
宏深誓願,hong'shen'shi'yuan
後生無量壽國,hou'sheng'mo'liang'shou'guo
胡是狐狸,hu'shi'hu'li
花開見佛,hua'kai'xian'fo
華嚴奧藏,hua'yan'ao'cang
華嚴經中,hua'yan'jing'zhong
還有印刷術,huan'you'yin'shua'shu
黃是黃鼠狼,huang'shi'huang'shu'lang
荒冢一堆草沒了,huang'zhong'yi'dui'cao'mo'le
墮到最苦的地獄,hui'dao'zui'ku'de'di'yu
慧劍斬心魔,hui'jian'zhan'xin'mo
激光照排的印刷術,ji'guang'zhao'pai'de'yin'shua'shu
極圓圓滿到了極處,ji'yuan'yuan'man'dao'le'ji'chu
即證不退位,ji'zheng'bu'tui'wei
即自悔過為道作善,ji'zi'hui'guo'wei'dao'zuo'shan
加到你頭上,jia'dao'ni'tou'shang
假令供養恆沙聖,jia'ling'gong'yang'heng'sha'sheng
假使大火滿三千,jia'shi'da'huo'man'san'qian
迦葉微笑,jia'ye'wei'xiao
建立極樂世界,jian'li'ji'yue'shi'jie
講經說法,jiang'jing'shuo'fa
講四種清淨明誨,jiang'si'zhong'qing'jing'ming'hui
叫大千世界,jiao'da'qian'shi'jie
