爱因斯坦,ai'yin'si'tan
巴黎工人起义和巴黎公社,ba'li'gong'ren'qi'yi'he'ba'li'gong'she
保持事物质的稳定性,bao'chi'shi'wu'zhi'de'wen'ding'xing
暴力革命只是偶然的辅助形式,bao'li'ge'ming'zhi'shi'ou'ran'de'fu'zhu'xing'shi
被压迫阶级的思想,bei'ya'po'jie'ji'de'si'xiang
本企业工人的必要劳动,ben'qi'ye'gong'ren'de'bi'yao'lao'dong
本企业工人的剩余劳动,ben'qi'ye'gong'ren'de'sheng'yu'lao'dong
本质和现象的关系,ben'zhi'he'xian'xiang'de'guan'xi
本质联系,ben'zhi'lian'xi
必然联系,bi'ran'lian'xi
必然性,bi'ran'xing
必要的物质手段和条件,bi'yao'de'wu'zhi'shou'duan'he'tiao'jian
必要劳动和剩余劳动,bi'yao'lao'dong'he'sheng'yu'lao'dong
变化,bian'hua
变是绝对的不变是相对的,bian'shi'jue'dui'de'bu'bian'shi'xiang'dui'de
变与不变是绝对对立的,bian'yu'bu'bian'shi'jue'dui'dui'li'de
辩证法,bian'zheng'fa
辩证法的观点,bian'zheng'fa'de'guan'dian
辩证法的基石,bian'zheng'fa'de'ji'shi
辩证法与形而上学的对立,bian'zheng'fa'yu'xing'er'shang'xue'de'dui'li
辩证唯物主义,bian'zheng'wei'wu'zhu'yi
辩证唯物主义的观点,bian'zheng'wei'wu'zhu'yi'de'guan'dian
辩证唯物主义的真理观,bian'zheng'wei'wu'zhu'yi'de'zhen'li'guan
辩证唯物主义和历史唯物主义,bian'zheng'wei'wu'zhu'yi'he'li'shi'wei'wu'zhu'yi
辩证唯物主义理解,bian'zheng'wei'wu'zhu'yi'li'jie
辩证唯物主义认识论特有的原则,bian'zheng'wei'wu'zhu'yi'ren'shi'lun'te'you'de'yuan'ze
辩证唯物主义唯一正确的观点,bian'zheng'wei'wu'zhu'yi'wei'yi'zheng'que'de'guan'dian
表明物质决定意识,biao'ming'wu'zhi'jue'ding'yi'shi
博大精深,bo'da'jing'shen
不可知论,bu'ke'zhi'lun
不可知论的观点,bu'ke'zhi'lun'de'guan'dian
不受必然性制约的创造性活动,bu'shou'bi'ran'xing'zhi'yue'de'chuang'zao'xing'huo'dong
参与制形式,can'yu'zhi'xing'shi
产品的分配和交换,chan'pin'de'fen'pei'he'jiao'huan
产品的分配形式,chan'pin'de'fen'pei'xing'shi
超额利润,chao'e'li'run
超额剩余价值,chao'e'sheng'yu'jia'zhi
承认普遍联系的辩证法观点,cheng'ren'pu'bian'lian'xi'de'bian'zheng'fa'guan'dian
承认世界的本原是物质的,cheng'ren'shi'jie'de'ben'yuan'shi'wu'zhi'de
承认物质对意识的根源性,cheng'ren'wu'zhi'dui'yi'shi'de'gen'yuan'xing
抽象到具体,chou'xiang'dao'ju'ti
抽象与具体,chou'xiang'yu'ju'ti
抽象与具体的关系,chou'xiang'yu'ju'ti'de'guan'xi
处理阶级关系的实践,chu'li'jie'ji'guan'xi'de'shi'jian
处理社会关系的实践,chu'li'she'hui'guan'xi'de'shi'jian
处理社会关系实践的活动,chu'li'she'hui'guan'xi'shi'jian'de'huo'dong
传统观念,chuan'tong'guan'nian
创新,chuang'xin
垂直形式,chui'zhi'xing'shi
纯粹的否定,chun'cui'de'fou'ding
纯粹是偶然的,chun'cui'shi'ou'ran'de
从实际出发实事求是,cong'shi'ji'chu'fa'shi'shi'qiu'shi
从实践中得出可靠的结论,cong'shi'jian'zhong'de'chu'ke'kao'de'jie'lun
存在就是被感知,cun'zai'jiu'shi'bei'gan'zhi
达尔文,da'er'wen
大卫李嘉图和西斯蒙第,da'wei'li'jia'tu'he'xi'si'meng'di
单选题,dan'xuan'ti
党的八大,dang'de'ba'da
党的十一届三中全会,dang'de'shi'yi'jie'san'zhong'quan'hui
道德伦理,dao'de'lun'li
德国古典哲学,de'guo'gu'dian'zhe'xue
邓小平理论,deng'xiao'ping'li'lun
迪迪艾伦,di'di'ai'lun
地理条件,di'li'tiao'jian
动是必然的静是偶然的,dong'shi'bi'ran'de'jing'shi'ou'ran'de
动是静的原因静是动的结果,dong'shi'jing'de'yuan'yin'jing'shi'dong'de'jie'guo
都是诡辩论的观点,dou'shi'gui'bian'lun'de'guan'dian
斗争性,dou'zheng'xing
独立宣言,du'li'xuan'yan
