安居工程,an'ju'gong'cheng
百佳超市,bai'jia'chao'shi
白马乡,bai'ma'xiang
半脑子,ban'nao'zi
板桥乡,ban'qiao'xiang
半晚上,ban'wan'shang
北头,bei'tou
北庄,bei'zhuang
不敢撒,bu'gan'sa
不木,bu'mu
不片,bu'pian
不着我,bu'zhao'wo
不知道木,bu'zhi'dao'mu
采二,cai'er
蔡家庙,cai'jia'miao
曾的,ceng'de
长庆,chang'qing
长庆南路,chang'qing'nan'lu
长庆桥,chang'qing'qiao
长庆油田,chang'qing'you'tian
车砭,che'bian
车道乡,che'dao'xiang
陈户,chen'hu
城壕,cheng'hao
赤城乡,chi'cheng'xiang
吃饭这里,chi'fan'zhei'li
吃这里,chi'zhei'li
处理完成,chu'li'wan'cheng
大凤川,da'feng'chuan
大庄,da'zhuang
蛋蛋娃,dan'dan'wa
到西峰,dao'xi'feng
等干,deng'gan
底哈,di'ha
东湖公园,dong'hu'gong'yuan
董家滩,dong'jia'tan
冬天里的白玫瑰,dong'tian'li'de'bai'mei'gui
董志,dong'zhi
董志镇,dong'zhi'zhen
对这里,dui'zhei'li
多这里,duo'zhei'li
二杆子,er'gan'zi
樊家川,fan'jia'chuan
放哈,fang'ha
方山乡,fang'shan'xiang
费钱的,fei'qian'de
干传,gan'chuan
干撒着呢,gan'sa'zhe'ne
干撒这里,gan'sa'zhei'li
干啥这里,gan'sha'zhei'li
甘肃,gan'su
甘肃庆阳,gan'su'qing'yang
甘肃省,gan'su'sheng
甘肃省庆阳市,gan'su'sheng'qing'yang'shi
甘肃移动,gan'su'yi'dong
高楼乡,gao'lou'xiang
给咋们,gei'za'men
狗骗,gou'pian
沟圈,gou'quan
固井,gu'jing
瓜菜,gua'cai
瓜蛋,gua'dan
瓜女子,gua'nv'zi
乖滴,guai'di
乖着吗,guai'zhe'ma
广场路,guang'chang'lu
逛街到,guang'jie'dao
过西峰,guo'xi'feng
郭原,guo'yuan
哈来了,ha'lai'le
好好哈,hao'hao'ha
好看这里,hao'kan'zhei'li
昊鑫,hao'xin
好着不,hao'zhe'bu
好着吗,hao'zhe'ma
好着尼,hao'zhe'ni
好这里,hao'zhei'li
合道,he'dao
合道乡,he'dao'xiang
何家畔,he'jia'pan
和盛,he'sheng
和盛镇,he'sheng'zhen
合水,he'shui
合水县,he'shui'xian
河庄坪,he'zhuang'ping
黑兰州,hei'lan'zhou
很木,hen'mu
红尘情缘,hong'chen'qing'yuan
洪德,hong'de
后官寨,hou'guan'zhai
户户通,hu'hu'tong
胡片,hu'pian
胡然,hu'ran
华池,hua'chi
华池县,hua'chi'xian
华池一中,hua'chi'yi'zhong
花名表,hua'ming'biao
华宇名城,hua'yu'ming'cheng
环城镇,huan'cheng'zhen
环县,huan'xian
回西峰,hui'xi'feng
活络面,huo'luo'mian
记哈,ji'ha
焦村乡,jiao'cun'xiang
叫个撒,jiao'ge'sa
金村,jin'cun
进村进社,jin'cun'jin'she
九龙路,jiu'long'lu
九龙商场,jiu'long'shang'chang
就是木,jiu'shi'mu
就说木,jiu'shuo'mu
就说你厉害,jiu'shuo'ni'li'hai
就业援助,jiu'ye'yuan'zhu
聚德宴,ju'de'yan
看把人,kan'ba'ren
看木,kan'mu
科教新村,ke'jiao'xin'cun
可以木,ke'yi'mu
崆峒,kong'tong
快吃去,kuai'chi'qu
快对了,kuai'dui'le
快睡起,kuai'shui'qi
快睡去,kuai'shui'qu
快这里,kuai'zhei'li
来吃来,lai'chi'lai
来木,lai'mu
来西峰,lai'xi'feng
来呀不,lai'ya'bu
老城镇,lao'cheng'zhen
了木,le'mu
里不,li'bu
里木,li'mu
联村联户,lian'cun'lian'hu
良平,liang'ping
临泾乡,lin'jing'xiang
林校,lin'xiao
陇东,long'dong
陇东商场,long'dong'shang'chang
陇东学院,long'dong'xue'yuan
陇东中学,long'dong'zhong'xue
陇上,long'shang
陇院,long'yuan
录井,lu'jing
鲁秀,lu'xiu
马家湾,ma'jia'wan
马莲河,ma'lian'he
马岭,ma'ling
马岭镇,ma'ling'zhen
马渠乡,ma'qu'xiang
忙地,mang'di
忙里不,mang'li'bu
忙闲,mang'xian
忙着里,mang'zhe'li
毛井,mao'jing
猫娃,mao'wa
没有木,mei'you'mu
美这里,mei'zhei'li
孟坝,meng'ba
孟坝镇,meng'ba'zhen
莫撒,mo'sa
木钵,mu'bo
木个,mu'ge
木囊,mu'nang
那好木,na'hao'mu
乃哈,nai'ha
乃会,nai'hui
乃就,nai'jiu
乃木,nai'mu
难日的,nan'ri'de
南小河沟,nan'xiao'he'gou
闹见,nao'jian
脑子不合适,nao'zi'bu'he'shi
呢木,ne'mu
能成吗,neng'cheng'ma
能行木,neng'xing'mu
你俺们,ni'an'men
你大头,ni'da'tou
你但,ni'dan
你干撒这里,ni'gan'sa'zhei'li
你干啥这里,ni'gan'sha'zhei'li
你好着吗,ni'hao'zhe'ma
你坏的,ni'huai'de
你慢的,ni'man'de
你美得,ni'mei'de
你美的,ni'mei'di
你然的,ni'ran'de
你一个吗,ni'yi'ge'ma
你一哈,ni'yi'ha
你咋着呢,ni'za'zhe'ne
你咋这里,ni'za'zhei'li
你在西峰,ni'zai'xi'feng
你组撒,ni'zu'sa
年不,nian'bu
年给,nian'gei
年给我,nian'gei'wo
年哈,nian'ha
年还,nian'hai
年就,nian'jiu
年木,nian'mu
年说,nian'shuo
年问我,nian'wen'wo
年要,nian'yao
宁县,ning'xian
农牧局,nong'mu'ju
弄撒,nong'sa
盘克,pan'ke
彭原,peng'yuan
彭原乡,peng'yuan'xiang
皮然,pi'ran
片的,pian'de
片来,pian'lai
片起,pian'qi
嫖风,piao'feng
平凉,ping'liang
平泉镇,ping'quan'zhen
平子,ping'zi
平子镇,ping'zi'zhen
破烦,po'fan
破烦的,po'fan'de
破烦死了,po'fan'si'le
强的很,qiang'de'hen
荞剁面,qiao'duo'mian
撬杠,qiao'gang
乔河,qiao'he
秦霸岭,qin'ba'ling
庆城,qing'cheng
庆城县,qing'cheng'xian
庆化,qing'hua
庆阳,qing'yang
庆阳吧,qing'yang'ba
庆阳的,qing'yang'de
庆阳了,qing'yang'le
庆阳人,qing'yang'ren
庆阳三中,qing'yang'san'zhong
庆阳市,qing'yang'shi
庆阳市委,qing'yang'shi'wei
庆阳市西峰区,qing'yang'shi'xi'feng'qu
庆阳香包,qing'yang'xiang'bao
庆阳一中,qing'yang'yi'zhong
情缘不了,qing'yuan'bu'liao
请知晓,qing'zhi'xiao
求哄,qiu'hong
湫头,qiu'tou
去西峰,qu'xi'feng
曲子镇,qu'zi'zhen
然的,ran'de
然死了,ran'si'le
然送,ran'song
人不美,ren'bu'mei
柔远,rou'yuan
撒时间,sa'shi'jian
撒这里,sa'zhei'li
三不同,san'bu'tong
三里店,san'li'dian
山河镇,shan'he'zhen
上班木,shang'ban'mu
上班这里,shang'ban'zhei'li
上兰州,shang'lan'zhou
上西峰,shang'xi'feng
上肖,shang'xiao
上肖乡,shang'xiao'xiang
上这里,shang'zhei'li
什社,shen'she
圣鼎,sheng'ding
圣鼎国际,sheng'ding'guo'ji
剩哈,sheng'ha
省上,sheng'shang
世纪商厦,shi'ji'shang'sha
十里坡,shi'li'po
市上,shi'shang
石油上,shi'you'shang
耍走,shua'zou
双联,shuang'lian
睡哈了,shui'ha'le
睡这里,shui'zhei'li
说这里,shuo'zhei'li
死远,si'yuan
岁女子,sui'nv'zi
岁娃娃,sui'wa'wa
太白梁,tai'bai'liang
太昌,tai'chang
甜水,tian'shui
桐川,tong'chuan
桐树街,tong'shu'jie
娃哄,wa'hong
瓦斜,wa'xie
外都,wai'dou
外个,wai'ge
外哈,wai'ha
外就,wai'jiu
外就是,wai'jiu'shi
外木,wai'mu
外些,wai'xie
王宝山,wang'bao'shan
王咀子,wang'ju'zi
王寨,wang'zhai
为民富民,wei'min'fu'min
为撒吗,wei'sa'ma
温泉乡,wen'quan'xiang
我不知道木,wo'bu'zhi'dao'mu
我愁的,wo'chou'de
我给说了,wo'gei'shuo'le
我好这里,wo'hao'zhei'li
我瞌睡的,wo'ke'shui'de
我来呀,wo'lai'ya
我如实交代了,wo'ru'shi'jiao'dai'le
我闲着呢,wo'xian'zhe'ne
我在庆阳,wo'zai'qing'yang
我在西峰,wo'zai'xi'feng
我这下,wo'zhe'xia
我知道里,wo'zhi'dao'li
武沟,wu'gou
五里坡,wu'li'po
无聊地,wu'liao'de
无聊滴,wu'liao'di
西峰,xi'feng
西峰的,xi'feng'de
西峰了,xi'feng'le
西峰吗,xi'feng'ma
西峰呢,xi'feng'ne
西峰区,xi'feng'qu
西峰人,xi'feng'ren
洗黄,xi'huang
西黄的,xi'huang'de
西滩,xi'tan
西庄,xi'zhuang
下湿,xia'shi
下这里,xia'zhei'li
闲呆,xian'dai
县上,xian'shang
显胜,xian'sheng
显胜乡,xian'sheng'xiang
闲着里,xian'zhe'li
闲着呢,xian'zhe'ne
肖金,xiao'jin
肖金镇,xiao'jin'zhen
肖咀,xiao'ju
小崆峒,xiao'kong'tong
小南沟,xiao'nan'gou
效能风暴,xiao'neng'feng'bao
小十字,xiao'shi'zi
新城乡,xin'cheng'xiang
新集,xin'ji
新集乡,xin'ji'xiang
新庄,xin'zhuang
行不哈,xing'bu'ha
熊家庙,xiong'jia'miao
雄越,xiong'yue
需要安装,xu'yao'an'zhuang
呀不,ya'bu
呀吗,ya'ma
鸭掌门,ya'zhang'men
呀这里,ya'zhei'li
要里,yao'li
崾岘,yao'xian
依旧执着,yi'jiu'zhi'zhuo
驿马镇,yi'ma'zhen
一万名,yi'wan'ming
一样木,yi'yang'mu
有集,you'ji
有笑的,you'xiao'de
宇村,yu'cun
榆林子,yu'lin'zi
元城,yuan'cheng
悦乐镇,yue'le'zhen
运输处,yun'shu'chu
咋办里,za'ban'li
咋的很,za'de'hen
咋哈,za'ha
咋里,za'li
咋里吗,za'li'ma
杂么个,za'me'ge
咋们两个,za'men'liang'ge
咋木,za'mu
咋木个,za'mu'ge
咋着里,za'zhe'li
咋着呢,za'zhe'ne
在不敢,zai'bu'gan
在甘肃,zai'gan'su
在合水,zai'he'shui
在华池,zai'hua'chi
在环县,zai'huan'xian
在街道,zai'jie'dao
在宁县,zai'ning'xian
在庆阳,zai'qing'yang
在西峰,zai'xi'feng
再有吗,zai'you'ma
在咋里,zai'za'li
灶房,zao'fang
早胜,zao'sheng
早这里,zao'zhei'li
咋么个,ze'me'ge
择业证,ze'ye'zheng
张川,zhang'chuan
张家川,zhang'jia'chuan
找不哈,zhao'bu'ha
赵沟门,zhao'gou'men
这会干嘛,zhe'hui'gan'ma
着哩,zhe'li
这木,zhe'mu
真的木,zhen'de'mu
镇原,zhen'yuan
镇原县,zhen'yuan'xian
正宁,zheng'ning
正宁县,zheng'ning'xian
知道里,zhi'dao'li
周祖陵,zhou'zu'ling
自然村,zi'ran'cun
子午岭,zi'wu'ling
走木,zou'mu
走学校,zou'xue'xiao
走着里,zou'zhe'li
组饭,zu'fan
组撒这里,zu'sa'zhei'li
做十字绣,zuo'shi'zi'xiu
