扁鹊出,bian'que'chu
扁鹊复见,bian'que'fu'jian
扁鹊见蔡桓公,bian'que'jian'cai'huan'gong
扁鹊望桓侯而还走,bian'que'wang'huan'hou'er'hai'zou
扁鹊曰,bian'que'yue
不治将恐深,bu'zhi'jiang'kong'shen
不治将益深,bu'zhi'jiang'yi'shen
臣是以无请也,chen'shi'yi'wu'qing'ye
寡人无疾,gua'ren'wu'ji
桓侯不应,huan'hou'bu'ying
桓侯故使人问之,huan'hou'gu'shi'ren'wen'zhi
桓侯遂死,huan'hou'sui'si
桓侯体痛,huan'hou'ti'tong
桓侯又不应,huan'hou'you'bu'ying
桓侯又不悦,huan'hou'you'bu'yue
桓侯曰,huan'hou'yue
火齐之所及也,huo'qi'zhi'suo'ji'ye
疾在腠理,ji'zai'cou'li
今在骨髓,jin'zai'gu'sui
居十日,ju'shi'ri
居五日,ju'wu'ri
君有疾在腠理,jun'you'ji'zai'cou'li
君之病在肠胃,jun'zhi'bing'zai'chang'wei
君之病在肌肤,jun'zhi'bing'zai'ji'fu
立有间,li'you'jian
使人索扁鹊,shi'ren'suo'bian'que
司命之所属,si'ming'zhi'suo'shu
汤熨之所及也,tang'yun'zhi'suo'ji'ye
无奈何也,wu'nai'he'ye
已逃秦矣,yi'tao'qin'yi
医之好治不病以为功,yi'zhi'hao'zhi'bu'bing'yi'wei'gong
在肠胃,zai'chang'wei
在骨髓,zai'gu'sui
在肌肤,zai'ji'fu
针石之所及也,zhen'shi'zhi'suo'ji'ye
