爱而不能令,ai'er'bu'neng'ling
爱民可烦,ai'min'ke'fan
隘者,ai'zhe
安能动之,an'neng'dong'zhi
安则静,an'ze'jing
拔人之城,ba'ren'zhi'cheng
败兵若以铢称镒,bai'bing'ruo'yi'zhu'cheng'yi
败兵先战而后求胜,bai'bing'xian'zhan'er'hou'qiu'sheng
百里而争利,bai'li'er'zheng'li
百姓之费,bai'xing'zhi'fei
百战,bai'zhan
百战百胜,bai'zhan'bai'sheng
败之道也,bai'zhi'dao'ye
半进半退者,ban'jin'ban'tui'zhe
饱能饥之,bao'neng'ji'zhi
背城邑多者,bei'cheng'yi'duo'zhe
倍道兼行,bei'dao'jian'xing
卑而广者,bei'er'guang'zhe
卑而骄之,bei'er'jiao'zhi
背固前隘者,bei'gu'qian'ai'zhe
备后则前寡,bei'hou'ze'qian'gua
背丘勿逆,bei'qiu'wu'ni
备人者也,bei'ren'zhe'ye
备右则左寡,bei'you'ze'zuo'gua
倍则分之,bei'ze'fen'zhi
北者,bei'zhe
备左则右寡,bei'zuo'ze'you'gua
奔走而陈兵者,ben'zou'er'chen'bing'zhe
崩者,beng'zhe
必成大功,bi'cheng'da'gong
彼出而不利,bi'chu'er'bu'li
必处其阳而右背之,bi'chu'qi'yang'er'you'bei'zhi
彼得亦利者,bi'de'yi'li'zhe
避高而趋下,bi'gao'er'qu'xia
彼寡可以击吾之众者,bi'gua'ke'yi'ji'wu'zhi'zhong'zhe
必亟去之,bi'ji'qu'zhi
必亟入之,bi'ji'ru'zhi
必谨察之,bi'jin'cha'zhi
必谨覆索之,bi'jin'fu'suo'zhi
必居高阳以待敌,bi'ju'gao'yang'yi'dai'di
彼可以来,bi'ke'yi'lai
彼可以来者,bi'ke'yi'lai'zhe
避其锐气,bi'qi'rui'qi
必擒于人,bi'qin'yu'ren
必取于人,bi'qu'yu'ren
必生可虏,bi'sheng'ke'lu
避实而击虚,bi'shi'er'ji'xu
必死可杀,bi'si'ke'sha
必以全争,bi'yi'quan'zheng
必依水草而背众树,bi'yi'shui'cao'er'bei'zhong'shu
必以五危,bi'yi'wu'wei
必因五火之变而应之,bi'yin'wu'huo'zhi'bian'er'ying'zhi
必盈之以待敌,bi'ying'zhi'yi'dai'di
必杂于利害,bi'za'yu'li'hai
必战可也,bi'zhan'ke'ye
宾客之用,bin'ke'zhi'yong
并敌一向,bing'di'yi'xiang
兵法,bing'fa
兵非贵益多也,bing'fei'gui'yi'duo'ye
兵非益多也,bing'fei'yi'duo'ye
兵合而不齐,bing'he'er'bu'qi
并力,bing'li
兵怒而相迎,bing'nu'er'xiang'ying
并气积力,bing'qi'ji'li
兵势第五,bing'shi'di'wu
兵士甚陷则不惧,bing'shi'shen'xian'ze'bu'ju
兵闻拙速,bing'wen'zhuo'su
兵无常势,bing'wu'chang'shi
兵无选锋,bing'wu'xuan'feng
兵以诈立,bing'yi'zha'li
兵因敌而制胜,bing'yin'di'er'zhi'sheng
兵者,bing'zhe
兵之情主速,bing'zhi'qing'zhu'su
兵之所加,bing'zhi'suo'jia
兵之形,bing'zhi'xing
兵之助也,bing'zhi'zhu'ye
兵众孰强,bing'zhong'shu'qiang
不得不与我战者,bu'de'bu'yu'wo'zhan'zhe
不得操事者,bu'de'cao'shi'zhe
