阿缟之衣,a'gao'zhi'yi
媪之爱燕后贤于长安君,ao'zhi'ai'yan'hou'xian'yu'chang'an'jun
媪之送燕后也,ao'zhi'song'yan'hou'ye
霸国之余教而骤胜之遗事也,ba'guo'zhi'yu'jiao'er'zhou'sheng'zhi'yi'shi'ye
拔三川之地,ba'san'chuan'zhi'di
百姓乐用,bai'xing'le'yong
包九夷,bao'jiu'yi
报任安书,bao'ren'an'shu
报先王之仇,bao'xian'wang'zhi'chou
北收上郡,bei'shou'shang'jun
必出于秦然后可,bi'chu'yu'qin'ran'hou'ke
彼竭我盈,bi'jie'wo'ying
必秦国之所生然后可,bi'qin'guo'zhi'suo'sheng'ran'hou'ke
必勿使反,bi'wu'shi'fan
必以长安君为质,bi'yi'chang'an'jun'wei'zhi
并国二十,bing'guo'er'shi
兵乃出,bing'nai'chu
兵强则士勇,bing'qiang'ze'shi'yong
不产于秦,bu'chan'yu'qin
不得见久矣,bu'de'jian'jiu'yi
不可得也,bu'ke'de'ye
不量轻弱,bu'liang'qing'ruo
不论曲直,bu'lun'qu'zhi
不谋于父兄,bu'mou'yu'fu'xiong
不能奉承先王之教,bu'neng'feng'cheng'xian'wang'zhi'jiao
不若长安君之甚,bu'ruo'chang'an'jun'zhi'shen
不饰朝廷,bu'shi'chao'ting
不为玩好,bu'wei'wan'hao
不问可否,bu'wen'ke'fou
不肖,bu'xiao
不以官随其爱,bu'yi'guan'sui'qi'ai
蚕食诸侯,can'shi'zhu'hou
曹刿,cao'gui
曹刿请见,cao'gui'qing'jian
曾不能疾走,ceng'bu'neng'ji'zou
长安君何以自托于赵,chang'an'jun'he'yi'zi'tuo'yu'zhao
昌国君乐毅,chang'guo'jun'yue'yi
长驱至国,chang'qu'zhi'guo
车甲珍器,che'jia'zhen'qi
臣不佞,chen'bu'ning
臣对曰,chen'dui'yue
臣乃口受令,chen'nai'kou'shou'ling
臣虽不佞数奉教于君子矣,chen'sui'bu'ning'shu'feng'jiao'yu'jun'zi'yi
臣闻,chen'wen
臣闻地广者粟多,chen'wen'di'guang'zhe'su'duo
臣闻吏议逐客,chen'wen'li'yi'zhu'ke
臣闻贤明之君,chen'wen'xian'ming'zhi'jun
臣以所学者观之,chen'yi'suo'xue'zhe'guan'zhi
臣之上计也,chen'zhi'shang'ji'ye
臣之所大恐也,chen'zhi'suo'da'kong'ye
臣自以为奉令承教,chen'zi'yi'wei'feng'ling'cheng'jiao
成功之君,cheng'gong'zhi'jun
乘纤离之马,cheng'xian'li'zhi'ma
持其踵,chi'qi'zhong
充下陈,chong'xia'chen
触龙说赵太后,chu'long'shuo'zhao'tai'hou
楚魏之所同愿也,chu'wei'zhi'suo'tong'yuan'ye
垂明月之珠,chui'ming'yue'zhi'zhu
此非所以跨海内,ci'fei'suo'yi'kua'hai'nei
此其近者祸及身,ci'qi'jin'zhe'huo'ji'shen
此数宝者,ci'shu'bao'zhe
此四君者,ci'si'jun'zhe
此所谓,ci'suo'wei
此五帝三王之所以无敌也,ci'wu'di'san'wang'zhi'suo'yi'wu'di'ye
此五子者,ci'wu'zi'zhe
赐之鸱夷而浮之江,ci'zhi'chi'yi'er'fu'zhi'jiang
大臣强谏,da'chen'qiang'jian
大吕陈于元英,da'lv'chen'yu'yuan'ying
大胜之,da'sheng'zhi
旦山陵崩,dan'shan'ling'beng
登轼而望之,deng'shi'er'wang'zhi
东得百里奚于宛,dong'de'bai'li'xi'yu'wan
东据成皋之险,dong'ju'cheng'gao'zhi'xian
杜私门,du'si'men
对曰,dui'yue
堕先王之名者,duo'xian'wang'zhi'ming'zhe
多予之重器,duo'yu'zhi'zhong'qi
而陛下说之,er'bi'xia'shuo'zhi
而不察疏远之行也,er'bu'cha'shu'yuan'zhi'xing'ye
而不及今令有功于国,er'bu'ji'jin'ling'you'gong'yu'guo
而臣衰,er'chen'shuai
而封之以膏腴之地,er'feng'zhi'yi'gao'yu'zhi'di
而歌呼呜呜快耳者,er'ge'hu'wu'wu'kuai'er'zhe
而骏良駃騠不实外厩,er'jun'liang'kuai'ti'bu'shi'wai'jiu
而恐太后玉体之有所郄也,er'kong'tai'hou'yu'ti'zhi'you'suo'xi'ye
而况人臣乎,er'kuang'ren'chen'hu
而立之乎群臣之上,er'li'zhi'hu'qun'chen'zhi'shang
而穆公用之,er'mu'gong'yong'zhi
而秦无强大之名也,er'qin'wu'qiang'da'zhi'ming'ye
而使臣为亚卿,er'shi'chen'wei'ya'qing
而使骑劫代之将,er'shi'qi'jie'dai'zhi'jiang
而随俗雅化,er'sui'su'ya'hua
而所轻者在乎人民也,er'suo'qing'zhe'zai'hu'ren'min'ye
而挟重器多也,er'xie'zhong'qi'duo'ye
而燕昭王死,er'yan'zhao'wang'si
而以身得察于燕,er'yi'shen'de'cha'yu'yan
而又不白于臣之所以事先王之心,er'you'bu'bai'yu'chen'zhi'suo'yi'shi'xian'wang'zhi'xin
而又害于足下之义,er'you'hai'yu'zu'xia'zhi'yi
而欲以齐为事,er'yu'yi'qi'wei'shi
而愿忠者众,er'yuan'zhong'zhe'zhong
非弗思也,fei'fu'si'ye
非秦者去,fei'qin'zhe'qu
废穰侯,fei'rang'hou
奉厚而无劳,feng'hou'er'wu'lao
夫差弗是也,fu'chai'fu'shi'ye
夫大国,fu'da'guo
夫击瓮叩缶弹筝搏髀,fu'ji'weng'kou'fou'tan'zheng'bo'bi
傅玑之珥,fu'ji'zhi'er
夫免身功,fu'mian'shen'gong
父母之爱子则为之计深远,fu'mu'zhi'ai'zi'ze'wei'zhi'ji'shen'yuan
夫齐,fu'qi
妇人异甚,fu'ren'yi'shen
复收七十余城以复齐,fu'shou'qi'shi'yu'cheng'yi'fu'qi
服太阿之剑,fu'tai'e'zhi'jian
夫物不产于秦,fu'wu'bu'chan'yu'qin
夫战勇气也,fu'zhan'yong'qi'ye
割膏腴之壤,ge'gao'yu'zhi'rang
功多者授之,gong'duo'zhe'shou'zhi
公将驰之,gong'jiang'chi'zhi
公将鼓之,gong'jiang'gu'zhi
公将战,gong'jiang'zhan
功立而不废,gong'li'er'bu'fei
功施到今,gong'shi'dao'jin
功未有及先王者也,gong'wei'you'ji'xian'wang'zhe'ye
