半封建半殖民地经济,ban'feng'jian'ban'zhi'min'di'jing'ji
部门结构,bu'men'jie'gou
财富,cai'fu
产品价值,chan'pin'jia'zhi
产品经济,chan'pin'jing'ji
产业革命,chan'ye'ge'ming
产业结构,chan'ye'jie'gou
乘数,cheng'shu
抽象劳动,chou'xiang'lao'dong
储蓄收入比率,chu'xu'shou'ru'bi'lv
存量,cun'liang
大经济,da'jing'ji
等价交换,deng'jia'jiao'huan
等价形态,deng'jia'xing'tai
第二产业,di'er'chan'ye
第三产业,di'san'chan'ye
第四产业,di'si'chan'ye
地下经济,di'xia'jing'ji
第一产业,di'yi'chan'ye
短期价格协定,duan'qi'jia'ge'xie'ding
短缺,duan'que
非价格竞争,fei'jia'ge'jing'zheng
非生产劳动,fei'sheng'chan'lao'dong
非熟练劳动,fei'shu'lian'lao'dong
分工,fen'gong
复杂劳动,fu'za'lao'dong
负债经济,fu'zhai'jing'ji
刚性,gang'xing
个别价值,ge'bie'jia'zhi
个别劳动时间,ge'bie'lao'dong'shi'jian
共有经济规律,gong'you'jing'ji'gui'lv
雇佣劳动,gu'yong'lao'dong
寡头垄断,gua'tou'long'duan
国力,guo'li
国民经济,guo'min'jing'ji
国民经济良性循环,guo'min'jing'ji'liang'xing'xun'huan
国民经济有计划按比例发展规律,guo'min'jing'ji'you'ji'hua'an'bi'li'fa'zhan'gui'lv
宏观经济,hong'guan'jing'ji
货币,huo'bi
基本经济规律,ji'ben'jing'ji'gui'lv
技术商品,ji'shu'shang'pin
基数效用,ji'shu'xiao'yong
价值,jia'zhi
价值产品,jia'zhi'chan'pin
价值规律,jia'zhi'gui'lv
价值量,jia'zhi'liang
价值形态,jia'zhi'xing'tai
简单劳动,jian'dan'lao'dong
交换价值,jiao'huan'jia'zhi
经济,jing'ji
经济比例,jing'ji'bi'li
经济发展,jing'ji'fa'zhan
经济范畴,jing'ji'fan'chou
经济共振,jing'ji'gong'zhen
经济规律,jing'ji'gui'lv
经济基础,jing'ji'ji'chu
经济机制,jing'ji'ji'zhi
经济结构,jing'ji'jie'gou
经济理论一般,jing'ji'li'lun'yi'ban
经济利益,jing'ji'li'yi
经济人,jing'ji'ren
经济实体,jing'ji'shi'ti
经济效果,jing'ji'xiao'guo
经济效益,jing'ji'xiao'yi
经济信息,jing'ji'xin'xi
经济增长,jing'ji'zeng'zhang
经济制度,jing'ji'zhi'du
经济周期,jing'ji'zhou'qi
经营机制,jing'ying'ji'zhi
竞争,jing'zheng
竞争策略,jing'zheng'ce'lue
竞争机制,jing'zheng'ji'zhi
旧价值,jiu'jia'zhi
聚集经济,ju'ji'jing'ji
具体劳动,ju'ti'lao'dong
卡特尔,ka'te'er
看不见的手,kan'bu'jian'de'shou
看得见的手,kan'de'jian'de'shou
康采恩,kang'cai'en
科学技术成果商品化,ke'xue'ji'shu'cheng'guo'shang'pin'hua
劳动,lao'dong
劳动力价格,lao'dong'li'jia'ge
劳动力价值,lao'dong'li'jia'zhi
劳动力结构,lao'dong'li'jie'gou
劳动力使用价值,lao'dong'li'shi'yong'jia'zhi
劳务,lao'wu
两种生产,liang'zhong'sheng'chan
流量,liu'liang
垄断,long'duan
垄断竞争,long'duan'jing'zheng
垄断资本主义,long'duan'zi'ben'zhu'yi
垄断组织,long'duan'zu'zhi
内生变量,nei'sheng'bian'liang
企业,qi'ye
人口规律,ren'kou'gui'lv
人口增长,ren'kou'zeng'zhang
三次产业,san'ci'chan'ye
三次社会大分工,san'ci'she'hui'da'fen'gong
三种经济制度模式,san'zhong'jing'ji'zhi'du'mo'shi
上层建筑,shang'ceng'jian'zhu
商品,shang'pin
商品交换,shang'pin'jiao'huan
商品经济,shang'pin'jing'ji
商品生产,shang'pin'sheng'chan
社会必要劳动时间,she'hui'bi'yao'lao'dong'shi'jian
社会分工,she'hui'fen'gong
社会基本矛盾,she'hui'ji'ben'mao'dun
社会价值,she'hui'jia'zhi
社会劳动,she'hui'lao'dong
社会效益,she'hui'xiao'yi
社会主义,she'hui'zhu'yi
社会主义初级阶段,she'hui'zhu'yi'chu'ji'jie'duan
社会主义经济,she'hui'zhu'yi'jing'ji
社会主义竞争,she'hui'zhu'yi'jing'zheng
社会主义劳动,she'hui'zhu'yi'lao'dong
社会主义劳动竞赛,she'hui'zhu'yi'lao'dong'jing'sai
社会主义人口规律,she'hui'zhu'yi'ren'kou'gui'lv
社会主义生产关系,she'hui'zhu'yi'sheng'chan'guan'xi
社会主义物质利益关系,she'hui'zhu'yi'wu'zhi'li'yi'guan'xi
