阿伐他汀,a'fa'ta'ting
阿伦膦酸盐二膦酸盐,a'lun'lin'suan'yan'er'lin'suan'yan
阿霉素,a'mei'su
阿米替林,a'mi'ti'lin
阿莫西林羟氨苄青霉素,a'mo'xi'lin'qiang'an'bian'qing'mei'su
阿片酊,a'pian'ding
阿普唑仑,a'pu'zuo'lun
阿齐红霉素舒美特,a'qi'hong'mei'su'shu'mei'te
阿司匹林,a'si'pi'lin
阿糖胞苷,a'tang'bao'gan
阿替洛尔氨酰心安,a'ti'luo'er'an'xian'xin'an
阿托品,a'tuo'pin
阿托西汀,a'tuo'xi'ting
艾美拉唑,ai'mei'la'zuo
氨苯蝶啶三氨蝶呤,an'ben'die'ding'san'an'die'ling
氨苄青霉素,an'bian'qing'mei'su
氨茶碱,an'cha'jian
安定,an'ding
安非他明苯丙胺,an'fei'ta'ming'ben'bing'an
安宫黄体酮,an'gong'huang'ti'tong
氨氯地平阿洛地平,an'lv'di'ping'a'luo'di'ping
安眠药,an'mian'yao
安乃近,an'nai'jin
氨溶液,an'rong'ye
氨酰心安,an'xian'xin'an
奥氮平奥兰氮平,ao'dan'ping'ao'lan'dan'ping
奥洛他定,ao'luo'ta'ding
奥美拉唑沃必唑,ao'mei'la'zuo'wo'bi'zuo
奥昔布宁解痉药,ao'xi'bu'ning'jie'jing'yao
白喉抗毒素,bai'hou'kang'du'su
白霉素,bai'mei'su
百忧解盐酸氟西汀,bai'you'jie'yan'suan'fu'xi'ting
保泰松,bao'tai'song
贝那普利,bei'na'pu'li
倍他米松培他米松,bei'ta'mi'song'pei'ta'mi'song
本巴比妥鲁米那,ben'ba'bi'tuo'lu'mi'na
苯海拉明苯那君,ben'hai'la'ming'ben'na'jun
苯甲酸雌二醇,ben'jia'suan'ci'er'chun
苯妥英,ben'tuo'ying
苯乙双胍降糖灵,ben'yi'shuang'gua'jiang'tang'ling
苯扎溴铵新洁尔灭,ben'zha'xiu'an'xin'jie'er'mie
吡美莫司,bi'mei'mo'si
吡嗪酰胺,bi'qin'xian'an
避孕药,bi'yun'yao
别嘌呤醇,bie'piao'ling'chun
病毒灵吗啉胍,bing'du'ling'ma'lin'gua
丙基硫氧嘧啶,bing'ji'liu'yang'mi'ding
槟榔,bing'lang
丙酸氟替卡松,bing'suan'fu'ti'ka'song
丙酸睾丸素,bing'suan'gao'wan'su
丙种球蛋白,bing'zhong'qiu'dan'bai
布地奈德,bu'di'nai'de
布洛芬,bu'luo'fen
补药,bu'yao
长春新碱,chang'chun'xin'jian
长效异乐定,chang'xiao'yi'le'ding
雌二醇强力求偶素,ci'er'chun'qiang'li'qiu'ou'su
促肾上腺皮质激素,cu'shen'shang'xian'pi'zhi'ji'su
醋酸可的松滴眼液,cu'suan'ke'di'song'di'yan'ye
达而丰丙氧酚,da'er'feng'bing'yang'fen
大药丸,da'yao'wan
胆酸钠,dan'suan'na
单组分人胰岛素注射液,dan'zu'fen'ren'yi'dao'su'zhu'she'ye
地巴唑,di'ba'zuo
地尔硫卓,di'er'liu'zhuo
地高辛,di'gao'xin
地高辛异羟基洋地黄毒甙,di'gao'xin'yi'qiang'ji'yang'di'huang'du'dai
低精蛋白锌胰岛素,di'jing'dan'bai'xin'yi'dao'su
地塞米松,di'sai'mi'song
地索高诺酮马福隆,di'suo'gao'nuo'tong'ma'fu'long
地西泮安定,di'xi'pan'an'ding
颠茄浸膏,dian'qie'jin'gao
丁氨苯丙酮,ding'an'ben'bing'tong
度冷丁哌替啶,du'leng'ding'pai'ti'ding
对氨基水杨酸,dui'an'ji'shui'yang'suan
对乙酰氨基酚扑热息痛,dui'yi'xian'an'ji'fen'pu're'xi'tong
多奈哌齐,duo'nai'pai'qi
多西霉素强力霉素,duo'xi'mei'su'qiang'li'mei'su
二甲双胍二甲双胍盐酸盐,er'jia'shuang'gua'er'jia'shuang'gua'yan'suan'yan
二氢可待因酮氢可酮,er'qing'ke'dai'yin'tong'qing'ke'tong
二性霉素,er'xing'mei'su
伐地考昔,fa'di'kao'xi
伐昔洛韦,fa'xi'luo'wei
泛酸钙,fan'suan'gai
非洛地平,fei'luo'di'ping
非那司提,fei'na'si'ti
非那西丁,fei'na'xi'ding
非诺贝特,fei'nuo'bei'te
非索非那定,fei'suo'fei'na'ding
奋乃静,fen'nai'jing
芬太尼,fen'tai'ni
氟苯哌苯醚帕罗西丁,fu'ben'pai'ben'mi'pa'luo'xi'ding
呋苄青霉素,fu'bian'qing'mei'su
氟地松氟替卡松,fu'di'song'fu'ti'ka'song
氟伐地汀氟瓦停,fu'fa'di'ting'fu'wa'ting
复方阿司匹林,fu'fang'a'si'pi'lin
复方芦丁,fu'fang'lu'ding
氟奋乃静,fu'fen'nai'jing
氟康唑大扶康,fu'kang'zuo'da'fu'kang
呋喃妥因呋喃旦啶,fu'nan'tuo'yin'fu'nan'dan'ding
呋喃西林,fu'nan'xi'lin
呋喃西林溶液,fu'nan'xi'lin'rong'ye
呋喃唑酮痢特灵,fu'nan'zuo'tong'li'te'ling
氟尿嘧啶,fu'niao'mi'ding
氟羟泼尼松龙氟羟强的松龙,fu'qiang'po'ni'song'long'fu'qiang'qiang'di'song'long
肤轻松,fu'qing'song
呋塞米利尿灵,fu'sai'mi'li'niao'ling
氟烷,fu'wan
服药,fu'yao
肝精,gan'jing
甘精胰岛素,gan'jing'yi'dao'su
感冒药,gan'mao'yao
干扰素,gan'rao'su
肝泰乐,gan'tai'le
高锰酸钾,gao'meng'suan'jia
格列本脲优降糖,ge'lie'ben'niao'you'jiang'tang
格列甲嗪,ge'lie'jia'qin
格列美脲,ge'lie'mei'niao
谷氨酸,gu'an'suan
谷氨酸钠,gu'an'suan'na
谷维素,gu'wei'su
合霉素,he'mei'su
红汞,hong'gong
红霉素,hong'mei'su
后马托品,hou'ma'tuo'pin
