暗区,an'qu
靶环征,ba'huan'zheng
边界不清,bian'jie'bu'qing
边界欠清,bian'jie'qian'qing
搏动指数,bo'dong'zhi'shu
不均质,bu'jun'zhi
不均质回声,bu'jun'zhi'hui'sheng
彩色多普勒,cai'se'duo'pu'le
彩色多普勒超声,cai'se'duo'pu'le'chao'sheng
侧方声影,ce'fang'sheng'ying
肠系膜淋巴结,chang'xi'mo'lin'ba'jie
肠系膜上动脉,chang'xi'mo'shang'dong'mai
肠系膜上静脉,chang'xi'mo'shang'jing'mai
肠系膜下动脉,chang'xi'mo'xia'dong'mai
肠系膜下静脉,chang'xi'mo'xia'jing'mai
超声,chao'sheng
超声波,chao'sheng'bo
超声医学,chao'sheng'yi'xue
超声造影,chao'sheng'zao'ying
错构瘤,cuo'gou'liu
大脑后动脉,da'nao'hou'dong'mai
大脑前动脉,da'nao'qian'dong'mai
大脑中动脉,da'nao'zhong'dong'mai
胆总管,dan'zong'guan
低回声,di'hui'sheng
多囊肝,duo'nang'gan
多囊脾,duo'nang'pi
多囊肾,duo'nang'shen
多囊胰,duo'nang'yi
多普勒超声,duo'pu'le'chao'sheng
二尖瓣返流,er'jian'ban'fan'liu
返流,fan'liu
肺动脉瓣,fei'dong'mai'ban
肺动脉瓣返流,fei'dong'mai'ban'fan'liu
峰值流速,feng'zhi'liu'su
腹膜后,fu'mo'hou
肝包膜,gan'bao'mo
肝多发囊肿,gan'duo'fa'nang'zhong
肝管,gan'guan
肝囊肿,gan'nang'zhong
肝内,gan'nei
肝内胆管,gan'nei'dan'guan
肝内脂肪沉积,gan'nei'zhi'fang'chen'ji
肝内脂质沉积,gan'nei'zhi'zhi'chen'ji
肝偏大,gan'pian'da
肝区脂肪沉积,gan'qu'zhi'fang'chen'ji
肝区脂质沉积,gan'qu'zhi'zhi'chen'ji
肝肾隐窝,gan'shen'yin'wo
肝胰之间,gan'yi'zhi'jian
肝右静脉,gan'you'jing'mai
肝中静脉,gan'zhong'jing'mai
肝左静脉,gan'zuo'jing'mai
膈下,ge'xia
关闭不全,guan'bi'bu'quan
横部,heng'bu
后方伴,hou'fang'ban
后方回声,hou'fang'hui'sheng
后方回声增强效应,hou'fang'hui'sheng'zeng'qiang'xiao'ying
后方声衰减,hou'fang'sheng'shuai'jian
混合回声,hun'he'hui'sheng
混合性回声,hun'he'xing'hui'sheng
基底动脉,ji'di'dong'mai
集合系统,ji'he'xi'tong
急性炎症,ji'xing'yan'zheng
假性囊肿,jia'xing'nang'zhong
甲状腺腺瘤,jia'zhuang'xian'xian'liu
经颅多普勒超声,jing'lu'duo'pu'le'chao'sheng
经食道,jing'shi'dao
经食道超声,jing'shi'dao'chao'sheng
经阴道,jing'yin'dao
经阴道超声,jing'yin'dao'chao'sheng
经直肠,jing'zhi'chang
经直肠前列腺,jing'zhi'chang'qian'lie'xian
经直肠前列腺超声,jing'zhi'chang'qian'lie'xian'chao'sheng
肋膈角,lei'ge'jiao
慢性肝病,man'xing'gan'bing
门静脉左支,men'jing'mai'zuo'zhi
囊腺瘤,nang'xian'liu
内上,nei'shang
内上象限,nei'shang'xiang'xian
内外腺,nei'wai'xian
内下,nei'xia
内下象限,nei'xia'xiang'xian
内腺,nei'xian
颞窗,nie'chuang
牛眼征,niu'yan'zheng
膀胱入口处,pang'guang'ru'kou'chu
脾偏大,pi'pian'da
脾肾隐窝,pi'shen'yin'wo
皮质,pi'zhi
脾肿大,pi'zhong'da
频谱多普勒,pin'pu'duo'pu'le
前列腺穿刺,qian'lie'xian'chuan'ci
前列腺囊肿,qian'lie'xian'nang'zhong
强回声,qiang'hui'sheng
腔内超声,qiang'nei'chao'sheng
轻度返流,qing'du'fan'liu
轻度狭窄,qing'du'xia'zhai
轻中度返流,qing'zhong'du'fan'liu
轻中度狭窄,qing'zhong'du'xia'zhai
弱声影,ruo'sheng'ying
三尖瓣返流,san'jian'ban'fan'liu
射精管囊肿,she'jing'guan'nang'zhong
肾窦,shen'dou
肾静脉,shen'jing'mai
肾实质,shen'shi'zhi
声衰减,sheng'shuai'jian
声影,sheng'ying
声影不明显,sheng'ying'bu'ming'xian
声晕,sheng'yun
矢状部,shi'zhuang'bu
输卵管积水,shu'luan'guan'ji'shui
输尿管扩张,shu'niao'guan'kuo'zhang
湍流频谱,tuan'liu'pin'pu
外上,wai'shang
外上象限,wai'shang'xiang'xian
外下,wai'xia
外下象限,wai'xia'xiang'xian
外腺,wai'xian
无回声,wu'hui'sheng
无明显声影,wu'ming'xian'sheng'ying
无声影,wu'sheng'ying
下腹腔,xia'fu'qiang
腺体层,xian'ti'ceng
血管瘤,xue'guan'liu
血吸虫性肝病,xue'xi'chong'xing'gan'bing
胰腺周围,yi'xian'zhou'wei
右肝管,you'gan'guan
右肝静脉,you'gan'jing'mai
右后叶,you'hou'ye
右前斜径,you'qian'xie'jing
右前叶,you'qian'ye
右肾动脉,you'shen'dong'mai
右肾静脉,you'shen'jing'mai
右下腹腔,you'xia'fu'qiang
右支,you'zhi
杂乱回声,za'luan'hui'sheng
枕窗,zhen'chuang
脂肪层,zhi'fang'ceng
脂肪肝,zhi'fang'gan
重度返流,zhong'du'fan'liu
中度返流,zhong'du'fan'liu
重度狭窄,zhong'du'xia'zhai
中度狭窄,zhong'du'xia'zhai
中肝静脉,zhong'gan'jing'mai
