八字针,ba'zi'zhen
编席绣,bian'xi'xiu
汴绣,bian'xiu
编针,bian'zhen
编织针,bian'zhi'zhen
辫子股针,bian'zi'gu'zhen
缤纹针,bin'wen'zhen
冰纹针,bing'wen'zhen
拨针绣,bo'zhen'xiu
补画绣,bu'hua'xiu
彩锦绣,cai'jin'xiu
藏针,cang'zhen
藏针绣,cang'zhen'xiu
叉针,cha'zhen
插针,cha'zhen
插针绣,cha'zhen'xiu
羼针,chan'zhen
掺针绣,chan'zhen'xiu
长短针,chang'duan'zhen
长短针绣,chang'duan'zhen'xiu
长穗子针,chang'sui'zi'zhen
长针,chang'zhen
车凝针绣,che'ning'zhen'xiu
成合,cheng'he
乘云绣,cheng'yun'xiu
絺绣,chi'xiu
抽丝绣,chou'si'xiu
出边,chu'bian
穿纱,chuan'sha
川绣,chuan'xiu
串针,chuan'zhen
穿珠,chuan'zhu
春秋窃曲纹绣,chun'qiu'qie'qu'wen'xiu
戳纱,chuo'sha
戳纱绣,chuo'sha'xiu
刺绣,ci'xiu
刺绣操作,ci'xiu'cao'zuo
刺绣花样,ci'xiu'hua'yang
蹙金,cu'jin
打边针,da'bian'zhen
打倒子,da'dao'zi
打点绣,da'dian'xiu
大乱针,da'luan'zhen
打子,da'zi
打籽,da'zi
点针子,dian'zhen'zi
迭格针,die'ge'zhen
迭鳞针,die'lin'zhen
迭抢针,die'qiang'zhen
迭绣,die'xiu
钉小线,ding'xiao'xian
钉针绣,ding'zhen'xiu
缎绣,duan'xiu
短针,duan'zhen
堆绫,dui'ling
二连花针,er'lian'hua'zhen
二列针,er'lie'zhen
二针半绣,er'zhen'ban'xiu
发绣,fa'xiu
翻底菊花针,fan'di'ju'hua'zhen
反抢针,fan'qiang'zhen
方格网针,fang'ge'wang'zhen
仿十字绣,fang'shi'zi'xiu
飞针绣,fei'zhen'xiu
分皮,fen'pi
风车针,feng'che'zhen
凤凰双栖图顾绣,feng'huang'shuang'qi'tu'gu'xiu
复式锁边针,fu'shi'suo'bian'zhen
盖针,gai'zhen
高绣,gao'xiu
格锦,ge'jin
钩针,gou'zhen
钩针绣,gou'zhen'xiu
顾氏露香园绣,gu'shi'lu'xiang'yuan'xiu
顾绣,gu'xiu
贯针绣,guan'zhen'xiu
广绣,guang'xiu
广州金银线绣,guang'zhou'jin'yin'xian'xiu
桂花针,gui'hua'zhen
闺绣画,gui'xiu'hua
滚针,gun'zhen
韩媛绣,han'yuan'xiu
鹤街灵芝图顾绣,he'jie'ling'zhi'tu'gu'xiu
横参针,heng'can'zhen
画绣,hua'xiu
画样,hua'yang
花针,hua'zhen
回针,hui'zhen
鸡毛针,ji'mao'zhen
集套,ji'tao
记线,ji'xian
机绣,ji'xiu
记针,ji'zhen
绩针绣,ji'zhen'xiu
剪彩绣,jian'cai'xiu
交叠针,jiao'die'zhen
绞形针,jiao'xing'zhen
接参针,jie'can'zhen
借色绣,jie'se'xiu
接针,jie'zhen
接针绣,jie'zhen'xiu
结子针,jie'zi'zhen
晋南民间绣,jin'nan'min'jian'xiu
