按件记工,an'jian'ji'gong
包产到户,bao'chan'dao'hu
包干到户,bao'gan'dao'hu
包工,bao'gong
常年包工,chang'nian'bao'gong
储备粮基金,chu'bei'liang'ji'jin
地权,di'quan
二五减租,er'wu'jian'zu
分散经营,fen'san'jing'ying
耕地,geng'di
工分值,gong'fen'zhi
工分制,gong'fen'zhi
股份基金,gu'fen'ji'jin
过头粮,guo'tou'liang
国营农牧场,guo'ying'nong'mu'chang
旱地,han'di
荒地,huang'di
级差土地收入,ji'cha'tu'di'shou'ru
季节包工,ji'jie'bao'gong
家庭农场,jia'ting'nong'chang
军垦,jun'ken
可分配总收入,ke'fen'pei'zong'shou'ru
垦荒,ken'huang
垦殖指数,ken'zhi'zhi'shu
劳动工分,lao'dong'gong'fen
劳动日值,lao'dong'ri'zhi
粮食产量,liang'shi'chan'liang
粮食年度,liang'shi'nian'du
粮食三定,liang'shi'san'ding
粮食四统一,liang'shi'si'tong'yi
粮食统购统销,liang'shi'tong'gou'tong'xiao
粮食议购议销,liang'shi'yi'gou'yi'xiao
粮食征购,liang'shi'zheng'gou
粮食征购基数,liang'shi'zheng'gou'ji'shu
农产品合同定购,nong'chan'pin'he'tong'ding'gou
农产品加工,nong'chan'pin'jia'gong
农产品派购,nong'chan'pin'pai'gou
农产品商品量,nong'chan'pin'shang'pin'liang
农产品商品率,nong'chan'pin'shang'pin'lv
农产品生产基地,nong'chan'pin'sheng'chan'ji'di
农产品市场,nong'chan'pin'shi'chang
农产品收购,nong'chan'pin'shou'gou
农产品统购,nong'chan'pin'tong'gou
农产品统购统销,nong'chan'pin'tong'gou'tong'xiao
农产品议购,nong'chan'pin'yi'gou
农产品预购定金,nong'chan'pin'yu'gou'ding'jin
农产品征购,nong'chan'pin'zheng'gou
农村供销合作社,nong'cun'gong'xiao'he'zuo'she
农村雇工,nong'cun'gu'gong
农村合作经济,nong'cun'he'zuo'jing'ji
农村人口,nong'cun'ren'kou
农村人民公社,nong'cun'ren'min'gong'she
农村重点户,nong'cun'zhong'dian'hu
农村专业户,nong'cun'zhuan'ye'hu
农工联合企业,nong'gong'lian'he'qi'ye
农机工业,nong'ji'gong'ye
农田基本建设,nong'tian'ji'ben'jian'she
农业拨款,nong'ye'bo'kuan
农业管理体制,nong'ye'guan'li'ti'zhi
农业合作化,nong'ye'he'zuo'hua
农业基本建设,nong'ye'ji'ben'jian'she
农业经济管理,nong'ye'jing'ji'guan'li
农业劳动,nong'ye'lao'dong
农业劳动力利用率,nong'ye'lao'dong'li'li'yong'lv
农业劳动力转移,nong'ye'lao'dong'li'zhuan'yi
农业企业,nong'ye'qi'ye
农业企业科技管理,nong'ye'qi'ye'ke'ji'guan'li
农业人口,nong'ye'ren'kou
农业剩余劳动力,nong'ye'sheng'yu'lao'dong'li
农业投资,nong'ye'tou'zi
农业用地,nong'ye'yong'di
农业原材料,nong'ye'yuan'cai'liao
农用工业,nong'yong'gong'ye
评工记分,ping'gong'ji'fen
三包一奖,san'bao'yi'jiang
三级所有队为基础,san'ji'suo'you'dui'wei'ji'chu
生产大队,sheng'chan'da'dui
生产队,sheng'chan'dui
双层经营,shuang'ceng'jing'ying
死分活评,si'fen'huo'ping
死分死记,si'fen'si'ji
统一经营,tong'yi'jing'ying
土地,tu'di
土地报酬,tu'di'bao'chou
土地报酬递减律,tu'di'bao'chou'di'jian'lv
土地补偿费,tu'di'bu'chang'fei
土地承包,tu'di'cheng'bao
土地档案,tu'di'dang'an
土地登记,tu'di'deng'ji
土地分类,tu'di'fen'lei
土地改良,tu'di'gai'liang
土地公有制,tu'di'gong'you'zhi
土地构成,tu'di'gou'cheng
土地管理,tu'di'guan'li
土地规划,tu'di'gui'hua
土地国有化,tu'di'guo'you'hua
土地价格,tu'di'jia'ge
土地利用方式,tu'di'li'yong'fang'shi
土地利用结构,tu'di'li'yong'jie'gou
土地利用率,tu'di'li'yong'lv
土地买卖,tu'di'mai'mai
土地没收,tu'di'mo'shou
土地评价,tu'di'ping'jia
土地入股与分红,tu'di'ru'gu'yu'fen'hong
土地生产率,tu'di'sheng'chan'lv
土地使用权,tu'di'shi'yong'quan
土地使用权出租,tu'di'shi'yong'quan'chu'zu
土地使用权有偿转让,tu'di'shi'yong'quan'you'chang'zhuan'rang
土地私有制,tu'di'si'you'zhi
土地退化,tu'di'tui'hua
土地证,tu'di'zheng
土地征收,tu'di'zheng'shou
土地征用,tu'di'zheng'yong
土地制度,tu'di'zhi'du
土地转包,tu'di'zhuan'bao
土地转让,tu'di'zhuan'rang
土地资本,tu'di'zi'ben
土地租佃,tu'di'zu'dian
土壤肥力,tu'rang'fei'li
乡镇企业,xiang'zhen'qi'ye
小段包工,xiao'duan'bao'gong
小土地出租者,xiao'tu'di'chu'zu'zhe
以产定工,yi'chan'ding'gong
一平二调,yi'ping'er'diao
中华人民共和国土地管理法,zhong'hua'ren'min'gong'he'guo'tu'di'guan'li'fa
