把他召回,ba'ta'zhao'hui
包抄战法,bao'chao'zhan'fa
北部边境,bei'bu'bian'jing
北部代郡,bei'bu'dai'jun
北部戍边之责,bei'bu'shu'bian'zhi'ze
边境的城邑,bian'jing'de'cheng'yi
边境地区,bian'jing'di'qu
边境上的,bian'jing'shang'de
并不断骚扰,bing'bu'duan'sao'rao
并大纵牲畜,bing'da'zong'sheng'chu
不敢出战,bu'gan'chu'zhan
不敢擅自出战,bu'gan'shan'zi'chu'zhan
不能按时耕种,bu'neng'an'shi'geng'zhong
采取有力措施,cai'qu'you'li'cuo'shi
参与政治,can'yu'zheng'zhi
单于闻之,chan'yu'wen'zhi
单于远远逃走,chan'yu'yuan'yuan'tao'zou
臣如前,chen'ru'qian
充当士卒的,chong'dang'shi'zu'de
出其不意包抄,chu'qi'bu'yi'bao'chao
大将军衔,da'jiang'jun'xian
大致可划分为,da'zhi'ke'hua'fen'wei
带兵独当,dai'bing'du'dang
但李牧依然如,dan'li'mu'yi'ran'ru
但始终认为,dan'shi'zhong'ren'wei
胆小害怕,dan'xiao'hai'pa
但匈奴人,dan'xiong'nu'ren
到边境后,dao'bian'jing'hou
到了惠文王,dao'le'hui'wen'wang
到职一年多,dao'zhi'yi'nian'duo
的规约行事,de'gui'yue'xing'shi
的货物,de'huo'wu
的兼并战争,de'jian'bing'zhan'zheng
的协作,de'xie'zuo
的勇士五万人,de'yong'shi'wu'wan'ren
的战斗力,de'zhan'dou'li
奠定了物质基础,dian'ding'le'wu'zhi'ji'chu
丢下几千人,diu'xia'ji'qian'ren
都请求,dou'qing'qiu
都有李牧,dou'you'li'mu
斗争上的,dou'zheng'shang'de
对付强秦,dui'fu'qiang'qin
多年来在人员,duo'nian'lai'zai'ren'yuan
而不被使用,er'bu'bei'shi'yong
而责备,er'ze'bei
发挥威力,fa'hui'wei'li
防御匈奴,fang'yu'xiong'nu
给匈奴,gei'xiong'nu
官至赵国相,guan'zhi'zhao'guo'xiang
后一段是,hou'yi'duan'shi
恢复强大起来,hui'fu'qiang'da'qi'lai
获赏百金,huo'shang'bai'jin
继廉颇,ji'lian'po
几年当中,ji'nian'dang'zhong
急入收保,ji'ru'shou'bao
加紧练习,jia'jin'lian'xi
加强军队,jia'qiang'jun'dui
加以训练,jia'yi'xun'lian
坚持说,jian'chi'shuo
将军是,jiang'jun'shi
降林胡,jiang'lin'hu
杰出的军事家,jie'chu'de'jun'shi'jia
接近赵国,jie'jin'zhao'guo
接战后,jie'zhan'hou
接着又乘胜灭,jie'zhe'you'cheng'sheng'mie
今山西代县西北,jin'shan'xi'dai'xian'xi'bei
进行了一系列改革,jin'xing'le'yi'xi'lie'gai'ge
警报系统,jing'bao'xi'tong
精选的战马,jing'xuan'de'zhan'ma
就连赵国,jiu'lian'zhao'guo
君臣能,jun'chen'neng
军事活动,jun'shi'huo'dong
军事力量逐步,jun'shi'li'liang'zhu'bu
军事力量逐渐强大,jun'shi'li'liang'zhu'jian'qiang'da
抗击匈奴,kang'ji'xiong'nu
犒赏将士,kao'shang'jiang'shi
了李牧,le'li'mu
了实力,le'shi'li
了赵王,le'zhao'wang
李牧闭门不出,li'mu'bi'men'bu'chu
李牧常年驻守,li'mu'chang'nian'zhu'shou
李牧胆怯,li'mu'dan'qie
李牧的,li'mu'de
李牧看准了时机,li'mu'kan'zhun'le'shi'ji
