爱歌城,ai'ge'cheng
拔花生,ba'hua'sheng
巴克斯,ba'ke'si
八里街,ba'li'jie
八塘镇,ba'tang'zhen
百草堂,bai'cao'tang
百迪乐,bai'di'le
白石山,bai'shi'shan
办通,ban'tong
帮冲,bang'chong
北门市场,bei'men'shi'chang
边滴,bian'di
别颠,bie'dian
不得出,bu'de'chu
不得睡,bu'dei'shui
不懂咯,bu'dong'ge
不懂看,bu'dong'kan
不懂去,bu'dong'qu
不懂说,bu'dong'shuo
不懂喔,bu'dong'wo
不懂怎么说,bu'dong'zen'me'shuo
不更加,bu'geng'jia
不够电,bu'gou'dian
不要得,bu'yao'de
不在贵港,bu'zai'gui'gang
菜茶茉,cai'cha'mo
才得,cai'de
茶道夫,cha'dao'fu
茶工坊,cha'gong'fang
炒螺丝,chao'luo'si
城隍岭,cheng'huang'ling
城市便捷,cheng'shi'bian'jie
城市怡景,cheng'shi'yi'jing
吃粉,chi'fen
吃果,chi'guo
吃开,chi'kai
吃某,chi'mou
吃为,chi'wei
吃夜,chi'ye
崇左,chong'zuo
崇左市,chong'zuo'shi
出来咧,chu'lai'lie
出来某,chu'lai'mou
出来为,chu'lai'wei
戳毛,chuo'mao
戳头,chuo'tou
从南宁,cong'nan'ning
粗口话,cu'kou'hua
大安,da'an
大把多,da'ba'duo
大东码头,da'dong'ma'tou
大化,da'hua
达开,da'kai
大容山,da'rong'shan
大水车,da'shui'che
大藤峡,da'teng'xia
大维,da'wei
大西园,da'xi'yuan
大新,da'xin
大圩镇,da'xu'zhen
大学酒,da'xue'jiu
丹泉,dan'quan
丹竹镇,dan'zhu'zhen
到贵港,dao'gui'gang
到几时,dao'ji'shi
到柳州,dao'liu'zhou
到南宁,dao'nan'ning
岛内价,dao'nei'jia
到夜,dao'ye
到玉林,dao'yu'lin
德宝,de'bao
德国同赢,de'guo'tong'ying
得了没,de'le'mei
得没,de'mei
得没有,de'mei'you
得某,de'mou
等逛街,deng'guang'jie
等下先,deng'xia'xian
地洞口,di'dong'kou
地豆,di'dou
地下铁,di'xia'tie
颠的,dian'de
颠咯,dian'ge
电脑试,dian'nao'shi
叼臭,diao'chou
叼杠,diao'gang
东方巴黎,dong'fang'ba'li
动岚,dong'lan
垌心乡,dong'xin'xiang
东兴,dong'xing
都不出声,dou'bu'chu'sheng
豆腐角,dou'fu'jiao
豆腐酿,dou'fu'niang
都见难,dou'jian'nan
度系,du'xi
段考,duan'kao
二农贸,er'nong'mao
发肉紧,fa'rou'jin
粉店,fen'dian
丰宝,feng'bao
凤凰街,feng'huang'jie
福来登,fu'lai'deng
福满家,fu'man'jia
富士新城,fu'shi'xin'cheng
甘化,gan'hua
港宝,gang'bao
港宝街,gang'bao'jie
港北,gang'bei
港北区,gang'bei'qu
刚得,gang'de
港龙湾,gang'long'wan
港南区,gang'nan'qu
搞通,gao'tong
割稻谷,ge'dao'gu
割禾,ge'he
给我为,gei'wo'wei
龚州网,gong'zhou'wang
够没有,gou'mei'you
古东,gu'dong
官成,guan'cheng
观音诞,guan'yin'dan
广浚,guang'jun
广西贵港,guang'xi'gui'gang
广西贵港市,guang'xi'gui'gang'shi
贵城,gui'cheng
桂电,gui'dian
鬼懂,gui'dong
鬼儿,gui'er
贵港,gui'gang
贵港的,gui'gang'de
贵港话,gui'gang'hua
贵港了,gui'gang'le
贵港人,gui'gang'ren
贵港市,gui'gang'shi
贵港站,gui'gang'zhan
贵高,gui'gao
桂平,gui'ping
桂平的,gui'ping'de
桂平了,gui'ping'le
桂平人,gui'ping'ren
