阿拉伯胶,a'la'bo'jiao
阿仑尼乌斯方程,a'lun'ni'wu'si'fang'cheng
阿洛索二辛基琥珀酸磺酸钠,a'luo'suo'er'xin'ji'hu'po'suan'huang'suan'na
阿洛索湿润剂,a'luo'suo'shi'run'ji
安瓿,an'bu
按分散系统分类,an'fen'san'xi'tong'fen'lei
按给药途径分类,an'gei'yao'tu'jing'fen'lei
安全调查员,an'quan'diao'cha'yuan
安全范围,an'quan'fan'wei
安全试验法,an'quan'shi'yan'fa
安全系统,an'quan'xi'tong
安全性,an'quan'xing
安慰剂,an'wei'ji
按形态分类,an'xing'tai'fen'lei
桉叶油,an'ye'you
按制法分类,an'zhi'fa'fen'lei
螯合剂,ao'he'ji
靶细胞,ba'xi'bao
靶向给药系统,ba'xiang'gei'yao'xi'tong
靶向制剂,ba'xiang'zhi'ji
靶向作用,ba'xiang'zuo'yong
白蛋白,bai'dan'bai
百分浓度,bai'fen'nong'du
败坏,bai'huai
白芨胶,bai'ji'jiao
颁布施行,ban'bu'shi'xing
半成品,ban'cheng'pin
半固体剂型,ban'gu'ti'ji'xing
半固体物,ban'gu'ti'wu
半固体制剂,ban'gu'ti'zhi'ji
半合成,ban'he'cheng
半合成脂肪酸甘油酯,ban'he'cheng'zhi'fang'suan'gan'you'zhi
半浸膏片,ban'jin'gao'pian
半抗原,ban'kang'yuan
半数致死剂量,ban'shu'zhi'si'ji'liang
半衰期,ban'shuai'qi
薄层层析法,bao'ceng'ceng'xi'fa
薄分散法,bao'fen'san'fa
包封率,bao'feng'lv
包含物,bao'han'wu
饱和度,bao'he'du
饱和溶液,bao'he'rong'ye
饱和水溶液,bao'he'shui'rong'ye
包合物,bao'he'wu
饱和现象,bao'he'xian'xiang
保护层,bao'hu'ceng
保护作用,bao'hu'zuo'yong
薄膜衣,bao'mo'yi
薄膜衣片,bao'mo'yi'pian
保湿剂,bao'shi'ji
爆头,bao'tou
包衣法,bao'yi'fa
包衣锅法,bao'yi'guo'fa
包衣片,bao'yi'pian
胞饮和吞噬,bao'yin'he'tun'shi
包装材料,bao'zhuang'cai'liao
背衬层,bei'chen'ceng
被动靶向制剂,bei'dong'ba'xiang'zhi'ji
被动扩散,bei'dong'kuo'san
被动免疫,bei'dong'mian'yi
被动转运,bei'dong'zhuan'yun
贝克勒尔,bei'ke'le'er
苯胺乙醚,ben'an'yi'mi
本草学,ben'cao'xue
苯酚,ben'fen
苯基,ben'ji
苯甲醇,ben'jia'chun
苯甲酸,ben'jia'suan
苯甲酸苄酯,ben'jia'suan'bian'zhi
苯甲酸钠,ben'jia'suan'na
苯甲酸酯,ben'jia'suan'zhi
崩解迟缓,beng'jie'chi'huan
崩解度,beng'jie'du
崩解剂,beng'jie'ji
崩解时限,beng'jie'shi'xian
避光密闭容器,bi'guang'mi'bi'rong'qi
避菌环境,bi'jun'huan'jing
吡咯酮,bi'luo'tong
蓖麻油,bi'ma'you
鼻粘膜给药,bi'nian'mo'gei'yao
鼻腔给药系统,bi'qiang'gei'yao'xi'tong
