爱即彼之集谛因,ai'ji'bi'zhi'ji'di'yin
百俱胝年亲感受,bai'ju'zhi'nian'qin'gan'shou
白昼上夜及下夜,bai'zhou'shang'ye'ji'xia'ye
彼当策励勤守护,bi'dang'ce'li'qin'shou'hu
彼对治门不骄矜,bi'dui'zhi'men'bu'jiao'jin
彼较地狱最微苦,bi'jiao'di'yu'zui'wei'ku
彼无他德亦应供,bi'wu'ta'de'yi'ying'gong
彼因爱财如命士,bi'yin'ai'cai'ru'ming'shi
彼族具梵阿阇黎,bi'zu'ju'fan'a'she'li
鞭抽铁勾等役使,bian'chou'tie'gou'deng'yi'shi
遍及虚空大地上,bian'ji'xu'kong'da'di'shang
遍体鳞伤实难忍,bian'ti'lin'shang'shi'nan'ren
病老死等众多苦,bing'lao'si'deng'zhong'duo'ku
病老死及爱别离,bing'lao'si'ji'ai'bie'li
不断被焚口亦张,bu'duan'bei'fen'kou'yi'zhang
不断感受痛苦也,bu'duan'gan'shou'tong'ku'ye
不贪终尽之天趣,bu'tan'zhong'jin'zhi'tian'qu
长久居于山王巅,chang'jiu'ju'yu'shan'wang'dian
长寿天生任一处,chang'shou'tian'sheng'ren'yi'chu
超离尘世名亦息,chao'li'chen'shi'ming'yi'xi
称心真实颠倒说,chen'xin'zhen'shi'dian'dao'shuo
成就如来正等觉,cheng'jiu'ru'lai'zheng'deng'jue
持长净转欲天身,chi'chang'jing'zhuan'yu'tian'shen
炽门难挡受热浪,chi'men'nan'dang'shou're'lang
持执身已不由己,chi'zhi'shen'yi'bu'you'ji
臭气显露九孔门,chou'qi'xian'lu'jiu'kong'men
出生肿瘤化脓食,chu'sheng'zhong'liu'hua'nong'shi
出世除老病贪嗔,chu'shi'chu'lao'bing'tan'chen
出忧病老求不得,chu'you'bing'lao'qiu'bu'de
触中生受彼生爱,chu'zhong'sheng'shou'bi'sheng'ai
初诸智者真勇士,chu'zhu'zhi'zhe'zhen'yong'shi
慈悲喜舍四无量,ci'bei'xi'she'si'wu'liang
此等即是八无暇,ci'deng'ji'shi'ba'wu'xia
此乃佛陀亲口说,ci'nai'fo'tuo'qin'kou'shuo
此生即苦称谓爱,ci'sheng'ji'ku'cheng'wei'ai
此四大轮汝具足,ci'si'da'lun'ru'ju'zu
此缘起乃佛语藏,ci'yuan'qi'nai'fo'yu'cang
从有出生若有生,cong'you'chu'sheng'ruo'you'sheng
从中生触能仁说,cong'zhong'sheng'chu'neng'ren'shuo
大地山王与海洋,da'di'shan'wang'yu'hai'yang
大海漂浮木轭孔,da'hai'piao'fu'mu'e'kong
当撑三福之明灯,dang'cheng'san'fu'zhi'ming'deng
当赐善男善女人,dang'ci'shan'nan'shan'nv'ren
当观少女身背后,dang'guan'shao'nv'shen'bei'hou
当恒敬具不放逸,dang'heng'jing'ju'bu'fang'yi
当令人生具实义,dang'ling'ren'sheng'ju'shi'yi
当弃此等三妇人,dang'qi'ci'deng'san'fu'ren
当勤于此称力根,dang'qin'yu'ci'cheng'li'gen
当如闻子宝藏命,dang'ru'wen'zi'bao'zang'ming
当悟经说色非我,dang'wu'jing'shuo'se'fei'wo
当知此等五种障,dang'zhi'ci'deng'wu'zhong'zhang
当知乃为多害器,dang'zhi'nai'wei'duo'hai'qi
当知人本无安乐,dang'zhi'ren'ben'wu'an'le
当知人类如芒果,dang'zhi'ren'lei'ru'mang'guo
当知贪欲与彼同,dang'zhi'tan'yu'yu'bi'tong
当知无慧无禅定,dang'zhi'wu'hui'wu'chan'ding
当知心如于水面,dang'zhi'xin'ru'yu'shui'mian
当知一切皆坏灭,dang'zhi'yi'qie'jie'huai'mie
当知蕴非随意生,dang'zhi'yun'fei'sui'yi'sheng
得离四大日月果,de'li'si'da'ri'yue'guo
等持智慧胜法位,deng'chi'zhi'hui'sheng'fa'wei
等舍此七谓觉支,deng'she'ci'qi'wei'jue'zhi
帝释堪称世间供,di'shi'kan'cheng'shi'jian'gong
地土抟成枣核丸,di'tu'tuan'cheng'zao'he'wan
地狱异熟他不分,di'yu'yi'shu'ta'bu'fen
掉举后悔与害心,diao'ju'hou'hui'yu'hai'xin
赌博以及看聚会,du'bo'yi'ji'kan'ju'hui
杜绝一切醇美酒,du'jue'yi'qie'chun'mei'jiu
独自趋入日月光,du'zi'qu'ru'ri'yue'guang
断嗔获得不退果,duan'chen'huo'de'bu'tui'guo
断除怀恨即安眠,duan'chu'huai'hen'ji'an'mian
断毁名誉之六法,duan'hui'ming'yu'zhi'liu'fa
堆积一处超山王,dui'ji'yi'chu'chao'shan'wang
多闻布施净知惭,duo'wen'bu'shi'jing'zhi'can
饿鬼所欲不遂意,e'gui'suo'yu'bu'sui'yi
二百五十余分戒,er'bai'wu'shi'yu'fen'jie
尔后行为倍谨慎,er'hou'xing'wei'bei'jin'shen
梵天光明遍净天,fan'tian'guang'ming'bian'jing'tian
梵天离贪得安乐,fan'tian'li'tan'de'an'le
放弃一切扑灭之,fang'qi'yi'qie'pu'mie'zhi
