啊出来,a'chu'lai
啊到了,a'dao'le
啊方便,a'fang'bian
阿福聊斋,a'fu'liao'zhai
阿福台,a'fu'tai
啊好啊,a'hao'a
啊好吃,a'hao'chi
啊好看,a'hao'kan
啊好啦,a'hao'la
啊好了,a'hao'le
啊好玩,a'hao'wan
啊回来,a'hui'lai
啊记得,a'ji'de
阿卡迪亚,a'ka'di'ya
啊开心,a'kai'xin
啊可以,a'ke'yi
啊来得及,a'lai'de'ji
啊来了,a'lai'le
啊忙,a'mang
啊去,a'qu
啊认识,a'ren'shi
阿是,a'shi
啊是啊,a'shi'a
啊是啦,a'shi'la
啊是哇,a'shi'wa
啊喜欢,a'xi'huan
啊晓得,a'xiao'de
啊要,a'yao
啊要吃,a'yao'chi
啊要来,a'yao'lai
啊要来了,a'yao'lai'le
啊要去,a'yao'qu
阿姨妈妈,a'yi'ma'ma
阿英煲,a'ying'bao
啊哟喂,a'yo'wei
啊有点,a'you'dian
啊有活动,a'you'huo'dong
啊有劲,a'you'jin
啊有空,a'you'kong
啊有钱,a'you'qian
啊有人,a'you'ren
啊有啥,a'you'sha
啊有什么,a'you'shen'me
啊有事,a'you'shi
啊在啊,a'zai'a
啊在家,a'zai'jia
啊知道,a'zhi'dao
爱居兔,ai'ju'tu
哎为,ai'wei
安安顿顿,an'an'dun'dun
暗测测,an'ce'ce
安顿点,an'dun'dian
安顿点吧,an'dun'dian'ba
安多点,an'duo'dian
安居房,an'ju'fang
安特鲁,an'te'lu
安稳点,an'wen'dian
安镇,an'zhen
昂公鱼,ang'gong'yu
奥点,ao'dian
奥林花园,ao'lin'hua'yuan
奥特莱斯,ao'te'lai'si
八佰伴,ba'bai'ban
芭比胶,ba'bi'jiao
巴登,ba'deng
巴登巴登,ba'deng'ba'deng
巴伐利亚,ba'fa'li'ya
巴奴,ba'nu
巴生港,ba'sheng'gang
八士,ba'shi
佰伴,bai'ban
百基拉,bai'ji'la
百家乐,bai'jia'le
白金汉爵,bai'jin'han'jue
百乐门,bai'le'men
白馒头,bai'man'tou
百脑汇,bai'nao'hui
百日酒,bai'ri'jiu
百喜,bai'xi
白相相,bai'xiang'xiang
百业广场,bai'ye'guang'chang
百叶结,bai'ye'jie
柏庄,bai'zhuang
拌馄饨,ban'hun'tun
搬家酒,ban'jia'jiu
斑节虾,ban'jie'xia
半卡,ban'ka
伴山,ban'shan
办税员,ban'shui'yuan
帮女儿,bang'nv'er
帮女郎,bang'nv'lang
包馄饨,bao'hun'tun
保利广场,bao'li'guang'chang
宝龙,bao'long
宝龙广场,bao'long'guang'chang
鲍鱼先生,bao'yu'xian'sheng
保障所,bao'zhang'suo
贝贝熊,bei'bei'xiong
北仓门,bei'cang'men
北疆饭店,bei'jiang'fan'dian
贝卡尔特,bei'ka'er'te
北七房,bei'qi'fang
北塘,bei'tang
北塘区,bei'tang'qu
被头,bei'tou
北渚,bei'zhu
本来哇,ben'lai'wa
本来为,ben'lai'wei
本来呀,ben'lai'ya
本票,ben'piao
本然,ben'ran
避高温,bi'gao'wen
比无锡,bi'wu'xi
必须的哇,bi'xu'de'wa
必须个,bi'xu'ge
边点,bian'dian
边头,bian'tou
表将,biao'jiang
表妹子,biao'mei'zi
别跟我烦,bie'gen'wo'fan
蹩脚,bie'jiao
别来烦,bie'lai'fan
瘪三,bie'san
别想想,bie'xiang'xiang
滨湖,bin'hu
滨湖区,bin'hu'qu
渤公岛,bo'gong'dao
不安顿,bu'an'dun
不错哇,bu'cuo'wa
不错为,bu'cuo'wei
不搭界,bu'da'jie
不带你好了,bu'dai'ni'hao'le
不得过,bu'de'guo
不得过得,bu'de'guo'de
不定心,bu'ding'xin
不懂哇,bu'dong'wa
不对哇,bu'dui'wa
不高兴出去,bu'gao'xing'chu'qu
不高兴去,bu'gao'xing'qu
布歌东京,bu'ge'dong'jing
不跟你烦,bu'gen'ni'fan
不跟你烦了,bu'gen'ni'fan'le
不挂水,bu'gua'shui
不好个,bu'hao'ge
不好为,bu'hao'wei
不和你烦,bu'he'ni'fan
不和你烦了,bu'he'ni'fan'le
不会个,bu'hui'ge
不会肯,bu'hui'ken
不交金,bu'jiao'jin
不肯的,bu'ken'de
不来撒,bu'lai'sa
不来事,bu'lai'shi
不来无锡,bu'lai'wu'xi
不礼拜,bu'li'bai
不麻将,bu'ma'jiang
不泡吧,bu'pao'ba
不然吧,bu'ran'ba
不上路,bu'shang'lu
不上照,bu'shang'zhao
