百步余长者立幼勿坐,bai'bu'yu'zhang'zhe'li'you'wu'zuo
百事坏,bai'shi'huai
报恩长待婢仆身贵端,bao'en'chang'dai'bi'pu'shen'gui'duan
敝聪明坏心志勿自暴,bi'cong'ming'huai'xin'zhi'wu'zi'bao
彼说长此说短不关己,bi'shuo'chang'ci'shuo'duan'bu'guan'ji
彼勿起宽为限紧用功,bi'wu'qi'kuan'wei'xian'jin'yong'gong
笔砚正墨磨偏心不端,bi'yan'zheng'mo'mo'pian'xin'bu'duan
便溺回辄净手冠必正,bian'niao'hui'zhe'jing'shou'guan'bi'zheng
不力行但学文长浮华,bu'li'xing'dan'xue'wen'chang'fu'hua
不亲仁无限害小人进,bu'qin'ren'wu'xian'hai'xiao'ren'jin
不如人勿生戚闻过怒,bu'ru'ren'wu'sheng'qi'wen'guo'nu
长呼人即代叫人不在,chang'hu'ren'ji'dai'jiao'ren'bu'zai
朝起早夜眠迟老易至,chao'qi'zao'ye'mian'chi'lao'yi'zhi
成何人但力行不学文,cheng'he'ren'dan'li'xing'bu'xue'wen
出必告反必面居有常,chu'bi'gao'fan'bi'mian'ju'you'chang
出则弟,chu'ze'di
次谨信泛爱众而亲仁,ci'jin'xin'fan'ai'zhong'er'qin'ren
当自砺若衣服若饮食,dang'zi'li'ruo'yi'fu'ruo'yin'shi
道两亏凡取与贵分晓,dao'liang'kui'fan'qu'yu'gui'fen'xiao
德有伤贻亲羞亲爱我,de'you'shang'yi'qin'xiu'qin'ai'wo
地同载行高者名自高,di'tong'zai'hang'gao'zhe'ming'zi'gao
弟子规圣人训首孝弟,di'zi'gui'sheng'ren'xun'shou'xiao'di
斗闹场绝勿近邪僻事,dou'nao'chang'jue'wu'jin'xie'pi'shi
对以名吾与我不分明,dui'yi'ming'wu'yu'wo'bu'fen'ming
对尊长勿见能路遇长,dui'zun'zhang'wu'jian'neng'lu'yu'chang
恩欲报怨欲忘报怨短,en'yu'bao'yuan'yu'wang'bao'yuan'duan
泛爱众,fan'ai'zhong
凡出言信为先诈与妄,fan'chu'yan'xin'wei'xian'zha'yu'wang
凡是人皆须爱天同覆,fan'shi'ren'jie'xu'ai'tian'tong'fu
方读此勿慕彼此未终,fang'du'ci'wu'mu'bi'ci'wei'zhong
房室清墙壁净几案洁,fang'shi'qing'qiang'bi'jing'ji'an'jie
父母呼应勿缓父母命,fu'mu'hu'ying'wu'huan'fu'mu'ming
父母责须顺承冬则温,fu'mu'ze'xu'shun'cheng'dong'ze'wen
工夫到滞塞通心有疑,gong'fu'dao'zhi'se'tong'xin'you'yi
苟轻诺进退错凡道字,gou'qing'nuo'jin'tui'cuo'fan'dao'zi
苟擅为子道亏物虽小,gou'shan'wei'zi'dao'kui'wu'sui'xiao
归于无倘掩饰增一辜,gui'yu'wu'tang'yan'shi'zeng'yi'gu
号泣随挞无怨亲有疾,hao'qi'sui'ta'wu'yuan'qin'you'ji
后有急借不难,hou'you'ji'jie'bu'nan
缓揭帘勿有声宽转弯,huan'jie'lian'wu'you'sheng'kuan'zhuan'wan
秽污词市井气切戒之,hui'wu'ci'shi'jing'qi'qie'jie'zhi
或坐走长者先幼者后,huo'zuo'zou'zhang'zhe'xian'you'zhe'hou
己即到称尊长勿呼名,ji'ji'dao'cheng'zun'zhang'wu'hu'ming
即内省有则改无加警,ji'nei'xing'you'ze'gai'wu'jia'jing
疾趋揖长无言退恭立,ji'qu'yi'chang'wu'yan'tui'gong'li
既是恶疾之甚祸且作,ji'shi'e'ji'zhi'shen'huo'qie'zuo
即为偷借人物及时还,ji'wei'tou'jie'ren'wu'ji'shi'hai
己有能勿自私人所能,ji'you'neng'wu'zi'si'ren'suo'neng
见未真勿轻言知未的,jian'wei'zhen'wu'qing'yan'zhi'wei'de
渐相亲无心非名为错,jian'xiang'qin'wu'xin'fei'ming'wei'cuo
将上堂声必扬人问谁,jiang'shang'tang'sheng'bi'yang'ren'wen'shui
近必趋退必迟问起对,jin'bi'qu'tui'bi'chi'wen'qi'dui
谨为去身有伤贻亲忧,jin'wei'qu'shen'you'shang'yi'qin'you
就补之非圣书屏勿视,jiu'bu'zhi'fei'sheng'shu'ping'wu'shi
酒肉绝丧尽礼祭尽诚,jiu'rou'jue'sang'jin'li'ji'jin'cheng
绝勿问将入门问孰存,jue'wu'wen'jiang'ru'men'wen'shu'cun
忙多错勿畏难勿轻略,mang'duo'cuo'wu'wei'nan'wu'qing'lue
莫闲管见人善即思齐,mo'xian'guan'jian'ren'shan'ji'si'qi
年方少勿饮酒饮酒醉,nian'fang'shao'wu'yin'jiu'yin'jiu'zui
纽必结袜与履俱紧切,niu'bi'jie'wa'yu'lv'ju'jin'qie
骑下马乘下车过犹待,qi'xia'ma'cheng'xia'che'guo'you'dai
切莫说道人善即是善,qie'mo'shuo'dao'ren'shan'ji'shi'shan
亲仁,qin'ren
亲所好力为具亲所恶,qin'suo'hao'li'wei'ju'qin'suo'e
亲有过谏使更怡吾色,qin'you'guo'jian'shi'geng'yi'wu'se
任己见昧理真读书法,ren'ji'jian'mei'li'zhen'du'shu'fa
人所重非貌高才大者,ren'suo'zhong'fei'mao'gao'cai'da'zhe
人有短切莫揭人有私,ren'you'duan'qie'mo'jie'ren'you'si
仁者希果仁者人多畏,ren'zhe'xi'guo'ren'zhe'ren'duo'wei
人知之愈思勉扬人恶,ren'zhi'zhi'yu'si'mian'yang'ren'e
柔吾声谏不入悦复谏,rou'wu'sheng'jian'bu'ru'yue'fu'jian
