安定王室,an'ding'wang'shi
按土地的肥瘠,an'tu'di'de'fei'ji
按土地面积,an'tu'di'mian'ji
八个,ba'ge
白公胜,bai'gong'sheng
半渡击之,ban'du'ji'zhi
帮助或干涉,bang'zhu'huo'gan'she
被臣下,bei'chen'xia
被称为,bei'cheng'wei
北达黄河,bei'da'huang'he
被晋所阻,bei'jin'suo'zu
背晋向楚,bei'jin'xiang'chu
被开垦为,bei'kai'ken'wei
被灭,bei'mie
被迫,bei'po
北戎,bei'rong
被吴国,bei'wu'guo
比较近,bi'jiao'jin
避开楚军,bi'kai'chu'jun
边境地区,bian'jing'di'qu
变了农业,bian'le'nong'ye
编年史,bian'nian'shi
编年体,bian'nian'ti
编年体史书,bian'nian'ti'shi'shu
边生产,bian'sheng'chan
鞭尸三百,bian'shi'san'bai
便向西吞并,bian'xiang'xi'tun'bing
边销售,bian'xiao'shou
表示允许,biao'shi'yun'xu
并把持,bing'ba'chi
并据以征收,bing'ju'yi'zheng'shou
并赏赐他,bing'shang'ci'ta
并送给吴王,bing'song'gei'wu'wang
并胁迫,bing'xie'po
兵源,bing'yuan
并作过,bing'zuo'guo
伯嚭,bo'pi
不得保其,bu'de'bao'qi
不敢去救,bu'gan'qu'jiu
不更,bu'geng
补给供应,bu'ji'gong'ying
不仅敢于,bu'jin'gan'yu
不久又,bu'jiu'you
不可胜数,bu'ke'sheng'shu
部门发展起来,bu'men'fa'zhan'qi'lai
不仁不义,bu'ren'bu'yi
部下的,bu'xia'de
采矿业,cai'kuang'ye
才完成其,cai'wan'cheng'qi
采邑,cai'yi
册封晋文公为,ce'feng'jin'wen'gong'wei
册立韩赵魏,ce'li'han'zhao'wei
曾不同程度地,ceng'bu'tong'cheng'du'di
产生了新的,chan'sheng'le'xin'de
产生于,chan'sheng'yu
常用来表示,chang'yong'lai'biao'shi
朝聘,chao'pin
趁楚军,chen'chu'jun
陈等国军队,chen'deng'guo'jun'dui
趁敌,chen'di
称霸,cheng'ba
称霸时,cheng'ba'shi
称霸西戎,cheng'ba'xi'rong
称霸中原,cheng'ba'zhong'yuan
城濮,cheng'pu
城濮战后,cheng'pu'zhan'hou
城濮之战,cheng'pu'zhi'zhan
承认土地私有,cheng'ren'tu'di'si'you
乘势北进,cheng'shi'bei'jin
成为霸主,cheng'wei'ba'zhu
成为春秋,cheng'wei'chun'qiu
称为春秋时代,cheng'wei'chun'qiu'shi'dai
称为春秋时期,cheng'wei'chun'qiu'shi'qi
成为贵族,cheng'wei'gui'zu
成为可能,cheng'wei'ke'neng
成为小霸,cheng'wei'xiao'ba
成为中原,cheng'wei'zhong'yuan
成为最后,cheng'wei'zui'hou
称雄一时,cheng'xiong'yi'shi
称正卿,cheng'zheng'qing
城中的,cheng'zhong'de
吃掉对方,chi'diao'dui'fang
宠信爱姬,chong'xin'ai'ji
楚成于,chu'cheng'yu
楚都郢,chu'dou'ying
楚国便,chu'guo'bian
楚国称,chu'guo'cheng
楚国的,chu'guo'de
楚国进攻,chu'guo'jin'gong
楚国令尹,chu'guo'ling'yin
楚国兴起,chu'guo'xing'qi
楚国因,chu'guo'yin
楚国在,chu'guo'zai
楚军,chu'jun
楚军包围,chu'jun'bao'wei
楚平王墓,chu'ping'wang'mu
楚人,chu'ren
除使用,chu'shi'yong
初税禾,chu'shui'he
出现了,chu'xian'le
楚与晋,chu'yu'jin
楚庄王,chu'zhuang'wang
楚庄王率军,chu'zhuang'wang'shuai'jun
楚庄王又,chu'zhuang'wang'you
传统观念仍,chuan'tong'guan'nian'reng
创造了,chuang'zao'le
春季和秋季,chun'ji'he'qiu'ji
春秋初期,chun'qiu'chu'qi
春秋得名,chun'qiu'de'ming
春秋和战国,chun'qiu'he'zhan'guo
春秋后期,chun'qiu'hou'qi
春秋末期,chun'qiu'mo'qi
春秋史,chun'qiu'shi
春秋时,chun'qiu'shi
春秋时代,chun'qiu'shi'dai
春秋时期,chun'qiu'shi'qi
春秋五霸,chun'qiu'wu'ba
春秋五霸之首,chun'qiu'wu'ba'zhi'shou
春秋战国,chun'qiu'zhan'guo
春秋战国之际,chun'qiu'zhan'guo'zhi'ji
春秋之中,chun'qiu'zhi'zhong
春秋中期以后,chun'qiu'zhong'qi'yi'hou
此后的周朝,ci'hou'de'zhou'chao
此后战争,ci'hou'zhan'zheng
此即,ci'ji
次年初,ci'nian'chu
次年因,ci'nian'yin
从而使,cong'er'shi
从公元前,cong'gong'yuan'qian
从镐京,cong'hao'jing
从前是,cong'qian'shi
促进国家,cu'jin'guo'jia
促进了,cu'jin'le
存世,cun'shi
错金,cuo'jin
错金铭文,cuo'jin'ming'wen
错银,cuo'yin
大败楚军,da'bai'chu'jun
打败后,da'bai'hou
打败晋军,da'bai'jin'jun
大败齐军,da'bai'qi'jun
大大减少,da'da'jian'shao
大发展的时期,da'fa'zhan'de'shi'qi
大国称,da'guo'cheng
大会诸侯,da'hui'zhu'hou
大胜,da'sheng
大体上,da'ti'shang
大腿中箭,da'tui'zhong'jian
但楚国,dan'chu'guo
但宋国,dan'song'guo
但由于,dan'you'yu
当中原,dang'zhong'yuan
到春秋末年,dao'chun'qiu'mo'nian
到后来只剩,dao'hou'lai'zhi'sheng
