大小便正常,da'xiao'bian'zheng'chang
待完善相关检查后进一步诊治,dai'wan'shan'xiang'guan'jian'cha'hou'jin'yi'bu'zhen'zhi
肝功能示转氨酶偏高,gan'gong'neng'shi'zhuan'an'mei'pian'gao
肝功示低蛋白血症,gan'gong'shi'di'dan'bai'xue'zheng
患者诉咳嗽咳痰好转,huan'zhe'su'ke'sou'ke'tan'hao'zhuan
患者诉头晕稍好转,huan'zhe'su'tou'yun'shao'hao'zhuan
患者诉胸闷较前好转,huan'zhe'su'xiong'men'jiao'qian'hao'zhuan
今日查房,jin'ri'cha'fang
精神及胃纳可,jing'shen'ji'wei'na'ke
生化示低钾血症,sheng'hua'shi'di'jia'xue'zheng
生化示低钠血症,sheng'hua'shi'di'na'xue'zheng
体重无明显改变,ti'zhong'wu'ming'xian'gai'bian
完善检查评估靶器官损害情况,wan'shan'jian'cha'ping'gu'ba'qi'guan'sun'hai'qing'kuang
无恶心及呕吐,wu'e'xin'ji'ou'tu
无腹痛及腹泻,wu'fu'tong'ji'fu'xie
无昏迷及抽搐,wu'hun'mi'ji'chou'chu
无咳嗽及咳痰,wu'ke'sou'ji'ke'tan
无尿频及尿痛,wu'niao'pin'ji'niao'tong
无畏寒及发热,wu'wei'han'ji'fa're
无胸闷及胸痛,wu'xiong'men'ji'xiong'tong
血常规示轻度贫血,xue'chang'gui'shi'qing'du'pin'xue
血尿酸示合并高尿酸血症,xue'niao'suan'shi'he'bing'gao'niao'suan'xue'zheng
血脂提示合并高脂血症,xue'zhi'ti'shi'he'bing'gao'zhi'xue'zheng
依据病史症状及辅助检查,yi'ju'bing'shi'zheng'zhuang'ji'fu'zhu'jian'cha
肿瘤指标升高病史,zhong'liu'zhi'biao'sheng'gao'bing'shi
主任医师查房后分析,zhu'ren'yi'shi'cha'fang'hou'fen'xi
注意检查结果回报,zhu'yi'jian'cha'jie'guo'hui'bao
注意密切观察病情变化,zhu'yi'mi'qie'guan'cha'bing'qing'bian'hua
注意完善相关检查,zhu'yi'wan'shan'xiang'guan'jian'cha
主治医师查房胡分析,zhu'zhi'yi'shi'cha'fang'hu'fen'xi
