阿昌族,a'chang'zu
阿凡提,a'fan'ti
阿诗玛,a'shi'ma
阿细的先基,a'xi'de'xian'ji
爱多法不立,ai'duo'fa'bu'li
爱父母,ai'fu'mu
爱己者非为用己也,ai'ji'zhe'fei'wei'yong'ji'ye
爱类,ai'lei
爱力,ai'li
艾里甫和赛乃姆,ai'li'fu'he'sai'nai'mu
爱利俱行,ai'li'ju'xing
哀女界,ai'nv'jie
爱情三部曲,ai'qing'san'bu'qu
爱人不外己,ai'ren'bu'wai'ji
爱日,ai'ri
爱设于先,ai'she'yu'xian
艾思奇,ai'si'qi
安高在乎同利,an'gao'zai'hu'tong'li
安礼,an'li
安命,an'ming
安取仁义,an'qu'ren'yi
安身,an'shen
安时而处顺,an'shi'er'chu'shun
暗示之威,an'shi'zhi'wei
安于义命,an'yu'yi'ming
八厨,ba'chu
罢黜百家,ba'chu'bai'jia
霸道,ba'dao
八顾,ba'gu
八观,ba'guan
八及,ba'ji
八戒,ba'jie
巴金,ba'jin
八经,ba'jing
八俊,ba'jun
八恺八元,ba'kai'ba'yuan
八苦,ba'ku
八路军新四军的英雄主义,ba'lu'jun'xin'si'jun'de'ying'xiong'zhu'yi
八说,ba'shuo
百行之源,bai'hang'zhi'yuan
白虎观会议,bai'hu'guan'hui'yi
白虎通,bai'hu'tong
白虎通德论,bai'hu'tong'de'lun
白虎通义,bai'hu'tong'yi
白居易,bai'ju'yi
白莲教,bai'lian'jiao
白鹿洞书院教条,bai'lu'dong'shu'yuan'jiao'tiao
白鹿洞书院论语讲义,bai'lu'dong'shu'yuan'lun'yu'jiang'yi
白朴,bai'pu
白沙学派,bai'sha'xue'pai
白沙子全集,bai'sha'zi'quan'ji
白兔记,bai'tu'ji
白心,bai'xin
百姓开利防淫,bai'xing'kai'li'fang'yin
百姓日用即道,bai'xing'ri'yong'ji'dao
百行之原,bai'xing'zhi'yuan
百源学派,bai'yuan'xue'pai
拜月事记,bai'yue'shi'ji
百战奇法,bai'zhan'qi'fa
半部论语治天下,ban'bu'lun'yu'zhi'tian'xia
班固,ban'gu
班昭,ban'zhao
棒喝,bang'he
谤誉,bang'yu
保持艰苦奋斗的作风,bao'chi'jian'ku'fen'dou'de'zuo'feng
宝峰学派,bao'feng'xue'pai
包公,bao'gong
宝剑记,bao'jian'ji
鲍敬言,bao'jing'yan
抱朴子,bao'pu'zi
保身,bao'shen
包拯,bao'zheng
保证安定团结其他,bao'zheng'an'ding'tuan'jie'qi'ta
北京大学马克思学说研究会,bei'jing'da'xue'ma'ke'si'xue'shuo'yan'jiu'hui
北京大学平民教育讲演团,bei'jing'da'xue'ping'min'jiao'yu'jiang'yan'tuan
备内,bei'nei
北山四先生,bei'shan'si'xian'sheng
北溪学派,bei'xi'xue'pai
北溪字义,bei'xi'zi'yi
本德宗道,ben'de'zong'dao
本富为上,ben'fu'wei'shang
本行,ben'hang
本经训,ben'jing'xun
本命解,ben'ming'jie
本然之性,ben'ran'zhi'xing
本生,ben'sheng
本心,ben'xin
本性,ben'xing
比较伦理学,bi'jiao'lun'li'xue
逼上梁山,bi'shang'liang'shan
彼是相因,bi'shi'xiang'yin
鼻息说,bi'xi'shuo
必有邪,bi'you'xie
比于赤子,bi'yu'chi'zi
变化气质,bian'hua'qi'zhi
辨惑编,bian'huo'bian
辩乐,bian'le
扁鹊,bian'que
辨性,bian'xing
便有一日进益,bian'you'yi'ri'jin'yi
辨忠章,bian'zhong'zhang
表记,biao'ji
兵略训,bing'lue'xun
病梅馆记,bing'mei'guan'ji
兵以诡诈为道,bing'yi'gui'zha'wei'dao
兵战为下,bing'zhan'wei'xia
兵者动人行义,bing'zhe'dong'ren'xing'yi
博爱,bo'ai
博爱之谓仁,bo'ai'zhi'wei'ren
博爱主义,bo'ai'zhu'yi
驳不孝有三无后为大,bo'bu'xiao'you'san'wu'hou'wei'da
驳康有为论革命书,bo'kang'you'wei'lun'ge'ming'shu
拨乱反正移风易俗,bo'luan'fan'zheng'yi'feng'yi'su
般若,bo're
般若学,bo're'xue
博施于民而能济众,bo'shi'yu'min'er'neng'ji'zhong
博学而不自反,bo'xue'er'bu'zi'fan
伯牙琴,bo'ya'qin
伯夷,bo'yi
伯夷列传,bo'yi'lie'zhuan
布袋和尚,bu'dai'he'shang
不动心,bu'dong'xin
不恶危难,bu'e'wei'nan
