安匝数,an'za'shu
闭式风冷,bi'shi'feng'leng
扁方,bian'fang
并联支路数,bing'lian'zhi'lu'shu
并绕根数,bing'rao'gen'shu
参数计算,can'shu'ji'suan
槽满率,cao'man'lv
槽面积,cao'mian'ji
槽锲厚度,cao'qie'hou'du
槽纸厚度,cao'zhi'hou'du
抽头匝比,chou'tou'za'bi
串激,chuan'ji
磁场圆度,ci'chang'yuan'du
磁化曲线,ci'hua'qu'xian
磁路,ci'lu
磁势,ci'shi
单相异步,dan'xiang'yi'bu
导体材料,dao'ti'cai'liao
导体价格,dao'ti'jia'ge
导体密度,dao'ti'mi'du
导条电流,dao'tiao'dian'liu
导条电密,dao'tiao'dian'mi
第一类绕组,di'yi'lei'rao'zu
电磁设计计算单,dian'ci'she'ji'ji'suan'dan
电机额定数据,dian'ji'e'ding'shu'ju
电机极数,dian'ji'ji'shu
电机类型,dian'ji'lei'xing
电机设计,dian'ji'she'ji
电机型号,dian'ji'xing'hao
电抗,dian'kang
电流密度,dian'liu'mi'du
电容端电压,dian'rong'duan'dian'ya
电容损耗,dian'rong'sun'hao
电势系数,dian'shi'xi'shu
电源频率,dian'yuan'pin'lv
电阻,dian'zu
电阻率,dian'zu'lv
定转子叠厚,ding'zhuan'zi'die'hou
定子槽数,ding'zi'cao'shu
定子槽形,ding'zi'cao'xing
定子齿长,ding'zi'chi'chang
定子齿磁密,ding'zi'chi'ci'mi
定子齿距,ding'zi'chi'ju
定子齿宽,ding'zi'chi'kuan
定子冲片,ding'zi'chong'pian
定子轭长,ding'zi'e'chang
定子轭磁密,ding'zi'e'ci'mi
定子轭高,ding'zi'e'gao
定子净重,ding'zi'jing'zhong
定子内径,ding'zi'nei'jing
定子铁损系数,ding'zi'tie'sun'xi'shu
定子外径,ding'zi'wai'jing
端环电流,duan'huan'dian'liu
端环电密,duan'huan'dian'mi
端环厚度,duan'huan'hou'du
端环截面积,duan'huan'jie'mian'ji
端环内径,duan'huan'nei'jing
端环外径,duan'huan'wai'jing
端环中径,duan'huan'zhong'jing
额定电压,e'ding'dian'ya
额定指标,e'ding'zhi'biao
风摩耗,feng'mo'hao
附加损耗系数,fu'jia'sun'hao'xi'shu
付绕组铜重,fu'rao'zu'tong'zhong
付线,fu'xian
付线电密,fu'xian'dian'mi
付相电流,fu'xiang'dian'liu
付相电流角,fu'xiang'dian'liu'jiao
付相数据,fu'xiang'shu'ju
功率因数,gong'lv'yin'shu
基本型式,ji'ben'xing'shi
极距,ji'ju
计算电压,ji'suan'dian'ya
计算频率,ji'suan'pin'lv
机械损耗,ji'xie'sun'hao
绝缘等级,jue'yuan'deng'ji
空载,kong'zai
空载机械损耗,kong'zai'ji'xie'sun'hao
冷却方式,leng'que'fang'shi
梨形槽,li'xing'cao
两绕组正交,liang'rao'zu'zheng'jiao
漏抗,lou'kang
铝耗,lv'hao
毛坯外径,mao'pi'wai'jing
每极串联总匝数,mei'ji'chuan'lian'zong'za'shu
每极磁通量,mei'ji'ci'tong'liang
每极有效串联总匝数,mei'ji'you'xiao'chuan'lian'zong'za'shu
南牛,nan'niu
漆包线,qi'bao'xian
气隙磁密,qi'xi'ci'mi
气隙宽度,qi'xi'kuan'du
气隙有效宽度,qi'xi'you'xiao'kuan'du
绕组成本,rao'zu'cheng'ben
绕组电阻,rao'zu'dian'zu
绕组数据,rao'zu'shu'ju
绕组系数,rao'zu'xi'shu
绕组型式,rao'zu'xing'shi
绕组种类,rao'zu'zhong'lei
绕组总线重,rao'zu'zong'xian'zhong
热负荷,re'fu'he
三相异步,san'xiang'yi'bu
上部宽度,shang'bu'kuan'du
设计总成本,she'ji'zong'cheng'ben
输出功率,shu'chu'gong'lv
输出扭矩,shu'chu'niu'ju
数据,shu'ju
输入电流,shu'ru'dian'liu
输入功率,shu'ru'gong'lv
损耗曲线,sun'hao'qu'xian
铁损耗,tie'sun'hao
铁芯成本,tie'xin'cheng'ben
铁芯叠厚,tie'xin'die'hou
铁芯叠压系数,tie'xin'die'ya'xi'shu
铁芯废料,tie'xin'fei'liao
铁芯价格,tie'xin'jia'ge
铁芯毛重,tie'xin'mao'zhong
铁芯密度,tie'xin'mi'du
铁芯有效长度,tie'xin'you'xiao'chang'du
铜耗,tong'hao
相间夹角,xiang'jian'jia'jiao
效率,xiao'lv
斜槽宽度,xie'cao'kuan'du
有效材料净重,you'xiao'cai'liao'jing'zhong
圆底槽,yuan'di'cao
运转电容,yun'zhuan'dian'rong
匝比,za'bi
直径,zhi'jing
中间绕组,zhong'jian'rao'zu
铸铝,zhu'lv
主绕组,zhu'rao'zu
主绕组铜重,zhu'rao'zu'tong'zhong
主绕组系数,zhu'rao'zu'xi'shu
主线,zhu'xian
主线电密,zhu'xian'dian'mi
主相电流,zhu'xiang'dian'liu
主相电流角,zhu'xiang'dian'liu'jiao
主相数据,zhu'xiang'shu'ju
转速,zhuan'su
转子槽数,zhuan'zi'cao'shu
转子槽形,zhuan'zi'cao'xing
转子齿长,zhuan'zi'chi'chang
转子齿磁密,zhuan'zi'chi'ci'mi
转子齿距,zhuan'zi'chi'ju
转子齿宽,zhuan'zi'chi'kuan
转子冲片,zhuan'zi'chong'pian
转子电阻系数,zhuan'zi'dian'zu'xi'shu
转子端环,zhuan'zi'duan'huan
转子轭长,zhuan'zi'e'chang
转子轭磁密,zhuan'zi'e'ci'mi
转子轭高,zhuan'zi'e'gao
转子净重,zhuan'zi'jing'zhong
转子铝成本,zhuan'zi'lv'cheng'ben
转子铝重,zhuan'zi'lv'zhong
转子内径,zhuan'zi'nei'jing
转子铁损系数,zhuan'zi'tie'sun'xi'shu
总损耗,zong'sun'hao
