变异型心绞痛,bian'yi'xing'xin'jiao'tong
病态窦房结综合征,bing'tai'dou'fang'jie'zong'he'zheng
并行心律,bing'xing'xin'lv
并行性室性心动过速,bing'xing'xing'shi'xing'xin'dong'guo'su
波倒置,bo'dao'zhi
波低平,bo'di'ping
波低平或倒置,bo'di'ping'huo'dao'zhi
波低平双向,bo'di'ping'shuang'xiang
波高大,bo'gao'da
波高尖,bo'gao'jian
波时间延长,bo'shi'jian'yan'chang
波时间正常,bo'shi'jian'zheng'chang
波双向,bo'shuang'xiang
波增高,bo'zeng'gao
波增宽,bo'zeng'kuan
波振幅,bo'zhen'fu
不同步度双侧束支阻滞,bu'tong'bu'du'shuang'ce'shu'zhi'zu'zhi
不完全性房室脱节,bu'wan'quan'xing'fang'shi'tuo'jie
不完全性右束支阻滞,bu'wan'quan'xing'you'shu'zhi'zu'zhi
不完全性左束支传导阻滞,bu'wan'quan'xing'zuo'shu'zhi'chuan'dao'zu'zhi
插入性交界性早搏,cha'ru'xing'jiao'jie'xing'zao'bo
呈双峰型,cheng'shuang'feng'xing
呈损伤型抬高,cheng'sun'shang'xing'tai'gao
传导障碍所致的心律失常,chuan'dao'zhang'ai'suo'zhi'de'xin'lv'shi'chang
低血钾,di'xue'jia
典型心绞痛,dian'xing'xin'jiao'tong
电轴右偏,dian'zhou'you'pian
窦房结内游走性心律,dou'fang'jie'nei'you'zou'xing'xin'lv
窦房结暂停,dou'fang'jie'zan'ting
窦房结至房室交界区游走心律,dou'fang'jie'zhi'fang'shi'jiao'jie'qu'you'zou'xin'lv
窦房阻滞,dou'fang'zu'zhi
窦性波,dou'xing'bo
窦性静止,dou'xing'jing'zhi
窦性停搏,dou'xing'ting'bo
窦性心动过缓,dou'xing'xin'dong'guo'huan
窦性心动过速,dou'xing'xin'dong'guo'su
窦性心律不齐,dou'xing'xin'lv'bu'qi
度房室传导阻滞,du'fang'shi'chuan'dao'zu'zhi
度双侧束支阻滞,du'shuang'ce'shu'zhi'zu'zhi
度型窦房传导阻滞,du'xing'dou'fang'chuan'dao'zu'zhi
度型房室传导阻滞,du'xing'fang'shi'chuan'dao'zu'zhi
度型房室传导阻滞房室传导阻滞,du'xing'fang'shi'chuan'dao'zu'zhi'fang'shi'chuan'dao'zu'zhi
段呈水平型,duan'cheng'shui'ping'xing
段呈下斜型下移,duan'cheng'xia'xie'xing'xia'yi
段明显下降,duan'ming'xian'xia'jiang
段缺血型下移,duan'que'xue'xing'xia'yi
段上升,duan'shang'sheng
段抬高,duan'tai'gao
段下移,duan'xia'yi
段压低,duan'ya'di
短暂窦性停搏,duan'zan'dou'xing'ting'bo
短阵性室性心动过速,duan'zhen'xing'shi'xing'xin'dong'guo'su
多形性室性心动过速,duo'xing'xing'shi'xing'xin'dong'guo'su
多形性室性早搏,duo'xing'xing'shi'xing'zao'bo
多源性室性早搏,duo'yuan'xing'shi'xing'zao'bo
二尖瓣型波,er'jian'ban'xing'bo
二联律,er'lian'lv
反复发作型连续的室性心动过速,fan'fu'fa'zuo'xing'lian'xu'de'shi'xing'xin'dong'guo'su
房室传导延迟,fang'shi'chuan'dao'yan'chi
房室传导阻滞,fang'shi'chuan'dao'zu'zhi
房室肥大,fang'shi'fei'da
房室交界区逸搏,fang'shi'jiao'jie'qu'yi'bo
房室交界区逸搏心律,fang'shi'jiao'jie'qu'yi'bo'xin'lv
房室交界区游走心律,fang'shi'jiao'jie'qu'you'zou'xin'lv
房室结内双径路,fang'shi'jie'nei'shuang'jing'lu
房性并行心律,fang'xing'bing'xing'xin'lv
房性反复心律,fang'xing'fan'fu'xin'lv
房性期前收缩,fang'xing'qi'qian'shou'suo
房性融合波,fang'xing'rong'he'bo
房性逸搏,fang'xing'yi'bo
房性逸搏心律,fang'xing'yi'bo'xin'lv
非呼吸性窦性心律不齐,fei'hu'xi'xing'dou'xing'xin'lv'bu'qi
肺型波,fei'xing'bo
非阵发性室性心动过速,fei'zhen'fa'xing'shi'xing'xin'dong'guo'su
风湿性二尖瓣狭窄,feng'shi'xing'er'jian'ban'xia'zhai
改变,gai'bian
高度房室传导阻滞,gao'du'fang'shi'chuan'dao'zu'zhi
高血钾,gao'xue'jia
冠状,guan'zhuang
冠状动脉供血不全,guan'zhuang'dong'mai'gong'xue'bu'quan
冠状窦性心律,guan'zhuang'dou'xing'xin'lv
呼吸性窦性心律不齐,hu'xi'xing'dou'xing'xin'lv'bu'qi
激动起源失常,ji'dong'qi'yuan'shi'chang
急性冠状动脉供血不全,ji'xing'guan'zhuang'dong'mai'gong'xue'bu'quan
急性心肌梗塞,ji'xing'xin'ji'geng'se
假性电轴左偏,jia'xing'dian'zhou'zuo'pian
假性室颤,jia'xing'shi'chan
尖端扭转型室性心动过速,jian'duan'niu'zhuan'xing'shi'xing'xin'dong'guo'su
间距,jian'ju
间期,jian'qi
间期延长,jian'qi'yan'chang
交界区性波,jiao'jie'qu'xing'bo
交界性并行心律,jiao'jie'xing'bing'xing'xin'lv
交界性反复心律,jiao'jie'xing'fan'fu'xin'lv
交界性期前收缩,jiao'jie'xing'qi'qian'shou'suo
交界性心律,jiao'jie'xing'xin'lv
