埃博拉,ai'bo'la
埃博拉病毒,ai'bo'la'bing'du
埃博拉病毒病,ai'bo'la'bing'du'bing
埃博拉出血热,ai'bo'la'chu'xue're
埃博拉疫苗,ai'bo'la'yi'miao
埃博拉治疗点,ai'bo'la'zhi'liao'dian
埃博拉治疗中心,ai'bo'la'zhi'liao'zhong'xin
本迪布焦型,ben'di'bu'jiao'xing
病例追踪,bing'li'zhui'zong
病人管理,bing'ren'guan'li
差距分析,cha'ju'fen'xi
单克隆抗体,dan'ke'long'kang'ti
非人灵长类动物,fei'ren'ling'zhang'lei'dong'wu
感染防控,gan'ran'fang'kong
隔离,ge'li
隔离衣,ge'li'yi
果蝠,guo'fu
莱斯顿型,lai'si'dun'xing
密切接触者,mi'qie'jie'chu'zhe
南苏丹,nan'su'dan
缺口分析,que'kou'fen'xi
确认病例,que'ren'bing'li
人间传播,ren'jian'chuan'bo
人人传播,ren'ren'chuan'bo
尸体管理,shi'ti'guan'li
实验性疗法,shi'yan'xing'liao'fa
苏丹型,su'dan'xing
塔伊森林型,ta'yi'sen'lin'xing
突发事件管理,tu'fa'shi'jian'guan'li
无国界医生组织,wu'guo'jie'yi'sheng'zu'zhi
疑似病例,yi'si'bing'li
应急指挥中心,ying'ji'zhi'hui'zhong'xin
扎伊尔型,zha'yi'er'xing
指示病例,zhi'shi'bing'li
致死率,zhi'si'lv
转诊,zhuan'zhen
转诊中心,zhuan'zhen'zhong'xin
