八大部,ba'da'bu
巴虎屯,ba'hu'tun
百汇街,bai'hui'jie
百汇路,bai'hui'lu
白菊胡同,bai'ju'hu'tong
白菊路,bai'ju'lu
百菊路,bai'ju'lu
白瘸子米线,bai'que'zi'mi'xian
白山胡同,bai'shan'hu'tong
白山市,bai'shan'shi
北安路,bei'an'lu
北安路北三胡同,bei'an'lu'bei'san'hu'tong
北安路东胡同,bei'an'lu'dong'hu'tong
北胡同,bei'hu'tong
贝宁里,bei'ning'li
滨河公园,bin'he'gong'yuan
岔路乡,cha'lu'xiang
长白路,chang'bai'lu
长财大酒店,chang'cai'da'jiu'dian
长春明珠,chang'chun'ming'zhu
长景路,chang'jing'lu
长岭县,chang'ling'xian
长庆胡同,chang'qing'hu'tong
长庆街,chang'qing'jie
长铁机务段,chang'tie'ji'wu'duan
昌邑区,chang'yi'qu
长影世纪村,chang'ying'shi'ji'cun
朝阳区,chao'yang'qu
重庆胡同,chong'qing'hu'tong
重庆路,chong'qing'lu
崇智胡同,chong'zhi'hu'tong
崇智路,chong'zhi'lu
船营区,chuan'ying'qu
创业大街,chuang'ye'da'jie
春铁大厦,chun'tie'da'sha
大黑山,da'hei'shan
大经路,da'jing'lu
大秦瓦罐,da'qin'wa'guan
德惠市,de'hui'shi
地质宫,di'zhi'gong
鼎盛国际,ding'sheng'guo'ji
丁香街,ding'xiang'jie
丁香路,ding'xiang'lu
东城宾馆,dong'cheng'bin'guan
东大桥,dong'da'qiao
东道口,dong'dao'kou
东方交电商场,dong'fang'jiao'dian'shang'chang
东风大街,dong'feng'da'jie
东局子,dong'ju'zi
东蓝城,dong'lan'cheng
东辽河,dong'liao'he
东七条,dong'qi'tiao
东三条街,dong'san'tiao'jie
东升大酒店,dong'sheng'da'jiu'dian
东市场,dong'shi'chang
东师路,dong'shi'lu
东阳区,dong'yang'qu
东中华路,dong'zhong'hua'lu
二道区,er'dao'qu
繁荣胡同,fan'rong'hu'tong
丰和日丽,feng'he'ri'li
冯家屯,feng'jia'tun
丰满大坝,feng'man'da'ba
丰满区,feng'man'qu
丰顺街,feng'shun'jie
富奥临河湾,fu'ao'lin'he'wan
弗朗明歌,fu'lang'ming'ge
芙蓉小肥羊,fu'rong'xiao'fei'yang
福源馆,fu'yuan'guan
嘎巴锅,ga'ba'guo
工农广场,gong'nong'guang'chang
公主岭,gong'zhu'ling
公主岭市,gong'zhu'ling'shi
广州路南二胡同,guang'zhou'lu'nan'er'hu'tong
硅谷大街,gui'gu'da'jie
桂林路,gui'lin'lu
桂香楼,gui'xiang'lou
贵阳街,gui'yang'jie
汉口大街,han'kou'da'jie
浩泰,hao'tai
好望角大厦,hao'wang'jiao'da'sha
皓月大路,hao'yue'da'lu
和平大街,he'ping'da'jie
核学会,he'xue'hui
黑水路,hei'shui'lu
红光胡同,hong'guang'hu'tong
红旗街,hong'qi'jie
呼伦北胡同,hu'lun'bei'hu'tong
虎牛沟,hu'niu'gou
华正,hua'zheng
环江东路,huan'jiang'dong'lu
环宇体育,huan'yu'ti'yu
惠工立交桥,hui'gong'li'jiao'qiao
