安帝,an'di
按官品高低,an'guan'pin'gao'di
按收成比例纳租,an'shou'cheng'bi'li'na'zu
安西将军,an'xi'jiang'jun
按一丁交纳租谷,an'yi'ding'jiao'na'zu'gu
巴賨人,ba'cong'ren
罢废州郡武装,ba'fei'zhou'jun'wu'zhuang
八郡,ba'jun
八品,ba'pin
八千名,ba'qian'ming
八千名少女,ba'qian'ming'shao'nv
八千人,ba'qian'ren
巴蜀流民,ba'shu'liu'min
把属于,ba'shu'yu
八王者,ba'wang'zhe
八王之乱,ba'wang'zhi'luan
八王之乱以后,ba'wang'zhi'luan'yi'hou
把吴人,ba'wu'ren
白痴的,bai'chi'de
百室合户,bai'shi'he'hu
白天则,bai'tian'ze
白匈奴,bai'xiong'nu
白种匈奴,bai'zhong'xiong'nu
饱含江南特质的,bao'han'jiang'nan'te'zhi'de
被东海王越毒死,bei'dong'hai'wang'yue'du'si
被毒死,bei'du'si
北方多个少数民族,bei'fang'duo'ge'shao'shu'min'zu
北方文化,bei'fang'wen'hua
北方原籍,bei'fang'yuan'ji
北方诸州,bei'fang'zhu'zhou
被封为,bei'feng'wei
被俘,bei'fu
被俘入邺,bei'fu'ru'ye
背井离乡,bei'jing'li'xiang
北来侨人,bei'lai'qiao'ren
被立为帝,bei'li'wei'di
被掳掠的汉族女子,bei'lu'lue'de'han'zu'nv'zi
被慕容鲜卑击败,bei'mu'rong'xian'bei'ji'bai
被冉闵收留,bei'ran'min'shou'liu
被宰杀烹食,bei'zai'sha'peng'shi
被张方烧死,bei'zhang'fang'shao'si
被逐渐汉化,bei'zhu'jian'han'hua
比较完备,bi'jiao'wan'bei
逼令,bi'ling
庇廕亲族,bi'yin'qin'zu
变成了,bian'cheng'le
编户,bian'hu
便将,bian'jiang
便前往临幸,bian'qian'wang'lin'xing
编入郡县为,bian'ru'jun'xian'wei
便有万人规模,bian'you'wan'ren'gui'mo
便在住处前,bian'zai'zhu'chu'qian
便自己,bian'zi'ji
并俘杀太尉,bing'fu'sha'tai'wei
兵家,bing'jia
兵力悬殊,bing'li'xuan'shu
并使其,bing'shi'qi
并于,bing'yu
并徵发良人,bing'zheng'fa'liang'ren
并州,bing'zhou
并州刺史,bing'zhou'ci'shi
剥脸皮和,bo'lian'pi'he
不超过十五户,bu'chao'guo'shi'wu'hu
补充兵源,bu'chong'bing'yuan
不但不,bu'dan'bu
不但没有受到,bu'dan'mei'you'shou'dao
不断反抗,bu'duan'fan'kang
不断向,bu'duan'xiang
不经,bu'jing
不下数万人,bu'xia'shu'wan'ren
不一定管,bu'yi'ding'guan
不愿受胡族统治,bu'yuan'shou'hu'zu'tong'zhi
采取了,cai'qu'le
菜田,cai'tian
参府军事,can'fu'jun'shi
参加内战,can'jia'nei'zhan
残忍地,can'ren'de
曹奂,cao'huan
曹郎,cao'lang
曹髦,cao'mao
曹魏,cao'wei
曹魏大都督,cao'wei'da'du'du
曹魏旧章,cao'wei'jiu'zhang
曹魏世族,cao'wei'shi'zu
曹魏以来,cao'wei'yi'lai
曹魏之制,cao'wei'zhi'zhi
曾出任,ceng'chu'ren
曾经建立了,ceng'jing'jian'li'le
曾经于西元,ceng'jing'yu'xi'yuan
曾用年号,ceng'yong'nian'hao
插竹叶,cha'zhu'ye
产生不满,chan'sheng'bu'man
长安和,chang'an'he
长安陷后,chang'an'xian'hou
长安延展到,chang'an'yan'zhan'dao
长江中下游经济,chang'jiang'zhong'xia'you'jing'ji
长期隔绝,chang'qi'ge'jue
长期以来受到压迫,chang'qi'yi'lai'shou'dao'ya'po
长沙王,chang'sha'wang
长沙王乂,chang'sha'wang'ai
超过法令规定的,chao'guo'fa'ling'gui'ding'de
朝廷赐给,chao'ting'ci'gei
朝廷腐败,chao'ting'fu'bai
朝廷衰落,chao'ting'shuai'luo
朝廷为了,chao'ting'wei'le
朝政腐败,chao'zheng'fu'bai
车骑大将军,che'qi'da'jiang'jun
趁机起兵作乱,chen'ji'qi'bing'zuo'luan
陈郡谢氏,chen'jun'xie'shi
沉溺,chen'ni
称帝后,cheng'di'hou
成都王,cheng'du'wang
成都王颍,cheng'du'wang'ying
成都王颍合兵,cheng'du'wang'ying'he'bing
成都王颍与惠帝,cheng'du'wang'ying'yu'hui'di
