阿郁煲,a'yu'bao
爱奴雅,ai'nu'ya
哎一,ai'yi
按去,an'qu
八卦村,ba'gua'cun
巴厘纱,ba'li'sha
巴黎商街,ba'li'shang'jie
八一北街,ba'yi'bei'jie
八一南街,ba'yi'nan'jie
八咏,ba'yong
白盒,bai'he
百花山,bai'hua'shan
白龙桥,bai'long'qiao
白露山,bai'lu'shan
白马镇,bai'ma'zhen
白屁,bai'pi
白石湾,bai'shi'wan
百岁鱼,bai'sui'yu
白坦,bai'tan
白洋渡,bai'yang'du
办厂,ban'chang
半夜鬼,ban'ye'gui
保集半岛,bao'ji'ban'dao
保集蓝郡,bao'ji'lan'jun
保色,bao'se
包纱,bao'sha
报喜鸟,bao'xi'niao
包芯丝,bao'xin'si
煲庄,bao'zhuang
呗村,bei'cun
贝村路,bei'cun'lu
北方联,bei'fang'lian
北下朱,bei'xia'zhu
杯业,bei'ye
北苑,bei'yuan
宾虹路,bin'hong'lu
宾王,bin'wang
宾王路,bin'wang'lu
不带带,bu'dai'dai
不带下,bu'dai'xia
不倒绒,bu'dao'rong
不扣血,bu'kou'xue
不来打,bu'lai'da
不来带,bu'lai'dai
不来管,bu'lai'guan
不来管了,bu'lai'guan'le
不来叫,bu'lai'jiao
不来买,bu'lai'mai
不来说,bu'lai'shuo
不来说了,bu'lai'shuo'le
不来问,bu'lai'wen
不来做,bu'lai'zuo
不老神鸡,bu'lao'shen'ji
不灵清,bu'ling'qing
不锈铁,bu'xiu'tie
不要好的,bu'yao'hao'de
不在金华,bu'zai'jin'hua
不在义乌,bu'zai'yi'wu
彩盒,cai'he
餐垫,can'dian
残疾车,can'ji'che
曹宅,cao'zhai
侧唛,ce'mai
茶花园,cha'hua'yuan
厂家直销,chang'jia'zhi'xiao
常山,chang'shan
炒粉干,chao'fen'gan
炒粉好,chao'fen'hao
超群,chao'qun
城北路,cheng'bei'lu
城店,cheng'dian
成绩表,cheng'ji'biao
成泰,cheng'tai
城西街道,cheng'xi'jie'dao
