阿里山,a'li'shan
阿里山的,a'li'shan'de
安平,an'ping
八德,ba'de
百货公司,bai'huo'gong'si
白目,bai'mu
班代,ban'dai
伴手礼,ban'shou'li
北回归线,bei'hui'gui'xian
北投,bei'tou
笔电,bi'dian
便利商店,bian'li'shang'dian
博客来,bo'ke'lai
博物院,bo'wu'yuan
参访,can'fang
诚品,cheng'pin
诚品书店,cheng'pin'shu'dian
程式,cheng'shi
吃到饱,chi'dao'bao
慈湖,ci'hu
从台北,cong'tai'bei
从台湾,cong'tai'wan
大甲,da'jia
大陆的,da'lu'de
大陆妹,da'lu'mei
大陆人,da'lu'ren
大溪,da'xi
到台北,dao'tai'bei
到台湾,dao'tai'wan
导游说,dao'you'shuo
鼎泰丰,ding'tai'feng
东海大学,dong'hai'da'xue
鹅銮鼻,e'luan'bi
枋寮,fang'liao
逢甲,feng'jia
逢甲夜市,feng'jia'ye'shi
凤梨酥,feng'li'su
佛光山,fo'guang'shan
福隆,fu'long
辅仁大学,fu'ren'da'xue
赴台,fu'tai
高丽菜,gao'li'cai
高美湿地,gao'mei'shi'di
高山茶,gao'shan'cha
高雄,gao'xiong
高雄了,gao'xiong'le
高雄市,gao'xiong'shi
故宫博物院,gu'gong'bo'wu'yuan
古亭,gu'ting
挂蛋,gua'dan
棺材板,guan'cai'ban
官邸,guan'di
光复,guang'fu
国父纪念馆,guo'fu'ji'nian'guan
国小,guo'xiao
嘿啊,hei'a
恒春,heng'chun
环岛游,huan'dao'you
回大陆,hui'da'lu
回台,hui'tai
回台北,hui'tai'bei
回台湾,hui'tai'wan
夥伴,huo'ban
计程车,ji'cheng'che
基隆,ji'long
佳德,jia'de
嘉义市,jia'yi'shi
健保卡,jian'bao'ka
交换生,jiao'huan'sheng
交流生,jiao'liu'sheng
礁溪,jiao'xi
捷运站,jie'yun'zhan
金瓜石,jin'gua'shi
九份,jiu'fen
啾咪,jiu'mi
巨蛋,ju'dan
居留证,ju'liu'zheng
康是美,kang'shi'mei
颗颗,ke'ke
科系,ke'xi
蚵仔煎,ke'zai'jian
垦丁,ken'ding
来台,lai'tai
来台湾,lai'tai'wan
立法院,li'fa'yuan
列印,lie'yin
林口,lin'kou
龙山寺,long'shan'si
鹿港,lu'gang
六合夜市,lu'he'ye'shi
陆生,lu'sheng
麻辣锅,ma'la'guo
马英九,ma'ying'jiu
猫鼻头,mao'bi'tou
猫空,mao'kong
美丽岛,mei'li'dao
梦时代,meng'shi'dai
民进党,min'jin'dang
木瓜牛奶,mu'gua'niu'nai
南港,nan'gang
南投,nan'tou
楠梓,nan'zi
内湖,nei'hu
牛轧糖,niu'zha'tang
澎湖,peng'hu
平溪,ping'xi
汽车旅馆,qi'che'lv'guan
骑机车,qi'ji'che
旗津,qi'jin
奇摩,qi'mo
七星潭,qi'xing'tan
清大,qing'da
清境,qing'jing
去高雄,qu'gao'xiong
去台北,qu'tai'bei
全台,quan'tai
全台湾,quan'tai'wan
饶河,rao'he
日月潭,ri'yue'tan
入台,ru'tai
入台证,ru'tai'zheng
瑞丰,rui'feng
三越,san'yue
山下,shan'xia
深坑,shen'keng
士林,shi'lin
士林官邸,shi'lin'guan'di
士林鸡排,shi'lin'ji'pai
士林夜市,shi'lin'ye'shi
松山,song'shan
台胞证,tai'bao'zheng
台北,tai'bei
台北车站,tai'bei'che'zhan
台北的,tai'bei'de
台北故宫,tai'bei'gu'gong
台北了,tai'bei'le
台北人,tai'bei'ren
台北市,tai'bei'shi
台币,tai'bi
台大,tai'da
台东,tai'dong
台独,tai'du
太鲁阁,tai'lu'ge
台妹,tai'mei
台南,tai'nan
台南市,tai'nan'shi
台铁,tai'tie
台湾,tai'wan
台湾大哥大,tai'wan'da'ge'da
台湾大学,tai'wan'da'xue
台湾的,tai'wan'de
台湾海峡,tai'wan'hai'xia
台湾了,tai'wan'le
台湾呢,tai'wan'ne
台湾人,tai'wan'ren
台湾省,tai'wan'sheng
太阳饼,tai'yang'bing
台语,tai'yu
台中,tai'zhong
台中市,tai'zhong'shi
桃园机场,tao'yuan'ji'chang
天灯,tian'deng
天母,tian'mu
统联,tong'lian
外籍生,wai'ji'sheng
维格,wei'ge
威力彩,wei'li'cai
文大,wen'da
文化大学,wen'hua'da'xue
我在台北,wo'zai'tai'bei
我在台湾,wo'zai'tai'wan
五分埔,wu'fen'pu
西门町,xi'men'ding
溪头,xi'tou
汐止,xi'zhi
西子湾,xi'zi'wan
下标,xia'biao
小港,xiao'gang
小巨蛋,xiao'ju'dan
小琉球,xiao'liu'qiu
小三通,xiao'san'tong
新北市,xin'bei'shi
新光,xin'guang
新光三越,xin'guang'san'yue
新山,xin'shan
新台币,xin'tai'bi
信义区,xin'yi'qu
新竹市,xin'zhu'shi
行政院,xing'zheng'yuan
学弟妹,xue'di'mei
学长姐,xue'zhang'jie
阳明山,yang'ming'shan
药局,yao'ju
要乾嘛,yao'qian'ma
夜唱,ye'chang
野柳,ye'liu
义大,yi'da
移民署,yi'min'shu
一条根,yi'tiao'gen
硬碟,ying'die
永康街,yong'kang'jie
悠游卡,you'you'ka
渔人码头,yu'ren'ma'tou
远传,yuan'chuan
圆山,yuan'shan
原住民,yuan'zhu'min
在大陆,zai'da'lu
在高雄,zai'gao'xiong
在台,zai'tai
在台北,zai'tai'bei
在台湾,zai'tai'wan
在台中,zai'tai'zhong
早八,zao'ba
彰化,zhang'hua
知本,zhi'ben
志工,zhi'gong
智慧型,zhi'hui'xing
中华电信,zhong'hua'dian'xin
中华民国,zhong'hua'min'guo
中台,zhong'tai
忠孝,zhong'xiao
忠孝东路,zhong'xiao'dong'lu
中正纪念堂,zhong'zheng'ji'nian'tang
中正路,zhong'zheng'lu
撞球,zhuang'qiu
总统府,zong'tong'fu
最南端,zui'nan'duan
左营,zuo'ying
