阿巴嘎旗,a'ba'ga'qi
博爱县,bo'ai'xian
博白县,bo'bai'xian
博湖县,bo'hu'xian
博乐市,bo'le'shi
勃利县,bo'li'xian
博罗县,bo'luo'xian
波密县,bo'mi'xian
博山区,bo'shan'qu
泊头市,bo'tou'shi
博兴县,bo'xing'xian
博野县,bo'ye'xian
亳州市,bo'zhou'shi
布尔津县,bu'er'jin'xian
布拖县,bu'tuo'xian
蔡甸区,cai'dian'qu
沧浪区,cang'lang'qu
苍南县,cang'nan'xian
仓山区,cang'shan'qu
苍山县,cang'shan'xian
苍梧县,cang'wu'xian
苍溪县,cang'xi'xian
沧县,cang'xian
沧源佤族自治县,cang'yuan'wa'zu'zi'zhi'xian
沧州市,cang'zhou'shi
曹县,cao'xian
册亨县,ce'heng'xian
策勒县,ce'le'xian
岑巩县,cen'gong'xian
岑溪市,cen'xi'shi
察布查尔锡伯自治县,cha'bu'cha'er'xi'bo'zi'zhi'xian
察哈尔右翼后旗,cha'ha'er'you'yi'hou'qi
察哈尔右翼前旗,cha'ha'er'you'yi'qian'qi
察哈尔右翼中旗,cha'ha'er'you'yi'zhong'qi
茶陵县,cha'ling'xian
察雅县,cha'ya'xian
察隅县,cha'yu'xian
禅城区,chan'cheng'qu
廛河回族区,chan'he'hui'zu'qu
长安区,chang'an'qu
长白朝鲜族自治县,chang'bai'chao'xian'zu'zi'zhi'xian
长春市,chang'chun'shi
长岛县,chang'dao'xian
常德市,chang'de'shi
昌都地区,chang'du'di'qu
昌都县,chang'du'xian
长丰县,chang'feng'xian
长葛市,chang'ge'shi
长海县,chang'hai'xian
昌吉回族自治州,chang'ji'hui'zu'zi'zhi'zhou
昌吉市,chang'ji'shi
昌江黎族自治县,chang'jiang'li'zu'zi'zhi'xian
昌江区,chang'jiang'qu
长乐市,chang'le'shi
昌乐县,chang'le'xian
昌黎县,chang'li'xian
长岭县,chang'ling'xian
长宁区,chang'ning'qu
常宁市,chang'ning'shi
长宁县,chang'ning'xian
昌宁县,chang'ning'xian
昌平区,chang'ping'qu
长清区,chang'qing'qu
长沙市,chang'sha'shi
长沙县,chang'sha'xian
常山县,chang'shan'xian
长寿区,chang'shou'qu
常熟市,chang'shu'shi
长顺县,chang'shun'xian
长泰县,chang'tai'xian
长汀县,chang'ting'xian
昌图县,chang'tu'xian
长武县,chang'wu'xian
长兴县,chang'xing'xian
长阳土家族自治县,chang'yang'tu'jia'zu'zi'zhi'xian
昌邑区,chang'yi'qu
昌邑市,chang'yi'shi
长垣县,chang'yuan'xian
长治市,chang'zhi'shi
长治县,chang'zhi'xian
长洲区,chang'zhou'qu
常州市,chang'zhou'shi
潮安县,chao'an'xian
巢湖市,chao'hu'shi
潮南区,chao'nan'qu
朝天区,chao'tian'qu
朝阳区,chao'yang'qu
潮阳区,chao'yang'qu
朝阳市,chao'yang'shi
朝阳县,chao'yang'xian
潮州市,chao'zhou'shi
陈巴尔虎旗,chen'ba'er'hu'qi
辰溪县,chen'xi'xian
郴州市,chen'zhou'shi
成安县,cheng'an'xian
城北区,cheng'bei'qu
城步苗族自治县,cheng'bu'miao'zu'zi'zhi'xian
澄城县,cheng'cheng'xian
承德市,cheng'de'shi
承德县,cheng'de'xian
城东区,cheng'dong'qu
成都市,cheng'du'shi
称多县,cheng'duo'xian
呈贡县,cheng'gong'xian
城固县,cheng'gu'xian
城关区,cheng'guan'qu
澄海区,cheng'hai'qu
成华区,cheng'hua'qu
澄江县,cheng'jiang'xian
城口县,cheng'kou'xian
澄迈县,cheng'mai'xian
城区,cheng'qu
成武县,cheng'wu'xian
城西区,cheng'xi'qu
成县,cheng'xian
城厢区,cheng'xiang'qu
城阳区,cheng'yang'qu
城中区,cheng'zhong'qu
城子河区,cheng'zi'he'qu
赤壁市,chi'bi'shi
赤城县,chi'cheng'xian
赤峰市,chi'feng'shi
赤坎区,chi'kan'qu
茌平县,chi'ping'xian
赤水市,chi'shui'shi
池州市,chi'zhou'shi
崇安区,chong'an'qu
崇川区,chong'chuan'qu
崇礼县,chong'li'xian
崇明县,chong'ming'xian
重庆市,chong'qing'shi
崇仁县,chong'ren'xian
崇文区,chong'wen'qu
崇信县,chong'xin'xian
崇阳县,chong'yang'xian
崇义县,chong'yi'xian
崇州市,chong'zhou'shi
崇左市,chong'zuo'shi
楚雄市,chu'xiong'shi
楚雄彝族自治州,chu'xiong'yi'zu'zi'zhi'zhou
楚州区,chu'zhou'qu
滁州市,chu'zhou'shi
川汇区,chuan'hui'qu
船山区,chuan'shan'qu
船营区,chuan'ying'qu
淳安县,chun'an'xian
淳化县,chun'hua'xian
慈利县,ci'li'xian
慈溪市,ci'xi'shi
磁县,ci'xian
从化市,cong'hua'shi
从江县,cong'jiang'xian
丛台区,cong'tai'qu
翠峦区,cui'luan'qu
翠屏区,cui'ping'qu
翠云区,cui'yun'qu
措美县,cuo'mei'xian
错那县,cuo'na'xian
措勤县,cuo'qin'xian
大安区,da'an'qu
大安市,da'an'shi
达坂城区,da'ban'cheng'qu
大埔县,da'bu'xian
大厂回族自治县,da'chang'hui'zu'zi'zhi'xian
大城县,da'cheng'xian
大东区,da'dong'qu
大渡口区,da'du'kou'qu
达尔罕茂明安联合旗,da'er'han'mao'ming'an'lian'he'qi
大方县,da'fang'xian
大丰市,da'feng'shi
大港区,da'gang'qu
大观区,da'guan'qu
大关县,da'guan'xian
大化瑶族自治县,da'hua'yao'zu'zi'zhi'xian
达拉特旗,da'la'te'qi
大理白族自治州,da'li'bai'zu'zi'zhi'zhou
大理市,da'li'shi
大荔县,da'li'xian
大连市,da'lian'shi
大名县,da'ming'xian
大宁县,da'ning'xian
大庆市,da'qing'shi
达日县,da'ri'xian
大石桥市,da'shi'qiao'shi
大田县,da'tian'xian
大通回族土族自治县,da'tong'hui'zu'tu'zu'zi'zhi'xian
大通区,da'tong'qu
大同区,da'tong'qu
大同市,da'tong'shi
大同县,da'tong'xian
大洼县,da'wa'xian
大武口区,da'wu'kou'qu
大悟县,da'wu'xian
达县,da'xian
大祥区,da'xiang'qu
大新县,da'xin'xian
大兴安岭地区,da'xing'an'ling'di'qu
大兴区,da'xing'qu
大姚县,da'yao'xian
大冶市,da'ye'shi
大邑县,da'yi'xian
大英县,da'ying'xian
大余县,da'yu'xian
达州市,da'zhou'shi
大竹县,da'zhu'xian
达孜县,da'zi'xian
大足县,da'zu'xian
带岭区,dai'ling'qu
岱山县,dai'shan'xian
代县,dai'xian
岱岳区,dai'yue'qu
丹巴县,dan'ba'xian
郸城县,dan'cheng'xian
丹东市,dan'dong'shi
丹凤县,dan'feng'xian
丹江口市,dan'jiang'kou'shi
丹棱县,dan'ling'xian
丹徒区,dan'tu'qu
丹阳市,dan'yang'shi
丹寨县,dan'zhai'xian
儋州市,dan'zhou'shi
砀山县,dang'shan'xian
当涂县,dang'tu'xian
当雄县,dang'xiong'xian
当阳市,dang'yang'shi
稻城县,dao'cheng'xian
道孚县,dao'fu'xian
道里区,dao'li'qu
道外区,dao'wai'qu
道县,dao'xian
道真仡佬族苗族自治县,dao'zhen'ge'lao'zu'miao'zu'zi'zhi'xian
德安县,de'an'xian
德保县,de'bao'xian
德昌县,de'chang'xian
德城区,de'cheng'qu
德格县,de'ge'xian
德宏傣族景颇族自治州,de'hong'dai'zu'jing'po'zu'zi'zhi'zhou
德化县,de'hua'xian
德惠市,de'hui'shi
德江县,de'jiang'xian
德令哈市,de'ling'ha'shi
德钦县,de'qin'xian
德庆县,de'qing'xian
德清县,de'qing'xian
得荣县,de'rong'xian
德兴市,de'xing'shi
德阳市,de'yang'shi
德州市,de'zhou'shi
登封市,deng'feng'shi
灯塔市,deng'ta'shi
邓州市,deng'zhou'shi
滴道区,di'dao'qu
迪庆藏族自治州,di'qing'zang'zu'zi'zhi'zhou
电白县,dian'bai'xian
垫江县,dian'jiang'xian
点军区,dian'jun'qu
调兵山市,diao'bing'shan'shi
迭部县,die'bu'xian
叠彩区,die'cai'qu
蝶山区,die'shan'qu
定安县,ding'an'xian
定边县,ding'bian'xian
鼎城区,ding'cheng'qu
定海区,ding'hai'qu
鼎湖区,ding'hu'qu
定结县,ding'jie'xian
定南县,ding'nan'xian
丁青县,ding'qing'xian
定日县,ding'ri'xian
定陶县,ding'tao'xian
定西市,ding'xi'shi
定襄县,ding'xiang'xian
定兴县,ding'xing'xian
定远县,ding'yuan'xian
定州市,ding'zhou'shi
东安区,dong'an'qu
东安县,dong'an'xian
东宝区,dong'bao'qu
东昌府区,dong'chang'fu'qu
东昌区,dong'chang'qu
东城区,dong'cheng'qu
东川区,dong'chuan'qu
东阿县,dong'e'xian
东方市,dong'fang'shi
东风区,dong'feng'qu
东丰县,dong'feng'xian
东港区,dong'gang'qu
东港市,dong'gang'shi
东莞市,dong'guan'shi
东光县,dong'guang'xian
东海县,dong'hai'xian
东河区,dong'he'qu
东湖区,dong'hu'qu
洞口县,dong'kou'xian
东兰县,dong'lan'xian
东丽区,dong'li'qu
动力区,dong'li'qu
东辽县,dong'liao'xian
东陵区,dong'ling'qu
东明县,dong'ming'xian
东宁县,dong'ning'xian
东平县,dong'ping'xian
东坡区,dong'po'qu
东区,dong'qu
东山区,dong'shan'qu
东山县,dong'shan'xian
东胜区,dong'sheng'qu
东市区,dong'shi'qu
东台市,dong'tai'shi
洞头县,dong'tou'xian
东乌珠穆沁旗,dong'wu'zhu'mu'qin'qi
东西湖区,dong'xi'hu'qu
东乡县,dong'xiang'xian
东乡族自治县,dong'xiang'zu'zi'zhi'xian
东兴区,dong'xing'qu
东兴市,dong'xing'shi
东阳市,dong'yang'shi
东营区,dong'ying'qu
东营市,dong'ying'shi
东源县,dong'yuan'xian
东至县,dong'zhi'xian
东洲区,dong'zhou'qu
都安瑶族自治县,dou'an'yao'zu'zi'zhi'xian
斗门区,dou'men'qu
都昌县,du'chang'xian
杜尔伯特蒙古族自治县,du'er'bo'te'meng'gu'zu'zi'zhi'xian
杜集区,du'ji'qu
都江堰市,du'jiang'yan'shi
都兰县,du'lan'xian
独山县,du'shan'xian
独山子区,du'shan'zi'qu
都匀市,du'yun'shi
端州区,duan'zhou'qu
堆龙德庆县,dui'long'de'qing'xian
敦化市,dun'hua'shi
敦煌市,dun'huang'shi
掇刀区,duo'dao'qu
多伦县,duo'lun'xian
峨边彝族自治县,e'bian'yi'zu'zi'zhi'xian
鄂城区,e'cheng'qu
鄂尔多斯市,e'er'duo'si'shi
额尔虎市,e'er'hu'shi
额济纳旗,e'ji'na'qi
鄂伦春自治旗,e'lun'chun'zi'zhi'qi
峨眉山市,e'mei'shan'shi
额敏县,e'min'xian
峨山彝族自治县,e'shan'yi'zu'zi'zhi'xian
鄂托克旗,e'tuo'ke'qi
鄂托克前旗,e'tuo'ke'qian'qi
鄂温克族自治旗,e'wen'ke'zu'zi'zhi'qi
鄂州市,e'zhou'shi
恩平市,en'ping'shi
恩施市,en'shi'shi
恩施土家族苗族自治州,en'shi'tu'jia'zu'miao'zu'zi'zhi'zhou
二道江区,er'dao'jiang'qu
二道区,er'dao'qu
二连浩特市,er'lian'hao'te'shi
二七区,er'qi'qu
洱源县,er'yuan'xian
法库县,fa'ku'xian
繁昌县,fan'chang'xian
樊城区,fan'cheng'qu
范县,fan'xian
防城港市,fang'cheng'gang'shi
防城区,fang'cheng'qu
方城县,fang'cheng'xian
芳村区,fang'cun'qu
房山区,fang'shan'qu
方山县,fang'shan'xian
房县,fang'xian
方正县,fang'zheng'xian
坊子区,fang'zi'qu
肥城市,fei'cheng'shi
肥东县,fei'dong'xian
肥西县,fei'xi'xian
费县,fei'xian
肥乡县,fei'xiang'xian
汾西县,fen'xi'xian
汾阳市,fen'yang'shi
分宜县,fen'yi'xian
丰城市,feng'cheng'shi
凤城市,feng'cheng'shi
丰都县,feng'du'xian
峰峰矿区,feng'feng'kuang'qu
凤冈县,feng'gang'xian
奉化市,feng'hua'shi
凤凰县,feng'huang'xian
奉节县,feng'jie'xian
封开县,feng'kai'xian
丰满区,feng'man'qu
丰南区,feng'nan'qu
丰宁满族自治县,feng'ning'man'zu'zi'zhi'xian
凤庆县,feng'qing'xian
封丘县,feng'qiu'xian
凤泉区,feng'quan'qu
丰润区,feng'run'qu
凤山县,feng'shan'xian
丰顺县,feng'shun'xian
丰台区,feng'tai'qu
凤台县,feng'tai'xian
丰县,feng'xian
凤县,feng'xian
奉贤区,feng'xian'qu
凤翔县,feng'xiang'xian
奉新县,feng'xin'xian
凤阳县,feng'yang'xian
丰泽区,feng'ze'qu
丰镇市,feng'zhen'shi
佛冈县,fo'gang'xian
佛坪县,fo'ping'xian
佛山市,fo'shan'shi
福安市,fu'an'shi
涪城区,fu'cheng'qu
阜城县,fu'cheng'xian
富川瑶族自治县,fu'chuan'yao'zu'zi'zhi'xian
福鼎市,fu'ding'shi
扶风县,fu'feng'xian
福贡县,fu'gong'xian
扶沟县,fu'gou'xian
府谷县,fu'gu'xian
福海县,fu'hai'xian
福建省,fu'jian'sheng
富锦市,fu'jin'shi
阜康市,fu'kang'shi
富拉尔基区,fu'la'er'ji'qu
浮梁县,fu'liang'xian
涪陵区,fu'ling'qu
富民县,fu'min'xian
阜南县,fu'nan'xian
阜宁县,fu'ning'xian
富宁县,fu'ning'xian
抚宁县,fu'ning'xian
阜平县,fu'ping'xian
富平县,fu'ping'xian
福清市,fu'qing'shi
福泉市,fu'quan'shi
芙蓉区,fu'rong'qu
福山区,fu'shan'qu
浮山县,fu'shan'xian
抚顺市,fu'shun'shi
富顺县,fu'shun'xian
抚顺县,fu'shun'xian
抚松县,fu'song'xian
扶绥县,fu'sui'xian
福田区,fu'tian'qu
富县,fu'xian
阜新蒙古族自治县,fu'xin'meng'gu'zu'zi'zhi'xian
阜新市,fu'xin'shi
复兴区,fu'xing'qu
阜阳市,fu'yang'shi
富阳市,fu'yang'shi
富裕县,fu'yu'xian
扶余县,fu'yu'xian
富源县,fu'yuan'xian
抚远县,fu'yuan'xian
富蕴县,fu'yun'xian
抚州市,fu'zhou'shi
福州市,fu'zhou'shi
噶尔县,ga'er'xian
改则县,gai'ze'xian
盖州市,gai'zhou'shi
甘德县,gan'de'xian
甘谷县,gan'gu'xian
甘井子区,gan'jing'zi'qu
甘洛县,gan'luo'xian
甘南县,gan'nan'xian
甘南藏族自治州,gan'nan'zang'zu'zi'zhi'zhou
甘泉县,gan'quan'xian
甘肃省,gan'su'sheng
赣县,gan'xian
赣榆县,gan'yu'xian
甘州区,gan'zhou'qu
赣州市,gan'zhou'shi
甘孜县,gan'zi'xian
甘孜藏族自治州,gan'zi'zang'zu'zi'zhi'zhou
岗巴县,gang'ba'xian
港北区,gang'bei'qu
刚察县,gang'cha'xian
钢城区,gang'cheng'qu
港口区,gang'kou'qu
港南区,gang'nan'qu
港闸区,gang'zha'qu
高安市,gao'an'shi
高碑店市,gao'bei'dian'shi
藁城市,gao'cheng'shi
高淳县,gao'chun'xian
高港区,gao'gang'qu
皋兰县,gao'lan'xian
高陵县,gao'ling'xian
高密市,gao'mi'shi
高明区,gao'ming'qu
高坪区,gao'ping'qu
高平市,gao'ping'shi
高青县,gao'qing'xian
高台县,gao'tai'xian
高唐县,gao'tang'xian
高县,gao'xian
高阳县,gao'yang'xian
高要市,gao'yao'shi
高邑县,gao'yi'xian
高邮市,gao'you'shi
高州市,gao'zhou'shi
格尔木市,ge'er'mu'shi
个旧市,ge'jiu'shi
根河市,gen'he'shi
耿马傣族佤族自治县,geng'ma'dai'zu'wa'zu'zi'zhi'xian
公安县,gong'an'xian
工布江达县,gong'bu'jiang'da'xian
弓长岭区,gong'chang'ling'qu
恭城瑶族自治县,gong'cheng'yao'zu'zi'zhi'xian
贡嘎县,gong'ga'xian
共和县,gong'he'xian
贡井区,gong'jing'qu
贡觉县,gong'jue'xian
巩留县,gong'liu'xian
工农区,gong'nong'qu
贡山独龙族怒族自治县,gong'shan'du'long'zu'nu'zu'zi'zhi'xian
拱墅区,gong'shu'qu
珙县,gong'xian
巩义市,gong'yi'shi
公主岭市,gong'zhu'ling'shi
固安县,gu'an'xian
古城区,gu'cheng'qu
谷城县,gu'cheng'xian
故城县,gu'cheng'xian
古交市,gu'jiao'shi
古浪县,gu'lang'xian
古蔺县,gu'lin'xian
鼓楼区,gu'lou'qu
固始县,gu'shi'xian
古塔区,gu'ta'qu
古田县,gu'tian'xian
古县,gu'xian
固阳县,gu'yang'xian
古冶区,gu'ye'qu
固原市,gu'yuan'shi
沽源县,gu'yuan'xian
古丈县,gu'zhang'xian
固镇县,gu'zhen'xian
管城回族区,guan'cheng'hui'zu'qu
官渡区,guan'du'qu
关岭布依族苗族自治县,guan'ling'bu'yi'zu'miao'zu'zi'zhi'xian
灌南县,guan'nan'xian
馆陶县,guan'tao'xian
冠县,guan'xian
灌阳县,guan'yang'xian
灌云县,guan'yun'xian
广安区,guang'an'qu
广安市,guang'an'shi
广昌县,guang'chang'xian
广德县,guang'de'xian
广东省,guang'dong'sheng
广丰县,guang'feng'xian
广汉市,guang'han'shi
广河县,guang'he'xian
广陵区,guang'ling'qu
广灵县,guang'ling'xian
广南县,guang'nan'xian
广宁县,guang'ning'xian
广平县,guang'ping'xian
广饶县,guang'rao'xian
光山县,guang'shan'xian
广水市,guang'shui'shi
广西壮族自治区,guang'xi'zhuang'zu'zi'zhi'qu
广阳区,guang'yang'qu
广元市,guang'yuan'shi
光泽县,guang'ze'xian
广州市,guang'zhou'shi
广宗县,guang'zong'xian
贵池区,gui'chi'qu
贵德县,gui'de'xian
贵定县,gui'ding'xian
桂东县,gui'dong'xian
桂林市,gui'lin'shi
贵南县,gui'nan'xian
桂平市,gui'ping'shi
贵溪市,gui'xi'shi
贵阳市,gui'yang'shi
桂阳县,gui'yang'xian
贵州省,gui'zhou'sheng
果洛藏族自治州,guo'luo'zang'zu'zi'zhi'zhou
涡阳县,guo'yang'xian
哈巴河县,ha'ba'he'xian
哈尔滨市,ha'er'bin'shi
哈密地区,ha'mi'di'qu
哈密市,ha'mi'shi
海安县,hai'an'xian
海北藏族自治州,hai'bei'zang'zu'zi'zhi'zhou
海勃湾区,hai'bo'wan'qu
海沧区,hai'cang'qu
海城区,hai'cheng'qu
海城市,hai'cheng'shi
海淀区,hai'dian'qu
海东地区,hai'dong'di'qu
海丰县,hai'feng'xian
海港区,hai'gang'qu
海口市,hai'kou'shi
海拉尔区,hai'la'er'qu
海林市,hai'lin'shi
海陵区,hai'ling'qu
海伦市,hai'lun'shi
海门市,hai'men'shi
海南区,hai'nan'qu
海南省,hai'nan'sheng
海南藏族自治州,hai'nan'zang'zu'zi'zhi'zhou
海宁市,hai'ning'shi
海曙区,hai'shu'qu
海西蒙古族藏族自治州,hai'xi'meng'gu'zu'zang'zu'zi'zhi'zhou
海兴县,hai'xing'xian
海晏县,hai'yan'xian
海盐县,hai'yan'xian
海阳市,hai'yang'shi
海原县,hai'yuan'xian
海州区,hai'zhou'qu
海珠区,hai'zhu'qu
汉滨区,han'bin'qu
韩城市,han'cheng'shi
汉川市,han'chuan'shi
邯郸县,han'dan'xian
汉沽区,han'gu'qu
邗江区,han'jiang'qu
涵江区,han'jiang'qu
汉南区,han'nan'qu
邯山区,han'shan'qu
含山县,han'shan'xian
汉寿县,han'shou'xian
汉台区,han'tai'qu
寒亭区,han'ting'qu
汉阳区,han'yang'qu
汉阴县,han'yin'xian
汉源县,han'yuan'xian
汉中市,han'zhong'shi
杭锦旗,hang'jin'qi
杭州市,hang'zhou'shi
濠江区,hao'jiang'qu
河北区,he'bei'qu
鹤壁市,he'bi'shi
和布克赛尔蒙古自治县,he'bu'ke'sai'er'meng'gu'zi'zhi'xian
鹤城区,he'cheng'qu
河池市,he'chi'shi
合川市,he'chuan'shi
河东区,he'dong'qu
合肥市,he'fei'shi
鹤峰县,he'feng'xian
鹤岗市,he'gang'shi
河间市,he'jian'shi
合江县,he'jiang'xian
河津市,he'jin'shi
和静县,he'jing'xian
河口区,he'kou'qu
河口瑶族自治县,he'kou'yao'zu'zi'zhi'xian
贺兰县,he'lan'xian
和林格尔县,he'lin'ge'er'xian
和龙市,he'long'shi
河南蒙古族自治县,he'nan'meng'gu'zu'zi'zhi'xian
河南省,he'nan'sheng
和平区,he'ping'qu
和平县,he'ping'xian
合浦县,he'pu'xian
鹤庆县,he'qing'xian
河曲县,he'qu'xian
赫山区,he'shan'qu
鹤山区,he'shan'qu
鹤山市,he'shan'shi
合山市,he'shan'shi
合水县,he'shui'xian
和顺县,he'shun'xian
和硕县,he'shuo'xian
荷塘区,he'tang'qu
和田地区,he'tian'di'qu
和田市,he'tian'shi
和田县,he'tian'xian
河西区,he'xi'qu
和县,he'xian
合阳县,he'yang'xian
河源市,he'yuan'shi
荷泽市,he'ze'shi
赫章县,he'zhang'xian
和政县,he'zheng'xian
贺州市,he'zhou'shi
合作市,he'zuo'shi
黑河市,hei'he'shi
黑龙江省,hei'long'jiang'sheng
黑山县,hei'shan'xian
黑水县,hei'shui'xian
衡东县,heng'dong'xian
横峰县,heng'feng'xian
衡南县,heng'nan'xian
恒山区,heng'shan'qu
衡山县,heng'shan'xian
横山县,heng'shan'xian
衡水市,heng'shui'shi
横县,heng'xian
衡阳市,heng'yang'shi
衡阳县,heng'yang'xian
红安县,hong'an'xian
红岗区,hong'gang'qu
红古区,hong'gu'qu
红河哈尼族彝族自治州,hong'he'ha'ni'zu'yi'zu'zi'zhi'zhou
红河县,hong'he'xian
洪湖市,hong'hu'shi
红花岗区,hong'hua'gang'qu
洪江市,hong'jiang'shi
虹口区,hong'kou'qu
红旗区,hong'qi'qu
红桥区,hong'qiao'qu
洪山区,hong'shan'qu
红山区,hong'shan'qu
红塔区,hong'ta'qu
洪洞县,hong'tong'xian
宏伟区,hong'wei'qu
红星区,hong'xing'qu
洪雅县,hong'ya'xian
红原县,hong'yuan'xian
洪泽县,hong'ze'xian
侯马市,hou'ma'shi
湖北省,hu'bei'sheng
湖滨区,hu'bin'qu
壶关县,hu'guan'xian
呼和浩特市,hu'he'hao'te'shi
湖口县,hu'kou'xian
呼兰县,hu'lan'xian
湖里区,hu'li'qu
虎林市,hu'lin'shi
葫芦岛市,hu'lu'dao'shi
呼伦贝尔市,hu'lun'bei'er'shi
呼玛县,hu'ma'xian
湖南省,hu'nan'sheng
虎丘区,hu'qiu'qu
虎亭区,hu'ting'qu
呼图壁县,hu'tu'bi'xian
户县,hu'xian
互助土族自治县,hu'zhu'tu'zu'zi'zhi'xian
华安县,hua'an'xian
华池县,hua'chi'xian
桦川县,hua'chuan'xian
化德县,hua'de'xian
桦甸市,hua'dian'shi
花都区,hua'du'qu
化隆回族自治县,hua'long'hui'zu'zi'zhi'xian
华龙区,hua'long'qu
桦南县,hua'nan'xian
华宁县,hua'ning'xian
华坪县,hua'ping'xian
华容区,hua'rong'qu
华容县,hua'rong'xian
花山区,hua'shan'qu
华亭县,hua'ting'xian
花溪区,hua'xi'qu
华县,hua'xian
