阿弥驼佛纯,a'mi'tuo'fo'chun
安静从心起,an'jing'cong'xin'qi
安乐也如是,an'le'ye'ru'shi
八风任吹动,ba'feng'ren'chui'dong
八万总持门,ba'wan'zong'chi'men
八月桂花层层开,ba'yue'gui'hua'ceng'ceng'kai
白云高飞丹顶鹤,bai'yun'gao'fei'dan'ding'he
白云绕山鸟自飞,bai'yun'rao'shan'niao'zi'fei
百转千回何人解,bai'zhuan'qian'hui'he'ren'jie
北极思量心无边,bei'ji'si'liang'xin'wu'bian
碧水微澜连九天,bi'shui'wei'lan'lian'jiu'tian
便是非修行,bian'shi'fei'xiu'xing
遍照红尘三大千,bian'zhao'hong'chen'san'da'qian
便知你我本来同,bian'zhi'ni'wo'ben'lai'tong
病苦也如是,bing'ku'ye'ru'shi
不除千年暗,bu'chu'qian'nian'an
不负佛陀当年走,bu'fu'fo'tuo'dang'nian'zou
不负千劫此人身,bu'fu'qian'jie'ci'ren'shen
不及弥陀一声间,bu'ji'mi'tuo'yi'sheng'jian
不见王谢当年侯,bu'jian'wang'xie'dang'nian'hou
不见杨柳春风度,bu'jian'yang'liu'chun'feng'du
不劳功力不劳神,bu'lao'gong'li'bu'lao'shen
不劳弹指间,bu'lao'tan'zhi'jian
不偏中来正中去,bu'pian'zhong'lai'zheng'zhong'qu
不是本来心,bu'shi'ben'lai'xin
不惜天篷落凡间,bu'xi'tian'peng'luo'fan'jian
不因春风有醉意,bu'yin'chun'feng'you'zui'yi
不在犹豫处,bu'zai'you'yu'chu
不知瑶池落甘露,bu'zhi'yao'chi'luo'gan'lu
嘈嘈杂杂草莓饼,cao'cao'za'za'cao'mei'bing
草色已经绿千家,cao'se'yi'jing'lv'qian'jia
草蚁世界也如此,cao'yi'shi'jie'ye'ru'ci
常见春风轻轻去,chang'jian'chun'feng'qing'qing'qu
常思春色无边在,chang'si'chun'se'wu'bian'zai
畅想无边觉有情,chang'xiang'wu'bian'jue'you'qing
长夜将尽路渐远,chang'ye'jiang'jin'lu'jian'yuan
晨钟鸣千里,chen'zhong'ming'qian'li
乘风破浪待春知,cheng'feng'po'lang'dai'chun'zhi
成佛作祖因,cheng'fo'zuo'zu'yin
吃了草莓吐又拉,chi'le'cao'mei'tu'you'la
池塘清清出莲花,chi'tang'qing'qing'chu'lian'hua
处处留心是莲台,chu'chu'liu'xin'shi'lian'tai
出三界径路,chu'san'jie'jing'lu
初学要离心,chu'xue'yao'li'xin
穿越世事勇者行,chuan'yue'shi'shi'yong'zhe'xing
春风遍处草自绿,chun'feng'bian'chu'cao'zi'lv
春风不度闲人过,chun'feng'bu'du'xian'ren'guo
春风过后绿万村,chun'feng'guo'hou'lv'wan'cun
春风任自吹,chun'feng'ren'zi'chui
春风无痕香幽远,chun'feng'wu'hen'xiang'you'yuan
春风无心度无眠,chun'feng'wu'xin'du'wu'mian
春风无意吹莲台,chun'feng'wu'yi'chui'lian'tai
春风无意柳出枝,chun'feng'wu'yi'liu'chu'zhi
春风依旧杨柳,chun'feng'yi'jiu'yang'liu
春光似锦面桃花,chun'guang'si'jin'mian'tao'hua
春来草自清,chun'lai'cao'zi'qing
春来绿水流不停,chun'lai'lv'shui'liu'bu'ting
春梅香远飘千家,chun'mei'xiang'yuan'piao'qian'jia
春色不待外边有,chun'se'bu'dai'wai'bian'you
春色处处难觅寻,chun'se'chu'chu'nan'mi'xun
春闲归何处,chun'xian'gui'he'chu
春有绿叶秋有黄夏来清荷冬有霜,chun'you'lv'ye'qiu'you'huang'xia'lai'qing'he'dong'you'shuang
慈心湛月信心明,ci'xin'zhan'yue'xin'xin'ming
错错错,cuo'cuo'cuo
大江红日山依旧,da'jiang'hong'ri'shan'yi'jiu
大千只在脚下边,da'qian'zhi'zai'jiao'xia'bian
但看秋华浓香处,dan'kan'qiu'hua'nong'xiang'chu
但看天庭阔,dan'kan'tian'ting'kuo
但念弥陀莫他求,dan'nian'mi'tuo'mo'ta'qiu
但愿努力莫消磨,dan'yuan'nu'li'mo'xiao'mo
但只一声弥陀号,dan'zhi'yi'sheng'mi'tuo'hao
但自无所住,dan'zi'wu'suo'zhu
但自心处好把握,dan'zi'xin'chu'hao'ba'wo
但自心处无怨无悔,dan'zi'xin'chu'wu'yuan'wu'hui
当下直起直心处,dang'xia'zhi'qi'zhi'xin'chu
灯火虽小亮大千,deng'huo'sui'xiao'liang'da'qian
灯火一夜在,deng'huo'yi'ye'zai
灯火照民生,deng'huo'zhao'min'sheng
地狱六道成,di'yu'liu'dao'cheng
冬后梅里香,dong'hou'mei'li'xiang
渡苦海舟航,du'ku'hai'zhou'hang
渡月无边觉有情,du'yue'wu'bian'jue'you'qing
多一份慈悲慈悲因大家而变,duo'yi'fen'ci'bei'ci'bei'yin'da'jia'er'bian
多一份宽容宽容在细节之处,duo'yi'fen'kuan'rong'kuan'rong'zai'xi'jie'zhi'chu
多欲必定烦恼多,duo'yu'bi'ding'fan'nao'duo
多与善知多学习,duo'yu'shan'zhi'duo'xue'xi
阿弥陀佛号,e'mi'tuo'fo'hao
阿弥陀佛在,e'mi'tuo'fo'zai
恩枷爱锁如山重,en'jia'ai'suo'ru'shan'zhong
烦恼险难不会久,fan'nao'xian'nan'bu'hui'jiu
凡人本不烦,fan'ren'ben'bu'fan
放弃短暂得永恒,fang'qi'duan'zan'de'yong'heng
放下彷徨心,fang'xia'pang'huang'xin
