阿赖耶识,a'lai'ye'shi
按跷,an'qiao
案扤,an'wu
八狂,ba'kuang
八十字,ba'shi'zi
百会,bai'hui
白净识,bai'jing'shi
白云子导引法,bai'yun'zi'dao'yin'fa
宝冠胎息法,bao'guan'tai'xi'fa
宝精,bao'jing
悲心普运,bei'xin'pu'yun
闭房户,bi'fang'hu
辟谷,bi'gu
壁观,bi'guan
闭气不息,bi'qi'bu'xi
闭炁胎息,bi'qi'tai'xi
鼻胃,bi'wei
步功,bu'gong
不拟,bu'ni
不生不灭,bu'sheng'bu'mie
步引,bu'yin
擦面,ca'mian
擦涌泉,ca'yong'quan
采飞根,cai'fei'gen
参倍,can'bei
餐六气,can'liu'qi
察知,cha'zhi
禅观法,chan'guan'fa
长功,chang'gong
长生窟,chang'sheng'ku
畅外,chang'wai
朝彻,chao'che
沉相,chen'xiang
成佛作祖,cheng'fo'zuo'zu
赤龙之耕,chi'long'zhi'geng
赤松子导引法,chi'song'zi'dao'yin'fa
持咒,chi'zhou
充养,chong'yang
重置,chong'zhi
出偏,chu'pian
出神法,chu'shen'fa
垂帘塞兑,chui'lian'sai'dui
捶天磬,chui'tian'qing
从四正,cong'si'zheng
蹙气,cu'qi
存白气,cun'bai'qi
存流霞,cun'liu'xia
存泥丸,cun'ni'wan
存日,cun'ri
存五神,cun'wu'shen
存想,cun'xiang
存想赤气,cun'xiang'chi'qi
存想肺气,cun'xiang'fei'qi
存想黄气,cun'xiang'huang'qi
存想青气,cun'xiang'qing'qi
存一,cun'yi
大道行世,da'dao'xing'shi
大决,da'jue
大胎息,da'tai'xi
打天钟,da'tian'zhong
带缚,dai'fu
道心惟微,dao'xin'wei'wei
导引却病歌诀,dao'yin'que'bing'ge'jue
淀积,dian'ji
叠盘,die'pan
定慧,ding'hui
定静,ding'jing
定式,ding'shi
动功,dong'gong
兜礼,dou'li
兜肾功,dou'shen'gong
度狼,du'lang
督脉,du'mai
断惑证真,duan'huo'zheng'zhen
断缘,duan'yuan
鹅王步,e'wang'bu
二六功课,er'liu'gong'ke
法基凝化还理练精气神,fa'ji'ning'hua'hai'li'lian'jing'qi'shen
法水,fa'shui
法天地,fa'tian'di
返本,fan'ben
返先天,fan'xian'tian
反指,fan'zhi
焚修,fen'xiu
封金匮,feng'jin'kui
佛无大小,fo'wu'da'xiao
复车,fu'che
复鹿,fu'lu
符箓,fu'lu
服气三膈,fu'qi'san'ge
服青牙,fu'qing'ya
服日,fu'ri
凫沃,fu'wo
服五牙法,fu'wu'ya'fa
凫浴,fu'yu
干浴,gan'yu
功法,gong'fa
公积,gong'ji
功理,gong'li
功理功法,gong'li'gong'fa
功友,gong'you
购建价,gou'jian'jia
谷药,gu'yao
观鼻法,guan'bi'fa
灌溉中州,guan'gai'zhong'zhou
关窍,guan'qiao
观天法,guan'tian'fa
观心法,guan'xin'fa
广成子静坐法,guang'cheng'zi'jing'zuo'fa
龟鳖行气法,gui'bie'xing'qi'fa
归一,gui'yi
蛤蟆行气,ha'ma'xing'qi
虾蟆行气法,ha'ma'xing'qi'fa
和神导气,he'shen'dao'qi
互跪,hu'gui
虎戏,hu'xi
虎偃,hu'yan
虎引,hu'yin
华山十二睡功诀,hua'shan'shi'er'shui'gong'jue
华阳子内观法,hua'yang'zi'nei'guan'fa
幻听,huan'ting
幻真先生服内元气诀法,huan'zhen'xian'sheng'fu'nei'yuan'qi'jue'fa
黄帝内经,huang'di'nei'jing
黄帝内视法,huang'di'nei'shi'fa
慧而不用,hui'er'bu'yong
汇一丰,hui'yi'feng
回周,hui'zhou
回紫抱黄,hui'zi'bao'huang
浑化,hun'hua
混化,hun'hua
魂清魄浊,hun'qing'po'zhuo
混元,hun'yuan
混元气,hun'yuan'qi
混元态,hun'yuan'tai
混元子,hun'yuan'zi
祸兮福兮福兮祸兮,huo'xi'fu'xi'fu'xi'huo'xi
集附,ji'fu
击天磬,ji'tian'qing
基砖,ji'zhuan
俭视俭听,jian'shi'jian'ting
渐悟,jian'wu
降心,jiang'xin
教功,jiao'gong
交股,jiao'gu
挢引,jiao'yin
禁绝阴阳,jin'jue'yin'yang
尽然,jin'ran
静而生慧,jing'er'sheng'hui
静功,jing'gong
精气神,jing'qi'shen
九步功,jiu'bu'gong
九心轮内功,jiu'xin'lun'nei'gong
聚成,ju'cheng
聚津生精,ju'jin'sheng'jing
聚则成形,ju'ze'cheng'xing
决牖术,jue'you'shu
开智功,kai'zhi'gong
空静,kong'jing
叩齿,kou'chi
拉气,la'qi
老子按摩法,lao'zi'an'mo'fa
累童,lei'tong
立禅,li'chan
李奉时服气法,li'feng'shi'fu'qi'fa
立掌分指,li'zhang'fen'zhi
炼功,lian'gong
练功八十字,lian'gong'ba'shi'zi
炼津,lian'jin
练精,lian'jing
炼精化气,lian'jing'hua'qi
炼溺,lian'ni
炼气化神,lian'qi'hua'shen
炼神还虚,lian'shen'hai'xu
练至,lian'zhi
灵静,ling'jing
灵枢,ling'shu
六不祥,liu'bu'xiang
六字气诀法,liu'zi'qi'jue'fa
龙行气法,long'xing'qi'fa
鹿戏,lu'xi
冒气,mao'qi
密宗,mi'zong
妙契,miao'qi
命功,ming'gong
明镜照面,ming'jing'zhao'mian
瞑目观形,ming'mu'guan'xing
鸣天鼓,ming'tian'gu
明心见性,ming'xin'jian'xing
膜络,mo'luo
墨子闭气行气法,mo'zi'bi'qi'xing'qi'fa
内化,nei'hua
内聚,nei'ju
内气,nei'qi
内求,nei'qiu
内视,nei'shi
内守,nei'shou
内听,nei'ting
念气,nian'qi
念咒,nian'zhou
鸟戏,niao'xi
臬栗,nie'li
宁先生导引养生法,ning'xian'sheng'dao'yin'yang'sheng'fa
培益,pei'yi
彭祖导引法,peng'zu'dao'yin'fa
偏跏,pian'jia
偏执,pian'zhi
婆罗门法,po'luo'men'fa
歧伯,qi'bo
气场,qi'chang
七痴,qi'chi
气法,qi'fa
气功家,qi'gong'jia
气功界,qi'gong'jie
气蛊,qi'gu
气归元海,qi'gui'yuan'hai
脐呼吸,qi'hu'xi
气机,qi'ji
奇经八脉,qi'jing'ba'mai
气术,qi'shu
七漱玉泉,qi'shu'yu'quan
气血,qi'xue
气穴,qi'xue
掐诀,qia'jue
佥指,qian'zhi
轻撮谷道,qing'cuo'gu'dao
青牙,qing'ya
穷视,qiong'shi
取外气法,qu'wai'qi'fa
全息性,quan'xi'xing
任脉,ren'mai
忍怒全阴,ren'nu'quan'yin
人心惟危,ren'xin'wei'wei
入火,ru'huo
入胎定观,ru'tai'ding'guan
三部九候,san'bu'jiu'hou
三才避忌,san'cai'bi'ji
三彭,san'peng
散气,san'qi
三田一贯,san'tian'yi'guan
三心并,san'xin'bing
三愚,san'yu
三元宫,san'yuan'gong
啬神养和,se'shen'yang'he
缮生术,shan'sheng'shu
上腭,shang'e
尚有,shang'you
摄入,she'ru
摄生六害,she'sheng'liu'hai
蛇行气,she'xing'qi
蛇甄,she'zhen
舌柱上腭,she'zhu'shang'e
神慧,shen'hui
神机窍,shen'ji'qiao
身外身,shen'wai'shen
身外天魔,shen'wai'tian'mo
神验,shen'yan
神枕,shen'zhen
省眠,sheng'mian
生炁,sheng'qi
十二段动功,shi'er'duan'dong'gong
十二段锦,shi'er'duan'jin
十二多,shi'er'duo
十二少,shi'er'shao
施功,shi'gong
尸居,shi'ju
时空,shi'kong
时空复合子,shi'kong'fu'he'zi
视力保健功,shi'li'bao'jian'gong
十六锭金,shi'liu'ding'jin
十六段锦,shi'liu'duan'jin
十六宜,shi'liu'yi
十魔军,shi'mo'jun
食气,shi'qi
识神,shi'shen
食生吐死,shi'sheng'tu'si
施术,shi'shu
实象思维,shi'xiang'si'wei
始于,shi'yu
狮子卧,shi'zi'wo
施作用,shi'zuo'yong
守雌抱一,shou'ci'bao'yi
守寸,shou'cun
授功,shou'gong
收功,shou'gong
受据,shou'ju
守空,shou'kong
收视返听,shou'shi'fan'ting
守五神,shou'wu'shen
守玄白,shou'xuan'bai
守中,shou'zhong
书符,shu'fu
树突,shu'tu
蜀王台,shu'wang'tai
漱咽灵液,shu'yan'ling'ye
四惑,si'huo
四气,si'qi
四少,si'shao
四时颐养导引法,si'shi'yi'yang'dao'yin'fa
思形状,si'xing'zhuang
四字诀,si'zi'jue
苏东坡养生诀,su'dong'po'yang'sheng'jue
素问,su'wen
孙真人铭,sun'zhen'ren'ming
太上七返,tai'shang'qi'fan
胎食,tai'shi
恬惔虚无,tian'dan'xu'wu
