挨去,ai'qu
八达镇,ba'da'zhen
八桂,ba'gui
芭蕉,ba'jiao
巴姐,ba'jie
八立方,ba'li'fang
巴头,ba'tou
百安,bai'an
百迪乐,bai'di'le
百都,bai'dou
百高,bai'gao
百合园,bai'he'yuan
百家汇,bai'jia'hui
百林桥,bai'lin'qiao
百色,bai'se
百色的,bai'se'de
百色高中,bai'se'gao'zhong
百色了,bai'se'le
百色人,bai'se'ren
百色人才网,bai'se'ren'cai'wang
百色市,bai'se'shi
百色学院,bai'se'xue'yuan
百色中学,bai'se'zhong'xue
百省,bai'sheng
百胜街,bai'sheng'jie
百院,bai'yuan
帮交,bang'jiao
北部湾,bei'bu'wan
扁菜,bian'cai
宾山,bin'shan
不成看,bu'cheng'kan
不懂咯,bu'dong'ge
不更加,bu'geng'jia
不过你们赢了,bu'guo'ni'men'ying'le
不黑懂,bu'hei'dong
布兰卡,bu'lan'ka
不做工,bu'zuo'gong
菜茶茉,cai'cha'mo
才得,cai'de
澄碧,cheng'bi
澄碧湖,cheng'bi'hu
成吃,cheng'chi
成看,cheng'kan
城乡路,cheng'xiang'lu
吃果,chi'guo
丑多,chou'duo
出来咩,chu'lai'mie
出来为,chu'lai'wei
从南宁,cong'nan'ning
粗口话,cu'kou'hua
村干,cun'gan
大华厂,da'hua'chang
大沙田,da'sha'tian
大王岭,da'wang'ling
大维,da'wei
代表药,dai'biao'yao
到百色,dao'bai'se
到南宁,dao'nan'ning
得啊,de'a
德保,de'bao
德保县,de'bao'xian
德峨,de'e
得了没,de'le'mei
得了没有,de'le'mei'you
得没有,de'mei'you
得钱,de'qian
等得花儿都,deng'de'hua'er'dou
等下先,deng'xia'xian
地下铁,di'xia'tie
顶不得,ding'bu'de
鹅泉,e'quan
肥多,fei'duo
粉店,fen'dian
封钱,feng'qian
福州街,fu'zhou'jie
嘎嘎爱国,ga'ga'ai'guo
干捞粉,gan'lao'fen
敢壮山,gan'zhuang'shan
刚得,gang'de
咯为,ge'wei
给我为,gei'wo'wei
冠超市,guan'chao'shi
广西百色,guang'xi'bai'se
广西百色市,guang'xi'bai'se'shi
广西壮族自治区,guang'xi'zhuang'zu'zi'zhi'qu
广西资讯,guang'xi'zi'xun
广州街,guang'zhou'jie
贵多,gui'duo
桂林街,gui'lin'jie
过来为,guo'lai'wei
嗨大,hai'da
还好过,hai'hao'guo
旱鸭,han'ya
河池,he'chi
喝住,he'zhu
黑憋,hei'bie
黑咯,hei'ge
黑哦,hei'o
红歌宴,hong'ge'yan
红立方,hong'li'fang
红薯叶,hong'shu'ye
后龙山,hou'long'shan
化峒,hua'dong
凰巢,huang'chao
黄副,huang'fu
皇爵,huang'jue
回百色,hui'bai'se
回靖西,hui'jing'xi
回平果,hui'ping'guo
鸡肉粉,ji'rou'fen
假多,jia'duo
假乖,jia'guai
夹壮,jia'zhuang
建华厂,jian'hua'chang
见没有,jian'mei'you
江滨路,jiang'bin'lu
江平,jiang'ping
叫班,jiao'ban
捷佳,jie'jia
拮抗药,jie'kang'yao
金丰华,jin'feng'hua
金土地,jin'tu'di
进新房,jin'xin'fang
金钟山,jin'zhong'shan
靖西,jing'xi
靖西县,jing'xi'xian
就挨,jiu'ai
久不久,jiu'bu'jiu
就得咯,jiu'dei'ge
久多,jiu'duo
九曲桥,jiu'qu'qiao
聚宝苑,ju'bao'yuan
卷粉,juan'fen
卷筒粉,juan'tong'fen
卡佛连,ka'fo'lian
开电车,kai'dian'che
看为,kan'wei
看先把,kan'xian'ba
考不得,kao'bu'de
克长,ke'chang
快班,kuai'ban
拉得网,la'de'wang
拉赞助有阻力,la'zan'zhu'you'zu'li
来百色,lai'bai'se
来靖西,lai'jing'xi
来平果,lai'ping'guo
来田东,lai'tian'dong
来为,lai'wei
来野,lai'ye
烂公,lan'gong
浪平,lang'ping
老台门,lao'tai'men
乐业,le'ye
乐业县,le'ye'xian
累多,lei'duo
雷感,lei'gan
冷多,leng'duo
李副,li'fu
利客隆,li'ke'long
林场,lin'chang
林逢,lin'feng
凌云,ling'yun
凌云县,ling'yun'xian
隆安,long'an
龙邦,long'bang
龙茶,long'cha
龙丰,long'feng
龙光,long'guang
龙浩,long'hao
龙合,long'he
隆林,long'lin
隆林各族自治县,long'lin'ge'zu'zi'zhi'xian
隆林县,long'lin'xian
隆平,long'ping
隆桑,long'sang
漏野,lou'ye
陆川,lu'chuan
罗叶,luo'ye
铝业,lv'ye
马隘,ma'ai
妈黑,ma'hei
马头,ma'tou
马头镇,ma'tou'zhen
买不得,mai'bu'de
买果,mai'guo
麦肯基,mai'ken'ji
忙多,mang'duo
芒果节,mang'guo'jie
美林街,mei'lin'jie
美味基,mei'wei'ji
没有捏,mei'you'nie
闷多,men'duo
咩戳,mie'chuo
民高,min'gao
民顺,min'shun
蘑菇亭,mo'gu'ting
某色,mou'se
那拔,na'ba
那毕,na'bi
哪个懂,na'ge'dong
那黑,na'hei
那吉,na'ji
那甲,na'jia
那坡,na'po
那坡县,na'po'xian
那桐,na'tong
那晚,na'wan
南城百货,nan'cheng'bai'huo
南宁啊,nan'ning'a
南宁的,nan'ning'de
南宁了,nan'ning'le
你就别给我,ni'jiu'bie'gei'wo
你妈黑,ni'ma'hei
你又懂,ni'you'dong
你友女,ni'you'nv
你友仔,ni'you'zai
你在百色,ni'zai'bai'se
你在南宁,ni'zai'nan'ning
你怎么懂,ni'zen'me'dong
农非,nong'fei
农姐,nong'jie
欧景,ou'jing
欧艺,ou'yi
排沙,pai'sha
泮水,pan'shui
平班,ping'ban
平果,ping'guo
平果的,ping'guo'de
平果了,ping'guo'le
平果铝,ping'guo'lv
平果县,ping'guo'xian
平马,ping'ma
平孟,ping'meng
平塘,ping'tang
平中,ping'zhong
坡顶,po'ding
坡荷,po'he
坡洪,po'hong
普萘洛尔,pu'nai'luo'er
七黑,qi'hei
期考,qi'kao
气排球,qi'pai'qiu
请酒,qing'jiu
去百色,qu'bai'se
去南宁,qu'nan'ning
去喂,qu'wei
热多,re'duo
仁东,ren'dong
人多多,ren'duo'duo
三口井,san'kou'jing
三马仔,san'ma'zai
沙里,sha'li
杀鸭,sha'ya
上百色,shang'bai'se
上不得,shang'bu'de
上法,shang'fa
上甲,shang'jia
上教室,shang'jiao'shi
上南宁,shang'nan'ning
烧烤城,shao'kao'cheng
烧鸭粉,shao'ya'fen
什么卵,shen'me'luan
十里莲塘,shi'li'lian'tang
是某,shi'mou
石寨,shi'zhai
市政局,shi'zheng'ju
谁懂你,shui'dong'ni
水果捞,shui'guo'lao
睡那么快,shui'na'me'kuai
水源洞,shui'yuan'dong
朔良,shuo'liang
说为,shuo'wei
私捞,si'lao
思林,si'lin
四塘镇,si'tang'zhen
酸野,suan'ye
他说都删,ta'shuo'dou'shan
台农,tai'nong
摊面,tan'mian
天等,tian'deng
田东,tian'dong
田东县,tian'dong'xian
田高,tian'gao
田林,tian'lin
田林县,tian'lin'xian
田阳,tian'yang
田阳县,tian'yang'xian
挺精彩的,ting'jing'cai'de
同老,tong'lao
头塘,tou'tang
晚多,wan'duo
万尾,wan'wei
韦灵,wei'ling
韦宁,wei'ning
问要,wen'yao
我才得,wo'cai'de
我给你骂了,wo'gei'ni'ma'le
我去南宁,wo'qu'nan'ning
我也见,wo'ye'jian
我友女,wo'you'nv
我友仔,wo'you'zai
我在百色,wo'zai'bai'se
我在广西,wo'zai'guang'xi
我在南宁,wo'zai'nan'ning
我怎么懂,wo'zen'me'dong
无聊多,wu'liao'duo
唔哟,wu'yo
西林,xi'lin
西林县,xi'lin'xian
下村,xia'cun
下岗街,xia'gang'jie
下火堂,xia'huo'tang
下甲,xia'jia
下来为,xia'lai'wei
县份,xian'fen
县府,xian'fu
县府办,xian'fu'ban
乡府,xiang'fu
新百通,xin'bai'tong
忻城,xin'cheng
信发,xin'fa
新平果,xin'ping'guo
幸福花园,xing'fu'hua'yuan
雅长,ya'chang
岩茶,yan'cha
阳光新城,yang'guang'xin'cheng
阳圩镇,yang'xu'zhen
也挨,ye'ai
也闷,ye'men
夜市街,ye'shi'jie
一个月一个月,yi'ge'yue'yi'ge'yue
一下先,yi'xia'xian
印茶,yin'cha
永乐乡,yong'le'xiang
又挨,you'ai
油城路,you'cheng'lu
右江,you'jiang
右江河,you'jiang'he
右江论坛,you'jiang'lun'tan
右江民族医学院,you'jiang'min'zu'yi'xue'yuan
右江区,you'jiang'qu
友女,you'nv
右医,you'yi
友仔,you'zai
玉林了,yu'lin'le
远多,yuan'duo
在百色,zai'bai'se
在德保,zai'de'bao
在靖西,zai'jing'xi
在那坡,zai'na'po
在南宁,zai'nan'ning
在平果,zai'ping'guo
在田东,zai'tian'dong
在田阳,zai'tian'yang
在玉林,zai'yu'lin
早多,zao'duo
找不得,zhao'bu'de
中华街,zhong'hua'jie
中山二路,zhong'shan'er'lu
煮饭菜,zhu'fan'cai
煮粉,zhu'fen
主山,zhu'shan
猪血肠,zhu'xue'chang
壮话,zhuang'hua
壮族,zhuang'zu
准备到了,zhun'bei'dao'le
