阿儿厮兰,a'er'si'lan
阿忽察,a'hu'cha
阿剌吉八,a'la'ji'ba
阿里不哥,a'li'bu'ge
阿姆河等处行尚书省,a'mu'he'deng'chu'xing'shang'shu'sheng
阿速台,a'su'tai
爱育黎拔力八达,ai'yu'li'ba'li'ba'da
八赤蛮,ba'chi'man
拔都,ba'du
颁布诏书,ban'bu'zhao'shu
被处死,bei'chu'si
孛儿只斤,bei'er'zhi'jin
孛儿只斤贵由,bei'er'zhi'jin'gui'you
孛儿只斤蒙哥,bei'er'zhi'jin'meng'ge
孛儿只斤铁木真,bei'er'zhi'jin'tie'mu'zhen
孛儿只斤妥欢贴睦尔,bei'er'zhi'jin'tuo'huan'tie'mu'er
孛儿只斤妥欢铁木儿,bei'er'zhi'jin'tuo'huan'tie'mu'er
孛儿只斤拖雷,bei'er'zhi'jin'tuo'lei
孛儿只斤窝阔台,bei'er'zhi'jin'wo'kuo'tai
孛兰合剌孙,bei'lan'he'la'sun
孛鲁合,bei'lu'he
北迁的,bei'qian'de
北狩,bei'shou
北逃,bei'tao
北元的,bei'yuan'de
被斩,bei'zhan
俾领其部族,bi'ling'qi'bu'zu
别失八里等处行尚书省,bie'shi'ba'li'deng'chu'xing'shang'shu'sheng
伯颜,bo'yan
伯颜忽都,bo'yan'hu'dou
不答昔你,bu'da'xi'ni
不得超过,bu'de'chao'guo
卜筮,bu'shi
常遇春,chang'yu'chun
朝觐贡献,chao'jin'gong'xian
臣属民族,chen'shu'min'zu
称帝,cheng'di
成吉思汗,cheng'ji'si'han
成吉思汗孙,cheng'ji'si'han'sun
称制,cheng'zhi
程朱理学,cheng'zhu'li'xue
成宗死,cheng'zong'si
处决了,chu'jue'le
大成至圣文宣王,da'cheng'zhi'sheng'wen'xuan'wang
大德十一年,da'de'shi'yi'nian
大都,da'dou
大汗,da'han
答剌失里,da'la'shi'li
大蒙古帝国,da'meng'gu'di'guo
大蒙古国,da'meng'gu'guo
大元,da'yuan
大元国号,da'yuan'guo'hao
大元通制,da'yuan'tong'zhi
大哉乾元,da'zai'qian'yuan
倒剌沙,dao'la'sha
的官吏,de'guan'li
的灭亡,de'mie'wang
的母亲,de'mu'qin
的统治,de'tong'zhi
的长子,de'zhang'zi
帝王年表,di'wang'nian'biao
第一位皇帝,di'yi'wei'huang'di
定都于,ding'du'yu
定宗,ding'zong
东逃,dong'tao
断事官,duan'shi'guan
段兴智,duan'xing'zhi
对外战争,dui'wai'zhan'zheng
法天启运圣武皇帝,fa'tian'qi'yun'sheng'wu'huang'di
反对派的,fan'dui'pai'de
放高利贷,fang'gao'li'dai
分别由,fen'bie'you
分迁到各地,fen'qian'dao'ge'di
封明慧贞懿大长公主,feng'ming'hui'zhen'yi'da'zhang'gong'zhu
奉兄为帝,feng'xiong'wei'di
伏尔加河,fu'er'jia'he
赋敛民财,fu'lian'min'cai
改元泰定,gai'yuan'tai'ding
高太样,gao'tai'yang
攻入大理,gong'ru'da'li
勾结商人,gou'jie'shang'ren
官方思想,guan'fang'si'xiang
规定了,gui'ding'le
鬼力赤,gui'li'chi
贵由,gui'you
贵由汗,gui'you'han
国号大元,guo'hao'da'yuan
郭菩萨,guo'pu'sa
过其地,guo'qi'di
哈剌和林,ha'la'he'lin
哈拉和林,ha'la'he'lin
海迷失哈敦,hai'mi'shi'ha'dun
海山,hai'shan
海云,hai'yun
罕禄鲁,han'lu'lu
汗廷重臣,han'ting'zhong'chen
汗王,han'wang
合答合赤,he'da'he'chi
和林,he'lin
河南行省,he'nan'xing'sheng
和世剌,he'shi'la
弘吉剌,hong'ji'la
红巾军起义,hong'jin'jun'qi'yi
忽必烈,hu'bi'lie
忽里勒台,hu'li'le'tai
忽秃黑,hu'tu'hei
