别人都叫他王癞胡,bie'ren'dou'jiao'ta'wang'lai'hu
不知道因为新洗呢,bu'zhi'dao'yin'wei'xin'xi'ne
但这王胡旁边,dan'zhe'wang'hu'pang'bian
翻检了一回,fan'jian'le'yi'hui
还是因为粗心,hai'shi'yin'wei'cu'xin
好容易才捉到一个中的,hao'rong'yi'cai'zhuo'dao'yi'ge'zhong'de
恨恨的塞在厚嘴唇里,hen'hen'de'sai'zai'hou'zui'chun'li
狠命一咬,hen'ming'yi'yao
后来却不平了,hou'lai'que'bu'ping'le
简直还是抬举他,jian'zhi'hai'shi'tai'ju'ta
看不上眼的王胡尚且那么多,kan'bu'shang'yan'de'wang'hu'shang'qie'na'me'duo
看见王胡在那里赤着膊捉虱子,kan'jian'wang'hu'zai'na'li'chi'zhe'bo'zhuo'shi'zi
老实说,lao'shi'shuo
两个又三个,liang'ge'you'san'ge
令人看不上眼,ling'ren'kan'bu'shang'yan
劈的一声,pi'de'yi'sheng
却是一个又一个,que'shi'yi'ge'you'yi'ge
然而非常渺视他,ran'er'fei'chang'miao'shi'ta
然而竟没有,ran'er'jing'mei'you
实在太新奇,shi'zai'tai'xin'qi
他很想寻一两个大的,ta'hen'xiang'xun'yi'liang'ge'da'de
他忽然觉得身上也痒起来了,ta'hu'ran'jue'de'shen'shang'ye'yang'qi'lai'le
他看那王胡,ta'kan'na'wang'hu
他肯坐下去,ta'ken'zuo'xia'qu
他有什么怕呢,ta'you'shen'me'pa'ne
他于是并排坐下去了,ta'yu'shi'bing'pai'zuo'xia'qu'le
他醉醺醺的在街上走,ta'zui'xun'xun'de'zai'jie'shang'zou
倘是别的闲人们,tang'shi'bie'de'xian'ren'men
许多工夫,xu'duo'gong'fu
以为癞是不足为奇的,yi'wei'lai'shi'bu'zu'wei'qi'de
又不及王胡的响,you'bu'ji'wang'hu'de'xiang
又癞又胡,you'lai'you'hu
有一年的春天,you'yi'nian'de'chun'tian
在墙根的日光下,zai'qiang'gen'de'ri'guang'xia
这是怎样的大失体统的事呵,zhe'shi'zen'yang'de'da'shi'ti'tong'de'shi'he
这王胡,zhe'wang'hu
只放在嘴里毕毕剥剥的响,zhi'fang'zai'zui'li'bi'bi'bo'bo'de'xiang
只有这一部络腮胡子,zhi'you'zhe'yi'bu'luo'sai'hu'zi
只捉到三四个,zhi'zhuo'dao'san'si'ge
自己倒反这样少,zi'ji'dao'fan'zhe'yang'shao
