被视作一种交际的方式,bei'shi'zuo'yi'zhong'jiao'ji'de'fang'shi
边吃边谈,bian'chi'bian'tan
并无什么礼仪上的讲究,bing'wu'shen'me'li'yi'shang'de'jiang'jiu
不仅饮茶,bu'jin'yin'cha
的一大特色,de'yi'da'te'se
都乐于上茶楼,dou'le'yu'shang'cha'lou
而且建筑规模宏大,er'qie'jian'zhu'gui'mo'hong'da
富丽堂皇,fu'li'tang'huang
广州的茶楼与茶馆的概念,guang'zhou'de'cha'lou'yu'cha'guan'de'gai'nian
广州人把饮茶,guang'zhou'ren'ba'yin'cha
广州人聚朋会友,guang'zhou'ren'ju'peng'hui'you
广州人嗜好饮茶,guang'zhou'ren'shi'hao'yin'cha
广州人所说的饮茶,guang'zhou'ren'suo'shuo'de'yin'cha
广州人饮茶,guang'zhou'ren'yin'cha
还要吃点心,hai'yao'chi'dian'xin
既供应茶水又供应点心,ji'gong'ying'cha'shui'you'gong'ying'dian'xin
既填饱了肚子,ji'tian'bao'le'du'zi
就是当年的茶楼,jiu'shi'dang'nian'de'cha'lou
据说这一习俗,ju'shuo'zhe'yi'xi'su
可见对饮茶的喜爱,ke'jian'dui'yin'cha'de'xi'ai
客人要用,ke'ren'yao'yong
来源于乾隆下江南的典故,lai'yuan'yu'qian'long'xia'jiang'nan'de'dian'gu
历百年而不衰的,li'bai'nian'er'bu'shuai'de
联络了感情,lian'luo'le'gan'qing
洛谈生意,luo'tan'sheng'yi
三三两两聚在一起,san'san'liang'liang'ju'zai'yi'qi
甚至谈成了一桩生意,shen'zhi'tan'cheng'le'yi'zhuang'sheng'yi
是茶馆所不能比拟的,shi'cha'guan'suo'bu'neng'bi'ni'de
是广州的俗语,shi'guang'zhou'de'su'yu
实际上指的是上茶楼饮茶,shi'ji'shang'zhi'de'shi'shang'cha'lou'yin'cha
食在广州,shi'zai'guang'zhou
实在是一件惬意的事情,shi'zai'shi'yi'jian'qie'yi'de'shi'qing
食指和中指轻叩桌面,shi'zhi'he'zhong'zhi'qing'kou'zhuo'mian
它不但,ta'bu'dan
叹茶,tan'cha
唯独在主人给客人斟茶时,wei'du'zai'zhu'ren'gei'ke'ren'zhen'cha'shi
为享受之意,wei'xiang'shou'zhi'yi
也不尽相同,ye'bu'jin'xiang'tong
也是,ye'shi
业余消遣,ye'yu'xiao'qian
以此作为问候早安的代名词,yi'ci'zuo'wei'wen'hou'zao'an'de'dai'ming'ci
一个重要原因,yi'ge'zhong'yao'yuan'yin
一壶浓茶几件美点,yi'hu'nong'cha'ji'jian'mei'dian
以致谢意,yi'zhi'xie'yi
饮茶是广州人的一个生活习惯,yin'cha'shi'guang'zhou'ren'de'yi'ge'sheng'huo'xi'guan
因此,yin'ci
饮左茶未,yin'zuo'cha'wei
又称,you'cheng
又交流了信息,you'jiao'liu'le'xin'xi
有相当一部分,you'xiang'dang'yi'bu'fen
在广州的老字号饮食店中,zai'guang'zhou'de'lao'zi'hao'yin'shi'dian'zhong
早上见面打招呼就是问,zao'shang'jian'mian'da'zhao'hu'jiu'shi'wen
这也正是广州茶楼业,zhe'ye'zheng'shi'guang'zhou'cha'lou'ye
正因为如此,zheng'yin'wei'ru'ci
