安德鲁,an'de'lu
俺们的,an'men'de
俺们了,an'men'le
澳币,ao'bi
澳大,ao'da
澳航,ao'hang
澳科大,ao'ke'da
澳门,ao'men
澳门币,ao'men'bi
澳门大学,ao'men'da'xue
澳门的,ao'men'de
澳门卡,ao'men'ka
澳门科技大学,ao'men'ke'ji'da'xue
澳门了,ao'men'le
澳门吗,ao'men'ma
澳门呢,ao'men'ne
澳门人,ao'men'ren
澳门通,ao'men'tong
八佰伴,ba'bai'ban
巴士,ba'shi
巴士站,ba'shi'zhan
百家乐,bai'jia'le
白装,bai'zhuang
保利达,bao'li'da
波鞋,bo'xie
程式,cheng'shi
冲关,chong'guan
出关了,chu'guan'le
存摺,cun'zhe
大仓,da'cang
搭船,da'chuan
大假,da'jia
大家姐,da'jia'jie
大三巴,da'san'ba
到澳门,dao'ao'men
到珠海,dao'zhu'hai
帝豪,di'hao
第一座,di'yi'zuo
电投,dian'tou
东亚楼,dong'ya'lou
赌场,du'chang
赌场的,du'chang'de
赌场了,du'chang'le
赌场里,du'chang'li
赌城,du'cheng
赌客,du'ke
放工,fang'gong
复活节,fu'huo'jie
港澳,gang'ao
港澳码头,gang'ao'ma'tou
港币,gang'bi
高士德,gao'shi'de
更表,geng'biao
拱北口岸,gong'bei'kou'an
拱北了,gong'bei'le
观光塔,guan'guang'ta
关口,guan'kou
官也街,guan'ye'jie
关闸,guan'zha
贵宾厅,gui'bin'ting
过澳门,guo'ao'men
过关,guo'guan
过关了,guo'guan'le
过珠海,guo'zhu'hai
濠江,hao'jiang
濠景,hao'jing
荷官,he'guan
和记,he'ji
黑沙,hei'sha
黑沙环,hei'sha'huan
黑沙滩,hei'sha'tan
黑沙湾,hei'sha'wan
红街市,hong'jie'shi
回澳门,hui'ao'men
回覆,hui'fu
回乡证,hui'xiang'zheng
回珠海,hui'zhu'hai
夥伴,huo'ban
藉口,ji'kou
教青局,jiao'qing'ju
进关,jin'guan
金沙城,jin'sha'cheng
金玉满堂,jin'yu'man'tang
钜记,ju'ji
卡地亚,ka'di'ya
凯旋门,kai'xuan'men
科大,ke'da
口岸,kou'an
筷子基,kuai'zi'ji
来俺们,lai'an'men
来澳门,lai'ao'men
来珠海,lai'zhu'hai
劳工,lao'gong
劳务公司,lao'wu'gong'si
令到,ling'dao
路环,lu'huan
落场,luo'chang
旅游塔,lv'you'ta
马场,ma'chang
妈阁,ma'ge
妈祖庙,ma'zu'miao
忙著,mang'zhu
美高梅,mei'gao'mei
摩卡,mo'ka
幕府,mu'fu
南光,nan'guang
内地生,nei'di'sheng
你家姐,ni'jia'jie
你有冇,ni'you'mao
柠溪,ning'xi
平沙,ping'sha
葡币,pu'bi
葡国,pu'guo
葡国菜,pu'guo'cai
葡京,pu'jing
葡挞,pu'ta
乾巴爹,qian'ba'die
乾杯,qian'bei
乾脆,qian'cui
前地,qian'di
前山,qian'shan
乾燥,qian'zao
签注,qian'zhu
情侣路,qing'lv'lu
去澳门,qu'ao'men
去珠海,qu'zhu'hai
人民哈,ren'min'ha
森野汐,sen'ye'xi
升班,sheng'ban
十六浦,shi'liu'pu
手袋,shou'dai
收工,shou'gong
收工啦,shou'gong'la
收工了,shou'gong'le
树坦,shu'tan
水坑尾,shui'keng'wei
水塘,shui'tang
水舞间,shui'wu'jian
塔石,ta'shi
台底,tai'di
坦洲,tan'zhou
通宵班,tong'xiao'ban
外港,wai'gang
威尼斯,wei'ni'si
威尼斯人,wei'ni'si'ren
未呀,wei'ya
我出关,wo'chu'guan
我过关,wo'guo'guan
我冇,wo'mao
我收工,wo'shou'gong
我在俺们,wo'zai'an'men
我在澳门,wo'zai'ao'men
我在香港,wo'zai'xiang'gang
我在珠海,wo'zai'zhu'hai
喜来登,xi'lai'deng
洗码,xi'ma
洗牌,xi'pai
夏令班,xia'ling'ban
香洲区,xiang'zhou'qu
小泉,xiao'quan
小泉居,xiao'quan'ju
新濠,xin'hao
新濠天地,xin'hao'tian'di
薪金,xin'jin
新口岸,xin'kou'an
新马路,xin'ma'lu
新葡京,xin'pu'jing
信使,xin'shi
杏仁饼,xing'ren'bing
益健,yi'jian
一卡两号,yi'ka'liang'hao
移民局,yi'min'ju
银河,yin'he
英皇,ying'huang
影印,ying'yin
由於,you'yu
娱乐场,yu'le'chang
渔人码头,yu'ren'ma'tou
於是,yu'shi
圆明新园,yuan'ming'xin'yuan
悦榕庄,yue'rong'zhuang
在俺们,zai'an'men
在澳门,zai'ao'men
在赌场,zai'du'chang
在学证明,zai'xue'zheng'ming
在於,zai'yu
在珠海,zai'zhu'hai
战屌,zhan'diao
站著,zhan'zhu
帐房,zhang'fang
置地,zhi'di
指模,zhi'mo
中联办,zhong'lian'ban
周大福,zhou'da'fu
朱古力,zhu'gu'li
珠海的,zhu'hai'de
珠海拱北,zhu'hai'gong'bei
珠海啦,zhu'hai'la
珠海了,zhu'hai'le
珠海呢,zhu'hai'ne
珠海人,zhu'hai'ren
猪扒包,zhu'pa'bao
猪肉干,zhu'rou'gan
转码,zhuan'ma
最平,zui'ping
