阿米果,a'mi'guo
爱伦坡,ai'lun'po
艾山,ai'shan
哎系,ai'xi
俺班里,an'ban'li
安班主任,an'ban'zhu'ren
俺不管,an'bu'guan
俺不嫩,an'bu'nen
安不去,an'bu'qu
俺不问,an'bu'wen
安不想,an'bu'xiang
安不信,an'bu'xin
俺不要了,an'bu'yao'le
俺家里,an'jia'li
安姐夫,an'jie'fu
安居小区,an'ju'xiao'qu
俺看着,an'kan'zhe
俺老婆,an'lao'po
俺妈妈,an'ma'ma
俺没说,an'mei'shuo
安没有,an'mei'you
俺木,an'mu
俺娘来,an'niang'lai
安睡觉,an'shui'jiao
安睡觉了,an'shui'jiao'le
安阳来,an'yang'lai
安这边,an'zhe'bian
安这里,an'zhei'li
俺庄,an'zhuang
奥尔诺,ao'er'nuo
八湖,ba'hu
八湖镇,ba'hu'zhen
八块石,ba'kuai'shi
八腊庙街,ba'la'miao'jie
八路半,ba'lu'ban
跋山,ba'shan
芭缇雅,ba'ti'ya
百成汇,bai'cheng'hui
败坏我,bai'huai'wo
拜了个拜,bai'le'ge'bai
百丽广场,bai'li'guang'chang
白旄,bai'mao
白旄镇,bai'mao'zhen
白沙埠,bai'sha'bu
白沙埠镇,bai'sha'bu'zhen
百姓超市,bai'xing'chao'shi
柏叶鉴,bai'ye'jian
板板整整,ban'ban'zheng'zheng
板厂,ban'chang
半程,ban'cheng
半程镇,ban'cheng'zhen
办饭,ban'fan
板泉,ban'quan
板泉镇,ban'quan'zhen
板正,ban'zheng
板正的,ban'zheng'de
板正人,ban'zheng'ren
宝泉寺,bao'quan'si
保太,bao'tai
包月量,bao'yue'liang
北城,bei'cheng
北城新区,bei'cheng'xin'qu
北外环,bei'wai'huan
北园,bei'yuan
北园路,bei'yuan'lu
北园小区,bei'yuan'xiao'qu
甏肉,beng'rou
碧翠苑,bi'cui'yuan
比大多了,bi'da'duo'le
比临沂,bi'lin'yi
必须的哈,bi'xu'de'ha
卞桥镇,bian'qiao'zhen
卞庄,bian'zhuang
卞庄镇,bian'zhuang'zhen
滨河大道,bin'he'da'dao
滨河绿洲,bin'he'lv'zhou
铂尔曼,bo'er'man
不碍的,bu'ai'de
不板正,bu'ban'zheng
不场面,bu'chang'mian
不撑劲,bu'cheng'jin
不撑劲了,bu'cheng'jin'le
不撑了,bu'cheng'le
不掉他,bu'diao'ta
不掉我,bu'diao'wo
不定亲,bu'ding'qin
不怪好,bu'guai'hao
不管胡,bu'guan'hu
不好嫩,bu'hao'nen
不很好吗,bu'hen'hao'ma
不胡说了,bu'hu'shuo'le
不赖管,bu'lai'guan
不赖看,bu'lai'kan
不赖去,bu'lai'qu
不来算完,bu'lai'suan'wan
不赖要,bu'lai'yao
不落落,bu'luo'luo
不落落我,bu'luo'luo'wo
不孬啊,bu'nao'a
不孬不孬,bu'nao'bu'nao
不孬了,bu'nao'le
不去算完,bu'qu'suan'wan
不撒急,bu'sa'ji
不是嫩,bu'shi'nen
不说话了的,bu'shuo'hua'le'de
不说算完,bu'shuo'suan'wan
不喜你,bu'xi'ni
补校,bu'xiao
不信算完,bu'xin'suan'wan
不行蛮,bu'xing'man
不行嫩,bu'xing'nen
不在临沂,bu'zai'lin'yi
不知道们,bu'zhi'dao'men
不知道嫩,bu'zhi'dao'nen
不住下,bu'zhu'xia
菜博会,cai'bo'hui
才不是来,cai'bu'shi'lai
才怪来,cai'guai'lai
才好来,cai'hao'lai
彩虹谷,cai'hong'gu
苍马山,cang'ma'shan
苍山,cang'shan
苍山吧,cang'shan'ba
苍山的,cang'shan'de
苍山了,cang'shan'le
苍山人,cang'shan'ren
苍山县,cang'shan'xian
苍山一中,cang'shan'yi'zhong
草帽姐,cao'mao'jie
曹王庄,cao'wang'zhuang
曹庄,cao'zhuang
曹庄镇,cao'zhuang'zhen
测电无地线,ce'dian'wu'di'xian
测电正常,ce'dian'zheng'chang
册山,ce'shan
曾的,ceng'de
曾么,ceng'me
层山,ceng'shan
长城镇,chang'cheng'zhen
长春疼,chang'chun'teng
敞开打,chang'kai'da
常路,chang'lu
场面的,chang'mian'de
炒鸡店,chao'ji'dian
超级黑,chao'ji'hei
吵架来,chao'jia'lai
衬褂,chen'gua
成才路,cheng'cai'lu
橙果,cheng'guo
城后,cheng'hou
城建时代广场,cheng'jian'shi'dai'guang'chang
撑劲,cheng'jin
城前,cheng'qian
吃煎饼,chi'jian'bing
吃是的,chi'shi'de
吃着的,chi'zhe'de
重访,chong'fang
愁毁了,chou'hui'le
愁人吧,chou'ren'ba
愁瞎眼,chou'xia'yan
出大力,chu'da'li
褚墩,chu'dun
出门子,chu'men'zi
出去玩来,chu'qu'wan'lai
出去玩去吧,chu'qu'wan'qu'ba
厨卫城,chu'wei'cheng
出夜市,chu'ye'shi
褚庄,chu'zhuang
喘不开,chuan'bu'kai
喘不开气,chuan'bu'kai'qi
次不,ci'bu
从家的,cong'jia'de
从临沂,cong'lin'yi
从哪的,cong'na'de
从哪里的,cong'na'li'de
从日照,cong'ri'zhao
粗开,cu'kai
醋庄,cu'zhuang
崔家峪,cui'jia'yu
大大熊,da'da'xiong
大店镇,da'dian'zhen
大都汇,da'dou'hui
打盹了,da'dun'le
大官庄,da'guan'zhuang
大会子,da'hui'zi
大临沂,da'lin'yi
大岭村,da'ling'cun
大炉,da'lu
大陆商业村,da'lu'shang'ye'cun
大美临沂,da'mei'lin'yi
打牌来,da'pai'lai
大痞子,da'pi'zi
大平邑,da'ping'yi
大气的,da'qi'de
打墙孔,da'qiang'kong
大青山,da'qing'shan
大润民,da'run'min
大山路,da'shan'lu
大婶子,da'shen'zi
打小针,da'xiao'zhen
大兴镇,da'xing'zhen
打仗来,da'zhang'lai
打针的,da'zhen'de
打针来,da'zhen'lai
大仲村,da'zhong'cun
大朱夏,da'zhu'xia
大庄,da'zhuang
大庄镇,da'zhuang'zhen
代村,dai'cun
岱崮,dai'gu
带收款,dai'shou'kuan
代庄,dai'zhuang
当家子,dang'jia'zi
到费县,dao'fei'xian
到河东,dao'he'dong
到临沂,dao'lin'yi
到临沂了,dao'lin'yi'le
到平邑,dao'ping'yi
到沂水,dao'yi'shui
道庄,dao'zhuang
德职,de'zhi
等待确认,deng'dai'que'ren
等会这,deng'hui'zhe
灯具城,deng'ju'cheng
登山证,deng'shan'zheng
地蛋,di'dan
地豆子,di'dou'zi
地方镇,di'fang'zhen
地下大峡谷,di'xia'da'xia'gu
地下广场,di'xia'guang'chang
地下画廊,di'xia'hua'lang
弟兄俩,di'xiong'lia
第一辣,di'yi'la
第一生活区,di'yi'sheng'huo'qu
第一书记,di'yi'shu'ji
第一香,di'yi'xiang
点呼,dian'hu
店头镇,dian'tou'zhen
吊么,diao'me
吊日的,diao'ri'de
吊玩意,diao'wan'yi
掉渣饼,diao'zha'bing
吊纸,diao'zhi
丁芳川,ding'fang'chuan
定亲的,ding'qin'de
定亲了,ding'qin'le
定亲了吗,ding'qin'le'ma
定完亲,ding'wan'qin
丁兆亭,ding'zhao'ting
丢死了,diu'si'le
丢死我了,diu'si'wo'le
东方不夜城,dong'fang'bu'ye'cheng
东方超市,dong'fang'chao'shi
动植物园,dong'zhi'wu'yuan
都不孬,dou'bu'nao
都怪好,dou'guai'hao
都怪好看,dou'guai'hao'kan
都怪忙,dou'guai'mang
陡山,dou'shan
都在临沂,dou'zai'lin'yi
独辫子,du'bian'zi
对临沂,dui'lin'yi
盹死了,dun'si'le
剁去,duo'qu
多少来,duo'shao'lai
垛庄,duo'zhuang
垛庄镇,duo'zhuang'zhen
二婶子,er'shen'zi
反不能,fan'bu'neng
反不是,fan'bu'shi
饭饭了吗,fan'fan'le'ma
烦人吧,fan'ren'ba
方城镇,fang'cheng'zhen
放屁吗,fang'pi'ma
坊前,fang'qian
坊前镇,fang'qian'zhen
放心就是,fang'xin'jiu'shi
费城镇,fei'cheng'zhen
费觉,fei'jue
费事的,fei'shi'de
费事了,fei'shi'le
费县,fei'xian
费县吧,fei'xian'ba
费县的,fei'xian'de
费县了,fei'xian'le
肥之源,fei'zhi'yuan
凤凰大街,feng'huang'da'jie
凤凰广场,feng'huang'guang'chang
凤凰岭,feng'huang'ling
逢集,feng'ji
冯美春,feng'mei'chun
浮来山,fu'lai'shan
富民小区,fu'min'xiao'qu
付庄,fu'zhuang
嘎伙,ga'huo
该不多,gai'bu'duo
该是吗,gai'shi'ma
干掉的,gan'diao'de
赶集的,gan'ji'de
干嘛的,gan'ma'de
干嘛的你,gan'ma'de'ni
干嘛等,gan'ma'deng
干嘛滴,gan'ma'di
干么的,gan'me'de
干么来,gan'me'lai
干啥滴,gan'sha'di
干什么的,gan'shen'me'de
干什么来,gan'shen'me'lai
干熊,gan'xiong
干熊的,gan'xiong'de
干姊妹,gan'zi'mei
刚才吃饭的,gang'cai'chi'fan'de
刚家来,gang'jia'lai
刚洗刷,gang'xi'shua
刚洗刷完,gang'xi'shua'wan
高第,gao'di
高地街,gao'di'jie
高都,gao'du
高峰头,gao'feng'tou
搞喜,gao'xi
高庄,gao'zhuang
各家了,ge'jia'le
个哪的,ge'na'de
个哪里,ge'na'li
葛庄,ge'zhuang
给帮忙,gei'bang'mang
给冲,gei'chong
给说声,gei'shuo'sheng
公萍,gong'ping
公司户,gong'si'hu
怪白,guai'bai
怪长,guai'chang
怪长时间,guai'chang'shi'jian
怪丑,guai'chou
怪愁人,guai'chou'ren
怪大,guai'da
怪懂,guai'dong
怪毒,guai'du
怪多,guai'duo
怪多人,guai'duo'ren
怪烦,guai'fan
怪烦的,guai'fan'de
怪烦人,guai'fan'ren
怪费事,guai'fei'shi
怪高,guai'gao
怪高兴,guai'gao'xing
怪管,guai'guan
怪贵,guai'gui
怪好,guai'hao
怪好啊,guai'hao'a
怪好吧,guai'hao'ba
怪好吃,guai'hao'chi
怪好哈,guai'hao'ha
怪好看,guai'hao'kan
怪好来,guai'hao'lai
怪好了,guai'hao'le
怪好吗,guai'hao'ma
