安乐死,an'le'si
安死术,an'si'shu
保护客体,bao'hu'ke'ti
被害人同意的行为,bei'hai'ren'tong'yi'de'xing'wei
必要条件说,bi'yao'tiao'jian'shuo
不确定的故意,bu'que'ding'de'gu'yi
不作为犯因果关系否定说,bu'zuo'wei'fan'yin'guo'guan'xi'fou'ding'shuo
不作为犯因果关系肯定说,bu'zuo'wei'fan'yin'guo'guan'xi'ken'ding'shuo
超法规的违法阻却事由,chao'fa'gui'de'wei'fa'zu'que'shi'you
超法规阻却责任事由,chao'fa'gui'zu'que'ze'ren'shi'you
纯正当行为,chun'zheng'dang'xing'wei
存在论的行为概念,cun'zai'lun'de'xing'wei'gai'nian
逮捕现行犯行为,dai'bu'xian'xing'fan'xing'wei
得承诺不为罪原则,de'cheng'nuo'bu'wei'zui'yuan'ze
定型的因果关系说,ding'xing'de'yin'guo'guan'xi'shuo
动力条件说,dong'li'tiao'jian'shuo
法定职务行为,fa'ding'zhi'wu'xing'wei
法益权衡原则,fa'yi'quan'heng'yuan'ze
犯罪构成要件要素,fan'zui'gou'cheng'yao'jian'yao'su
犯罪意思,fan'zui'yi'si
概括的故意,gai'kuo'de'gu'yi
概然性说,gai'ran'xing'shuo
构成要件的因果关系说,gou'cheng'yao'jian'de'yin'guo'guan'xi'shuo
构成要件符合性,gou'cheng'yao'jian'fu'he'xing
故意论,gu'yi'lun
观念主义,guan'nian'zhu'yi
基于被害者承诺的行为,ji'yu'bei'hai'zhe'cheng'nuo'de'xing'wei
基于推定被害者承诺的行为,ji'yu'tui'ding'bei'hai'zhe'cheng'nuo'de'xing'wei
价值论的行为概念,jia'zhi'lun'de'xing'wei'gai'nian
决定条件说,jue'ding'tiao'jian'shuo
可罚性,ke'fa'xing
客观违法性论,ke'guan'wei'fa'xing'lun
客观相当因果关系说,ke'guan'xiang'dang'yin'guo'guan'xi'shuo
劳动争议行为,lao'dong'zheng'yi'xing'wei
目的行为论,mu'di'xing'wei'lun
普通过失,pu'tong'guo'shi
期待可能性理论,qi'dai'ke'neng'xing'li'lun
权利义务行为,quan'li'yi'wu'xing'wei
确定的故意,que'ding'de'gu'yi
人格责任论的行为概念,ren'ge'ze'ren'lun'de'xing'wei'gai'nian
认识主义,ren'shi'zhu'yi
容忍说,rong'ren'shuo
擅自代管行为,shan'zi'dai'guan'xing'wei
社会相当性原则,she'hui'xiang'dang'xing'yuan'ze
溯及禁止论,su'ji'jin'zhi'lun
特别过失,te'bie'guo'shi
特定义务者的紧急避难,te'ding'yi'wu'zhe'de'jin'ji'bi'nan
条件因果关系说,tiao'jian'yin'guo'guan'xi'shuo
未必的故意,wei'bi'de'gu'yi
违法性,wei'fa'xing
危险关系条件说,wei'xian'guan'xi'tiao'jian'shuo
无认识过失,wu'ren'shi'guo'shi
无因管理行为,wu'yin'guan'li'xing'wei
希望主义,xi'wang'zhu'yi
相当因果关系说,xiang'dang'yin'guo'guan'xi'shuo
心神耗弱,xin'shen'hao'ruo
心神丧失,xin'shen'sang'shi
行为的机能,xing'wei'de'ji'neng
行为客体,xing'wei'ke'ti
行为理论,xing'wei'li'lun
业务过失,ye'wu'guo'shi
一般过失,yi'ban'guo'shi
依法合行为,yi'fa'he'xing'wei
医疗行为,yi'liao'xing'wei
一身的阻却处罚事由,yi'shen'de'zu'que'chu'fa'shi'you
意思主义,yi'si'zhu'yi
义务冲突原则,yi'wu'chong'tu'yuan'ze
意欲主义,yi'yu'zhu'yi
因果关系中断说,yin'guo'guan'xi'zhong'duan'shuo
因果突变,yin'guo'tu'bian
因果行为论,yin'guo'xing'wei'lun
有认识过失,you'ren'shi'guo'shi
优势条件说,you'shi'tiao'jian'shuo
有责性,you'ze'xing
预见主义,yu'jian'zhu'yi
原因条件区别说,yuan'yin'tiao'jian'qu'bie'shuo
原因因果关系说,yuan'yin'yin'guo'guan'xi'shuo
允许的危险行为,yun'xu'de'wei'xian'xing'wei
责任更新说,ze'ren'geng'xin'shuo
责任论,ze'ren'lun
责任形式,ze'ren'xing'shi
责任要素,ze'ren'yao'su
择一的故意,ze'yi'de'gu'yi
折衷不作为犯因果关系说,zhe'zhong'bu'zuo'wei'fan'yin'guo'guan'xi'shuo
折衷相当因果关系说,zhe'zhong'xiang'dang'yin'guo'guan'xi'shuo
正当化事由,zheng'dang'hua'shi'you
正当业务行为,zheng'dang'ye'wu'xing'wei
直接原因说,zhi'jie'yuan'yin'shuo
职务行为,zhi'wu'xing'wei
执行命令行为,zhi'xing'ming'ling'xing'wei
重大过失轻微过失,zhong'da'guo'shi'qing'wei'guo'shi
重过失轻过失,zhong'guo'shi'qing'guo'shi
主观违法性论,zhu'guan'wei'fa'xing'lun
主观相当因果关系说,zhu'guan'xiang'dang'yin'guo'guan'xi'shuo
注意义务,zhu'yi'yi'wu
自救行为,zi'jiu'xing'wei
自损行为,zi'sun'xing'wei
自招危险,zi'zhao'wei'xian
自助行为,zi'zhu'xing'wei
阻却处罚事由,zu'que'chu'fa'shi'you
阻却违法事由,zu'que'wei'fa'shi'you
阻却责任事由,zu'que'ze'ren'shi'you
最后条件说,zui'hou'tiao'jian'shuo
最先原因说,zui'xian'yuan'yin'shuo
最有力条件说,zui'you'li'tiao'jian'shuo
最终原因说,zui'zhong'yuan'yin'shuo
