阿泊加,a'bo'jia
报表标题,bao'biao'biao'ti
报表来源,bao'biao'lai'yuan
报表名称,bao'biao'ming'cheng
报表模块,bao'biao'mo'kuai
报表判别,bao'biao'pan'bie
报表权限,bao'biao'quan'xian
报表数据,bao'biao'shu'ju
报表序号,bao'biao'xu'hao
备注,bei'zhu
备注信息,bei'zhu'xin'xi
笔划宽度,bi'hua'kuan'du
笔划序划,bi'hua'xu'hua
笔划颜色,bi'hua'yan'se
编码名称,bian'ma'ming'cheng
编码序号,bian'ma'xu'hao
编码医生,bian'ma'yi'sheng
表达式值,biao'da'shi'zhi
表达显示,biao'da'xian'shi
表名称,biao'ming'cheng
表头,biao'tou
表头长度,biao'tou'chang'du
表头说明,biao'tou'shuo'ming
标准编码,biao'zhun'bian'ma
标准项目,biao'zhun'xiang'mu
标准序号,biao'zhun'xu'hao
病案抽查,bing'an'chou'cha
病案号,bing'an'hao
病案号码,bing'an'hao'ma
病案判别,bing'an'pan'bie
病案质量,bing'an'zhi'liang
并发编码,bing'fa'bian'ma
并发次数,bing'fa'ci'shu
并发结果,bing'fa'jie'guo
丙级病案,bing'ji'bing'an
病理编号,bing'li'bian'hao
病理不符,bing'li'bu'fu
病理符合,bing'li'fu'he
病历金额,bing'li'jin'e
病理疑诊,bing'li'yi'zhen
病理诊断,bing'li'zhen'duan
病历状态,bing'li'zhuang'tai
病例总数,bing'li'zong'shu
病情急症,bing'qing'ji'zheng
病情危重,bing'qing'wei'zhong
病情疑难,bing'qing'yi'nan
病人编号,bing'ren'bian'hao
病人病区,bing'ren'bing'qu
病人床号,bing'ren'chuang'hao
病人档案,bing'ren'dang'an
病人费用,bing'ren'fei'yong
病人费用情况,bing'ren'fei'yong'qing'kuang
病人关联,bing'ren'guan'lian
病人卡号,bing'ren'ka'hao
病人科室,bing'ren'ke'shi
病人口令,bing'ren'kou'ling
病人来源,bing'ren'lai'yuan
病人年龄,bing'ren'nian'ling
病人其他诊断,bing'ren'qi'ta'zhen'duan
病人情况,bing'ren'qing'kuang
病人全名,bing'ren'quan'ming
病人手术情况,bing'ren'shou'shu'qing'kuang
病人首页信息,bing'ren'shou'ye'xin'xi
病人死亡分析,bing'ren'si'wang'fen'xi
病人天数,bing'ren'tian'shu
病人性别,bing'ren'xing'bie
病人姓名,bing'ren'xing'ming
病人性质,bing'ren'xing'zhi
病人血型,bing'ren'xue'xing
病人婴儿情况,bing'ren'ying'er'qing'kuang
病人诊断情况,bing'ren'zhen'duan'qing'kuang
病人主诉,bing'ren'zhu'su
病室床号,bing'shi'chuang'hao
丙型肝炎病毒抗体,bing'xing'gan'yan'bing'du'kang'ti
病因小计,bing'yin'xiao'ji
病员意见,bing'yuan'yi'jian
病种费用,bing'zhong'fei'yong
病种类别,bing'zhong'lei'bie
病种名称,bing'zhong'ming'cheng
病种设置,bing'zhong'she'zhi
病种序号,bing'zhong'xu'hao
病种质量控制,bing'zhong'zhi'liang'kong'zhi
不符,bu'fu
部护士长,bu'hu'shi'zhang
部护士长代码,bu'hu'shi'zhang'dai'ma
部位编号,bu'wei'bian'hao
采集结果,cai'ji'jie'guo
采集频率,cai'ji'pin'lv
采集事件,cai'ji'shi'jian
采集时间,cai'ji'shi'jian
参观单位,can'guan'dan'wei
参观内容,can'guan'nei'rong
参观人数,can'guan'ren'shu
参观日期,can'guan'ri'qi
参观天数,can'guan'tian'shu
参加人员,can'jia'ren'yuan
参加时间,can'jia'shi'jian
参加讨论人数,can'jia'tao'lun'ren'shu
参评科室,can'ping'ke'shi
草药方,cao'yao'fang
草药费,cao'yao'fei
操作工号,cao'zuo'gong'hao
操作类型,cao'zuo'lei'xing
侧切感染,ce'qie'gan'ran
侧切例数,ce'qie'li'shu
差错编号,cha'cuo'bian'hao
差错讨论,cha'cuo'tao'lun
插队记录,cha'dui'ji'lu
插队时间,cha'dui'shi'jian
插队位置,cha'dui'wei'zhi
插队原因,cha'dui'yuan'yin
查房编号,cha'fang'bian'hao
查房记录,cha'fang'ji'lu
查房人员,cha'fang'ren'yuan
查房时间,cha'fang'shi'jian
查询名称,cha'xun'ming'cheng
查询条件,cha'xun'tiao'jian
查询序号,cha'xun'xu'hao
产出情况,chan'chu'qing'kuang
产妇产次,chan'fu'chan'ci
产妇人数,chan'fu'ren'shu
产妇死亡,chan'fu'si'wang
产科情况,chan'ke'qing'kuang
常规编号,chang'gui'bian'hao
常规名称,chang'gui'ming'cheng
常规内容,chang'gui'nei'rong
常用标志,chang'yong'biao'zhi
常用单位表,chang'yong'dan'wei'biao
常用地址表,chang'yong'di'zhi'biao
超额自付比例,chao'e'zi'fu'bi'li
超额自负比例,chao'e'zi'fu'bi'li
超额自负点比例,chao'e'zi'fu'dian'bi'li
成本比例,cheng'ben'bi'li
成本项目,cheng'ben'xiang'mu
成功次数,cheng'gong'ci'shu
成药费,cheng'yao'fei
成员姓名,cheng'yuan'xing'ming
成员职务,cheng'yuan'zhi'wu
成员职责,cheng'yuan'zhi'ze
处方标志,chu'fang'biao'zhi
处方关联,chu'fang'guan'lian
处方号码,chu'fang'hao'ma
处方类型,chu'fang'lei'xing
处方识别,chu'fang'shi'bie
处方贴数,chu'fang'tie'shu
处理过程,chu'li'guo'cheng
出生年月,chu'sheng'nian'yue
出生日期,chu'sheng'ri'qi
初始值,chu'shi'zhi
出院病区,chu'yuan'bing'qu
出院病人,chu'yuan'bing'ren
出院床号,chu'yuan'chuang'hao
出院待诊,chu'yuan'dai'zhen
出院方式,chu'yuan'fang'shi
出院科室,chu'yuan'ke'shi
出院判别,chu'yuan'pan'bie
出院情况,chu'yuan'qing'kuang
出院人数,chu'yuan'ren'shu
出院日期,chu'yuan'ri'qi
出院收入,chu'yuan'shou'ru
初诊判别,chu'zhen'pan'bie
初诊日期,chu'zhen'ri'qi
创建人,chuang'jian'ren
创建日期,chuang'jian'ri'qi
床位病区,chuang'wei'bing'qu
床位费,chuang'wei'fei
床位费用,chuang'wei'fei'yong
床位科室,chuang'wei'ke'shi
床位性别,chuang'wei'xing'bie
存放报表定义的具体信息,cun'fang'bao'biao'ding'yi'de'ju'ti'xin'xi
存放位置,cun'fang'wei'zhi
大保病种,da'bao'bing'zhong
大便次数,da'bian'ci'shu
达标,da'biao
达标时间,da'biao'shi'jian
打开参数,da'kai'can'shu
打印标志,da'yin'biao'zhi
打印工号,da'yin'gong'hao
打印时间,da'yin'shi'jian
贷方金额,dai'fang'jin'e
代煎药标志,dai'jian'yao'biao'zhi
代码,dai'ma
代码序号,dai'ma'xu'hao
担保关系,dan'bao'guan'xi
担保人名,dan'bao'ren'ming
单据状态,dan'ju'zhuang'tai
单位编号,dan'wei'bian'hao
单位地址,dan'wei'di'zhi
单位电话,dan'wei'dian'hua
单位名称,dan'wei'ming'cheng
单位序号,dan'wei'xu'hao
单位邮编,dan'wei'you'bian
当前号码,dang'qian'hao'ma
当前值,dang'qian'zhi
导医显示,dao'yi'xian'shi
导诊记录,dao'zhen'ji'lu
导诊科室,dao'zhen'ke'shi
导诊识别,dao'zhen'shi'bie
导诊时间,dao'zhen'shi'jian
导诊说明,dao'zhen'shuo'ming
导诊台号,dao'zhen'tai'hao
导诊台名称,dao'zhen'tai'ming'cheng
导诊台说明,dao'zhen'tai'shuo'ming
导诊台位置,dao'zhen'tai'wei'zhi
导诊台信息,dao'zhen'tai'xin'xi
导诊项目,dao'zhen'xiang'mu
导诊序号,dao'zhen'xu'hao
导诊状态,dao'zhen'zhuang'tai
得分,de'fen
登记工号,deng'ji'gong'hao
登记日期,deng'ji'ri'qi
调查费用,diao'cha'fei'yong
调动单号,diao'dong'dan'hao
调动人,diao'dong'ren
调动时间,diao'dong'shi'jian
调动原因,diao'dong'yuan'yin
恶性肿瘤,e'xing'zhong'liu
恶性肿瘤编码,e'xing'zhong'liu'bian'ma
发票关联,fa'piao'guan'lian
发票号码,fa'piao'hao'ma
发票张数,fa'piao'zhang'shu
发生过程,fa'sheng'guo'cheng
发生日期,fa'sheng'ri'qi
发送人,fa'song'ren
发现问题,fa'xian'wen'ti
发药标志,fa'yao'biao'zhi
发药窗口,fa'yao'chuang'kou
发药工号,fa'yao'gong'hao
发药日期,fa'yao'ri'qi
方案说明,fang'an'shuo'ming
防范措施,fang'fan'cuo'shi
房间号码,fang'jian'hao'ma
放射不符,fang'she'bu'fu
放射费,fang'she'fei
放射符合,fang'she'fu'he
放射疑诊,fang'she'yi'zhen
方式判别,fang'shi'pan'bie
防治号码,fang'zhi'hao'ma
放最大值,fang'zui'da'zhi
费用,fei'yong
费用标志,fei'yong'biao'zhi
费用病区,fei'yong'bing'qu
费用单价,fei'yong'dan'jia
费用归并,fei'yong'gui'bing
费用合计,fei'yong'he'ji
费用科室,fei'yong'ke'shi
费用来源,fei'yong'lai'yuan
费用名称,fei'yong'ming'cheng
费用日期,fei'yong'ri'qi
费用数量,fei'yong'shu'liang
费用项目,fei'yong'xiang'mu
费用性质,fei'yong'xing'zhi
费用序号,fei'yong'xu'hao
分级表名,fen'ji'biao'ming
分级层数,fen'ji'ceng'shu
分级长度,fen'ji'chang'du
分级代码,fen'ji'dai'ma
分科医疗,fen'ke'yi'liao
分科质量,fen'ke'zhi'liang
分类标志,fen'lei'biao'zhi
分类等级,fen'lei'deng'ji
分类名称,fen'lei'ming'cheng
分类排序,fen'lei'pai'xu
分类体系,fen'lei'ti'xi
分类序号,fen'lei'xu'hao
分娩例数,fen'mian'li'shu
分娩情况,fen'mian'qing'kuang
分题编号,fen'ti'bian'hao
分题简介,fen'ti'jian'jie
分题名称,fen'ti'ming'cheng
分值,fen'zhi
符合,fu'he
附加处方,fu'jia'chu'fang
附加类别,fu'jia'lei'bie
付款方式,fu'kuan'fang'shi
付款号码,fu'kuan'hao'ma
付款金额,fu'kuan'jin'e
服务记录,fu'wu'ji'lu
服务内容,fu'wu'nei'rong
服务时间,fu'wu'shi'jian
复杂方式,fu'za'fang'shi
负责人审阅,fu'ze'ren'shen'yue
负责人员,fu'ze'ren'yuan
复诊日期,fu'zhen'ri'qi
复诊预约序号,fu'zhen'yu'yue'xu'hao
感染编码,gan'ran'bian'ma
感染次数,gan'ran'ci'shu
感染结果,gan'ran'jie'guo
给药途径,gei'yao'tu'jing
公费证号,gong'fei'zheng'hao
功能备注,gong'neng'bei'zhu
功能编号,gong'neng'bian'hao
功能编码,gong'neng'bian'ma
功能窗口,gong'neng'chuang'kou
功能类别,gong'neng'lei'bie
功能名称,gong'neng'ming'cheng
工资总额,gong'zi'zong'e
工作单位,gong'zuo'dan'wei
工作情况,gong'zuo'qing'kuang
工作日期,gong'zuo'ri'qi
挂号标志,gua'hao'biao'zhi
挂号次数,gua'hao'ci'shu
挂号费,gua'hao'fei
挂号复诊,gua'hao'fu'zhen
挂号关联,gua'hao'guan'lian
挂号金额,gua'hao'jin'e
挂号科室,gua'hao'ke'shi
挂号类别,gua'hao'lei'bie
挂号明细表,gua'hao'ming'xi'biao
挂号明细历史,gua'hao'ming'xi'li'shi
挂号日报,gua'hao'ri'bao
挂号日报明细,gua'hao'ri'bao'ming'xi
挂号日期,gua'hao'ri'qi
挂号识别,gua'hao'shi'bie
挂号时间,gua'hao'shi'jian
挂号限额,gua'hao'xian'e
挂号序号,gua'hao'xu'hao
挂起记录,gua'qi'ji'lu
挂起时间,gua'qi'shi'jian
挂起原因,gua'qi'yuan'yin
关键词,guan'jian'ci
管理医生,guan'li'yi'sheng
关联疾病,guan'lian'ji'bing
关联项目,guan'lian'xiang'mu
归档判别,gui'dang'pan'bie
国籍代码,guo'ji'dai'ma
过敏药物,guo'min'yao'wu
好转出院,hao'zhuan'chu'yuan
核对人,he'dui'ren
合计金额,he'ji'jin'e
核算报表信息表,he'suan'bao'biao'xin'xi'biao
核算成本结果表,he'suan'cheng'ben'jie'guo'biao
核算成本结果明细表,he'suan'cheng'ben'jie'guo'ming'xi'biao
核算成本科目比例设置表,he'suan'cheng'ben'ke'mu'bi'li'she'zhi'biao
核算成本科室比例表,he'suan'cheng'ben'ke'shi'bi'li'biao
核算成本项目比例表,he'suan'cheng'ben'xiang'mu'bi'li'biao
核算成本项目代码维护表,he'suan'cheng'ben'xiang'mu'dai'ma'wei'hu'biao
核算代码分级设置表,he'suan'dai'ma'fen'ji'she'zhi'biao
核算奖金计算手工奖扣项目,he'suan'jiang'jin'ji'suan'shou'gong'jiang'kou'xiang'mu
核算结束时间,he'suan'jie'shu'shi'jian
核算开始时间,he'suan'kai'shi'shi'jian
核算科目表,he'suan'ke'mu'biao
核算科目分级,he'suan'ke'mu'fen'ji
核算科目分类体系代码表,he'suan'ke'mu'fen'lei'ti'xi'dai'ma'biao
核算科室,he'suan'ke'shi
核算科室表,he'suan'ke'shi'biao
核算科室对照表,he'suan'ke'shi'dui'zhao'biao
核算科室分级表,he'suan'ke'shi'fen'ji'biao
核算科室分类体系代码表,he'suan'ke'shi'fen'lei'ti'xi'dai'ma'biao
核算类型,he'suan'lei'xing
核算人员的工号,he'suan'ren'yuan'de'gong'hao
核算完成报表,he'suan'wan'cheng'bao'biao
核算项目,he'suan'xiang'mu
核算项目科目对照表,he'suan'xiang'mu'ke'mu'dui'zhao'biao
核算序号,he'suan'xu'hao
核算原始凭证表,he'suan'yuan'shi'ping'zheng'biao
核算原始凭证类型表,he'suan'yuan'shi'ping'zheng'lei'xing'biao
横向坐标,heng'xiang'zuo'biao
候诊时间,hou'zhen'shi'jian
户口地址,hu'kou'di'zhi
户口电话,hu'kou'dian'hua
户口邮编,hu'kou'you'bian
护理操作常规,hu'li'cao'zuo'chang'gui
护理措施,hu'li'cuo'shi
护理大事,hu'li'da'shi
护理费,hu'li'fei
护理工作月小结,hu'li'gong'zuo'yue'xiao'jie
护理级别,hu'li'ji'bie
护理计划,hu'li'ji'hua
护理评价,hu'li'ping'jia
护理人员,hu'li'ren'yuan
护理实施,hu'li'shi'shi
护理问题,hu'li'wen'ti
护理学术组,hu'li'xue'shu'zu
护理诊断,hu'li'zhen'duan
护士代号,hu'shi'dai'hao
护士工作评价,hu'shi'gong'zuo'ping'jia
护士评价单号,hu'shi'ping'jia'dan'hao
护士评价分类,hu'shi'ping'jia'fen'lei
护士评价项目,hu'shi'ping'jia'xiang'mu
护士项目要求,hu'shi'xiang'mu'yao'qiu
划价工号,hua'jia'gong'hao
划价金额,hua'jia'jin'e
化验费,hua'yan'fei
化验明细,hua'yan'ming'xi
换床类型,huan'chuang'lei'xing
换床明细,huan'chuang'ming'xi
换床日期,huan'chuang'ri'qi
换后病区,huan'hou'bing'qu
换后床号,huan'hou'chuang'hao
换后卡号,huan'hou'ka'hao
换后科室,huan'hou'ke'shi
换前病区,huan'qian'bing'qu
换前床号,huan'qian'chuang'hao
换前卡号,huan'qian'ka'hao
换前科室,huan'qian'ke'shi
磺胺类过敏,huang'an'lei'guo'min
回复内容,hui'fu'nei'rong
回复人,hui'fu'ren
回复时间,hui'fu'shi'jian
恢复时间,hui'fu'shi'jian
会议编号,hui'yi'bian'hao
会议记录,hui'yi'ji'lu
会议类型,hui'yi'lei'xing
会议内容,hui'yi'nei'rong
会议时间,hui'yi'shi'jian
会议主题,hui'yi'zhu'ti
会诊科室,hui'zhen'ke'shi
汇总日期,hui'zong'ri'qi
汇总原则,hui'zong'yuan'ze
婚姻状况,hun'yin'zhuang'kuang
货币误差,huo'bi'wu'cha
活产人数,huo'chan'ren'shu
活产死亡,huo'chan'si'wang
获得性人类免疫缺陷病毒抗体,huo'de'xing'ren'lei'mian'yi'que'xian'bing'du'kang'ti
活动情况,huo'dong'qing'kuang
级别,ji'bie
疾病编号,ji'bing'bian'hao
疾病编码,ji'bing'bian'ma
疾病代码,ji'bing'dai'ma
疾病分类,ji'bing'fen'lei
疾病名称分类,ji'bing'ming'cheng'fen'lei
疾病转归,ji'bing'zhuan'gui
基础分值,ji'chu'fen'zhi
基础理论培训,ji'chu'li'lun'pei'xun
基础理论培训序号,ji'chu'li'lun'pei'xun'xu'hao
记费日期,ji'fei'ri'qi
籍贯代码,ji'guan'dai'ma
计划编号,ji'hua'bian'hao
计划单号,ji'hua'dan'hao
计划内容,ji'hua'nei'rong
计划时间,ji'hua'shi'jian
计划项目,ji'hua'xiang'mu
基金比例,ji'jin'bi'li
记录,ji'lu
记录编号,ji'lu'bian'hao
纪录内容,ji'lu'nei'rong
记录时间,ji'lu'shi'jian
记录序号,ji'lu'xu'hao
计算公式,ji'suan'gong'shi
计算项,ji'suan'xiang
计算状态,ji'suan'zhuang'tai
绩效功能模块表,ji'xiao'gong'neng'mo'kuai'biao
绩效科室基础表,ji'xiao'ke'shi'ji'chu'biao
急诊号码,ji'zhen'hao'ma
加床判别,jia'chuang'pan'bie
甲级病案,jia'ji'bing'an
家庭电话,jia'ting'dian'hua
检查单,jian'cha'dan
检查费,jian'cha'fei
检查人员,jian'cha'ren'yuan
检查时间,jian'cha'shi'jian
检查者,jian'cha'zhe
简单方式,jian'dan'fang'shi
检验费,jian'yan'fei
简要病史,jian'yao'bing'shi
简要说明,jian'yao'shuo'ming
奖金的发放金额,jiang'jin'de'fa'fang'jin'e
奖金发放明细表,jiang'jin'fa'fang'ming'xi'biao
奖金分值金额,jiang'jin'fen'zhi'jin'e
奖金合计,jiang'jin'he'ji
奖金提成比例,jiang'jin'ti'cheng'bi'li
奖金系数,jiang'jin'xi'shu
奖扣判别,jiang'kou'pan'bie
奖扣项目序号,jiang'kou'xiang'mu'xu'hao
奖励金额,jiang'li'jin'e
奖励扣除的金额,jiang'li'kou'chu'de'jin'e
缴款方式,jiao'kuan'fang'shi
缴款合计,jiao'kuan'he'ji
缴款金额,jiao'kuan'jin'e
缴款日期,jiao'kuan'ri'qi
缴款序号,jiao'kuan'xu'hao
角形代码,jiao'xing'dai'ma
教育对象,jiao'yu'dui'xiang
教育对象编号,jiao'yu'dui'xiang'bian'hao
教育计划,jiao'yu'ji'hua
教育计划编号,jiao'yu'ji'hua'bian'hao
教育评分,jiao'yu'ping'fen
借床科室,jie'chuang'ke'shi
接待参观记录,jie'dai'can'guan'ji'lu
接待参观序号,jie'dai'can'guan'xu'hao
节点判别,jie'dian'pan'bie
借方金额,jie'fang'jin'e
接生费,jie'sheng'fei
接生医生,jie'sheng'yi'sheng
接收人,jie'shou'ren
接收时间,jie'shou'shi'jian
结束标志,jie'shu'biao'zhi
结束时间,jie'shu'shi'jian
结算次数,jie'suan'ci'shu
结算缴款,jie'suan'jiao'kuan
结算类型,jie'suan'lei'xing
结算日期,jie'suan'ri'qi
结算项目,jie'suan'xiang'mu
结帐日期,jie'zhang'ri'qi
结账日期,jie'zhang'ri'qi
接诊医生,jie'zhen'yi'sheng
结转记录,jie'zhuan'ji'lu
金额,jin'e
进食障碍,jin'shi'zhang'ai
进修培训计划,jin'xiu'pei'xun'ji'hua
进修医师,jin'xiu'yi'shi
就诊次数,jiu'zhen'ci'shu
就诊号码,jiu'zhen'hao'ma
就诊结束,jiu'zhen'jie'shu
就诊结束时间,jiu'zhen'jie'shu'shi'jian
就诊卡号,jiu'zhen'ka'hao
就诊开始时间,jiu'zhen'kai'shi'shi'jian
就诊来源,jiu'zhen'lai'yuan
就诊日期,jiu'zhen'ri'qi
就诊序号,jiu'zhen'xu'hao
就诊状态,jiu'zhen'zhuang'tai
具体内容,ju'ti'nei'rong
开单科室,kai'dan'ke'shi
开单日期,kai'dan'ri'qi
开单时间,kai'dan'shi'jian
开单医生,kai'dan'yi'sheng
开单员工,kai'dan'yuan'gong
开方日期,kai'fang'ri'qi
开始日期,kai'shi'ri'qi
开始时间,kai'shi'shi'jian
开题报告,kai'ti'bao'gao
开题报告文件关联,kai'ti'bao'gao'wen'jian'guan'lian
考核部门,kao'he'bu'men
考核部门权限,kao'he'bu'men'quan'xian
考核得分,kao'he'de'fen
考核对象,kao'he'dui'xiang
考核科室,kao'he'ke'shi
考核年份,kao'he'nian'fen
考核日期,kao'he'ri'qi
考核说明,kao'he'shuo'ming
考核体第,kao'he'ti'di
考核体系,kao'he'ti'xi
考核维度设置,kao'he'wei'du'she'zhi
考评数据,kao'ping'shu'ju
考评状态,kao'ping'zhuang'tai
可否修改,ke'fou'xiu'gai
科护士长,ke'hu'shi'zhang
科护士长代码,ke'hu'shi'zhang'dai'ma
科目层次,ke'mu'ceng'ci
科目代码,ke'mu'dai'ma
科目固定,ke'mu'gu'ding
科目来源,ke'mu'lai'yuan
科目名称,ke'mu'ming'cheng
科目说明,ke'mu'shuo'ming
科目体系,ke'mu'ti'xi
科目新增标志,ke'mu'xin'zeng'biao'zhi
可能丙,ke'neng'bing
可能甲,ke'neng'jia
可能乙,ke'neng'yi
科室,ke'shi
科室比例,ke'shi'bi'li
科室部门,ke'shi'bu'men
科室处理意见,ke'shi'chu'li'yi'jian
科室代码,ke'shi'dai'ma
科室核算分配方案表,ke'shi'he'suan'fen'pei'fang'an'biao
科室核算个人系数表,ke'shi'he'suan'ge'ren'xi'shu'biao
科室核算维护明细表,ke'shi'he'suan'wei'hu'ming'xi'biao
科室核算维护总表,ke'shi'he'suan'wei'hu'zong'biao
科室核算自动执行属性表,ke'shi'he'suan'zi'dong'zhi'xing'shu'xing'biao
科室考核序号,ke'shi'kao'he'xu'hao
科室考核指标表,ke'shi'kao'he'zhi'biao'biao
科室来源,ke'shi'lai'yuan
科室名称,ke'shi'ming'cheng
科室排班,ke'shi'pai'ban
科室收支奖扣情况表,ke'shi'shou'zhi'jiang'kou'qing'kuang'biao
科室收支情况明细表,ke'shi'shou'zhi'qing'kuang'ming'xi'biao
科室收支情况总表,ke'shi'shou'zhi'qing'kuang'zong'biao
科室说明,ke'shi'shuo'ming
科室体系,ke'shi'ti'xi
科室信息,ke'shi'xin'xi
科室新增标志,ke'shi'xin'zeng'biao'zhi
科室主任,ke'shi'zhu'ren
科研病案,ke'yan'bing'an
科研成果,ke'yan'cheng'guo
