暗含分析,an'han'fen'xi
报刊调查,bao'kan'diao'cha
比较分析,bi'jiao'fen'xi
变差指标,bian'cha'zhi'biao
表格,biao'ge
标准化,biao'zhun'hua
参照群体标准的,can'zhao'qun'ti'biao'zhun'de
测量级,ce'liang'ji
测验,ce'yan
成对比较法,cheng'dui'bi'jiao'fa
城市社会学,cheng'shi'she'hui'xue
抽样方法,chou'yang'fang'fa
词义划分,ci'yi'hua'fen
大众传播社会学,da'zhong'chuan'bo'she'hui'xue
代表性,dai'biao'xing
代表性误差,dai'biao'xing'wu'cha
道德社会学,dao'de'she'hui'xue
地区社会学,di'qu'she'hui'xue
调查表,diao'cha'biao
调查员,diao'cha'yuan
多重比较方法,duo'chong'bi'jiao'fang'fa
多次性研究,duo'ci'xing'yan'jiu
二分变量相关,er'fen'bian'liang'xiang'guan
法社会学,fa'she'hui'xue
方差分析,fang'cha'fen'xi
访问,fang'wen
访问者,fang'wen'zhe
分类,fen'lei
分组分析,fen'zu'fen'xi
概念解释,gai'nian'jie'shi
个人社会学,ge'ren'she'hui'xue
个人需要,ge'ren'xu'yao
个性,ge'xing
工厂社会学家,gong'chang'she'hui'xue'jia
观察,guan'cha
管理社会学,guan'li'she'hui'xue
回答者,hui'da'zhe
回归分析,hui'gui'fen'xi
活动,huo'dong
集体,ji'ti
集体社会学,ji'ti'she'hui'xue
家庭社会学,jia'ting'she'hui'xue
鉴定评价,jian'ding'ping'jia
鉴定评价法,jian'ding'ping'jia'fa
教养社会学,jiao'yang'she'hui'xue
教育社会学,jiao'yu'she'hui'xue
经济合同,jing'ji'he'tong
科学社会学,ke'xue'she'hui'xue
劳动集体社会证件,lao'dong'ji'ti'she'hui'zheng'jian
劳动社会学,lao'dong'she'hui'xue
理论情报分析,li'lun'qing'bao'fen'xi
量化,liang'hua
逻辑线性分析,luo'ji'xian'xing'fen'xi
民族社会学,min'zu'she'hui'xue
内容分析,nei'rong'fen'xi
农村社会学,nong'cun'she'hui'xue
偏相关和复相关,pian'xiang'guan'he'fu'xiang'guan
偏重研究法,pian'zhong'yan'jiu'fa
平均值,ping'jun'zhi
普通文献分析,pu'tong'wen'xian'fen'xi
企业社会学服务部门,qi'ye'she'hui'xue'fu'wu'bu'men
青年社会学,qing'nian'she'hui'xue
人口社会学,ren'kou'she'hui'xue
日常生活社会学,ri'chang'sheng'huo'she'hui'xue
社会,she'hui
社会变迁,she'hui'bian'qian
社会测量,she'hui'ce'liang
社会创造,she'hui'chuang'zao
社会地位,she'hui'di'wei
社会发展计划,she'hui'fa'zhan'ji'hua
社会发展理论,she'hui'fa'zhan'li'lun
社会管理,she'hui'guan'li
社会关系,she'hui'guan'xi
社会关系测量,she'hui'guan'xi'ce'liang
社会关系测量情报,she'hui'guan'xi'ce'liang'qing'bao
社会规范,she'hui'gui'fan
社会规划,she'hui'gui'hua
社会过程,she'hui'guo'cheng
社会化,she'hui'hua
社会基础结构,she'hui'ji'chu'jie'gou
社会积极性,she'hui'ji'ji'xing
社会监督,she'hui'jian'du
社会结构,she'hui'jie'gou
社会结构理论,she'hui'jie'gou'li'lun
社会阶级,she'hui'jie'ji
社会角色,she'hui'jue'se
社会流动,she'hui'liu'dong
社会潜力,she'hui'qian'li
社会情报,she'hui'qing'bao
社会群体,she'hui'qun'ti
社会设计,she'hui'she'ji
社会设制,she'hui'she'zhi
社会生态学,she'hui'sheng'tai'xue
社会事实,she'hui'shi'shi
社会适应,she'hui'shi'ying
社会威望,she'hui'wei'wang
社会效果,she'hui'xiao'guo
社会小环境,she'hui'xiao'huan'jing
社会行动,she'hui'xing'dong
社会学,she'hui'xue
社会学的认识主体,she'hui'xue'de'ren'shi'zhu'ti
社会学范畴,she'hui'xue'fan'chou
社会学经济合同团体,she'hui'xue'jing'ji'he'tong'tuan'ti
社会学情报的二次分析,she'hui'xue'qing'bao'de'er'ci'fen'xi
社会学情报的加工整理,she'hui'xue'qing'bao'de'jia'gong'zheng'li
社会学情报的可比较性,she'hui'xue'qing'bao'de'ke'bi'jiao'xing
社会学情报的可靠性,she'hui'xue'qing'bao'de'ke'kao'xing
社会学实验,she'hui'xue'shi'yan
社会学研究,she'hui'xue'yan'jiu
社会学研究步骤,she'hui'xue'yan'jiu'bu'zhou
社会学研究大纲,she'hui'xue'yan'jiu'da'gang
社会学研究对象,she'hui'xue'yan'jiu'dui'xiang
社会学研究工具,she'hui'xue'yan'jiu'gong'ju
社会学研究计划,she'hui'xue'yan'jiu'ji'hua
社会学研究结果的可靠性,she'hui'xue'yan'jiu'jie'guo'de'ke'kao'xing
社会学研究客体,she'hui'xue'yan'jiu'ke'ti
社会学研究组织,she'hui'xue'yan'jiu'zu'zhi
社会学中心,she'hui'xue'zhong'xin
社会学资料库,she'hui'xue'zi'liao'ku
社会舆论社会学,she'hui'yu'lun'she'hui'xue
社会指标,she'hui'zhi'biao
社会自我管理,she'hui'zi'wo'guan'li
生活方式,sheng'huo'fang'shi
实地调查,shi'di'diao'cha
双序相关,shuang'xu'xiang'guan
特征,te'zheng
统计假设检验,tong'ji'jia'she'jian'yan
图像文献分析,tu'xiang'wen'xian'fen'xi
文化社会学,wen'hua'she'hui'xue
问卷,wen'juan
问卷调查,wen'juan'diao'cha
问卷问题访问,wen'juan'wen'ti'fang'wen
问题情势,wen'ti'qing'shi
文献,wen'xian
现代资产阶级社会学,xian'dai'zi'chan'jie'ji'she'hui'xue
显著性水平,xian'zhu'xing'shui'ping
相关分析,xiang'guan'fen'xi
相关率,xiang'guan'lv
小规模实验研究,xiao'gui'mo'shi'yan'yan'jiu
询问,xun'wen
研究程序,yan'jiu'cheng'xu
研究客体的系统分析,yan'jiu'ke'ti'de'xi'tong'fen'xi
研究目的,yan'jiu'mu'di
样本,yang'ben
样本容量,yang'ben'rong'liang
业务社会学研究,ye'wu'she'hui'xue'yan'jiu
医疗保健社会学,yi'liao'bao'jian'she'hui'xue
艺术社会学,yi'shu'she'hui'xue
因素分析,yin'su'fen'xi
应用社会学,ying'yong'she'hui'xue
应用社会学的研究任务,ying'yong'she'hui'xue'de'yan'jiu'ren'wu
应用社会学规律,ying'yong'she'hui'xue'gui'lv
应用社会学研究,ying'yong'she'hui'xue'yan'jiu
应用社会学研究假设,ying'yong'she'hui'xue'yan'jiu'jia'she
邮寄调查,you'ji'diao'cha
舆论,yu'lun
育社会学,yu'she'hui'xue
正态分布,zheng'tai'fen'bu
正文,zheng'wen
政治社会学,zheng'zhi'she'hui'xue
制表,zhi'biao
秩联系度,zhi'lian'xi'du
质量特征相关,zhi'liang'te'zheng'xiang'guan
指示器,zhi'shi'qi
指数,zhi'shu
专门社会学理论,zhuan'men'she'hui'xue'li'lun
专题研究,zhuan'ti'yan'jiu
资料图示法,zi'liao'tu'shi'fa
自由度,zi'you'du
宗教社会学,zong'jiao'she'hui'xue
总结,zong'jie
纵向研究,zong'xiang'yan'jiu
组织社会学,zu'zhi'she'hui'xue
