岸舰导弹,an'jian'dao'dan
安全试验,an'quan'shi'yan
安全系统,an'quan'xi'tong
安全自毁系统,an'quan'zi'hui'xi'tong
按下点火按钮,an'xia'dian'huo'an'niu
按预定弹道,an'yu'ding'dan'dao
肮脏氢弹,ang'zang'qing'dan
半衰期,ban'shuai'qi
半衰期时间,ban'shuai'qi'shi'jian
半主动寻的制导,ban'zhu'dong'xun'de'zhi'dao
爆高,bao'gao
爆区,bao'qu
保卫区域,bao'wei'qu'yu
爆心,bao'xin
爆心投影点,bao'xin'tou'ying'dian
爆炸部,bao'zha'bu
爆炸方式,bao'zha'fang'shi
爆炸性核武器,bao'zha'xing'he'wu'qi
爆炸作用,bao'zha'zuo'yong
被动段,bei'dong'duan
比高,bi'gao
比威力,bi'wei'li
变轨,bian'gui
波面制导,bo'mian'zhi'dao
波束制导,bo'shu'zhi'dao
钚弹,bu'dan
部分轨道武器,bu'fen'gui'dao'wu'qi
槽车,cao'che
操作训练弹,cao'zuo'xun'lian'dan
测地,ce'di
测地卫星,ce'di'wei'xing
测试分队,ce'shi'fen'dui
测试阵地,ce'shi'zhen'di
测图卫星,ce'tu'wei'xing
产生的,chan'sheng'de
产生了,chan'sheng'le
常规弹头,chang'gui'dan'tou
超低轨道,chao'di'gui'dao
超低空,chao'di'kong
超低空飞行,chao'di'kong'fei'xing
超高空爆炸,chao'gao'kong'bao'zha
超临界状态,chao'lin'jie'zhuang'tai
超小型原子弹,chao'xiao'xing'yuan'zi'dan
超重,chao'zhong
超重氢,chao'zhong'qing
程序飞行,cheng'xu'fei'xing
冲击波,chong'ji'bo
冲击波效应,chong'ji'bo'xiao'ying
初制导,chu'zhi'dao
传输指令线,chuan'shu'zhi'ling'xian
垂直发射装置,chui'zhi'fa'she'zhuang'zhi
磁力计,ci'li'ji
次临界状态,ci'lin'jie'zhuang'tai
次声波探测,ci'sheng'bo'tan'ce
摧毁卫星,cui'hui'wei'xing
摧毁战略导弹,cui'hui'zhan'lue'dao'dan
大当量,da'dang'liang
大当量核爆炸,da'dang'liang'he'bao'zha
大当量核武器,da'dang'liang'he'wu'qi
大地基础诸元,da'di'ji'chu'zhu'yuan
大规模杀伤,da'gui'mo'sha'shang
大量吸收,da'liang'xi'shou
大量中子,da'liang'zhong'zi
大气层核试验,da'qi'ceng'he'shi'yan
待发状态,dai'fa'zhuang'tai
待命发射,dai'ming'fa'she
弹道导弹,dan'dao'dao'dan
弹道控制制导仪,dan'dao'kong'zhi'zhi'dao'yi
弹道末端,dan'dao'mo'duan
弹道末端机动式多弹头,dan'dao'mo'duan'ji'dong'shi'duo'dan'tou
弹道区,dan'dao'qu
弹道式导弹,dan'dao'shi'dao'dan
弹道最大高度,dan'dao'zui'da'gao'du
单个核突击,dan'ge'he'tu'ji
弹上仪器,dan'shang'yi'qi
弹体,dan'ti
弹头,dan'tou
弹头当量,dan'tou'dang'liang
弹头反射面积,dan'tou'fan'she'mian'ji
弹头检测,dan'tou'jian'ce
弹头威力,dan'tou'wei'li
弹头重量,dan'tou'zhong'liang
弹外控制飞行系统,dan'wai'kong'zhi'fei'xing'xi'tong
弹翼,dan'yi
单元测量,dan'yuan'ce'liang
当量等效百万吨当量,dang'liang'deng'xiao'bai'wan'dun'dang'liang
导弹,dao'dan
导弹部队作战方式,dao'dan'bu'dui'zuo'zhan'fang'shi
导弹残骸,dao'dan'can'hai
导弹测试,dao'dan'ce'shi
导弹撤出发射阵地,dao'dan'che'chu'fa'she'zhen'di
导弹垂直贮存,dao'dan'chui'zhi'zhu'cun
导弹弹头,dao'dan'dan'tou
导弹弹头落点,dao'dan'dan'tou'luo'dian
导弹地面设备,dao'dan'di'mian'she'bei
导弹发射,dao'dan'fa'she
导弹发射分队,dao'dan'fa'she'fen'dui
导弹发射控制系统,dao'dan'fa'she'kong'zhi'xi'tong
导弹发射阵地,dao'dan'fa'she'zhen'di
导弹发射装置,dao'dan'fa'she'zhuang'zhi
导弹飞行,dao'dan'fei'xing
导弹飞行情况,dao'dan'fei'xing'qing'kuang
导弹飞行时间,dao'dan'fei'xing'shi'jian
导弹飞行试验,dao'dan'fei'xing'shi'yan
导弹服役期,dao'dan'fu'yi'qi
导弹跟踪,dao'dan'gen'zong
导弹航区,dao'dan'hang'qu
导弹核武器,dao'dan'he'wu'qi
