奥利华园,ao'li'hua'yuan
八步,ba'bu
八步区,ba'bu'qu
百家福,bai'jia'fu
百乐迪,bai'le'di
百岁鱼,bai'sui'yu
办通,ban'tong
宝中宝,bao'zhong'bao
北流,bei'liu
北流的,bei'liu'de
北流高中,bei'liu'gao'zhong
北流街,bei'liu'jie
北流了,bei'liu'le
北流人,bei'liu'ren
北流市,bei'liu'shi
笨山,ben'shan
本位,ben'wei
别废了,bie'fei'le
博白,bo'bai
博白的,bo'bai'de
博白街,bo'bai'jie
博白了,bo'bai'le
博白人,bo'bai'ren
博白县,bo'bai'xian
博白镇,bo'bai'zhen
不出了吧,bu'chu'le'ba
不得出,bu'de'chu
不得吗,bu'de'ma
不得玩,bu'de'wan
不懂去,bu'dong'qu
不懂说,bu'dong'shuo
不懂说了,bu'dong'shuo'le
不懂玩,bu'dong'wan
不懂怎么说,bu'dong'zen'me'shuo
不够电,bu'gou'dian
不见有,bu'jian'you
不去玩,bu'qu'wan
不是破,bu'shi'po
不要得,bu'yao'de
不在玉林,bu'zai'yu'lin
不知道你了,bu'zhi'dao'ni'le
擦毛,ca'mao
茶根,cha'gen
车我去,che'wo'qu
陈副,chen'fu
成均,cheng'jun
成均镇,cheng'jun'zhen
城南街,cheng'nan'jie
城市便捷,cheng'shi'bian'jie
城站路,cheng'zhan'lu
吃朝,chi'chao
吃绝毛,chi'jue'mao
吃为,chi'wei
吃夜,chi'ye
吃云吞,chi'yun'tun
崇左,chong'zuo
崇左市,chong'zuo'shi
出到了,chu'dao'le
出来为,chu'lai'wei
出外地,chu'wai'di
出为,chu'wei
出玉林,chu'yu'lin
出早点,chu'zao'dian
创木,chuang'mu
戳毛,chuo'mao
从南宁,cong'nan'ning
从玉林,cong'yu'lin
粗口话,cu'kou'hua
大北路,da'bei'lu
搭公车,da'gong'che
大里镇,da'li'zhen
大牛窝,da'niu'wo
大平山,da'ping'shan
大坡外,da'po'wai
大容山,da'rong'shan
大榕树,da'rong'shu
大山口,da'shan'kou
大维,da'wei
大转盘,da'zhuan'pan
代充,dai'chong
代费卡,dai'fei'ka
到夜,dao'ye
到玉林,dao'yu'lin
得了没,de'le'mei
得了你,de'le'ni
得了为,de'le'wei
得没有,de'mei'you
等时,deng'shi
地豆,di'dou
第四加油站,di'si'jia'you'zhan
颠的,dian'de
电脑试,dian'nao'shi
叼克,diao'ke
吊药水,diao'yao'shui
东方世纪,dong'fang'shi'ji
东海岛,dong'hai'dao
东郊站,dong'jiao'zhan
垌口,dong'kou
东平,dong'ping
东平镇,dong'ping'zhen
懂去,dong'qu
懂说,dong'shuo
都峤山,dou'qiao'shan
肚饥,du'ji
顿谷,dun'gu
而已的,er'yi'de
发呕,fa'ou
肥嘿,fei'hei
肥婆粉,fei'po'fen
沸羊羊,fei'yang'yang
粉摊,fen'tan
凤山,feng'shan
佛教会,fo'jiao'hui
佛子山,fo'zi'shan
复方甘草,fu'fang'gan'cao
福满家,fu'man'jia
福绵,fu'mian
福绵镇,fu'mian'zhen
妇娘婆,fu'niang'po
扶绥,fu'sui
肤阴洁,fu'yin'jie
甘村,gan'cun
敢多,gan'duo
歌比利,ge'bi'li
割稻谷,ge'dao'gu
割禾,ge'he
咯时,ge'shi
咯为,ge'wei
个夜,ge'ye
咯夜,ge'ye
功能粥,gong'neng'zhou
工业品,gong'ye'pin
狗叼,gou'diao
勾漏洞,gou'lou'dong
狗肉节,gou'rou'jie
古定,gu'ding
姑婆山,gu'po'shan
谷山,gu'shan
股司,gu'si
挂灯,gua'deng
挂纸,gua'zhi
广西北流,guang'xi'bei'liu
广西玉林,guang'xi'yu'lin
广西玉林市,guang'xi'yu'lin'shi
贵港,gui'gang
圭江,gui'jiang
桂南路,gui'nan'lu
桂平,gui'ping
龟山,gui'shan
龟山公园,gui'shan'gong'yuan
龟头岭,gui'tou'ling
国会,guo'hui
过来为,guo'lai'wei
嗨场,hai'chang
嗨大,hai'da
嗨客,hai'ke
海陵岛,hai'ling'dao
嗨毛,hai'mao
海上王,hai'shang'wang
寒山,han'shan
好歌城,hao'ge'cheng
好果,hao'guo
好绝,hao'jue
浩业,hao'ye
贺街,he'jie
合山,he'shan
贺州,he'zhou
贺州市,he'zhou'shi
很好讲,hen'hao'jiang
很绝,hen'jue
红场,hong'chang
红豆网,hong'dou'wang
宏进,hong'jin
回北流,hui'bei'liu
回博白,hui'bo'bai
回迟,hui'chi
回到咯,hui'dao'ge
回到家咯,hui'dao'jia'ge
回到啦,hui'dao'la
回到没有,hui'dao'mei'you
回到屋,hui'dao'wu
回到玉林,hui'dao'yu'lin
回来为,hui'lai'wei
灰老鼠,hui'lao'shu
回夜,hui'ye
回哟,hui'yo
回玉林,hui'yu'lin
回在家,hui'zai'jia
回早点,hui'zao'dian
回住,hui'zhu
火砖,huo'zhuan
几多话,ji'duo'hua
家家福,jia'jia'fu
加流量,jia'liu'liang
教练场,jiao'lian'chang
教育中路,jiao'yu'zhong'lu
捷佳,jie'jia
金城,jin'cheng
金龙寨,jin'long'zhai
今晚夜,jin'wan'ye
金旺旺,jin'wang'wang
锦源,jin'yuan
就得了为,jiu'de'le'wei
就得为,jiu'dei'wei
就是了为,jiu'shi'le'wei
巨讲,ju'jiang
卷馅粉,juan'xian'fen
绝毛,jue'mao
绝头,jue'tou
开电车,kai'dian'che
开摊,kai'tan
看过先,kan'guo'xian
看看为,kan'kan'wei
看看先把,kan'kan'xian'ba
客来居,ke'lai'ju
柯木,ke'mu
肯麦基,ken'mai'ji
快巴,kuai'ba
快高快大,kuai'gao'kuai'da
快了的,kuai'le'de
来车我,lai'che'wo
来了为,lai'le'wei
来么咯,lai'me'ge
来么了,lai'me'le
来为,lai'wei
来玉林,lai'yu'lin
浪平,lang'ping
浪水,lang'shui
老嘿,lao'hei
老友粉,lao'you'fen
了火,le'huo
了为,le'wei
雷冲,lei'chong
冷粉,leng'fen
黎村,li'cun
李副,li'fu
荔枝,li'zhi
