安时处顺,an'shi'chu'shun
半路上又折了回来,ban'lu'shang'you'zhe'le'hui'lai
本是篇首,ben'shi'pian'shou
本质区别,ben'zhi'qu'bie
彼将任我以事而效我以功,bi'jiang'ren'wo'yi'shi'er'xiao'wo'yi'gong
必且有感摇而本才,bi'qie'you'gan'yao'er'ben'cai
必然会招致祸患,bi'ran'hui'zhao'zhi'huo'huan
彼所小言,bi'suo'xiao'yan
摈弃一切,bin'qi'yi'qie
宾者以告列子,bin'zhe'yi'gao'lie'zi
伯昏瞀人北面而立,bo'hun'mao'ren'bei'mian'er'li
伯昏瞀人说,bo'hun'mao'ren'shuo
伯昏瞀人问道什么事情使你,bo'hun'mao'ren'wen'dao'shen'me'shi'qing'shi'ni
伯昏瞀人又问,bo'hun'mao'ren'you'wen
伯昏瞀人曰,bo'hun'mao'ren'yue
不过从,bu'guo'cong
不能忘我,bu'neng'wang'wo
不言而出,bu'yan'er'chu
不要显迹于外,bu'yao'xian'ji'yu'wai
不要追求人为,bu'yao'zhui'qiu'ren'wei
不要自恃,bu'yao'zi'shi
不应求仕求禄,bu'ying'qiu'shi'qiu'lu
不应贪功图报,bu'ying'tan'gong'tu'bao
不应炫耀于外,bu'ying'xuan'yao'yu'wai
不应追求智巧,bu'ying'zhui'qiu'zhi'qiao
不自恃傲人,bu'zi'shi'ao'ren
不自以为是,bu'zi'yi'wei'shi
曹商,cao'shang
曾不发药乎,ceng'bu'fa'yao'hu
嘲讽了,chao'feng'le
超脱于,chao'tuo'yu
处世原则,chu'shi'yuan'ze
处世之道,chu'shi'zhi'dao
从流俗中解脱出来,cong'liu'su'zhong'jie'tuo'chu'lai
大宁,da'ning
达生,da'sheng
大谈,da'tan
带来惩罚的,dai'lai'cheng'fa'de
道家经典,dao'jia'jing'dian
道未始有封,dao'wei'shi'you'feng
盗跖,dao'zhi
德充符,de'chong'fu
的处世原则,de'chu'shi'yuan'ze
的对话,de'dui'hua
的功利,de'gong'li
的孔子,de'kong'zi
的人,de'ren
的人才能,de'ren'cai'neng
的人的批评,de'ren'de'pi'ping
的讨论,de'tao'lun
的只有真人,de'zhi'you'zhen'ren
第二部分至,di'er'bu'fen'zhi
第三部分至,di'san'bu'fen'zhi
第四部分至,di'si'bu'fen'zhi
第五部分,di'wu'bu'fen
第一部分至,di'yi'bu'fen'zhi
对照朱泙漫,dui'zhao'zhu'peng'man
对自己的尊重胜过尊重年老的人,dui'zi'ji'de'zun'zhong'sheng'guo'zun'zhong'nian'lao'de'ren
敦杖蹙之乎颐,dun'zhang'cu'zhi'hu'yi
恶乎惊,e'hu'jing
而不知,er'bu'zhi
而况于万乘之主乎,er'kuang'yu'wan'sheng'zhi'zhu'hu
而能够,er'neng'gou
而其所患,er'qi'suo'huan
而且让,er'qie'rang
而汝不能使人无保汝也,er'ru'bu'neng'shi'ren'wu'bao'ru'ye
而事事通达,er'shi'shi'tong'da
而五浆先馈,er'wu'jiang'xian'kui
而焉用之感豫出异也,er'yan'yong'zhi'gan'yu'chu'yi'ye
而犹若是,er'you'ruo'shi
汎若不系之舟,fa'ruo'bu'xi'zhi'zhou
反对一切,fan'dui'yi'qie
烦乱不安,fan'luan'bu'an
非汝能使人保汝,fei'ru'neng'shi'ren'bao'ru
否定现实,fou'ding'xian'shi
否定知识,fou'ding'zhi'shi
夫浆人特为食羹之货,fu'jiang'ren'te'wei'shi'geng'zhi'huo
夫内诚不解,fu'nei'cheng'bu'jie
告戒人们,gao'jie'ren'men
庚桑楚,geng'sang'chu
归于,gui'yu
果保汝矣,guo'bao'ru'yi
还是他,hai'shi'ta
汉书艺文志,han'shu'yi'wen'zhi
何况那大国的国君呢,he'kuang'na'da'guo'de'guo'jun'ne
何相孰也,he'xiang'shu'ye
乎泽若蕉,hu'ze'ruo'jiao
回尝闻之夫子曰,hui'chang'wen'zhi'fu'zi'yue
回闻卫君,hui'wen'wei'jun
技成而无所用,ji'cheng'er'wu'suo'yong
即形同槁木,ji'xing'tong'gao'mu
夹着议论,jia'zhe'yi'lun
将之卫,jiang'zhi'wei
教导人们要,jiao'dao'ren'men'yao
矫饰学伪,jiao'shi'xue'wei
尽人毒也,jin'ren'du'ye
进一部阐述,jin'yi'bu'chan'shu
惊惶不安,jing'huang'bu'an
惊惶不已,jing'huang'bu'yi
精神世界,jing'shen'shi'jie
精神桎梏,jing'shen'zhi'gu
孔子之口,kong'zi'zhi'kou
浪漫主义色彩,lang'man'zhu'yi'se'cai
立有间,li'you'jian
连续写了,lian'xu'xie'le
列御寇,lie'yu'kou
列御寇到齐国去,lie'yu'kou'dao'qi'guo'qu
列御寇说,lie'yu'kou'shuo
列御寇之齐,lie'yu'kou'zhi'qi
列子提屦,lie'zi'ti'ju
乱国就之,luan'guo'jiu'zhi
卖掉饮用的羹汤,mai'diao'yin'yong'de'geng'tang
没有多少赢利,mei'you'duo'shao'ying'li
民其无如矣,min'qi'wu'ru'yi
明智而,ming'zhi'er
莫觉莫悟,mo'jue'mo'wu
那卖饮料的人,na'mai'yin'liao'de'ren
南华经,nan'hua'jing
内篇,nei'pian
内篇七篇,nei'pian'qi'pian
内容很杂,nei'rong'hen'za
内心至诚,nei'xin'zhi'cheng
内在联系,nei'zai'lian'xi
你安处自身吧,ni'an'chu'zi'shen'ba
你的观察与分析,ni'de'guan'cha'yu'fen'xi
你怎么会惊惶不安呢,ni'zen'me'hui'jing'huang'bu'an'ne
女处己,nv'chu'ji
庖丁解牛,pao'ding'jie'niu
批评了,pi'ping'le
骈拇,pian'mu
朴素辩证法,pu'su'bian'zheng'fa
其间也无,qi'jian'ye'wu
其年壮,qi'nian'zhuang
其为利也薄,qi'wei'li'ye'bo
其为权也轻,qi'wei'quan'ye'qing
齐物论,qi'wu'lun
其行独,qi'xing'du
巧者劳而知者忧,qiao'zhe'lao'er'zhi'zhe'you
请行,qing'xing
轻用民死,qing'yong'min'si
轻用其国而不见其过,qing'yong'qi'guo'er'bu'jian'qi'guo
胠箧,qu'qie
全篇由,quan'pian'you
全文大体分为,quan'wen'da'ti'fen'wei
全在于,quan'zai'yu
却又未能,que'you'wei'neng
却有五家事先就给我送来,que'you'wu'jia'shi'xian'jiu'gei'wo'song'lai
让王,rang'wang
人间世,ren'jian'shi
人间世第四,ren'jian'shi'di'si
人将保女矣,ren'jiang'bao'nv'yi
人们之所以,ren'men'zhi'suo'yi
人生在世,ren'sheng'zai'shi
人心叵测,ren'xin'po'ce
三十三篇,san'shi'san'pian
三则小故事,san'ze'xiao'gu'shi
山木,shan'mu
缮性,shan'xing
善哉观乎,shan'zai'guan'hu
社会制度,she'hui'zhi'du
深刻指出,shen'ke'zhi'chu
身劳于国而知尽于事,shen'lao'yu'guo'er'zhi'jin'yu'shi
什么原因使你惊惶不安,shen'me'yuan'yin'shi'ni'jing'huang'bu'an
势利的,shi'li'de
使人轻乎贵老,shi'ren'qing'hu'gui'lao
实是可悲,shi'shi'ke'bei
世俗之外,shi'su'zhi'wai
是因为他们,shi'yin'wei'ta'men
实在是好啊,shi'zai'shi'hao'a
始终不能,shi'zhong'bu'neng
庶几其国有瘳乎,shu'ji'qi'guo'you'chou'hu
顺应天成,shun'ying'tian'cheng
说剑,shuo'jian
说明,shuo'ming
死者以国量,si'zhe'yi'guo'liang
宿命论,su'ming'lun
随顺自然,sui'shun'zi'ran
他们获利是很微薄的,ta'men'huo'li'shi'hen'wei'bo'de
态度谦下,tai'du'qian'xia
贪天之功,tan'tian'zhi'gong
天道无为,tian'dao'wu'wei
天地与我并生,tian'di'yu'wo'bing'sheng
田子方,tian'zi'fang
通过伯昏瞀人,tong'guo'bo'hun'mao'ren
通过对,tong'guo'dui
外篇杂篇,wai'pian'za'pian
万物与我为一,wan'wu'yu'wo'wei'yi
忘外,wang'wai
忘我的思想,wang'wo'de'si'xiang
微不足道的可是还如此地对待我,wei'bu'zu'dao'de'ke'shi'hai'ru'ci'di'dui'dai'wo
为外物所驱使,wei'wai'wu'suo'qu'shi
唯真人能之,wei'zhen'ren'neng'zhi
文化知识,wen'hua'zhi'shi
我曾在十家卖饮料的店子里饮用,wo'ceng'zai'shi'jia'mai'yin'liao'de'dian'zi'li'yin'yong
我感到,wo'gan'dao
我正因为,wo'zheng'yin'wei
吾尝食于十浆,wu'chang'shi'yu'shi'jiang
无多余之赢,wu'duo'yu'zhi'ying
五个部分,wu'ge'bu'fen
吾固告汝曰人将保汝,wu'gu'gao'ru'yue'ren'jiang'bao'ru
无几何而往,wu'ji'he'er'wang
无界限差别,wu'jie'xian'cha'bie
吾惊焉,wu'jing'yan
无能者无所求,wu'neng'zhe'wu'suo'qiu
无能者无所求饱食而敖游,wu'neng'zhe'wu'suo'qiu'bao'shi'er'ao'you
无始,wu'shi
五十二篇,wu'shi'er'pian
吾是以惊,wu'shi'yi'jing
无所求,wu'suo'qiu
无为而治,wu'wei'er'zhi
奚方而反,xi'fang'er'fan
奚为焉,xi'wei'yan
奚之,xi'zhi
跣而走暨乎门,xian'er'zou'ji'hu'men
先借,xian'jie
先生既来,xian'sheng'ji'lai
先天生地,xian'tian'sheng'di
相对主义,xiang'dui'zhu'yi
像这样的事,xiang'zhe'yang'de'shi
逍遥游,xiao'yao'you
逍遥自得,xiao'yao'zi'de
形谍成光,xing'die'cheng'guang
行动过失,xing'dong'guo'shi
形同槁木,xing'tong'gao'mu
许多小故事,xu'duo'xiao'gu'shi
虚而敖游者也,xu'er'ao'you'zhe'ye
虚己而遨游,xu'ji'er'ao'you
徐无鬼,xu'wu'gui
学习屠龙,xue'xi'tu'long
颜回见仲尼,yan'hui'jian'zhong'ni
养生主,yang'sheng'zhu
要像水流一样,yao'xiang'shui'liu'yi'yang
医门多疾,yi'men'duo'ji
一切事物,yi'qie'shi'wu
一切妄为,yi'qie'wang'wei
一人名,yi'ren'ming
以外镇人心,yi'wai'zhen'ren'xin
以为己有,yi'wei'ji'you
一无所求,yi'wu'suo'qiu
应帝王,ying'di'wang
用外在的东西镇服人心,yong'wai'zai'de'dong'xi'zhen'fu'ren'xin
有所感,you'suo'gan
有所应,you'suo'ying
又无谓也,you'wu'wei'ye
又折了回来,you'zhe'le'hui'lai
遇伯昏瞀人,yu'bo'hun'mao'ren
渔父,yu'fu
与列御寇,yu'lie'yu'kou
与汝游者又莫汝告也,yu'ru'you'zhe'you'mo'ru'gao'ye
遇上伯昏瞀人,yu'shang'bo'hun'mao'ren
余下为,yu'xia'wei
寓言故事,yu'yan'gu'shi
愿以所闻思其则,yuan'yi'suo'wen'si'qi'ze
杂篇,za'pian
再用,zai'yong
在宥,zai'you
在政治上,zai'zheng'zhi'shang
则户外之屦满矣,ze'hu'wai'zhi'ju'man'yi
择人困难,ze'ren'kun'nan
则汝何为惊已,ze'ru'he'wei'jing'yi
则阳,ze'yang
这个缘故才,zhe'ge'yuan'gu'cai
这就是,zhe'jiu'shi
这里用作篇名,zhei'li'yong'zuo'pian'ming
正考父,zheng'kao'fu
知北游,zhi'bei'you
只不过是为了,zhi'bu'guo'shi'wei'le
指出给人们,zhi'chu'gei'ren'men
治国去之,zhi'guo'qu'zhi
至乐,zhi'le
旨意,zhi'yi
中道而反,zhong'dao'er'fan
主观精神境界,zhu'guan'jing'shen'jing'jie
主观唯心主义,zhu'guan'wei'xin'zhu'yi
主要段落看,zhu'yao'duan'luo'kan
主要是阐述,zhu'yao'shi'chan'shu
主要思想,zhu'yao'si'xiang
庄子的,zhuang'zi'de
庄子著,zhuang'zi'zhu
追求身外,zhui'qiu'shen'wai
自身的,zi'shen'de
组合而成,zu'he'er'cheng
最后又,zui'hou'you
做官为例,zuo'guan'wei'li
