百合,bai'he
百合病,bai'he'bing
百合地黄汤,bai'he'di'huang'tang
白虎桂枝汤,bai'hu'gui'zhi'tang
白虎加人参汤,bai'hu'jia'ren'shen'tang
百脉一宗,bai'mai'yi'zong
奔豚气,ben'tun'qi
辨证论治,bian'zheng'lun'zhi
标本同病,biao'ben'tong'bing
鳖甲煎丸,bie'jia'jian'wan
补不足,bu'bu'zu
产后病,chan'hou'bing
肠痈,chang'yong
疮痈,chuang'yong
大黄蟅虫丸,da'huang'zhe'chong'wan
瘅疟,dan'nue
短气,duan'qi
防己黄芪汤,fang'ji'huang'qi'tang
肺痿,fei'wei
肺痈,fei'yong
分别缓急,fen'bie'huan'ji
风湿,feng'shi
趺厥,fu'jue
腹满,fu'man
妇人,fu'ren
扶正祛邪,fu'zheng'qu'xie
甘草泻心汤,gan'cao'xie'xin'tang
甘姜苓术汤,gan'jiang'ling'shu'tang
干血劳,gan'xue'lao
肝着,gan'zhe
刚痉,gang'jing
葛根汤,ge'gen'tang
痼疾,gu'ji
桂枝附子汤,gui'zhi'fu'zi'tang
桂枝芍药知母汤,gui'zhi'shao'yao'zhi'mu'tang
寒疝,han'shan
狐惑,hu'huo
狐惑病,hu'huo'bing
狐疝,hu'shan
缓中补虚,huan'zhong'bu'xu
黄疸,huang'dan
黄芪桂枝五物汤,huang'qi'gui'zhi'wu'wu'tang
黄芪建中汤,huang'qi'jian'zhong'tang
蛔虫,hui'chong
积聚,ji'ju
金匮要略,jin'kui'yao'lue
浸淫疮,jin'yin'chuang
惊悸,jing'ji
痉湿暍,jing'shi'ye
厥阳,jue'yang
咳嗽,ke'sou
历节,li'jie
淋病,lin'bing
麻黄加术汤,ma'huang'jia'shu'tang
麻杏苡甘汤,ma'xing'yi'gan'tang
麻子仁丸,ma'zi'ren'wan
疟病,nue'bing
虐病,nue'bing
疟脉自弦,nue'mai'zi'xian
疟母,nue'mu
呕吐,ou'tu
脾约,pi'yue
牝疟,pin'nue
妊娠病,ren'shen'bing
柔痉,rou'jing
三焦病证,san'jiao'bing'zheng
上气,shang'qi
肾着,shen'zhe
升麻鳖甲汤,sheng'ma'bie'jia'tang
湿痹,shi'bi
手指臂肿,shou'zhi'bi'zhong
蜀漆散,shu'qi'san
薯蓣丸,shu'yu'wan
水气,shui'qi
宿食,su'shi
酸枣仁汤,suan'zao'ren'tang
损有余,sun'you'yu
痰饮,tan'yin
吐衄,tu'nv
微微似欲出汗,wei'wei'si'yu'chu'han
温疟,wen'nue
乌头汤,wu'tou'tang
无邪,wu'xie
五脏风寒,wu'zang'feng'han
下利,xia'li
小便不利,xiao'bian'bu'li
小建中汤,xiao'jian'zhong'tang
消渴,xiao'ke
心痛,xin'tong
胸痹,xiong'bi
虚劳,xu'lao
旋覆花汤,xuan'fu'hua'tang
血痹,xue'bi
养慎,yang'shen
阴阳毒,yin'yang'du
瘀血,yu'xue
元真,yuan'zhen
杂病,za'bing
脏腑经络先后病,zang'fu'jing'luo'xian'hou'bing
张仲景,zhang'zhong'jing
治未病,zhi'wei'bing
中风,zhong'feng
重视正气,zhong'shi'zheng'qi
中暍,zhong'ye
转筋,zhuan'jin
卒病,zu'bing
卒厥,zu'jue
