安乐公主,an'le'gong'zhu
安禄山,an'lu'shan
安史之乱,an'shi'zhi'luan
八柱国,ba'zhu'guo
百济,bai'ji
白马驿,bai'ma'yi
白马驿之祸,bai'ma'yi'zhi'huo
败死,bai'si
被立为,bei'li'wei
北魏,bei'wei
北周,bei'zhou
北周时期,bei'zhou'shi'qi
本位政策,ben'wei'zheng'ce
边将专军,bian'jiang'zhuan'jun
贬逐,bian'zhu
兵制,bing'zhi
并州,bing'zhou
渤海国,bo'hai'guo
不严谨,bu'yan'jin
才人,cai'ren
财政状况,cai'zheng'zhuang'kuang
残唐,can'tang
残余势力,can'yu'shi'li
长安城,chang'an'cheng
朝官,chao'guan
朝政败坏,chao'zheng'bai'huai
称帝,cheng'di
成纪,cheng'ji
仇士良,chou'shi'liang
处理朝政,chu'li'chao'zheng
赐名媚,ci'ming'mei
次女,ci'nv
篡隋称帝,cuan'sui'cheng'di
篡唐,cuan'tang
大不孝,da'bu'xiao
大丞相,da'cheng'xiang
大漠部落,da'mo'bu'luo
大唐衰落,da'tang'shuai'luo
大燕皇帝,da'yan'huang'di
大野氏,da'ye'shi
大业十三年,da'ye'shi'san'nian
大中十三年,da'zhong'shi'san'nian
大足,da'zu
代王侑,dai'wang'you
的动乱,de'dong'luan
的反对,de'fan'dui
的皇帝,de'huang'di
的权力,de'quan'li
第二帝国,di'er'di'guo
第九,di'jiu
第九子,di'jiu'zi
狄仁杰,di'ren'jie
帝王教科书,di'wang'jiao'ke'shu
定都洛阳,ding'du'luo'yang
定都于,ding'du'yu
定国号,ding'guo'hao
鼎盛局面,ding'sheng'ju'mian
独孤皇后,du'gu'huang'hou
独孤氏,du'gu'shi
独立于,du'li'yu
二字,er'zi
发动叛乱,fa'dong'pan'luan
发动政变,fa'dong'zheng'bian
藩镇,fan'zhen
藩镇兵力,fan'zhen'bing'li
藩镇割据,fan'zhen'ge'ju
飞将军,fei'jiang'jun
废了,fei'le
废立,fei'li
废睿宗,fei'rui'zong
废中宗,fei'zhong'zong
奉天之难,feng'tian'zhi'nan
奉玄宗,feng'xuan'zong
佛教史,fo'jiao'shi
府兵制,fu'bing'zhi
复位,fu'wei
改国号,gai'guo'hao
改国号梁,gai'guo'hao'liang
改立,gai'li
改元,gai'yuan
改元开平,gai'yuan'kai'ping
改元开元,gai'yuan'kai'yuan
改元天宝,gai'yuan'tian'bao
改元义宁,gai'yuan'yi'ning
甘露之变,gan'lu'zhi'bian
感业寺,gan'ye'si
高句丽,gao'gou'li
高力士,gao'li'shi
高宗,gao'zong
高宗时期,gao'zong'shi'qi
割据局面,ge'ju'ju'mian
各树党派,ge'shu'dang'pai
恭帝,gong'di
姑母,gu'mu
管理权,guan'li'quan
官吏制度,guan'li'zhi'du
关陇集团,guan'long'ji'tuan
过渡阶段,guo'du'jie'duan
国势,guo'shi
汉武帝,han'wu'di
好大喜功,hao'da'xi'gong
合谋毒杀,he'mou'du'sha
后唐,hou'tang
宦官,huan'guan
宦官干政,huan'guan'gan'zheng
宦官权力,huan'guan'quan'li
宦官掌权,huan'guan'zhang'quan
黄巢,huang'chao
黄巢之乱,huang'chao'zhi'luan
皇帝的,huang'di'de
皇后武氏,huang'hou'wu'shi
黄仁宇,huang'ren'yu
皇太后,huang'tai'hou
皇太女,huang'tai'nv
皇太子,huang'tai'zi
会昌灭佛,hui'chang'mie'fo
会昌中兴,hui'chang'zhong'xing
回宫,hui'gong
回纥,hui'he
混乱政局,hun'luan'zheng'ju
即唐玄宗,ji'tang'xuan'zong
继位,ji'wei
建成,jian'cheng
建元会昌,jian'yuan'hui'chang
建中元年,jian'zhong'yuan'nian
江都,jiang'du
节度使,jie'du'shi
秸号称帝,jie'hao'cheng'di
进封,jin'feng
今甘肃省,jin'gan'su'sheng
禁军,jin'jun
禁军兵权,jin'jun'bing'quan
今山西省文水县,jin'shan'xi'sheng'wen'shui'xian
进身仕途,jin'shen'shi'tu
今四川省广元市,jin'si'chuan'sheng'guang'yuan'shi
晋王,jin'wang
晋阳,jin'yang
敬珲,jing'hui
景教,jing'jiao
景龙四年,jing'long'si'nian
静宁县,jing'ning'xian
景云,jing'yun
旧唐书,jiu'tang'shu
军事贵族,jun'shi'gui'zu
军事空虚,jun'shi'kong'xu
均田制,jun'tian'zhi
军镇,jun'zhen
开封,kai'feng
开府置官属,kai'fu'zhi'guan'shu
开国功臣,kai'guo'gong'chen
开国皇帝,kai'guo'huang'di
开国君主,kai'guo'jun'zhu
开元,kai'yuan
开元盛世,kai'yuan'sheng'shi
科举选士制,ke'ju'xuan'shi'zhi
口蜜腹剑,kou'mi'fu'jian
来俊臣,lai'jun'chen
老子,lao'zi
李承乾,li'cheng'qian
李存勖,li'cun'xu
李旦,li'dan
李党,li'dang
李党首领,li'dang'shou'ling
李德裕,li'de'yu
李耳,li'er
李暠,li'gao
李广,li'guang
立国,li'guo
立国共,li'guo'gong
李亨,li'heng
李虎,li'hu
李林甫,li'lin'fu
李隆基,li'long'ji
李氏,li'shi
李氏皇族,li'shi'huang'zu
李氏家族,li'shi'jia'zu
李世民,li'shi'min
历史上,li'shi'shang
李泰,li'tai
立太子,li'tai'zi
李希烈,li'xi'lie
李显,li'xian
李玄霸,li'xuan'ba
李训,li'xun
李渊,li'yuan
李元吉,li'yuan'ji
李重茂,li'zhong'mao
利州,li'zhou
李祝,li'zhu
两税法,liang'shui'fa
梁太祖,liang'tai'zu
梁王,liang'wang
临淄王,lin'zi'wang
灵武,ling'wu
刘晏,liu'yan
六月初四,liu'yue'chu'si
陇西,long'xi
陇西郡公,long'xi'jun'gong
陇西李氏,long'xi'li'shi
庐陵王,lu'ling'wang
门下省,men'xia'sheng
密召,mi'zhao
名义上,ming'yi'shang
募兵制,mu'bing'zhi
南唐,nan'tang
南诏,nan'zhao
年号圣武,nian'hao'sheng'wu
牛党,niu'dang
牛李党争,niu'li'dang'zheng
牛僧孺,niu'seng'ru
牛宗,niu'zong
农民战争,nong'min'zhan'zheng
女皇帝,nv'huang'di
派系斗争,pai'xi'dou'zheng
派系林立,pai'xi'lin'li
朋党之争,peng'dang'zhi'zheng
平藩,ping'fan
起兵反隋,qi'bing'fan'sui
其弟,qi'di
齐王,qi'wang
其余藩镇,qi'yu'fan'zhen
前后掌权,qian'hou'zhang'quan
亲姐妹,qin'jie'mei
秦王,qin'wang
取消王号,qu'xiao'wang'hao
全部归服,quan'bu'gui'fu
权力之争,quan'li'zhi'zheng
全盛时期,quan'sheng'shi'qi
群臣,qun'chen
让位于,rang'wei'yu
日月当空,ri'yue'dang'kong
柔然,rou'ran
入宫,ru'gong
入后宫,ru'hou'gong
睿宗,rui'zong
睿宗妹,rui'zong'mei
三十八年,san'shi'ba'nian
三十成,san'shi'cheng
三武灭佛,san'wu'mie'fo
三省六部,san'xing'liu'bu
三子,san'zi
少帝,shao'di
神都,shen'dou
