爱心护理,ai'xin'hu'li
安全期避孕法,an'quan'qi'bi'yun'fa
安全套,an'quan'tao
班疹性梅毒,ban'zhen'xing'mei'du
保密原则,bao'mi'yuan'ze
北大吴,bei'da'wu
北大吴村,bei'da'wu'cun
苯丙酮尿症,ben'bing'tong'niao'zheng
本地户口本地常住,ben'di'hu'kou'ben'di'chang'zhu
本地户口外地常住,ben'di'hu'kou'wai'di'chang'zhu
本地户口外地暂住,ben'di'hu'kou'wai'di'zan'zhu
避孕措施,bi'yun'cuo'shi
避孕措施与手术,bi'yun'cuo'shi'yu'shou'shu
避孕方法知情同意书,bi'yun'fang'fa'zhi'qing'tong'yi'shu
避孕节育方法知情选择,bi'yun'jie'yu'fang'fa'zhi'qing'xuan'ze
避孕节育知情同意选择,bi'yun'jie'yu'zhi'qing'tong'yi'xuan'ze
避孕实施机构,bi'yun'shi'shi'ji'gou
避孕现用率,bi'yun'xian'yong'lv
避孕药具,bi'yun'yao'ju
避孕药具现用率,bi'yun'yao'ju'xian'yong'lv
避孕有效率,bi'yun'you'xiao'lv
避孕终止机构,bi'yun'zhong'zhi'ji'gou
病残儿医学鉴定,bing'can'er'yi'xue'jian'ding
病毒,bing'du
哺乳闭经避孕法,bu'ru'bi'jing'bi'yun'fa
不伤害原则,bu'shang'hai'yuan'ze
不孕不育,bu'yun'bu'yu
不孕不育患者,bu'yun'bu'yu'huan'zhe
蔡都镇,cai'dou'zhen
蔡沟乡,cai'gou'xiang
曹寨,cao'zhai
曹寨村,cao'zhai'cun
拆分户,chai'fen'hu
产前保健率,chan'qian'bao'jian'lv
产前护理,chan'qian'hu'li
产前筛查,chan'qian'shai'cha
产前诊断,chan'qian'zhen'duan
常住人口,chang'zhu'ren'kou
城镇居民,cheng'zhen'ju'min
程庄,cheng'zhuang
程庄村,cheng'zhuang'cun
初婚,chu'hun
出生缺陷,chu'sheng'que'xian
出生缺陷干预,chu'sheng'que'xian'gan'yu
出生人口素质,chu'sheng'ren'kou'su'zhi
出生人口性别比,chu'sheng'ren'kou'xing'bie'bi
雌激素,ci'ji'su
促进男女平等,cu'jin'nan'nv'ping'deng
村党支部书记,cun'dang'zhi'bu'shu'ji
村计划生育宣传管理员,cun'ji'hua'sheng'yu'xuan'chuan'guan'li'yuan
村民自治,cun'min'zi'zhi
村委主任,cun'wei'zhu'ren
村支部书记,cun'zhi'bu'shu'ji
措施开始日期,cuo'shi'kai'shi'ri'qi
措施终止日期,cuo'shi'zhong'zhi'ri'qi
大刘,da'liu
大刘村,da'liu'cun
大路李乡,da'lu'li'xiang
大吴,da'wu
大吴村,da'wu'cun
大学生村官,da'xue'sheng'cun'guan
大阴唇,da'yin'chun
带铜带药宫内节育器,dai'tong'dai'yao'gong'nei'jie'yu'qi
带铜宫内节育器,dai'tong'gong'nei'jie'yu'qi
待孕,dai'yun
带孕激素宫内节育器,dai'yun'ji'su'gong'nei'jie'yu'qi
单月康检,dan'yue'kang'jian
档案管理,dang'an'guan'li
党店镇,dang'dian'zhen
低变量,di'bian'liang
滴虫,di'chong
滴虫性阴道炎,di'chong'xing'yin'dao'yan
低生育水平,di'sheng'yu'shui'ping
东洪乡,dong'hong'xiang
豆渣样块状,dou'zha'yang'kuai'zhuang
独生子女父母光荣证,du'sheng'zi'nv'fu'mu'guang'rong'zheng
独生子女伤残死亡家庭扶助制度,du'sheng'zi'nv'shang'can'si'wang'jia'ting'fu'zhu'zhi'du
短效口服避孕药,duan'xiao'kou'fu'bi'yun'yao
二孩生育证,er'hai'sheng'yu'zheng
二期梅毒,er'qi'mei'du
凡庄,fan'zhuang
凡庄村,fan'zhuang'cun
方便群众,fang'bian'qun'zhong
访视信息,fang'shi'xin'xi
防止出生缺陷,fang'zhi'chu'sheng'que'xian
放置宫内节育器,fang'zhi'gong'nei'jie'yu'qi
非农业户口,fei'nong'ye'hu'kou
非语言交流,fei'yu'yan'jiao'liu
复婚,fu'hun
附件炎,fu'jian'yan
福施福,fu'shi'fu
服务上门,fu'wu'shang'men
负压吸宫术,fu'ya'xi'gong'shu
改善产妇保健,gai'shan'chan'fu'bao'jian
高变量,gao'bian'liang
高级生殖健康咨询师,gao'ji'sheng'zhi'jian'kang'zi'xun'shi
高龄产妇,gao'ling'chan'fu
个人隐私,ge'ren'yin'si
个人自愿,ge'ren'zi'yuan
宫颈癌,gong'jing'ai
功能性射精障碍,gong'neng'xing'she'jing'zhang'ai
祼阴癖,guan'yin'pi
观阴癖,guan'yin'pi
国家标准化管理委员会,guo'jia'biao'zhun'hua'guan'li'wei'yuan'hui
国家人口宏观管理系统,guo'jia'ren'kou'hong'guan'guan'li'xi'tong
国家人口宏观管理与调控系统,guo'jia'ren'kou'hong'guan'guan'li'yu'tiao'kong'xi'tong
国家人口计生委,guo'jia'ren'kou'ji'sheng'wei
国家生育政策,guo'jia'sheng'yu'zheng'ce
国家食品药品监督管理局,guo'jia'shi'pin'yao'pin'jian'du'guan'li'ju
国家指导,guo'jia'zhi'dao
国家指导和个人自愿相结合,guo'jia'zhi'dao'he'ge'ren'zi'yuan'xiang'jie'he
孩次,hai'ci
韩寨乡,han'zhai'xiang
贺店,he'dian
贺店村,he'dian'cun
和店乡,he'dian'xiang
后刘乡,hou'liu'xiang
后三里,hou'san'li
户籍常住,hu'ji'chang'zhu
户籍人口,hu'ji'ren'kou
户主,hu'zhu
户主变更,hu'zhu'bian'geng
环情检查,huan'qing'jian'cha
黄埠乡,huang'bu'xiang
婚前卫生指导,hun'qian'wei'sheng'zhi'dao
婚前卫生咨询,hun'qian'wei'sheng'zi'xun
婚前医学检查,hun'qian'yi'xue'jian'cha
获得权,huo'de'quan
季度人口一般情况报表,ji'du'ren'kou'yi'ban'qing'kuang'bao'biao
继发性,ji'fa'xing
机构设置,ji'gou'she'zhi
计划生育,ji'hua'sheng'yu
计划生育村民自治,ji'hua'sheng'yu'cun'min'zi'zhi
计划生育服务机构,ji'hua'sheng'yu'fu'wu'ji'gou
计划生育服务室,ji'hua'sheng'yu'fu'wu'shi
计划生育服务所,ji'hua'sheng'yu'fu'wu'suo
计划生育服务站,ji'hua'sheng'yu'fu'wu'zhan
计划生育管理,ji'hua'sheng'yu'guan'li
计划生育户口册,ji'hua'sheng'yu'hu'kou'ce
计划生育技术服务,ji'hua'sheng'yu'ji'shu'fu'wu
计划生育技术服务并发症,ji'hua'sheng'yu'ji'shu'fu'wu'bing'fa'zheng
计划生育技术服务管理条例,ji'hua'sheng'yu'ji'shu'fu'wu'guan'li'tiao'li
计划生育技术服务中心,ji'hua'sheng'yu'ji'shu'fu'wu'zhong'xin
计划生育技术指导,ji'hua'sheng'yu'ji'shu'zhi'dao
计划生育健康促进,ji'hua'sheng'yu'jian'kang'cu'jin
计划生育经费,ji'hua'sheng'yu'jing'fei
计划生育手术,ji'hua'sheng'yu'shou'shu
计划生育手术并发症,ji'hua'sheng'yu'shou'shu'bing'fa'zheng
计划生育信息,ji'hua'sheng'yu'xin'xi
计划生育行政执法,ji'hua'sheng'yu'xing'zheng'zhi'fa
计划生育宣传管理员,ji'hua'sheng'yu'xuan'chuan'guan'li'yuan
激励约束机制,ji'li'yue'shu'ji'zhi
计生,ji'sheng
计生服务中心,ji'sheng'fu'wu'zhong'xin
计生委,ji'sheng'wei
计生专干,ji'sheng'zhuan'gan
价值中立,jia'zhi'zhong'li
价值中立原则,jia'zhi'zhong'li'yuan'ze
减少出生缺陷,jian'shao'chu'sheng'que'xian
建议暂缓结婚,jian'yi'zan'huan'jie'hun
奖励扶助对象,jiang'li'fu'zhu'dui'xiang
奖励扶助金,jiang'li'fu'zhu'jin
奖励优惠,jiang'li'you'hui
紧急避孕药,jin'ji'bi'yun'yao
经腹剖宫产取胎术,jing'fu'pou'gong'chan'qu'tai'shu
静脉吸毒,jing'mai'xi'du
境遇性,jing'yu'xing
聚集框架,ju'ji'kuang'jia
绝经,jue'jing
均张,jun'zhang
均张村,jun'zhang'cun
康复服务,kang'fu'fu'wu
康检对象,kang'jian'dui'xiang
康检访视信息,kang'jian'fang'shi'xin'xi
康检信息,kang'jian'xin'xi
康检医生,kang'jian'yi'sheng
科技台帐,ke'ji'tai'zhang
控制人口数量,kong'zhi'ren'kou'shu'liang
孔庄,kong'zhuang
孔庄村,kong'zhuang'cun
口服甾体激素避孕方法,kou'fu'zai'ti'ji'su'bi'yun'fang'fa
口服甾体激素避孕药,kou'fu'zai'ti'ji'su'bi'yun'yao
跨省流动人口,kua'sheng'liu'dong'ren'kou
离婚,li'hun
理解支持原则,li'jie'zhi'chi'yuan'ze
联合国千年发展目标,lian'he'guo'qian'nian'fa'zhan'mu'biao
恋物癖,lian'wu'pi
流产史,liu'chan'shi
刘店,liu'dian
刘店村,liu'dian'cun
流动人口,liu'dong'ren'kou
流动人口管理服务,liu'dong'ren'kou'guan'li'fu'wu
流动人口管理系统,liu'dong'ren'kou'guan'li'xi'tong
留盆镇,liu'pen'zhen
漏服,lou'fu
芦岗乡,lu'gang'xiang
米非司酮,mi'fei'si'tong
米索前列醇,mi'suo'qian'lie'chun
面向基层,mian'xiang'ji'ceng
末次月经,mo'ci'yue'jing
末孩,mo'hai
母乳喂养,mu'ru'wei'yang
母婴传播,mu'ying'chuan'bo
男性高潮期,nan'xing'gao'chao'qi
男性绝育术,nan'xing'jue'yu'shu
男用避孕套,nan'yong'bi'yun'tao
男子性功能障碍,nan'zi'xing'gong'neng'zhang'ai
内源性感染,nei'yuan'xing'gan'ran
年度人口和出生情况报表,nian'du'ren'kou'he'chu'sheng'qing'kuang'bao'biao
念珠菌,nian'zhu'jun
念珠菌性阴道炎,nian'zhu'jun'xing'yin'dao'yan
尿道口,niao'dao'kou
农村部分计划生育家庭,nong'cun'bu'fen'ji'hua'sheng'yu'jia'ting
农村管理,nong'cun'guan'li
农村居民,nong'cun'ju'min
脓性分泌物,nong'xing'fen'mi'wu
农业户口,nong'ye'hu'kou
女用避孕套,nv'yong'bi'yun'tao
泡沫状,pao'mo'zhuang
配偶,pei'ou
盆腔炎,pen'qiang'yan
彭庄,peng'zhuang
彭庄村,peng'zhuang'cun
皮肤粘膜,pi'fu'nian'mo
皮肤粘膜梅毒,pi'fu'nian'mo'mei'du
批量录入,pi'liang'lu'ru
皮下埋植,pi'xia'mai'zhi
皮下埋植避孕剂,pi'xia'mai'zhi'bi'yun'ji
平玉,ping'yu
平玉县,ping'yu'xian
屏障避孕法,ping'zhang'bi'yun'fa
葡萄球菌,pu'tao'qiu'jun
