按摩,an'mo
按跷,an'qiao
案扤,an'wu
八触,ba'chu
八段锦,ba'duan'jin
八狂,ba'kuang
白云子导引法,bai'yun'zi'dao'yin'fa
宝冠胎息法,bao'guan'tai'xi'fa
宝精,bao'jing
宝气,bao'qi
抱元守一,bao'yuan'shou'yi
闭房户,bi'fang'hu
壁观,bi'guan
闭气不息,bi'qi'bu'xi
闭炁胎息,bi'qi'tai'xi
鼻胃,bi'wei
布气,bu'qi
步引,bu'yin
擦面,ca'mian
擦涌泉,ca'yong'quan
采补,cai'bu
采飞根,cai'fei'gen
参倍,can'bei
餐六气,can'liu'qi
禅观法,chan'guan'fa
长生窟,chang'sheng'ku
畅外,chang'wai
长斋,chang'zhai
朝彻,chao'che
沉相,chen'xiang
承影,cheng'ying
赤龙之耕,chi'long'zhi'geng
鸱视虎顾,chi'shi'hu'gu
赤松子导引法,chi'song'zi'dao'yin'fa
出神法,chu'shen'fa
垂帘塞兑,chui'lian'sai'dui
捶天磬,chui'tian'qing
从四正,cong'si'zheng
蹙气,cu'qi
存白气,cun'bai'qi
存流霞,cun'liu'xia
存泥丸,cun'ni'wan
存日,cun'ri
存神,cun'shen
存思,cun'si
存五神,cun'wu'shen
存想,cun'xiang
存想赤气,cun'xiang'chi'qi
存想肺气,cun'xiang'fei'qi
存想黄气,cun'xiang'huang'qi
存想青气,cun'xiang'qing'qi
存一,cun'yi
大定,da'ding
大决,da'jue
大胎息,da'tai'xi
打天钟,da'tian'zhong
大舞,da'wu
打坐,da'zuo
带缚,dai'fu
单思,dan'si
导引,dao'yin
导引却病歌诀,dao'yin'que'bing'ge'jue
叠盘,die'pan
定息,ding'xi
动功,dong'gong
兜礼,dou'li
兜肾功,dou'shen'gong
度狼,du'lang
断缘,duan'yuan
鹅王步,e'wang'bu
二六功课,er'liu'gong'ke
二守,er'shou
法船,fa'chuan
法水,fa'shui
法天地,fa'tian'di
反指,fan'zhi
焚修,fen'xiu
封金匮,feng'jin'kui
复车,fu'che
复鹿,fu'lu
服气,fu'qi
服气三膈,fu'qi'san'ge
服青牙,fu'qing'ya
服日,fu'ri
凫沃,fu'wo
服五牙法,fu'wu'ya'fa
凫浴,fu'yu
干浴,gan'yu
谷药,gu'yao
观鼻法,guan'bi'fa
灌溉中州,guan'gai'zhong'zhou
观天法,guan'tian'fa
观心法,guan'xin'fa
广成子静坐法,guang'cheng'zi'jing'zuo'fa
龟鳖行气法,gui'bie'xing'qi'fa
跪坐,gui'zuo
蛤蟆行气,ha'ma'xing'qi
虾蟆行气法,ha'ma'xing'qi'fa
含光,han'guang
和神导气,he'shen'dao'qi
互跪,hu'gui
虎戏,hu'xi
虎偃,hu'yan
虎引,hu'yin
华山十二睡功诀,hua'shan'shi'er'shui'gong'jue
化身,hua'shen
华阳子内观法,hua'yang'zi'nei'guan'fa
幻真先生服内元气诀法,huan'zhen'xian'sheng'fu'nei'yuan'qi'jue'fa
黄帝内视法,huang'di'nei'shi'fa
回周,hui'zhou
回紫抱黄,hui'zi'bao'huang
魂清魄浊,hun'qing'po'zhuo
击天磬,ji'tian'qing
俭视俭听,jian'shi'jian'ting
降心,jiang'xin
交股,jiao'gu
挢引,jiao'yin
结跏趺坐,jie'jia'fu'zuo
禁绝阴阳,jin'jue'yin'yang
精,jing
静而生慧,jing'er'sheng'hui
静功,jing'gong
净心,jing'xin
静坐,jing'zuo
九宫真人,jiu'gong'zhen'ren
究竟,jiu'jing
九窍,jiu'qiao
九守,jiu'shou
决牖术,jue'you'shu
叩齿,kou'chi
老子按摩法,lao'zi'an'mo'fa
累童,lei'tong
立禅,li'chan
李奉时服气法,li'feng'shi'fu'qi'fa
理顺,li'shun
炼津,lian'jin
练精,lian'jing
炼溺,lian'ni
炼气,lian'qi
炼虚合道,lian'xu'he'dao
六不祥,liu'bu'xiang
六妙门,liu'miao'men
六气,liu'qi
六字气诀法,liu'zi'qi'jue'fa
龙兴,long'xing
龙行气法,long'xing'qi'fa
鹿戏,lu'xi
乱心,luan'xin
命功,ming'gong
明镜照面,ming'jing'zhao'mian
瞑目观形,ming'mu'guan'xing
鸣天鼓,ming'tian'gu
墨子闭气行气法,mo'zi'bi'qi'xing'qi'fa
内功,nei'gong
内观,nei'guan
内火,nei'huo
内景,nei'jing
内气,nei'qi
内视,nei'shi
内视反听,nei'shi'fan'ting
内守,nei'shou
内听,nei'ting
念气,nian'qi
鸟戏,niao'xi
臬栗,nie'li
宁先生导引养生法,ning'xian'sheng'dao'yin'yang'sheng'fa
彭祖导引法,peng'zu'dao'yin'fa
偏跏,pian'jia
平坐,ping'zuo
婆罗门法,po'luo'men'fa
七痴,qi'chi
气法,qi'fa
气功,qi'gong
气蛊,qi'gu
气归元海,qi'gui'yuan'hai
气海,qi'hai
脐呼吸,qi'hu'xi
七魄,qi'po
七情,qi'qing
气术,qi'shu
七漱玉泉,qi'shu'yu'quan
其下,qi'xia
七元,qi'yuan
佥指,qian'zhi
轻撮谷道,qing'cuo'gu'dao
青牙,qing'ya
穷视,qiong'shi
屈伸,qu'shen
取外气法,qu'wai'qi'fa
忍怒全阴,ren'nu'quan'yin
日华,ri'hua
入定,ru'ding
入火,ru'huo
入静,ru'jing
入魔,ru'mo
入胎定观,ru'tai'ding'guan
三才避忌,san'cai'bi'ji
三魂,san'hun
三昧印,san'mei'yin
三彭,san'peng
三七,san'qi
散气,san'qi
三田一贯,san'tian'yi'guan
三星,san'xing
三要,san'yao
三一,san'yi
三愚,san'yu
三元宫,san'yuan'gong
啬神养和,se'shen'yang'he
缮生术,shan'sheng'shu
摄生,she'sheng
摄生六害,she'sheng'liu'hai
蛇行气,she'xing'qi
蛇甄,she'zhen
舌柱上腭,she'zhu'shang'e
神光,shen'guang
神境通,shen'jing'tong
身外身,shen'wai'shen
身外天魔,shen'wai'tian'mo
神枕,shen'zhen
省眠,sheng'mian
生炁,sheng'qi
十二段动功,shi'er'duan'dong'gong
十二段锦,shi'er'duan'jin
十二多,shi'er'duo
十二少,shi'er'shao
尸居,shi'ju
十六锭金,shi'liu'ding'jin
十六段锦,shi'liu'duan'jin
十六宜,shi'liu'yi
十魔军,shi'mo'jun
食气,shi'qi
十三虚无,shi'san'xu'wu
识神,shi'shen
食生吐死,shi'sheng'tu'si
狮子卧,shi'zi'wo
守雌抱一,shou'ci'bao'yi
守寸,shou'cun
受据,shou'ju
守空,shou'kong
守三一,shou'san'yi
守五神,shou'wu'shen
守玄白,shou'xuan'bai
守一,shou'yi
守中,shou'zhong
蜀王台,shu'wang'tai
数息,shu'xi
漱咽灵液,shu'yan'ling'ye
四惑,si'huo
四气,si'qi
死气,si'qi
四少,si'shao
四时颐养导引法,si'shi'yi'yang'dao'yin'fa
思形状,si'xing'zhuang
四字诀,si'zi'jue
苏东坡养生诀,su'dong'po'yang'sheng'jue
孙真人铭,sun'zhen'ren'ming
太冲,tai'chong
太上七返,tai'shang'qi'fan
胎食,tai'shi
胎息,tai'xi
淘气,tao'qi
恬惔虚无,tian'dan'xu'wu
天耳通,tian'er'tong
天君,tian'jun
天年,tian'nian
天然真火,tian'ran'zhen'huo
天眼通,tian'yan'tong
天竺国按摩法,tian'zhu'guo'an'mo'fa
调气,tiao'qi
调身,tiao'shen
调息,tiao'xi
调息四相,tiao'xi'si'xiang
调心,tiao'xin
通灵彻视,tong'ling'che'shi
瞳色青光,tong'se'qing'guang
通神路,tong'shen'lu
吐故纳新,tu'gu'na'xin
吞气,tun'qi
王气,wang'qi
未漏者,wei'lou'zhe
委身,wei'shen
卫生三戒,wei'sheng'san'jie
未央术,wei'yang'shu
握固,wo'gu
五不漏,wu'bu'lou
无根树,wu'gen'shu
五龙盘体,wu'long'pan'ti
五龙蛰法,wu'long'zhe'fa
五难,wu'nan
五逆,wu'ni
五禽戏,wu'qin'xi
五时七候,wu'shi'qi'hou
鹜行气法,wu'xing'qi'fa
五养,wu'yang
五脏神名,wu'zang'shen'ming
五贼,wu'zei
武指,wu'zhi
习定,xi'ding
惜气,xi'qi
袭前,xi'qian
洗五脏,xi'wu'zang
息息归根,xi'xi'gui'gen
噏月精,xi'yue'jing
宵练,xiao'lian
心定之法,xin'ding'zhi'fa
心境通,xin'jing'tong
心息相依,xin'xi'xiang'yi
心猿意马,xin'yuan'yi'ma
心斋,xin'zhai
行禅,xing'chan
性功,xing'gong
性命合一,xing'ming'he'yi
性命双修,xing'ming'shuang'xiu
性命圆通,xing'ming'yuan'tong
