阿多诺,a'duo'nuo
阿尔都塞,a'er'du'sai
安年柯夫,an'nian'ke'fu
巴枯宁,ba'ku'ning
鲍威尔,bao'wei'er
必然王国,bi'ran'wang'guo
必然性,bi'ran'xing
辩证否定观,bian'zheng'fou'ding'guan
辩证唯物主义,bian'zheng'wei'wu'zhu'yi
伯恩施坦,bo'en'shi'tan
剥削率,bo'xue'lv
不变资本,bu'bian'zi'ben
布尔什维主义,bu'er'shi'wei'zhu'yi
布哈林,bu'ha'lin
不可知论,bu'ke'zhi'lun
布洛赫,bu'luo'he
大众文化批判,da'zhong'wen'hua'pi'pan
党性原则,dang'xing'yuan'ze
德里达,de'li'da
狄德罗,di'de'luo
东方社会,dong'fang'she'hui
斗争性,dou'zheng'xing
杜林,du'lin
对抗性矛盾,dui'kang'xing'mao'dun
对立统一,dui'li'tong'yi
对象化,dui'xiang'hua
二元论,er'yuan'lun
发展哲学,fa'zhan'zhe'xue
法哲学,fa'zhe'xue
反映论,fan'ying'lun
费尔巴哈,fei'er'ba'ha
分析的马克思主义,fen'xi'de'ma'ke'si'zhu'yi
分析马克思主义哲学,fen'xi'ma'ke'si'zhu'yi'zhe'xue
分析哲学,fen'xi'zhe'xue
否定辩证法,fou'ding'bian'zheng'fa
否定的辩证法,fou'ding'de'bian'zheng'fa
傅立叶,fu'li'ye
改造世界,gai'zao'shi'jie
感性认识,gan'xing'ren'shi
葛兰西,ge'lan'xi
革命是历史的火车头,ge'ming'shi'li'shi'de'huo'che'tou
革命性,ge'ming'xing
根本矛盾,gen'ben'mao'dun
共相,gong'xiang
工业化批判,gong'ye'hua'pi'pan
观念上层建筑,guan'nian'shang'ceng'jian'zhu
关系本体论,guan'xi'ben'ti'lun
哈贝马斯,ha'bei'ma'si
合法性,he'fa'xing
合力论,he'li'lun
合理内核,he'li'nei'he
合理性,he'li'xing
黑格尔,hei'ge'er
黑格尔主义,hei'ge'er'zhu'yi
霍克海默,huo'ke'hai'mo
基本矛盾,ji'ben'mao'dun
基本内核,ji'ben'nei'he
基本问题,ji'ben'wen'ti
激变论,ji'bian'lun
阶级斗争,jie'ji'dou'zheng
阶级分析法,jie'ji'fen'xi'fa
阶级结构,jie'ji'jie'gou
阶级性,jie'ji'xing
阶级意识,jie'ji'yi'shi
经济斗争,jing'ji'dou'zheng
经济范畴,jing'ji'fan'chou
经济基础,jing'ji'ji'chu
经济决定论,jing'ji'jue'ding'lun
经济哲学,jing'ji'zhe'xue
经验论,jing'yan'lun
经验主义,jing'yan'zhu'yi
经院哲学,jing'yuan'zhe'xue
绝对真理,jue'dui'zhen'li
均衡论,jun'heng'lun
考茨基,kao'ci'ji
可变资本,ke'bian'zi'ben
科尔施,ke'er'shi
