爱是万缘之根,ai'shi'wan'yuan'zhi'gen
爱憎重,ai'zeng'zhong
暗处不欺隐,an'chu'bu'qi'yin
岸到处便离船,an'dao'chu'bian'li'chuan
暗室必放逸,an'shi'bi'fang'yi
暗室中有青天,an'shi'zhong'you'qing'tian
安知物为贵,an'zhi'wu'wei'gui
暗中不欺隐,an'zhong'bu'qi'yin
傲就,ao'jiu
熬天上玲珑液髓,ao'tian'shang'ling'long'ye'sui
把握未定,ba'wo'wei'ding
败后或反成功,bai'hou'huo'fan'cheng'gong
白日欺人,bai'ri'qi'ren
白日下有厉鬼,bai'ri'xia'you'li'gui
白沙云,bai'sha'yun
百岁好光阴,bai'sui'hao'guang'yin
摆脱得俗情便入名流,bai'tuo'de'su'qing'bian'ru'ming'liu
白云意懒,bai'yun'yi'lan
半生之清苦俱非,ban'sheng'zhi'qing'ku'ju'fei
半真半幻,ban'zhen'ban'huan
饱后思味,bao'hou'si'wei
保全得一窝夜气,bao'quan'de'yi'wo'ye'qi
备尝世味,bei'chang'shi'wei
背后须防射影之虫,bei'hou'xu'fang'she'ying'zhi'chong
北邙山未省留闲地,bei'mang'shan'wei'sheng'liu'xian'di
本来不失,ben'lai'bu'shi
必不可加飘然远引之士,bi'bu'ke'jia'piao'ran'yuan'yin'zhi'shi
必不可笼淡然无欲之人,bi'bu'ke'long'dan'ran'wu'yu'zhi'ren
笔不落色,bi'bu'lao'shai
必发于人所共见,bi'fa'yu'ren'suo'gong'jian
鄙夫念头迫促,bi'fu'nian'tou'po'cu
彼富我仁,bi'fu'wo'ren
必将自焚,bi'jiang'zi'fen
彼爵我义,bi'jue'wo'yi
必胜非勇,bi'sheng'fei'yong
必受天道的亏,bi'shou'tian'dao'de'kui
必为浓艳者所疑,bi'wei'nong'yan'zhe'suo'yi
必无实谊,bi'wu'shi'yi
必先以微福骄之,bi'xian'yi'wei'fu'jiao'zhi
必邀功,bi'yao'gong
彼以浓艳损志,bi'yi'nong'yan'sun'zhi
必招外忧,bi'zhao'wai'you
必招性分的损,bi'zhao'xing'fen'de'sun
必执拗之人,bi'zhi'niu'zhi'ren
便把此生埋在鸩毒中矣,bian'ba'ci'sheng'mai'zai'zhen'du'zhong'yi
便超此场中矣,bian'chao'ci'chang'zhong'yi
便成个花子,bian'cheng'ge'hua'zi
便成市道矣,bian'cheng'shi'dao'yi
便成伪果,bian'cheng'wei'guo
便成我相,bian'cheng'wo'xiang
变恩为惨,bian'en'wei'can
便福厚而庆长,bian'fu'hou'er'qing'chang
便居然有万里山川之势,bian'ju'ran'you'wan'li'shan'chuan'zhi'shi
便觉百行皆非,bian'jue'bai'hang'jie'fei
便可解却胸上罟去古,bian'ke'jie'que'xiong'shang'gu'qu'gu
变可为万物立命天地立心矣,bian'ke'wei'wan'wu'li'ming'tian'di'li'xin'yi
便可以完混沌而,bian'ke'yi'wan'hun'dun'er
便禄薄,bian'lu'bao
便落,bian'luo
编民不让王公,bian'min'bu'rang'wang'gong
便起欺人之念,bian'qi'qi'ren'zhi'nian
便如马如牛,bian'ru'ma'ru'niu
便如塞鼠穴者,bian'ru'sai'shu'xue'zhe
便扫除无限杀机,bian'sao'chu'wu'xian'sha'ji
便是,bian'shi
便是安身立命的工,bian'shi'an'shen'li'ming'de'gong
便是持身涉世一安乐窝也,bian'shi'chi'shen'she'shi'yi'an'le'wo'ye
便是个木人,bian'shi'ge'mu'ren
便是既死之寒灰,bian'shi'ji'si'zhi'han'hui
便是开条福路,bian'shi'kai'tiao'fu'lu
便是路人,bian'shi'lu'ren
便是无位的卿相,bian'shi'wu'wei'de'qing'xiang
便是一大学问,bian'shi'yi'da'xue'wen
便是一在世出世法也,bian'shi'yi'zai'shi'chu'shi'fa'ye
便霜可飞城可陨金石可贯,bian'shuang'ke'fei'cheng'ke'yun'jin'shi'ke'guan
便思不如我的人,bian'si'bu'ru'wo'de'ren
便思胜似我的人,bian'si'sheng'si'wo'de'ren
便挽从理路上来,bian'wan'cong'li'lu'shang'lai
便为苦海,bian'wei'ku'hai
便为敛怨之道,bian'wei'lian'yuan'zhi'dao
