癌抗原,ai'kang'yuan
癌胚抗原,ai'pei'kang'yuan
白介素,bai'jie'su
白细胞分化抗原,bai'xi'bao'fen'hua'kang'yuan
白血病,bai'xue'bing
般项目,ban'xiang'mu
板状腹,ban'zhuang'fu
奔马律,ben'ma'lv
便秘,bian'mi
扁平胸,bian'ping'xiong
便血,bian'xie
表面膜免疫球蛋白,biao'mian'mo'mian'yi'qiu'dan'bai
丙氨酸氨基转移酶,bing'an'suan'an'ji'zhuan'yi'mei
病历书写,bing'li'shu'xie
病态窦房结综合征,bing'tai'dou'fang'jie'zong'he'zheng
搏动,bo'dong
波动感,bo'dong'gan
波状热,bo'zhuang're
不对称,bu'dui'chen
不规则热,bu'gui'ze're
补呼气量,bu'hu'qi'liang
布氏杆菌病凝集试验,bu'shi'gan'jun'bing'ning'ji'shi'yan
补体,bu'ti
补吸气量,bu'xi'qi'liang
不应期,bu'ying'qi
残气量,can'qi'liang
肠梗阻,chang'geng'zu
肠鸣音,chang'ming'yin
潮气量,chao'qi'liang
潮式呼吸,chao'shi'hu'xi
尺压试验,chi'ya'shi'yan
弛张热,chi'zhang're
冲击触诊法,chong'ji'chu'zhen'fa
充血性心力衰竭,chong'xue'xing'xin'li'shuai'jie
初步诊断,chu'bu'zhen'duan
出血凝血检验,chu'xie'ning'xue'jian'yan
出血时间,chu'xie'shi'jian
触诊,chu'zhen
杵状指,chu'zhuang'zhi
大炮音,da'pao'yin
大叶性肺炎,da'ye'xing'fei'yan
单胺氧化酶,dan'an'yang'hua'mei
蛋白电泳,dan'bai'dian'yong
蛋白尿,dan'bai'niao
单核细胞,dan'he'xi'bao
胆红素,dan'hong'su
胆红素尿,dan'hong'su'niao
胆酸,dan'suan
靛氰绿,dian'qing'lv
电轴,dian'zhou
动态心电图,dong'tai'xin'dian'tu
动态血压监测,dong'tai'xue'ya'jian'ce
窦性静止,dou'xing'jing'zhi
窦性心动过缓,dou'xing'xin'dong'guo'huan
窦性心动过速,dou'xing'xin'dong'guo'su
多发性骨髓瘤,duo'fa'xing'gu'sui'liu
多尿,duo'niao
恶病质,e'bing'zhi
恶心,e'xin
二尖瓣关闭不全,er'jian'ban'guan'bi'bu'quan
二尖瓣狭窄,er'jian'ban'xia'zhai
二尖瓣相对性狭窄杂音,er'jian'ban'xiang'dui'xing'xia'zhai'za'yin
二联律,er'lian'lv
发绀,fa'gan
发热,fa're
反复心律,fan'fu'xin'lv
反跳痛,fan'tiao'tong
反应蛋白,fan'ying'dan'bai
放射痛,fang'she'tong
房室传导阻滞,fang'shi'chuan'dao'zu'zhi
肥达反应,fei'da'fan'ying
肺动脉瓣相对性关闭不全杂音,fei'dong'mai'ban'xiang'dui'xing'guan'bi'bu'quan'za'yin
肺功能检查,fei'gong'neng'jian'cha
肺活量,fei'huo'liang
非结合胆红素,fei'jie'he'dan'hong'su
肥胖,fei'pang
肺泡呼吸音,fei'pao'hu'xi'yin
肺泡通气量,fei'pao'tong'qi'liang
肺总量,fei'zong'liang
腹部凹陷,fu'bu'ao'xian
腹部检查,fu'bu'jian'cha
腹部膨胀,fu'bu'peng'zhang
腹肌紧张,fu'ji'jin'zhang
腹块,fu'kuai
腹水,fu'shui
腹痛,fu'tong
腹泻,fu'xie
肝功能试验,gan'gong'neng'shi'yan
干罗音,gan'luo'yin
肝脾肿大,gan'pi'zhong'da
干扰素,gan'rao'su
肝硬化,gan'ying'hua
肝源性水肿,gan'yuan'xing'shui'zhong
肝掌,gan'zhang
肝震颤,gan'zhen'chan
肝肿大,gan'zhong'da
个人史,ge'ren'shi
谷氨酰转移酶,gu'an'xian'zhuan'yi'mei
骨髓,gu'sui
骨髓细胞学检查,gu'sui'xi'bao'xue'jian'cha
骨髓增生异常综合征,gu'sui'zeng'sheng'yi'chang'zong'he'zheng
鼓音,gu'yin
过清音,guo'qing'yin
过氧化物酶,guo'yang'hua'wu'mei
寒战,han'zhan
黑便,hei'bian
红细胞沉降率,hong'xi'bao'chen'jiang'lv
呼吸困难,hu'xi'kun'nan
踝阵挛,huai'zhen'luan
黄疸,huang'dan
回归热,hui'gui're
昏厥,hun'jue
昏迷,hun'mi
昏睡,hun'shui
婚姻史,hun'yin'shi
稽留热,ji'liu're
既往史,ji'wang'shi
急性腹膜炎,ji'xing'fu'mo'yan
急性阑尾炎,ji'xing'lan'wei'yan
肌张力,ji'zhang'li
脊柱后突,ji'zhu'hou'tu
甲胎蛋白,jia'tai'dan'bai
甲状腺球蛋白,jia'zhuang'xian'qiu'dan'bai
甲状腺微粒体,jia'zhuang'xian'wei'li'ti
家族史,jia'zu'shi
间歇热,jian'xie're
碱性磷酸酶,jian'xing'lin'suan'mei
浆细胞,jiang'xi'bao
角膜反射,jiao'mo'fan'she
镜下血尿,jing'xia'xue'niao
巨核细胞,ju'he'xi'bao
巨细胞病毒,ju'xi'bao'bing'du
巨幼细胞贫血,ju'you'xi'bao'pin'xue
喀喇音,ka'la'yin
咯血,ka'xie
开瓣音,kai'ban'yin
抗核抗体,kang'he'kang'ti
抗链球菌溶血素,kang'lian'qiu'jun'rong'xue'su
抗平滑肌抗体,kang'ping'hua'ji'kang'ti
抗体依赖性细胞介导的细胞毒,kang'ti'yi'lai'xing'xi'bao'jie'dao'de'xi'bao'du
抗线粒体抗体,kang'xian'li'ti'kang'ti
抗乙酰胆碱受体抗体,kang'yi'xian'dan'jian'shou'ti'kang'ti
柯萨奇病毒,ke'sa'qi'bing'du
咳嗽,ke'sou
咳痰,ke'tan
阑尾点,lan'wei'dian
类风湿因子,lei'feng'shi'yin'zi
肋脊角,lei'ji'jiao
冷凝集试验,leng'ning'ji'shi'yan
冷球蛋白,leng'qiu'dan'bai
里急后重,li'ji'hou'zhong
连续性杂音,lian'xu'xing'za'yin
淋巴结肿大,lin'ba'jie'zhong'da
淋巴细胞,lin'ba'xi'bao
漏出液,lou'chu'ye
瘘管,lou'guan
啰音,luo'yin
脉搏短绌,mai'bo'duan'chu
慢性阻塞性肺气肿,man'xing'zu'se'xing'fei'qi'zhong
毛细血管搏动征,mao'xi'xue'guan'bo'dong'zheng
玫瑰花结形成试验,mei'gui'hua'jie'xing'cheng'shi'yan
免疫球蛋白,mian'yi'qiu'dan'bai
摩擦音,mo'ca'yin
莫菲征,mo'fei'zheng
脑脊液,nao'ji'ye
脑脊液浆膜腔积液检验,nao'ji'ye'jiang'mo'qiang'ji'ye'jian'yan
黏液性水肿,nian'ye'xing'shui'zhong
尿胆素,niao'dan'su
尿胆原,niao'dan'yuan
尿急,niao'ji
尿频,niao'pin
凝血活酶,ning'xue'huo'mei
凝血酶,ning'xue'mei
凝血酶原,ning'xue'mei'yuan
凝血酶原时间,ning'xue'mei'yuan'shi'jian
凝血时间,ning'xue'shi'jian
脓尿,nong'niao
呕吐,ou'tu
呕血,ou'xue
皮下气肿,pi'xia'qi'zhong
脾肿大,pi'zhong'da
平板运动试验,ping'ban'yun'dong'shi'yan
脐部,qi'bu
气腹,qi'fu
奇脉,qi'mai
期前收缩,qi'qian'shou'suo
器械检查,qi'xie'jian'cha
气胸,qi'xiong
前白蛋白,qian'bai'dan'bai
前列腺酸性磷酸酶,qian'lie'xian'suan'xing'lin'suan'mei
前列腺特异抗原,qian'lie'xian'te'yi'kang'yuan
枪击音,qiang'ji'yin
强直,qiang'zhi
清音,qing'yin
全身性水肿,quan'shen'xing'shui'zhong
缺铁性贫血,que'tie'xing'pin'xue
人获得性免疫缺陷病毒,ren'huo'de'xing'mian'yi'que'xian'bing'du
溶血性贫血,rong'xue'xing'pin'xue
揉面感,rou'mian'gan
蠕动波,ru'dong'bo
乳房,ru'fang
乳糜尿,ru'mi'niao
三凹征,san'ao'zheng
三联律,san'lian'lv
三音律,san'yin'lv
搔弹音,sao'dan'yin
沙眼衣原体,sha'yan'yi'yuan'ti
上腹部,shang'fu'bu
少尿,shao'niao
渗出液,shen'chu'ye
肾源性水肿,shen'yuan'xing'shui'zhong
生命征,sheng'ming'zheng
生育史,sheng'yu'shi
嗜碱性粒细胞,shi'jian'xing'li'xi'bao
湿啰音,shi'luo'yin
嗜睡,shi'shui
嗜酸性粒细胞,shi'suan'xing'li'xi'bao
室性心动过速,shi'xing'xin'dong'guo'su
实验室检查,shi'yan'shi'jian'cha
实音,shi'yin
视诊,shi'zhen
手术疤痕,shou'shu'ba'hen
收缩期杂音,shou'suo'qi'za'yin
舒张期杂音,shu'zhang'qi'za'yin
双链,shuang'lian
水冲脉,shui'chong'mai
水母头,shui'mu'tou
水肿,shui'zhong
水肿胸痛发绀心悸,shui'zhong'xiong'tong'fa'gan'xin'ji
四音律,si'yin'lv
酸中毒呼吸,suan'zhong'du'hu'xi
糖链抗原,tang'lian'kang'yuan
特发性水肿,te'fa'xing'shui'zhong
体格检查,ti'ge'jian'cha
体征,ti'zheng
天门冬氨酸氨基转移酶,tian'men'dong'an'suan'an'ji'zhuan'yi'mei
听诊,ting'zhen
同工酶,tong'gong'mei
桶状胸,tong'zhuang'xiong
头痛,tou'tong
蛙腹,wa'fu
外斐反应,wai'fei'fan'ying
外痔,wai'zhi
网织红细胞,wang'zhi'hong'xi'bao
胃肠型,wei'chang'xing
文氏现象,wen'shi'xian'xiang
问诊,wen'zhen
无尿,wu'niao
膝反射,xi'fan'she
希氏束,xi'shi'shu
系统回顾,xi'tong'hui'gu
下腹部,xia'fu'bu
现病史,xian'bing'shi
纤溶,xian'rong
纤溶酶,xian'rong'mei
纤维蛋白原,xian'wei'dan'bai'yuan
消化性溃疡,xiao'hua'xing'kui'yang
心包积液,xin'bao'ji'ye
心包叩击音,xin'bao'kou'ji'yin
心包摩擦音,xin'bao'mo'ca'yin
心电图,xin'dian'tu
心电图检查,xin'dian'tu'jian'cha
心房颤动,xin'fang'chan'dong
心房扑动,xin'fang'pu'dong
心悸,xin'ji
心尖搏动,xin'jian'bo'dong
心律,xin'lv
心律失常,xin'lv'shi'chang
心音分裂,xin'yin'fen'lie
心源性水肿,xin'yuan'xing'shui'zhong
胸壁,xiong'bi
胸导联,xiong'dao'lian
胸骨角,xiong'gu'jiao
胸膜摩擦音,xiong'mo'mo'ca'yin
胸腔积液,xiong'qiang'ji'ye
胸痛,xiong'tong
嗅诊,xiu'zhen
血管神经性水肿,xue'guan'shen'jing'xing'shui'zhong
血粘度,xue'nian'du
血尿,xue'niao
血清白蛋白,xue'qing'bai'dan'bai
血清球蛋白,xue'qing'qiu'dan'bai
血清总蛋白,xue'qing'zong'dan'bai
血细胞比容,xue'xi'bao'bi'rong
血细胞检查,xue'xi'bao'jian'cha
血小板,xue'xiao'ban
血压,xue'ya
血肿,xue'zhong
循环免疫复合物,xun'huan'mian'yi'fu'he'wu
压痛,ya'tong
液波震颤,ye'bo'zhen'chan
逸搏心律,yi'bo'xin'lv
移动性浊音,yi'dong'xing'zhuo'yin
意识模糊,yi'shi'mo'hu
意识障碍,yi'shi'zhang'ai
易损期,yi'sun'qi
乙型肝炎病毒表面抗原,yi'xing'gan'yan'bing'du'biao'mian'kang'yuan
隐血,yin'xue
用力肺活量,yong'li'fei'huo'liang
右季肋部,you'ji'lei'bu
右髂部,you'qia'bu
右束支传导阻滞,you'shu'zhi'chuan'dao'zu'zhi
右腰部,you'yao'bu
瘀点,yu'dian
预激综合征,yu'ji'zong'he'zheng
语音共振,yu'yin'gong'zhen
语音震颤,yu'yin'zhen'chan
原发性血小板减少性紫癜,yuan'fa'xing'xue'xiao'ban'jian'shao'xing'zi'dian
月经史,yue'jing'shi
震颤,zhen'chan
诊断学,zhen'duan'xue
阵发性室上性心动过速,zhen'fa'xing'shi'shang'xing'xin'dong'guo'su
振水音,zhen'shui'yin
症状,zheng'zhuang
直肠检查,zhi'chang'jian'cha
肢端肥大,zhi'duan'fei'da
支气管呼吸音,zhi'qi'guan'hu'xi'yin
支气管哮喘,zhi'qi'guan'xiao'chuan
肢体导联,zhi'ti'dao'lian
蜘蛛痣,zhi'zhu'zhi
肿瘤标志物,zhong'liu'biao'zhi'wu
肿瘤坏死因子,zhong'liu'huai'si'yin'zi
肿瘤扑落音,zhong'liu'pu'luo'yin
中上腹,zhong'shang'fu
中性粒细胞,zhong'xing'li'xi'bao
舟状腹,zhou'zhuang'fu
主动脉瓣关闭不全,zhu'dong'mai'ban'guan'bi'bu'quan
主动脉瓣狭窄,zhu'dong'mai'ban'xia'zhai
主诉,zhu'su
浊音,zhuo'yin
自身免疫耐受,zi'shen'mian'yi'nai'shou
总补体溶血活性,zong'bu'ti'rong'xue'huo'xing
最大呼气中段流量,zui'da'hu'qi'zhong'duan'liu'liang
最大通气量,zui'da'tong'qi'liang
左季肋部,zuo'ji'lei'bu
左髂部,zuo'qia'bu
左前分支传导阻滞,zuo'qian'fen'zhi'chuan'dao'zu'zhi
左束支传导阻滞,zuo'shu'zhi'chuan'dao'zu'zhi
左腰部,zuo'yao'bu
