波罗揭谛,bo'luo'jie'di
波罗僧揭谛,bo'luo'seng'jie'di
般若波罗蜜多心经,bo're'bo'luo'mi'duo'xin'jing
不垢不净,bu'gou'bu'jing
不生不灭,bu'sheng'bu'mie
不增不减,bu'zeng'bu'jian
得阿耨多罗三藐三菩提,de'a'nou'duo'luo'san'miao'san'pu'ti
度一切苦厄,du'yi'qie'ku'e
故说般若波罗蜜多咒,gu'shuo'bo're'bo'luo'mi'duo'zhou
故知般若波罗蜜多,gu'zhi'bo're'bo'luo'mi'duo
观自在菩萨,guan'zi'zai'pu'sa
即说咒曰,ji'shuo'zhou'yue
揭谛揭谛,jie'di'jie'di
究竟涅盘,jiu'jing'nie'pan
空不异色,kong'bu'yi'se
空即是色,kong'ji'shi'se
乃至无老死,nai'zhi'wu'lao'si
乃至无意识界,nai'zhi'wu'yi'shi'jie
能除一切苦真实不虚,neng'chu'yi'qie'ku'zhen'shi'bu'xu
菩提萨埵,pu'ti'sa'duo
菩提萨婆诃,pu'ti'sa'po'he
三世诸佛,san'shi'zhu'fo
色不异空,se'bu'yi'kong
色即是空,se'ji'shi'kong
舍利子,she'li'zi
是大明咒,shi'da'ming'zhou
是大神咒,shi'da'shen'zhou
是故空中无色,shi'gu'kong'zhong'wu'se
是无等等咒,shi'wu'deng'deng'zhou
是无上咒,shi'wu'shang'zhou
是诸法空相,shi'zhu'fa'kong'xiang
受想行识,shou'xiang'xing'shi
无挂碍故,wu'gua'ai'gu
无苦集灭道,wu'ku'ji'mie'dao
无色声香味触法,wu'se'sheng'xiang'wei'chu'fa
无受想行识,wu'shou'xiang'xing'shi
无无明,wu'wu'ming
无眼耳鼻舌身意,wu'yan'er'bi'she'shen'yi
无眼界,wu'yan'jie
无有恐怖,wu'you'kong'bu
无智亦无得,wu'zhi'yi'wu'de
心无挂碍,xin'wu'gua'ai
行深般若波罗蜜多时,xing'shen'bo're'bo'luo'mi'duo'shi
依般若波罗蜜多故,yi'bo're'bo'luo'mi'duo'gu
亦复如是,yi'fu'ru'shi
亦无老死尽,yi'wu'lao'si'jin
以无所得故,yi'wu'suo'de'gu
亦无无明尽,yi'wu'wu'ming'jin
远离颠倒梦想,yuan'li'dian'dao'meng'xiang
照见五蕴皆空,zhao'jian'wu'yun'jie'kong
