阿弗它性口炎,a'fu'ta'xing'kou'yan
埃蒙迪,ai'meng'di
癌前病变,ai'qian'bing'bian
艾滋病,ai'zi'bing
氨硝酸银,an'xiao'suan'yin
氨硝酸银涂布,an'xiao'suan'yin'tu'bu
按医嘱服药,an'yi'zhu'fu'yao
拔髓针,ba'sui'zhen
拔牙后有骨刺,ba'ya'hou'you'gu'ci
拔牙禁忌症,ba'ya'jin'ji'zheng
拔牙钳,ba'ya'qian
拔牙伤口长势,ba'ya'shang'kou'zhang'shi
拔牙适应症,ba'ya'shi'ying'zheng
拔牙术,ba'ya'shu
白垩色,bai'e'se
拜尔,bai'er
拜尔牙,bai'er'ya
白合金粉,bai'he'jin'fen
白合金片,bai'he'jin'pian
白塞病,bai'se'bing
白色海绵状斑痣,bai'se'hai'mian'zhuang'ban'zhi
白线,bai'xian
瘢痕性类天疱疮,ban'hen'xing'lei'tian'pao'chuang
半小时后可以吃东西,ban'xiao'shi'hou'ke'yi'chi'dong'xi
斑釉牙,ban'you'ya
薄蜡片,bao'la'pian
包埋料,bao'mai'liao
贝氏口创,bei'shi'kou'chuang
备牙,bei'ya
备牙车针,bei'ya'che'zhen
崩瓷,beng'ci
鼻唇囊肿,bi'chun'nang'zhong
鼻骨骨折,bi'gu'gu'zhe
铋中毒,bi'zhong'du
扁柄刮匙,bian'bing'gua'chi
边界不清,bian'jie'bu'qing
边界请,bian'jie'qing
扁平苔藓癣,bian'ping'tai'xian'xuan
变色,bian'se
变色龙印模材,bian'se'long'yin'mo'cai
变形,bian'xing
边缘过长,bian'yuan'guo'chang
边缘清,bian'yuan'qing
边缘性颌骨骨髓炎,bian'yuan'xing'he'gu'gu'sui'yan
边缘性龈炎,bian'yuan'xing'yin'yan
边缘修改,bian'yuan'xiu'gai
表面麻醉,biao'mian'ma'zui
波动感,bo'dong'gan
玻璃离子充填,bo'li'li'zi'chong'tian
玻璃离子水门汀,bo'li'li'zi'shui'men'ting
玻璃离子修复,bo'li'li'zi'xiu'fu
玻璃离子粘固粉,bo'li'li'zi'zhan'gu'fen
玻璃离子粘固剂,bo'li'li'zi'zhan'gu'ji
玻璃离子粘固液,bo'li'li'zi'zhan'gu'ye
玻璃纤维根管桩,bo'li'xian'wei'gen'guan'zhuang
玻璃纤维桩,bo'li'xian'wei'zhuang
部分冠,bu'fen'guan
部各种缺损和缺失的科学,bu'ge'zhong'que'sun'he'que'shi'de'ke'xue
不洁性龈炎,bu'jie'xing'yin'yan
不均,bu'jun
布轮,bu'lun
不能吃东西,bu'neng'chi'dong'xi
不能吃饭,bu'neng'chi'fan
不能定位,bu'neng'ding'wei
不能咀嚼,bu'neng'ju'jue
不适复诊,bu'shi'fu'zhen
不碎胶托取模,bu'sui'jiao'tuo'qu'mo
不碎胶托修,bu'sui'jiao'tuo'xiu
不锈钢方丝弓技术,bu'xiu'gang'fang'si'gong'ji'shu
不锈钢固定,bu'xiu'gang'gu'ding
不锈钢套制备,bu'xiu'gang'tao'zhi'bei
不锈钢牙脱落,bu'xiu'gang'ya'tuo'luo
不锈钢咬合器,bu'xiu'gang'yao'he'qi
不锈钢直丝弓技术,bu'xiu'gang'zhi'si'gong'ji'shu
不锈根管桩,bu'xiu'gen'guan'zhuang
补牙条,bu'ya'tiao
不用患侧咀嚼,bu'yong'huan'ce'ju'jue
不愿拔,bu'yuan'ba
残根,can'gen
残根镊,can'gen'nie
残根状,can'gen'zhuang
残冠,can'guan
测正中颌,ce'zheng'zhong'he
测正中颌关系,ce'zheng'zhong'he'guan'xi
测中颌关系,ce'zhong'he'guan'xi
超声波洁牙机,chao'sheng'bo'jie'ya'ji
超微结构,chao'wei'jie'gou
超硬石膏,chao'ying'shi'gao
车绳,che'sheng
车针盒,che'zhen'he
成形片夹,cheng'xing'pian'jia
齿槽修整术,chi'cao'xiu'zheng'shu
齿科点焊机,chi'ke'dian'han'ji
迟萌,chi'meng
持续痛,chi'xu'tong
充填物脱落,chong'tian'wu'tuo'luo
重做,chong'zuo
初戴,chu'dai
穿腮式拔牙钳,chuan'sai'shi'ba'ya'qian
穿腮式技工钳,chuan'sai'shi'ji'gong'qian
穿腮式梯形钳,chuan'sai'shi'ti'xing'qian
创伤弹道,chuang'shang'dan'dao
创伤性根尖周炎,chuang'shang'xing'gen'jian'zhou'yan
创伤性溃疡,chuang'shang'xing'kui'yang
创伤性血疱及溃疡,chuang'shang'xing'xue'pao'ji'kui'yang
吹火管,chui'huo'guan
垂直加压器,chui'zhi'jia'ya'qi
垂直位阻生,chui'zhi'wei'zu'sheng
垂直阻生,chui'zhi'zu'sheng
唇癌,chun'ai
唇侧龋,chun'ce'qu
唇腭裂,chun'e'lie
唇颊侧颈部锲状缺损,chun'jia'ce'jing'bu'qie'zhuang'que'sun
唇瘘形成,chun'lou'xing'cheng
唇舌系带修整术,chun'she'xi'dai'xiu'zheng'shu
纯钛内固定板,chun'tai'nei'gu'ding'ban
唇炎,chun'yan
瓷熔附金属全冠,ci'rong'fu'jin'shu'quan'guan
瓷贴面,ci'tie'mian
瓷贴面覆盖法,ci'tie'mian'fu'gai'fa
瓷牙,ci'ya
大仑丁性牙龈增生,da'lun'ding'xing'ya'yin'zeng'sheng
大面积缺损,da'mian'ji'que'sun
打磨材,da'mo'cai
大手柄牙挺,da'shou'bing'ya'ting
打样粉,da'yang'fen
