爱买,ai'mai
爱买超市,ai'mai'chao'shi
安石镇,an'shi'zhen
安州大道,an'zhou'da'dao
八达物流,ba'da'wu'liu
八角楼,ba'jiao'lou
巴黎春天,ba'li'chun'tian
八寨沟,ba'zhai'gou
百川书城,bai'chuan'shu'cheng
白海豚大酒店,bai'hai'tun'da'jiu'dian
白海豚国际大酒店,bai'hai'tun'guo'ji'da'jiu'dian
白海豚国际酒店,bai'hai'tun'guo'ji'jiu'dian
白海豚酒店,bai'hai'tun'jiu'dian
白水塘,bai'shui'tang
百姓大药房,bai'xing'da'yao'fang
板城镇,ban'cheng'zhen
板桂街,ban'gui'jie
板岭,ban'ling
板岭大道,ban'ling'da'dao
板岭路,ban'ling'lu
保税区,bao'shui'qu
北海仔海鲜城,bei'hai'zai'hai'xian'cheng
北通镇,bei'tong'zhen
碧海花园,bi'hai'hua'yuan
滨江国际,bin'jiang'guo'ji
伯劳镇,bo'lao'zhen
菠萝桥,bo'luo'qiao
财保,cai'bao
菜市尾,cai'shi'wei
长江水库,chang'jiang'shui'ku
长荣新城,chang'rong'xin'cheng
长滩镇,chang'tan'zhen
超越电脑,chao'yue'dian'nao
城西,cheng'xi
诚信电脑,cheng'xin'dian'nao
城中南,cheng'zhong'nan
城中南市场,cheng'zhong'nan'shi'chang
城中南水果市场,cheng'zhong'nan'shui'guo'shi'chang
创联办公设备,chuang'lian'ban'gong'she'bei
创联电脑,chuang'lian'dian'nao
创联设备,chuang'lian'she'bei
大成镇,da'cheng'zhen
大垌镇,da'dong'zhen
大番坡镇,da'fan'po'zhen
大海猫,da'hai'mao
大华财富广场,da'hua'cai'fu'guang'chang
大花园,da'hua'yuan
大榄坪,da'lan'ping
大芦村,da'lu'cun
大路街,da'lu'jie
大马鞍,da'ma'an
大马鞍水库,da'ma'an'shui'ku
大明眼镜超市,da'ming'yan'jing'chao'shi
大参林,da'shen'lin
大世界商业广场,da'shi'jie'shang'ye'guang'chang
大寺镇,da'si'zhen
大银龙酒店,da'yin'long'jiu'dian
大直镇,da'zhi'zhen
大转盘,da'zhuan'pan
电力宾馆,dian'li'bin'guan
东场镇,dong'chang'zhen
东方巴黎,dong'fang'ba'li
东方农场,dong'fang'nong'chang
东风路,dong'feng'lu
东风商厦,dong'feng'shang'sha
东风市场,dong'feng'shi'chang
东海渔村,dong'hai'yu'cun
多丽多,duo'li'duo
二医,er'yi
泛北部湾,fan'bei'bu'wan
飞翔电脑职业培训学校,fei'xiang'dian'nao'zhi'ye'pei'xun'xue'xiao
飞扬球馆,fei'yang'qiu'guan
飞扬羽毛球馆,fei'yang'yu'mao'qiu'guan
丰塘镇,feng'tang'zhen
风塘镇,feng'tang'zhen
冯子材,feng'zi'cai
冯子材故居,feng'zi'cai'gu'ju
佛子镇,fo'zi'zhen
福满家,fu'man'jia
福宁鑫都,fu'ning'xin'dou
福旺镇,fu'wang'zhen
公鹅田,gong'e'tian
古道岭,gu'dao'ling
观潮节,guan'chao'jie
官垌镇,guan'dong'zhen
广场丽园,guang'chang'li'yuan
广厦花苑,guang'sha'hua'yuan
广西北部湾经济区发展规划,guang'xi'bei'bu'wan'jing'ji'qu'fa'zhan'gui'hua
贵台镇,gui'tai'zhen
国发,guo'fa
国发医药,guo'fa'yi'yao
国际海豚节,guo'ji'hai'tun'jie
国投电厂,guo'tou'dian'chang
果子山,guo'zi'shan
荷木水库,he'mu'shui'ku
恒基国际城,heng'ji'guo'ji'cheng
洪潮江水库,hong'chao'jiang'shui'ku
鸿发市场,hong'fa'shi'chang
宏华馨园,hong'hua'xin'yuan
红林新都,hong'lin'xin'du
华锐,hua'rui
华锐电脑,hua'rui'dian'nao
华润万家,hua'run'wan'jia
华山农场,hua'shan'nong'chang
华信豪庭,hua'xin'hao'ting
华信花园,hua'xin'hua'yuan
华信香江花园,hua'xin'xiang'jiang'hua'yuan
皇爵,huang'jue
皇氏乳业,huang'shi'ru'ye
黄屋屯镇,huang'wu'tun'zhen
吉隆水库,ji'long'shui'ku
佳和教育新苑,jia'he'jiao'yu'xin'yuan
嘉怡锦湾,jia'yi'jin'wan
建规委,jian'gui'wei
尖山镇,jian'shan'zhen
建设街,jian'she'jie
建设路,jian'she'lu
江滨路,jiang'bin'lu
江城镇,jiang'cheng'zhen
江东大酒店,jiang'dong'da'jiu'dian
江宁镇,jiang'ning'zhen
教育新苑,jiao'yu'xin'yuan
金百汇,jin'bai'hui
进步巷,jin'bu'xiang
进港大道,jin'gang'da'dao
进港公路,jin'gang'gong'lu
金港花园,jin'gang'hua'yuan
金鼓新城,jin'gu'xin'cheng
金桂浆纸,jin'gui'jiang'zhi
金桂纸业,jin'gui'zhi'ye
金海湾东大街,jin'hai'wan'dong'da'jie
金海湾家居,jin'hai'wan'jia'ju
金海湾酒店,jin'hai'wan'jiu'dian
金海湾西大街,jin'hai'wan'xi'da'jie
金湖国际,jin'hu'guo'ji
金花茶饭店,jin'hua'cha'fan'dian
金辉海湾花园,jin'hui'hai'wan'hua'yuan
金汇花园,jin'hui'hua'yuan
金辉煌,jin'hui'huang
金色海岸,jin'se'hai'an
金穗街,jin'sui'jie
金湾大酒店,jin'wan'da'jiu'dian
金湾蓝岸,jin'wan'lan'an
金窝水库,jin'wo'shui'ku
锦绣家园,jin'xiu'jia'yuan
金洋大酒店,jin'yang'da'jiu'dian
金樽,jin'zun
景湖花园,jing'hu'hua'yuan
京塘水库,jing'tang'shui'ku
旧二中,jiu'er'zhong
旧一中,jiu'yi'zhong
旧州镇,jiu'zhou'zhen
康熙岭镇,kang'xi'ling'zhen
葵扇顶,kui'shan'ding
蓝宇大众搬家,lan'yu'da'zhong'ban'jia
老友粉,lao'you'fen
乐民镇,le'min'zhen
利客隆,li'ke'long
灵东,ling'dong
灵东水库,ling'dong'shui'ku
灵山县,ling'shan'xian
六硍镇,liu'gun'zhen
刘永福,liu'yong'fu
刘永福故居,liu'yong'fu'gu'ju
龙岗商场,long'gang'shang'chang
龙门镇,long'men'zhen
龙湾,long'wan
娄园,lou'yuan
娄园路,lou'yuan'lu
路屋镇,lu'wu'zhen
罗阳山,luo'yang'shan
麻蓝岛,ma'lan'dao
麦德来,mai'de'lai
麦德来商城,mai'de'lai'shang'cheng
茅岭乡,mao'ling'xiang
茅尾海,mao'wei'hai
美人村,mei'ren'cun
梅园路,mei'yuan'lu
梦圆广场,meng'yuan'guang'chang
民生路,min'sheng'lu
铭德生态园,ming'de'sheng'tai'yuan
茗香大酒店,ming'xiang'da'jiu'dian
明月轩,ming'yue'xuan
那丽镇,na'li'zhen
那林镇,na'lin'zhen
那蒙镇,na'meng'zhen
那彭镇,na'peng'zhen
那思镇,na'si'zhen
那务岭,na'wu'ling
那香镇,na'xiang'zhen
南北高速,nan'bei'gao'su
南方电脑,nan'fang'dian'nao
南华,nan'hua
南珠东大街,nan'zhu'dong'da'jie
南珠西大街,nan'zhu'xi'da'jie
坭兴,ni'xing
坭兴陶,ni'xing'tao
平吉镇,ping'ji'zhen
平睦镇,ping'mu'zhen
平南镇,ping'nan'zhen
平山镇,ping'shan'zhen
浦北县,pu'bei'xian
七十二泾,qi'shi'er'jing
钱庄大酒店,qian'zhuang'da'jiu'dian
钦北区,qin'bei'qu
钦城,qin'cheng
钦港,qin'gang
钦江,qin'jiang
钦江大桥,qin'jiang'da'qiao
钦江二桥,qin'jiang'er'qiao
钦江三桥,qin'jiang'san'qiao
钦江一桥,qin'jiang'yi'qiao
钦南区,qin'nan'qu
钦能电力,qin'neng'dian'li
钦湾,qin'wan
钦之旅,qin'zhi'lv
钦州八中,qin'zhou'ba'zhong
钦州电视台,qin'zhou'dian'shi'tai
钦州二医,qin'zhou'er'yi
钦州二中,qin'zhou'er'zhong
钦州国发医药连锁有限责任公司,qin'zhou'guo'fa'yi'yao'lian'suo'you'xian'ze'ren'gong'si
钦州江,qin'zhou'jiang
钦州六中,qin'zhou'liu'zhong
钦州七中,qin'zhou'qi'zhong
钦州三中,qin'zhou'san'zhong
钦州市二医,qin'zhou'shi'er'yi
钦州实小,qin'zhou'shi'xiao
钦州市一医,qin'zhou'shi'yi'yi
钦州四中,qin'zhou'si'zhong
钦州湾大道,qin'zhou'wan'da'dao
钦州湾电脑,qin'zhou'wan'dian'nao
钦州湾广场,qin'zhou'wan'guang'chang
钦州湾海鲜城,qin'zhou'wan'hai'xian'cheng
钦州五中,qin'zhou'wu'zhong
钦州学院,qin'zhou'xue'yuan
钦州医药,qin'zhou'yi'yao
钦州医药有限责任公司,qin'zhou'yi'yao'you'xian'ze'ren'gong'si
钦州一医,qin'zhou'yi'yi
钦州一中,qin'zhou'yi'zhong
青塘镇,qing'tang'zhen
泉水镇,quan'shui'zhen
人民路,ren'min'lu
人民南路,ren'min'nan'lu
瑞景苑,rui'jing'yuan
赛格新时代广场,sai'ge'xin'shi'dai'guang'chang
三海镇,san'hai'zhen
三合镇,san'he'zhen
三隆镇,san'long'zhen
三娘湾,san'niang'wan
三娘湾渔村,san'niang'wan'yu'cun
三十六曲,san'shi'liu'qu
三十六曲林场,san'shi'liu'qu'lin'chang
三沿,san'yan
沙埠镇,sha'bu'zhen
沙井,sha'jing
沙井大道,sha'jing'da'dao
沙坪镇,sha'ping'zhen
沙坡,sha'po
沙塘,sha'tang
沙园市场,sha'yuan'shi'chang
山仔,shan'zai
商厦,shang'sha
胜利路,sheng'li'lu
市二医,shi'er'yi
时光酒廊,shi'guang'jiu'lang
世纪婚纱,shi'ji'hun'sha
世纪新城,shi'ji'xin'cheng
石塘镇,shi'tang'zhen
石梯水库,shi'ti'shui'ku
实小,shi'xiao
市一医,shi'yi'yi
石埇镇,shi'yong'zhen
水岸蓝都,shui'an'lan'dou
水东,shui'dong
思明水库,si'ming'shui'ku
太平镇,tai'ping'zhen
太阳城,tai'yang'cheng
檀圩镇,tan'xu'zhen
天和金鼓新城,tian'he'jin'gu'xin'cheng
田寮水库,tian'liao'shui'ku
天元大酒店,tian'yuan'da'jiu'dian
瓦窑湾,wa'yao'wan
外国语学校,wai'guo'yu'xue'xiao
万国广场,wan'guo'guang'chang
万利达山庄,wan'li'da'shan'zhuang
王岗山,wang'gang'shan
薇薇新娘,wei'wei'xin'niang
文峰北路,wen'feng'bei'lu
文峰路,wen'feng'lu
文峰南路,wen'feng'nan'lu
文利镇,wen'li'zhen
武利江,wu'li'jiang
五里桥,wu'li'qiao
武利镇,wu'li'zhen
喜来神,xi'lai'shen
西南之窗,xi'nan'zhi'chuang
悉尼阳光,xi'ni'yang'guang
犀牛脚镇,xi'niu'jiao'zhen
香江花园,xiang'jiang'hua'yuan
香水街,xiang'shui'jie
向阳街,xiang'yang'jie
向阳路,xiang'yang'lu
小董镇,xiao'dong'zhen
小江水库,xiao'jiang'shui'ku
小骑兵,xiao'qi'bing
协盛,xie'sheng
新澳,xin'ao
新澳花园,xin'ao'hua'yuan
新二中,xin'er'zhong
新港中学,xin'gang'zhong'xue
新华路,xin'hua'lu
新棠镇,xin'tang'zhen
新万佳,xin'wan'jia
新万佳超市,xin'wan'jia'chao'shi
鑫兴大酒店,xin'xing'da'jiu'dian
新兴东路,xin'xing'dong'lu
新兴街,xin'xing'jie
新兴路,xin'xing'lu
新兴西路,xin'xing'xi'lu
新兴中路,xin'xing'zhong'lu
新圩镇,xin'xu'zhen
新阳街,xin'yang'jie
新阳中五巷,xin'yang'zhong'wu'xiang
新一中,xin'yi'zhong
幸福大酒店,xing'fu'da'jiu'dian
幸福苑,xing'fu'yuan
亚龙文具,ya'long'wen'ju
烟墩镇,yan'dun'zhen
眼镜直通车平价超市,yan'jing'zhi'tong'che'ping'jia'chao'shi
羊城蛋糕,yang'cheng'dan'gao
扬帆大道,yang'fan'da'dao
颐豪大酒店,yi'hao'da'jiu'dian
怡景花园,yi'jing'hua'yuan
宜兴街,yi'xing'jie
一医,yi'yi
一轴两翼,yi'zhou'liang'yi
银海街,yin'hai'jie
银河街,yin'he'jie
银杏大酒店,yin'xing'da'jiu'dian
永福大道,yong'fu'da'dao
永福东大街,yong'fu'dong'da'jie
永福路,yong'fu'lu
永福西大街,yong'fu'xi'da'jie
御景华庭,yu'jing'hua'ting
鱼寮街,yu'liao'jie
远辰金湾蓝岸,yuan'chen'jin'wan'lan'an
泽源小区,ze'yuan'xiao'qu
寨圩镇,zhai'xu'zhen
张黄镇,zhang'huang'zhen
樟家乡,zhang'jia'xiang
樟家镇,zhang'jia'zhen
中地滨江国际,zhong'di'bin'jiang'guo'ji
中金名苑,zhong'jin'ming'yuan
中兴大厦,zhong'xing'da'sha
中央公馆,zhong'yang'gong'guan
舟山路,zhou'shan'lu
猪脚粉,zhu'jiao'fen
子材东大街,zi'cai'dong'da'jie
子材路,zi'cai'lu
子材西大街,zi'cai'xi'da'jie
紫京服务,zi'jing'fu'wu
