爱恶欲,ai'wu'yu
八百载,ba'bai'zai
八十二,ba'shi'er
百而千,bai'er'qian
北元魏,bei'yuan'wei
本乎数,ben'hu'shu
彼不教,bi'bu'jiao
彼既成,bi'ji'cheng
彼既老,bi'ji'lao
彼既仕,bi'ji'shi
彼女子,bi'nv'zi
彼虽幼,bi'sui'you
彼无书,bi'wu'shu
彼颖悟,bi'ying'wu
必有初,bi'you'chu
别善恶,bie'shan'e
并中国,bing'zhong'guo
不成器,bu'cheng'qi
不容紊,bu'rong'wen
不如物,bu'ru'wu
不再传,bu'zai'chuan
不知义,bu'zhi'yi
蔡文姬,cai'wen'ji
蚕吐丝,can'tu'si
朝于斯,chao'yu'si
臣则忠,chen'ze'zhong
逞干戈,cheng'gan'ge
称三王,cheng'san'wang
称盛世,cheng'sheng'shi
称五代,cheng'wu'dai
楚汉争,chu'han'zheng
除隋乱,chu'sui'luan
传二世,chuan'er'shi
传建文,chuan'jian'wen
创国基,chuang'guo'ji
春秋作,chun'qiu'zuo
次见闻,ci'jian'wen
此六畜,ci'liu'chu
此六谷,ci'liu'gu
此十义,ci'shi'yi
此四方,ci'si'fang
此四时,ci'si'shi
此五常,ci'wu'chang
此五行,ci'wu'xing
存治体,cun'zhi'ti
撮其要,cuo'qi'yao
大小戴,da'xiao'dai
迨崇祯,dai'chong'zhen
迨灭辽,dai'mie'liao
迨至隋,dai'zhi'sui
当讽咏,dang'feng'yong
当讲求,dang'jiang'qiu
当效之,dang'xiao'zhi
当自警,dang'zi'jing
稻粱菽,dao'liang'shu
帝号纷,di'hao'fen
弟于长,di'yu'chang
弟则恭,di'ze'gong
窦燕山,dou'yan'shan
都金陵,du'jin'ling
读鲁论,du'lu'lun
度史者,du'shi'zhe
读书籍,du'shu'ji
读诸史,du'zhu'shi
断机杼,duan'ji'zhu
对大廷,dui'da'ting
尔男子,er'nan'zi
二十传,er'shi'chuan
二十篇,er'shi'pian
二十七,er'shi'qi
尔小生,er'xiao'sheng
尔幼学,er'you'xue
而之伦,er'zhi'lun
凡训蒙,fan'xun'meng
方读子,fang'du'zi
方七岁,fang'qi'sui
方少时,fang'shao'shi
方四祀,fang'si'si
非所宜,fei'suo'yi
分东西,fen'dong'xi
蜂酿蜜,feng'niang'mi
父而身,fu'er'shen
夫妇从,fu'fu'cong
夫妇顺,fu'fu'shun
父之过,fu'zhi'guo
父子恩,fu'zi'en
父子亲,fu'zi'qin
高曾祖,gao'zeng'zu
高祖兴,gao'zu'xing
苟不教,gou'bu'jiao
苟不学,gou'bu'xue
古圣贤,gu'sheng'xian
光武兴,guang'wu'xing
光于前,guang'yu'qian
贵以专,gui'yi'zhuan
国号商,guo'hao'shang
国乃改,guo'nai'gai
汉业建,han'ye'jian
号二帝,hao'er'di
号六经,hao'liu'jing
号三国,hao'san'guo
号三皇,hao'san'huang
号四诗,hao'si'shi
曷为人,he'wei'ren
及汉周,ji'han'zhou
及老庄,ji'lao'zhuang
记其事,ji'qi'shi
鸡犬豕,ji'quan'shi
记善言,ji'shan'yan
鸡司晨,ji'si'chen
家虽贫,jia'sui'pin
家天下,jia'tian'xia
兼戎狄,jian'rong'di
讲道德,jiang'dao'de
教不严,jiao'bu'yan
教五子,jiao'wu'zi
教之道,jiao'zhi'dao
皆有由,jie'you'you
戒之哉,jie'zhi'zai
金满籝,jin'man'ying
金绪歇,jin'xu'xie
经既明,jing'ji'ming
靖四方,jing'si'fang
经子通,jing'zi'tong
久亲师,jiu'qin'shi
居上世,ju'shang'shi
举神童,ju'shen'tong
君臣义,jun'chen'yi
君则敬,jun'ze'jing
考实录,kao'shi'lu
考世系,kao'shi'xi
克大定,ke'da'ding
口而诵,kou'er'song
魁多士,kui'duo'shi
老何为,lao'he'wei
礼春秋,li'chun'qiu
礼乐备,li'yue'bei
礼智信,li'zhi'xin
梁陈承,liang'chen'cheng
梁灭之,liang'mie'zhi
梁唐晋,liang'tang'jin
辽与金,liao'yu'jin
六百载,liu'bai'zai
论语者,lun'yu'zhe
马牛羊,ma'niu'yang
麦黍稷,mai'shu'ji
煤山逝,mei'shan'shi
孟子者,meng'zi'zhe
泌七岁,mi'qi'sui
勉而致,mian'er'zhi
名句读,ming'ju'dou
名俱扬,ming'ju'yang
明太祖,ming'tai'zu
木金土,mu'jin'tu
木石金,mu'shi'jin
乃八音,nai'ba'yin
乃大同,nai'da'tong
乃九族,nai'jiu'zu
乃曾子,nai'zeng'zi
南北混,nan'bei'hun
能辨琴,neng'bian'qin
能赋棋,neng'fu'qi
能让梨,neng'rang'li
能温席,neng'wen'xi
能咏诗,neng'yong'shi
能咏吟,neng'yong'yin
匏土革,pao'tu'ge
披蒲编,pi'pu'bian
迄两晋,qi'liang'jin
七篇止,qi'pian'zhi
七情具,qi'qing'ju
七雄出,qi'xiong'chu
起义师,qi'yi'shi
迁北京,qian'bei'jing
千而万,qian'er'wan
迁夏社,qian'xia'she
且聪敏,qie'cong'min
且知勉,qie'zhi'mian
亲师友,qin'shi'you
勤有功,qin'you'gong
清太祖,qing'tai'zu
清祚终,qing'zuo'zhong
犬守夜,quan'shou'ye
群弟子,qun'di'zi
人不学,ren'bu'xue
人称奇,ren'cheng'qi
人所食,ren'suo'shi
人所饲,ren'suo'si
人所同,ren'suo'tong
人遗子,ren'yi'zi
人之初,ren'zhi'chu
日月星,ri'yue'xing
融四岁,rong'si'sui
如负薪,ru'fu'xin
如挂角,ru'gua'jiao
如六经,ru'liu'jing
如囊萤,ru'nang'ying
如映雪,ru'ying'xue
若梁灏,ruo'liang'hao
若亲目,ruo'qin'mu
三百载,san'bai'zai
三才者,san'cai'zhe
三传者,san'chuan'zhe
三纲者,san'gang'zhe
三光者,san'guang'zhe
三易详,san'yi'xiang
三字经,san'zi'jing
尚勤学,shang'qin'xue
尚游说,shang'you'shui
商有汤,shang'you'tang
上致君,shang'zhi'jun
身而子,shen'er'zi
身己仕,shen'ji'shi
身虽劳,shen'sui'lao
十八传,shi'ba'chuan
始春秋,shi'chun'qiu
十而百,shi'er'bai
十二世,shi'er'shi
始发愤,shi'fa'fen
诗既亡,shi'ji'wang
始兼并,shi'jian'bing
始可读,shi'ke'du
识某文,shi'mou'wen
诗书易,shi'shu'yi
失统绪,shi'tong'xu
师项橐,shi'xiang'tuo
师之惰,shi'zhi'duo
