阿玛尼,a'ma'ni
挨不挨,ai'bu'ai
爱你多多,ai'ni'duo'duo
挨骗,ai'pian
挨钱,ai'qian
挨去,ai'qu
挨人家,ai'ren'jia
埃特板,ai'te'ban
挨偷,ai'tou
挨野,ai'ye
挨抓,ai'zhua
安吉大道,an'ji'da'dao
安吉路,an'ji'lu
安吉站,an'ji'zhan
澳华,ao'hua
澳门街,ao'men'jie
巴别塔,ba'bie'ta
八步,ba'bu
八步区,ba'bu'qu
八尺江,ba'chi'jiang
拔电,ba'dian
八桂,ba'gui
八桂绿城,ba'gui'lv'cheng
八桂田园,ba'gui'tian'yuan
拔花生,ba'hua'sheng
八角楼,ba'jiao'lou
八角寨,ba'jiao'zhai
八颗牙齿,ba'ke'ya'chi
巴黎婚纱,ba'li'hun'sha
八里街,ba'li'jie
巴马丽琅,ba'ma'li'lang
吧你问问,ba'ni'wen'wen
霸王假,ba'wang'jia
霸位置,ba'wei'zhi
八医院,ba'yi'yuan
八寨沟,ba'zhai'gou
白苍岭,bai'cang'ling
百草堂,bai'cao'tang
百厨,bai'chu
白打工,bai'da'gong
百迪,bai'di
百迪克,bai'di'ke
百迪乐,bai'di'le
百高,bai'gao
白海豚,bai'hai'tun
白鹤观,bai'he'guan
白花菜,bai'hua'cai
白话歌,bai'hua'ge
百货大楼,bai'huo'da'lou
百济,bai'ji
百佳华,bai'jia'hua
百家惠,bai'jia'hui
白浪滩,bai'lang'tan
白马街,bai'ma'jie
百日酒,bai'ri'jiu
百日宴,bai'ri'yan
百色,bai'se
百色的,bai'se'de
百色了,bai'se'le
百色市,bai'se'shi
百色学院,bai'se'xue'yuan
白沙,bai'sha
白沙大道,bai'sha'da'dao
白沙桥,bai'sha'qiao
柏图,bai'tu
百鱼庄,bai'yu'zhuang
百院,bai'yuan
白斩,bai'zhan
办不得,ban'bu'de
半肥瘦,ban'fei'shou
班干,ban'gan
班姐,ban'jie
板路,ban'lu
板石,ban'shi
半闲居,ban'xian'ju
阪一,ban'yi
伴云居,ban'yun'ju
办证大厅,ban'zheng'da'ting
办住,ban'zhu
帮查,bang'cha
帮吃,bang'chi
帮冲,bang'chong
帮出,bang'chu
帮带,bang'dai
帮得,bang'de
帮订,bang'ding
帮发,bang'fa
帮改,bang'gai
帮交,bang'jiao
帮借,bang'jie
帮介绍,bang'jie'shao
帮开,bang'kai
帮看,bang'kan
帮看看,bang'kan'kan
帮看下,bang'kan'xia
帮看一下,bang'kan'yi'xia
帮考,bang'kao
帮买的,bang'mai'de
帮买了,bang'mai'le
帮头发,bang'tou'fa
帮问问,bang'wen'wen
帮问下,bang'wen'xia
帮问一下,bang'wen'yi'xia
帮我交话费,bang'wo'jiao'hua'fei
帮洗,bang'xi
帮写,bang'xie
帮选,bang'xuan
帮要,bang'yao
保爱路,bao'ai'lu
包打,bao'da
保利城,bao'li'cheng
包尾,bao'wei
北部湾,bei'bu'wan
北部湾银行,bei'bu'wan'yin'hang
北大路,bei'da'lu
北大桥,bei'da'qiao
北大站,bei'da'zhan
北二里,bei'er'li
北海,bei'hai
北海的,bei'hai'de
北海了,bei'hai'le
北海人,bei'hai'ren
北海市,bei'hai'shi
北海玩,bei'hai'wan
北湖,bei'hu
北湖北路,bei'hu'bei'lu
北湖店,bei'hu'dian
北湖路,bei'hu'lu
北湖路尾,bei'hu'lu'wei
北湖市场,bei'hu'shi'chang
北际路,bei'ji'lu
北立交,bei'li'jiao
北流,bei'liu
北流市,bei'liu'shi
背杀,bei'sha
北投,bei'tou
北一里,bei'yi'li
本太郎,ben'tai'lang
本位,ben'wei
碧翠园,bi'cui'yuan
碧湖路,bi'hu'lu
比南宁,bi'nan'ning
比如讲,bi'ru'jiang
碧水天和,bi'shui'tian'he
碧园,bi'yuan
鼻子塞,bi'zi'sai
扁菜,bian'cai
边滴,bian'di
扁粉,bian'fen
便捷,bian'jie
便捷酒店,bian'jie'jiu'dian
便靓正,bian'liang'zheng
边贸,bian'mao
边阳街,bian'yang'jie
别没电,bie'mei'dian
滨湖路,bin'hu'lu
宾阳,bin'yang
宾阳吧,bin'yang'ba
宾阳的,bin'yang'de
宾阳话,bin'yang'hua
宾阳了,bin'yang'le
宾阳人,bin'yang'ren
宾阳县,bin'yang'xian
宾州镇,bin'zhou'zhen
博白,bo'bai
博白人,bo'bai'ren
博白县,bo'bai'xian
博览局,bo'lan'ju
铂丽菲,bo'li'fei
菠萝岭,bo'luo'ling
菠萝油,bo'luo'you
波银行,bo'yin'hang
不吃粉,bu'chi'fen
不戳懂,bu'chuo'dong
不带我去玩,bu'dai'wo'qu'wan
不得啊,bu'de'a
不得吃,bu'de'chi
不得出,bu'de'chu
不得出来,bu'de'chu'lai
不得的,bu'de'de
不得的话,bu'de'de'hua
不得回,bu'de'hui
不得就,bu'de'jiu
不得看,bu'de'kan
不得空,bu'de'kong
不得力,bu'de'li
不得吗,bu'de'ma
不得么,bu'de'me
不得那,bu'de'na
不得捏,bu'de'nie
不得钱,bu'de'qian
不得去,bu'de'qu
不得上,bu'de'shang
不得睡觉,bu'de'shui'jiao
不得玩,bu'de'wan
不得笑,bu'de'xiao
不得休,bu'de'xiu
不得休息,bu'de'xiu'xi
不得这样,bu'de'zhe'yang
不得出去,bu'dei'chu'qu
不得睡,bu'dei'shui
不懂吃什么,bu'dong'chi'shen'me
