阿波罗,a'bo'luo
阿波美皇宫,a'bo'mei'huang'gong
阿布米奈,a'bu'mi'nai
阿布辛拜勒至菲莱,a'bu'xin'bai'le'zhi'fei'lai
阿达,a'da
阿德利阿纳,a'de'li'a'na
阿尔贝罗贝,a'er'bei'luo'bei
阿尔达布拉环礁,a'er'da'bu'la'huan'jiao
阿尔汉布拉宫,a'er'han'bu'la'gong
阿尔及尔的卡斯巴哈,a'er'ji'er'de'ka'si'ba'ha
阿尔金岩石礁,a'er'jin'yan'shi'jiao
阿尔卡拉,a'er'ka'la
阿尔科巴萨,a'er'ke'ba'sa
阿尔勒城,a'er'le'cheng
阿尔塞克,a'er'sai'ke
阿尔塔米拉洞窟,a'er'ta'mi'la'dong'ku
阿尔塔岩画,a'er'ta'yan'hua
阿尔泰山保护区,a'er'tai'shan'bao'hu'qu
阿尔万山考古遗迹,a'er'wan'shan'kao'gu'yi'ji
阿夫拉季,a'fu'la'ji
阿夫拉季灌溉体系,a'fu'la'ji'guan'gai'ti'xi
阿格拉,a'ge'la
阿杰尔的塔西利,a'jie'er'de'ta'xi'li
阿卡古城,a'ka'gu'cheng
阿卡库斯,a'ka'ku'si
阿克拉等,a'ke'la'deng
阿克里真托,a'ke'li'zhen'tuo
阿克苏姆,a'ke'su'mu
阿奎拉,a'kui'la
阿拉伯,a'la'bo
阿拉伯大羚羊保护区,a'la'bo'da'ling'yang'bao'hu'qu
阿莱昂斯,a'lai'ang'si
阿莱奇峰,a'lai'qi'feng
阿兰胡埃斯,a'lan'hu'ai'si
阿勒颇古城,a'le'po'gu'cheng
阿雷基帕,a'lei'ji'pa
阿里杰罗德胡波尔德国家公园,a'li'jie'luo'de'hu'bo'er'de'guo'jia'gong'yuan
阿马尔菲,a'ma'er'fei
阿姆拉城堡,a'mu'la'cheng'bao
阿姆斯特丹,a'mu'si'te'dan
阿努拉德普勤,a'nu'la'de'pu'qin
阿普拉瓦西,a'pu'la'wa'xi
阿普拉瓦西加特地区,a'pu'la'wa'xi'jia'te'di'qu
阿钦安阿纳雨林,a'qin'an'a'na'yu'lin
阿散蒂人,a'san'di'ren
阿斯基亚王陵,a'si'ji'ya'wang'ling
阿斯图里亚斯王国时期教堂,a'si'tu'li'ya'si'wang'guo'shi'qi'jiao'tang
阿索斯山,a'suo'si'shan
阿塔皮尔卡,a'ta'pi'er'ka
阿瓦什低谷考古遗址,a'wa'shen'di'gu'kao'gu'yi'zhi
阿维拉古镇及城外教堂,a'wei'la'gu'zhen'ji'cheng'wai'jiao'tang
阿维尼翁,a'wei'ni'weng
阿西西古镇,a'xi'xi'gu'zhen
阿伊尔,a'yi'er
阿伊特本哈杜,a'yi'te'ben'ha'du
阿旃陀,a'zhan'tuo
艾伯塔省恐龙公园,ai'bo'ta'sheng'kong'long'gong'yuan
爱德华国王,ai'de'hua'guo'wang
爱丁堡的新镇,ai'ding'bao'de'xin'zhen
埃尔比斯开诺,ai'er'bi'si'kai'nuo
埃尔伯峡谷,ai'er'bo'xia'gu
埃尔科拉诺,ai'er'ke'la'nuo
埃尔切,ai'er'qie
埃尔斯豪特,ai'er'si'hao'te
埃尔塔欣古城,ai'er'ta'xin'gu'cheng
埃夫伯里,ai'fu'bo'li
艾哈迈德,ai'ha'mai'de
埃洛拉,ai'luo'la
埃纳雷斯堡大学,ai'na'lei'si'bao'da'xue
埃皮达鲁斯,ai'pi'da'lu'si
埃奇米河津,ai'qi'mi'he'jin
埃森,ai'sen
埃斯科里亚尔,ai'si'ke'li'ya'er
埃斯莱本,ai'si'lai'ben
埃武拉,ai'wu'la
艾因,ai'yin
安布希曼加,an'bu'xi'man'jia
安东尼岛,an'dong'ni'dao
安徽古村落,an'hui'gu'cun'luo
安杰尔,an'jie'er
安斯梅多,an'si'mei'duo
安提瓜危地马拉,an'ti'gua'wei'di'ma'la
奥尔内斯,ao'er'nei'si
奥尔塔,ao'er'ta
奥格泰莱克,ao'ge'tai'lai'ke
奥古斯塔斯堡,ao'gu'si'ta'si'bao
奥赫里德,ao'he'li'de
奥坎德生态系统,ao'kan'de'sheng'tai'xi'tong
奥坎德生态系统与文化遗迹景观,ao'kan'de'sheng'tai'xi'tong'yu'wen'hua'yi'ji'jing'guan
奥克尼,ao'ke'ni
奥拉斯迪山,ao'la'si'di'shan
奥朗日,ao'lang'ri
奥林达历史中心,ao'lin'da'li'shi'zhong'xin
奥林匹克,ao'lin'pi'ke
奥林匹克国家公园,ao'lin'pi'ke'guo'jia'gong'yuan
澳门,ao'men
澳门历史城区,ao'men'li'shi'cheng'qu
奥莫低谷史前文化遗址,ao'mo'di'gu'shi'qian'wen'hua'yi'zhi
奥斯威辛,ao'si'wei'xin
奥孙,ao'sun
奥索博神树林,ao'suo'bo'shen'shu'lin
巴埃萨,ba'ai'sa
巴尔代约夫镇,ba'er'dai'yue'fu'zhen
巴尔米拉,ba'er'mi'la
巴格哈特,ba'ge'ha'te
巴格拉特,ba'ge'la'te
巴哈尔布尔,ba'ha'er'bu'er
巴赫莱,ba'he'lai
巴赫洛,ba'he'luo
巴库塔,ba'ku'ta
巴拉干,ba'la'gan
巴拉那河北岸,ba'la'na'he'bei'an
巴勒贝克,ba'le'bei'ke
巴林,ba'lin
巴鲁米尼,ba'lu'mi'ni
巴伦西亚,ba'lun'xi'ya
巴洛克城镇,ba'luo'ke'cheng'zhen
巴洛克式,ba'luo'ke'shi
巴米扬山谷,ba'mi'yang'shan'gu
巴姆要塞,ba'mu'yao'sai
巴拿马历史地区,ba'na'ma'li'shi'di'qu
巴赛,ba'sai
巴塞罗纳,ba'sai'luo'na
巴塞罗那,ba'sai'luo'na
巴什,ba'shi
巴斯城,ba'si'cheng
巴特,ba'te
巴托利亚,ba'tuo'li'ya
巴瓦加德,ba'wa'jia'de
巴西大西洋群岛,ba'xi'da'xi'yang'qun'dao
巴西利亚,ba'xi'li'ya
巴依佛教遗址,ba'yi'fo'jiao'yi'zhi
巴伊亚州,ba'yi'ya'zhou
白城建筑,bai'cheng'jian'zhu
白川乡,bai'chuan'xiang
百慕大群岛,bai'mu'da'qun'dao
百年厅,bai'nian'ting
白神山地,bai'shen'shan'di
拜占庭遗址,bai'zhan'ting'yi'zhi
班贝格,ban'bei'ge
班清,ban'qing
班斯卡,ban'si'ka
邦贾加拉陡崖,bang'jia'jia'la'dou'ya
包豪斯,bao'hao'si
保护区,bao'hu'qu
卑尔根市,bei'er'gen'shi
贝加尔湖,bei'jia'er'hu
北京故宫,bei'jing'gu'gong
北京人,bei'jing'ren
北京天坛,bei'jing'tian'tan
北京颐和园,bei'jing'yi'he'yuan
贝林佐纳三城堡防卫墙和集镇要塞,bei'lin'zuo'na'san'cheng'bao'fang'wei'qiang'he'ji'zhen'yao'sai
贝伦塔,bei'lun'ta
贝马拉哈,bei'ma'la'ha
贝尼,bei'ni
贝希斯敦古迹,bei'xi'si'dun'gu'ji
本笃会圣约翰女修道院,ben'du'hui'sheng'yue'han'nv'xiu'dao'yuan
比布鲁斯,bi'bu'lu'si
毕达哥利翁,bi'da'ge'li'weng
比尔卡和霍夫加登,bi'er'ka'he'huo'fu'jia'deng
比津社区,bi'jin'she'qu
比克瑙,bi'ke'nao
比利牛斯,bi'li'niu'si
比莫贝卡特,bi'mo'bei'ka'te
比姆斯特尔迂田,bi'mu'si'te'er'yu'tian
比尼亚莱斯山谷,bi'ni'ya'lai'si'shan'gu
比奇峰,bi'qi'feng
比萨大教堂与广场,bi'sa'da'jiao'tang'yu'guang'chang
比斯卡亚桥,bi'si'ka'ya'qiao
比索通古迹,bi'suo'tong'gu'ji
比亚沃韦扎,bi'ya'wo'wei'zha
别尔坦和它的要塞教堂,bie'er'tan'he'ta'de'yao'sai'jiao'tang
别霍遗址,bie'huo'yi'zhi
别加国家公园,bie'jia'guo'jia'gong'yuan
别洛韦日,bie'luo'wei'ri
别墅,bie'shu
濒危世界遗产名录,bin'wei'shi'jie'yi'chan'ming'lu
冰川国家公园,bing'chuan'guo'jia'gong'yuan
冰川湾,bing'chuan'wan
冰湾,bing'wan
波波卡特佩特,bo'bo'ka'te'pei'te
波多韦约,bo'duo'wei'yue
波尔多,bo'er'duo
波尔多的历史中心月亮港,bo'er'duo'de'li'shi'zhong'xin'yue'liang'gang
波尔多湾,bo'er'duo'wan
博尔戈尔山及那巴塔,bo'er'ge'er'shan'ji'na'ba'ta
伯尔尼古城,bo'er'ni'gu'cheng
波尔图历史中心,bo'er'tu'li'shi'zhong'xin
波夫莱特修道院,bo'fu'lai'te'xiu'dao'yuan
波雷奇,bo'lei'qi
玻利瓦尔学院,bo'li'wa'er'xue'yuan
伯利兹堡礁保护区,bo'li'zi'bao'jiao'bao'hu'qu
柏林的宫殿与庭园,bo'lin'de'gong'dian'yu'ting'yuan
波隆纳鲁沃,bo'long'na'lu'wo
波斯波利斯,bo'si'bo'li'si
波所黎各,bo'suo'li'ge
波托西城,bo'tuo'xi'cheng
博物馆岛,bo'wu'guan'dao
博物馆综合体,bo'wu'guan'zong'he'ti
博亚纳教堂,bo'ya'na'jiao'tang
博伊谷地,bo'yi'gu'di
博因遗迹群,bo'yin'yi'ji'qun
波兹坦,bo'zi'tan
